date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-0.604,Negative,0.68,Earnings Report,18.0,26.0,8,-0.11,31.56,46.1,-2.1,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,45.8,,44.4,,44.35,,43.1,,ABCAPITAL.NSE
2020-05-04,48.0,48.15,45.3,45.8,45.8,2171864.0,,,,45.8,45.8,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-0.389,Negative,0.315,Capacity Expansion,16.0,20.0,11,0.2,55.74,31.89,2.43,covid_crash,,,0.21499999999999997,,,0,5,2,2020,0,0,,-0.604,,,,,,,44.4,-0.03056768558951961,44.35,-0.031659388646288145,43.8,-0.04366812227074235,42.7,-0.06768558951965054,ABCAPITAL.NSE
2020-05-05,46.65,47.4,44.0,44.4,44.4,1937201.0,,,,45.04166666666666,45.07307692307691,-0.03141025641025408,-0.017450142450141155,-0.013960113960112923,,,,,,,-0.03056768558951961,,,,,,,Tuesday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-1.0,Negative,0.605,Earnings Report,11.0,34.0,9,-3.89,1.58,50.2,-2.18,covid_crash,,,-0.611,,,1,5,2,2020,0,0,45.8,-0.389,,-0.604,,,,,44.35,-0.0011261261261260591,43.8,-0.013513513513513598,43.1,-0.029279279279279202,42.4,-0.04504504504504503,ABCAPITAL.NSE
2020-05-06,44.65,45.3,43.3,44.35,44.35,1648833.0,,,,44.771709006928404,44.81328240512567,-0.04157339819726502,-0.027336722674372246,-0.014236675522892775,,,,,,,-0.0011261261261260591,,,,,,,Wednesday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-0.469,Negative,0.405,FII/DII Activity,11.0,21.0,7,5.07,-26.8,49.02,-1.34,covid_crash,,,0.531,,,2,5,2,2020,0,0,44.4,-1.0,45.8,-0.389,,-0.604,,,43.8,-0.012401352874859217,43.1,-0.028184892897407,42.7,-0.03720405862457721,44.15,-0.00450958286358516,ABCAPITAL.NSE
2020-05-07,44.35,45.25,43.6,43.8,43.8,1306957.0,,,,44.464978448275865,44.53001292466764,-0.06503447639177296,-0.040106964448559476,-0.02492751194321348,,,,,,,-0.012401352874859217,,,,,,,Thursday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-0.492,Negative,0.238,Earnings Report,9.0,20.0,5,-2.83,18.37,45.43,1.35,covid_crash,,,-0.02300000000000002,-0.5908,,3,5,2,2020,0,0,44.35,-0.469,44.4,-1.0,45.8,-0.389,,,43.1,-0.015981735159817267,42.7,-0.025114155251141468,42.4,-0.031963470319634646,44.6,0.0182648401826484,ABCAPITAL.NSE
2020-05-08,44.3,44.75,42.85,43.1,43.1,1487426.0,44.29,,,44.094118682280424,44.198387029207446,-0.10426834692702158,-0.05919352515728809,-0.04507482176973349,,,,,,,-0.015981735159817267,,,,,,,Friday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-0.678,Negative,0.424,Corporate Governance,15.0,25.0,8,-1.9,43.5,41.98,-0.75,covid_crash,,,-0.18600000000000005,-0.6056,,4,5,2,2020,0,0,43.8,-0.492,44.35,-0.469,44.4,-1.0,,-0.604,42.7,-0.009280742459396696,42.4,-0.016241299303944357,44.15,0.024361948955916368,44.25,0.026682134570765736,ABCAPITAL.NSE
2020-05-11,43.5,44.0,42.55,42.7,42.7,1255607.0,43.67,,,43.75527449817494,43.898272057963425,-0.14299755978848339,-0.0819090779565322,-0.06108848183195119,,,,,,,-0.009280742459396696,-0.06768558951965054,,,,,,Monday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-0.502,Negative,0.44,Vaccine Rollout,13.0,25.0,8,3.53,21.01,26.89,-0.96,covid_crash,,,0.17600000000000005,-0.6282,,0,5,2,2020,0,0,43.1,-0.678,43.8,-0.492,44.35,-0.469,45.8,-0.389,42.4,-0.007025761124121899,44.15,0.033957845433255196,44.6,0.04449648711943799,41.95,-0.01756440281030447,ABCAPITAL.NSE
2020-05-12,42.2,42.8,41.2,42.4,42.4,1468963.0,43.27,,,43.45284973565085,43.63181213929109,-0.17896240364024152,-0.10647068553995258,-0.07249171810028894,,,,,,,-0.007025761124121899,-0.04504504504504503,,,,,,Tuesday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-0.197,Negative,0.1,Earnings Report,15.0,24.0,12,-2.53,-40.0,44.56,-0.14,covid_crash,,,0.305,-0.4676,,1,5,2,2020,0,0,42.7,-0.502,43.1,-0.678,43.8,-0.492,44.4,-1.0,44.15,0.041273584905660465,44.6,0.051886792452830344,44.25,0.04363207547169812,42.8,0.00943396226415083,ABCAPITAL.NSE
2020-05-13,45.3,45.7,43.4,44.15,44.15,2017803.0,43.23,,,43.59833425056949,43.715305043478914,-0.11697079290942014,-0.10899405879539847,-0.007976734114021666,,,,,,,0.041273584905660465,-0.00450958286358516,,,,,,Wednesday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-0.99,Negative,0.899,Earnings Report,9.0,32.0,4,-0.24,49.72,51.12,-0.74,covid_crash,,,-0.7929999999999999,-0.5718,,2,5,2,2020,0,0,42.4,-0.197,42.7,-0.502,43.1,-0.678,44.35,-0.469,44.6,0.010192525481313774,44.25,0.0022650056625141968,41.95,-0.04983012457531133,44.05,-0.0022650056625141968,ABCAPITAL.NSE
2020-05-14,44.2,45.9,43.6,44.6,44.6,1874721.0,43.39,,,43.796499388069925,43.84643625768801,-0.04993686961808663,-0.09535155511121311,0.04541468549312648,,,,,,,0.010192525481313774,0.0182648401826484,,,,,,Thursday,May,Q2,ABCAPITAL.NSE,Aditya Birla Capital Limited,Financial Services,Large Cap,-0.017,Neutral,0.1,Corporate Governance,8.0,19.0,5,0.25,-39.29,41.01,-1.94,covid_crash,,,0.973,-0.47680000000000006,0.3090529620199964,3,5,2,2020,0,0,44.15,-0.99,42.4,-0.197,42.7,-0.502,43.8,-0.492,44.25,-0.007847533632287074,41.95,-0.0594170403587444,42.8,-0.04035874439461895,43.2,-0.03139013452914796,ABCAPITAL.NSE
