date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.456,Negative,0.47,Management Commentary,13.0,26.0,10,-3.48,-22.67,39.38,0.57,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,39.19,,38.47,,39.69,,38.38,,ABFRL.NSE
2020-05-04,40.95,41.3,38.72,39.19,39.19,2008565.0,,,,39.19,39.19,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.452,Negative,0.234,COVID-19 Impact,9.0,25.0,3,-3.77,7.88,43.42,-1.26,covid_crash,,,0.0040000000000000036,,,0,5,2,2020,0,0,,-0.456,,,,,,,38.47,-0.01837203368206175,39.69,0.012758356723653996,39.8,0.015565195202857929,37.95,-0.031640724674661724,ABFRL.NSE
2020-05-05,40.16,40.51,38.32,38.47,38.47,1225186.0,,,,38.8,38.816153846153846,-0.016153846153848406,-0.008974358974360224,-0.007179487179488181,,,,,,,-0.01837203368206175,,,,,,,Tuesday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.58,Negative,0.504,Sector Rotation,14.0,29.0,8,2.9,-4.07,63.0,-1.92,covid_crash,,,-0.12799999999999995,,,1,5,2,2020,0,0,39.19,-0.452,,-0.456,,,,,39.69,0.03171302313491031,39.8,0.034572394073303814,38.38,-0.0023394853132310267,37.35,-0.029113595009097937,ABFRL.NSE
2020-05-06,38.07,40.73,34.84,39.69,39.69,6070565.0,,,,39.14736720554273,39.13011828486939,0.01724892067333883,0.0017728867828934855,0.015476033890445344,,,,,,,0.03171302313491031,,,,,,,Wednesday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.574,Negative,0.548,Management Commentary,11.0,23.0,7,-3.06,78.81,52.19,-2.73,covid_crash,,,0.006000000000000005,,,2,5,2,2020,0,0,38.47,-0.58,39.19,-0.452,,-0.456,,,39.8,0.002771478961955065,38.38,-0.03300579491055666,37.95,-0.04383975812547225,38.54,-0.028974552784076568,ABFRL.NSE
2020-05-07,39.87,41.56,39.51,39.8,39.8,2283291.0,,,,39.35337787356322,39.317387938870574,0.035989934692644,0.01336402767373038,0.02262590701891362,,,,,,,0.002771478961955065,,,,,,,Thursday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.257,Negative,0.1,Regulatory Changes,6.0,17.0,12,-3.3,20.86,57.07,-0.61,covid_crash,,,0.31699999999999995,-0.4638,,3,5,2,2020,0,0,39.69,-0.574,38.47,-0.58,39.19,-0.452,,,38.38,-0.03567839195979883,37.95,-0.04648241206030135,37.35,-0.061557788944723524,36.98,-0.0708542713567839,ABFRL.NSE
2020-05-08,40.41,40.53,37.89,38.38,38.38,772124.0,39.106,,,39.08891458414589,39.10000380949721,-0.011089225351319953,0.006089737744812504,-0.017178963096132458,,,,,,,-0.03567839195979883,,,,,,,Friday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.494,Negative,0.552,Capacity Expansion,9.0,26.0,7,-2.03,20.97,51.22,0.57,covid_crash,,,-0.237,-0.47140000000000004,,4,5,2,2020,0,0,39.8,-0.257,39.69,-0.574,38.47,-0.58,,-0.456,37.95,-0.011203751954142804,37.35,-0.026836894215737428,38.54,0.004168837936425085,37.39,-0.025794684731631157,ABFRL.NSE
2020-05-11,38.41,39.22,37.71,37.95,37.95,705633.0,38.858,,,38.81209842212481,38.869667218556266,-0.05756879643145396,-0.011165264362988057,-0.046403532068465904,,,,,,,-0.011203751954142804,-0.031640724674661724,,,,,,Monday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.715,Negative,0.522,Sector Rotation,13.0,28.0,8,-0.0,81.83,34.29,-2.24,covid_crash,,,-0.22099999999999997,-0.524,,0,5,2,2020,0,0,38.38,-0.494,39.8,-0.257,39.69,-0.574,39.19,-0.452,37.35,-0.015810276679841917,38.54,0.015546772068511183,36.98,-0.025559947299077845,35.92,-0.05349143610013174,ABFRL.NSE
2020-05-12,37.89,38.07,36.55,37.35,37.35,1647683.0,38.634,,,38.485836274719695,38.599402281482064,-0.11356600676236894,-0.03708016046104812,-0.07648584630132083,,,,,,,-0.015810276679841917,-0.029113595009097937,,,,,,Tuesday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.274,Negative,0.334,Lockdown Measures,13.0,21.0,11,-2.81,-85.13,43.45,-1.2,covid_crash,,,0.44099999999999995,-0.4628,,1,5,2,2020,0,0,37.95,-0.715,38.38,-0.494,39.8,-0.257,38.47,-0.58,38.54,0.03186077643908969,36.98,-0.009906291834002823,37.39,0.0010709504685408877,37.05,-0.008032128514056325,ABFRL.NSE
2020-05-13,38.86,40.12,37.93,38.54,38.54,1408910.0,38.404,,,38.49713940935444,38.58983110204622,-0.09269169269177979,-0.050444657431188325,-0.04224703526059147,,,,,,,0.03186077643908969,-0.028974552784076568,,,,,,Wednesday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.394,Negative,0.603,Global Markets,12.0,25.0,10,-0.85,-47.27,47.29,0.57,covid_crash,,,-0.12,-0.42680000000000007,,2,5,2,2020,0,0,37.35,-0.274,37.95,-0.715,38.38,-0.494,39.69,-0.574,36.98,-0.04047742605085636,37.39,-0.02983912817851575,35.92,-0.06798131811105335,37.01,-0.03969901401141673,ABFRL.NSE
2020-05-14,38.11,38.43,36.35,36.98,36.98,4452229.0,37.84,,,38.19699523468043,38.351218792202154,-0.15422355752172479,-0.07441809820188047,-0.07980545931984431,,,,,,,-0.04047742605085636,-0.0708542713567839,,,,,,Thursday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.455,Negative,0.383,Interest Rate Policy,15.0,20.0,7,-4.53,98.6,43.47,-0.08,covid_crash,,,-0.061,-0.4664,0.13887760398598792,3,5,2,2020,0,0,38.54,-0.394,37.35,-0.274,37.95,-0.715,39.8,-0.257,37.39,0.01108707409410492,35.92,-0.02866414277988094,37.05,0.0018929150892375013,40.26,0.08869659275283936,ABFRL.NSE
2020-05-15,37.68,38.22,36.49,37.39,37.39,1447814.0,37.641999999999996,38.374,,38.044069951342664,38.21857995412076,-0.17451000277809925,-0.09684449515404024,-0.07766550762405901,,,,,,,0.01108707409410492,-0.025794684731631157,,2202200.0,0.6574398328943784,,,Friday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.748,Negative,0.644,Corporate Governance,11.0,29.0,8,0.16,89.6,56.92,-1.13,covid_crash,,,-0.293,-0.5172000000000001,0.16499363624091687,4,5,2,2020,0,0,36.98,-0.455,38.54,-0.394,37.35,-0.274,38.38,-0.494,35.92,-0.03931532495319601,37.05,-0.00909334046536514,37.01,-0.010163145225996373,39.92,0.06766515110992244,ABFRL.NSE
2020-05-18,37.78,37.84,35.74,35.92,35.92,1266913.0,37.236000000000004,38.047000000000004,,37.655416365190874,37.920453405880124,-0.2650370406892506,-0.13364406307569068,-0.13139297761355992,,,,,,,-0.03931532495319601,-0.05349143610013174,-0.08343965297269706,2128034.8,0.5953441174928155,0.027132480724052922,,Monday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-1.0,Negative,0.77,Inflation Concerns,12.0,38.0,8,-1.22,-44.93,36.08,-2.86,covid_crash,,,-0.252,-0.5742,0.22825884429743354,0,5,2,2020,0,0,37.39,-0.748,36.98,-0.455,38.54,-0.394,37.95,-0.715,37.05,0.031458797327394095,37.01,0.030345211581291665,40.26,0.12082405345211567,,,ABFRL.NSE
2020-05-19,36.96,37.53,35.52,37.05,37.05,2005722.0,37.176,37.904999999999994,,37.547775322956845,37.813504489745654,-0.26572916678880887,-0.1620104039179064,-0.10371876287090248,,,,,,,0.031458797327394095,-0.008032128514056325,-0.03691187938653506,2206088.4,0.9091757157147465,0.029553685002059193,,Tuesday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.021,Neutral,0.1,COVID-19 Impact,16.0,12.0,6,-0.94,-1.04,19.64,-0.15,covid_crash,,,0.979,-0.5236000000000001,0.2819782497522341,1,5,2,2020,0,0,35.92,-1.0,37.39,-0.748,36.98,-0.455,37.35,-0.274,37.01,-0.0010796221322536548,40.26,0.08663967611336032,39.92,0.07746288798920387,39.06,0.05425101214574912,ABFRL.NSE
2020-05-20,37.35,38.0,36.64,37.01,37.01,1224435.0,36.87,37.637,,37.454397097085035,37.71937408370292,-0.2649769866178815,-0.18380171018939806,-0.08117527642848343,,,,,,,-0.0010796221322536548,-0.03969901401141673,-0.0675233056185437,1721475.4,0.7112706925698735,0.02693277494695438,,Wednesday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.432,Negative,0.129,Economic Stimulus,10.0,25.0,6,-1.89,33.95,21.37,-1.8,covid_crash,,,-0.411,-0.5312,0.28103103822255016,2,5,2,2020,0,0,37.05,-0.021,35.92,-1.0,37.39,-0.748,38.54,-0.394,40.26,0.08781410429613623,39.92,0.07862739800054053,,,38.81,0.04863550391786009,ABFRL.NSE
2020-05-21,37.35,40.73,37.01,40.26,40.26,4300710.0,37.525999999999996,37.68300000000001,,37.932101693578154,38.00471660949892,-0.07261491592076652,-0.16054134987018226,0.08792643394941574,,,,,,53.94833948339485,0.08781410429613623,0.08869659275283936,0.01155778894472359,1923217.3,2.2362059659093125,0.040329090121997105,,Thursday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.702,Negative,0.488,Earnings Report,15.0,32.0,4,0.08,-19.53,36.11,0.11,covid_crash,,,-0.26999999999999996,-0.5806,0.2771779412419233,3,5,2,2020,0,0,37.01,-0.432,37.05,-0.021,35.92,-1.0,36.98,-0.455,39.92,-0.008445106805762492,,,39.06,-0.029806259314455907,42.49,0.05538996522603079,ABFRL.NSE
2020-05-22,40.05,42.09,38.83,39.92,39.92,3157582.0,38.032000000000004,37.837,,38.2651086915352,38.211903356661665,0.05320533487353174,-0.1162330533293236,0.16943838820285534,,,,,,52.62778977681787,-0.008445106805762492,0.06766515110992244,0.040125065138092664,2161763.1,1.4606512619259713,0.03838476835872704,,Friday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.877,Negative,0.53,Interest Rate Policy,10.0,28.0,7,1.0,5.54,46.33,-0.86,covid_crash,,,-0.17500000000000004,-0.6064,0.2983047658575594,4,5,2,2020,0,0,40.26,-0.702,37.01,-0.432,37.05,-0.021,37.39,-0.748,,,39.06,-0.021543086172344683,38.81,-0.027805611222444848,43.06,0.07865731462925862,ABFRL.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.445,Negative,0.393,FII/DII Activity,14.0,18.0,6,0.6,-12.76,47.0,-1.42,covid_crash,,,0.432,-0.49540000000000006,0.29509953123197824,0,5,2,2020,0,0,39.92,-0.877,40.26,-0.702,37.01,-0.432,35.92,-1.0,39.06,,38.81,,42.49,,46.91,,ABFRL.NSE
2020-05-26,40.21,40.55,38.56,39.06,39.06,1652761.0,38.660000000000004,37.94799999999999,,38.39647074762316,38.30062123250248,0.09584951512068329,-0.0725880417783372,0.1684375568990205,,,,,,52.10263720598718,-0.021543086172344683,0.08741648106904232,0.029249011857707563,2256475.9,0.7324523164639162,0.038991875426711856,,Tuesday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.481,Negative,0.483,FII/DII Activity,17.0,22.0,7,-1.59,37.42,31.18,-0.44,covid_crash,,,-0.035999999999999976,-0.5873999999999999,0.2817300717590036,1,5,2,2020,0,0,,-0.445,39.92,-0.877,40.26,-0.702,37.05,-0.021,38.81,-0.00640040962621613,42.49,0.08781362007168458,43.06,0.1024065540194572,46.94,0.20174091141833062,ABFRL.NSE
2020-05-27,39.15,39.67,38.07,38.81,38.81,926365.0,39.012,38.094,,38.46403865036192,38.352327625741616,0.11171102462030547,-0.03487909858606236,0.14659012320636783,,,,,,46.630934150076584,-0.00640040962621613,0.047503373819163475,0.03908969210174029,2184344.1,0.4240929805885437,0.03858401942420895,,Wednesday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.559,Negative,0.386,Merger & Acquisition,13.0,24.0,12,0.44,7.97,51.43,0.56,covid_crash,,,-0.07800000000000007,-0.6128,0.27599396128659526,2,5,2,2020,0,0,39.06,-0.481,,-0.445,39.92,-0.877,37.01,-0.432,42.49,0.09482092244266949,43.06,0.1095078587992786,46.91,0.20870909559391904,46.78,0.20535944344241175,ABFRL.NSE
2020-05-28,38.07,42.92,36.47,42.49,42.49,7186794.0,40.108,38.489,,39.11563284329766,38.76112236139061,0.3545104819070488,0.044427477783707564,0.3100830041233412,,,,,,58.08779314491884,0.09482092244266949,0.14806808970548513,0.10249091852620662,2762132.5,2.6019005243231454,0.04762341211812893,,Thursday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.547,Negative,0.479,Inflation Concerns,10.0,31.0,5,1.6,10.27,45.41,0.3,covid_crash,,,0.01200000000000001,-0.5818000000000001,0.2731795502351277,3,5,2,2020,0,0,38.81,-0.559,39.06,-0.481,,-0.445,40.26,-0.702,43.06,0.013414921157919535,46.91,0.10402447634737566,46.94,0.10473052482937151,44.9,0.0567192280536597,ABFRL.NSE
2020-05-29,42.72,44.9,42.38,43.06,43.06,4262356.0,40.668,39.096999999999994,,39.74895337473158,39.17559637004696,0.5733570046846168,0.15176021086536529,0.4215967938192515,,,,,,64.82889733840304,0.013414921157919535,0.06954793840039764,0.16441319632233653,2743145.2,1.5538207747807151,0.04409559367153343,,Friday,May,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.602,Negative,0.409,Management Commentary,6.0,30.0,12,0.07,7.75,35.8,-0.95,covid_crash,,,-0.05499999999999994,-0.5267999999999999,0.26710846735611604,4,5,2,2020,0,0,42.49,-0.547,38.81,-0.559,39.06,-0.481,39.92,-0.877,46.91,0.08941012540640947,46.94,0.0901068276823036,46.78,0.08639108221086844,49.87,0.15815141662796095,ABFRL.NSE
2020-06-01,45.97,47.41,44.66,46.91,46.91,5406026.0,42.066,40.049,39.2115,40.891082687368694,39.905009419714105,0.9860732676545894,0.3205690556969518,0.6655042119576375,39.2115,44.29162546467527,34.13137453532473,10.16025092935054,1.2577076642625888,73.33333333333333,0.08941012540640947,0.17510020040080154,0.25461353303022194,3138966.4,1.7222312414685292,0.04969111654156392,,Monday,June,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.431,Negative,0.287,Technical Factors,14.0,28.0,11,-3.66,-32.5,49.5,-1.64,covid_crash,,,0.17099999999999999,-0.524,0.22118320711824183,0,6,2,2020,0,0,43.06,-0.602,42.49,-0.547,38.81,-0.559,,-0.445,46.94,0.0006395224898743113,46.78,-0.002771264122788275,44.9,-0.04284800682157319,50.14,0.06885525474312515,ABFRL.NSE
2020-06-02,47.37,48.99,46.69,46.94,46.94,3285731.0,43.641999999999996,41.151,39.599,41.85042009736159,40.55530473510625,1.2951153622553448,0.5172927730421785,0.7778225892131664,39.599,45.743104234313186,33.45489576568681,12.28820846862638,1.0974019743189305,75.7380568974772,0.0006395224898743113,0.20174091141833062,0.3067928730512248,3340848.2,0.9835020340044184,0.04545941385818687,0.04093108900334446,Tuesday,June,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.582,Negative,0.472,Management Commentary,8.0,26.0,6,3.12,-2.74,40.83,0.06,covid_crash,,,-0.15099999999999997,-0.5442,0.13953318999833372,1,6,2,2020,0,0,46.91,-0.431,43.06,-0.602,42.49,-0.547,39.06,-0.481,46.78,-0.003408606731998276,44.9,-0.04345973583297824,49.87,0.062420110779718874,47.52,0.012356199403493973,ABFRL.NSE
2020-06-03,48.16,48.42,46.19,46.78,46.78,2214332.0,45.236,42.124,40.014500000000005,42.62853808933125,41.12032302374136,1.5082150655898872,0.716950445143563,0.7912646204463242,40.014500000000005,46.91456704772917,33.11443295227084,13.800134095458333,0.990248859409746,73.40909090909093,-0.003408606731998276,0.20535944344241175,0.2626180836707155,3361709.2,0.6586923104473165,0.04649087995841874,0.04052311877861487,Wednesday,June,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.518,Negative,0.464,Economic Stimulus,13.0,22.0,11,-3.69,31.36,48.27,-0.39,covid_crash,,,0.06399999999999995,-0.5359999999999999,0.1328609967012307,2,6,2,2020,0,0,46.94,-0.582,46.91,-0.431,43.06,-0.602,38.81,-0.559,44.9,-0.04018811457887994,49.87,0.06605386917486089,50.14,0.07182556648140226,46.48,-0.006412997007268162,ABFRL.NSE
2020-06-04,47.05,47.41,44.29,44.9,44.9,1656163.0,45.718,42.913,40.275,42.98565223243603,41.457771776278655,1.5278804561573764,0.8800995094374922,0.6477809467198843,40.275,47.50880223235624,33.04119776764376,14.46760446471248,0.819679737670511,72.0982142857143,-0.04018811457887994,0.0567192280536597,0.2131856255066198,3404882.0,0.4864083395547922,0.05036714907153653,0.0417214161397288,Thursday,June,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.498,Negative,0.541,Lockdown Measures,14.0,26.0,11,-5.03,48.65,52.01,-1.21,covid_crash,,,0.020000000000000018,-0.5262,0.12660612588303574,3,6,2,2020,0,0,46.78,-0.518,46.94,-0.582,46.91,-0.431,42.49,-0.547,49.87,0.1106904231625836,50.14,0.11670378619153676,47.52,0.05835189309576849,46.64,0.03875278396436532,ABFRL.NSE
2020-06-05,46.69,51.36,45.44,49.87,49.87,6606635.0,47.08,43.874,40.7785,44.064356973348794,42.19756463667949,1.866792336669306,1.0783744015889456,0.7884179350803604,40.7785,49.18057562075242,32.37642437924758,16.80415124150484,1.0410270277468556,77.75800711743773,0.1106904231625836,0.15815141662796095,0.23869846000993533,3635474.5,1.817268969979022,0.05413700773568255,0.047698225128285254,Friday,June,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.343,Negative,0.34,Technical Factors,13.0,30.0,11,1.46,-16.65,42.44,-0.81,covid_crash,,,0.15499999999999997,-0.4744,0.07883766725225777,4,6,2,2020,0,0,44.9,-0.498,46.78,-0.518,46.94,-0.582,43.06,-0.602,50.14,0.005414076599157935,47.52,-0.047122518548225245,46.48,-0.06797673952275918,50.05,0.0036093843994384756,ABFRL.NSE
2020-06-08,51.7,52.08,48.9,50.14,50.14,3090022.0,47.726,44.896,41.3665,45.01364708097721,42.88648838439712,2.1271586965800893,1.2889267046984505,0.8382319918816388,41.3665,50.66047829950011,32.07252170049989,18.587956599000222,0.9719991653343915,83.41165413533837,0.005414076599157935,0.06885525474312515,0.2560120240480961,3628718.5,0.8515463516941312,0.05341805836994195,0.04638601601197467,Monday,June,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Retail,Large Cap,-0.413,Negative,0.406,Management Commentary,11.0,25.0,6,-4.07,-52.44,47.32,1.01,covid_crash,,,-0.06999999999999995,-0.4708,0.08193384865582413,0,6,2,2020,0,0,49.87,-0.343,44.9,-0.498,46.78,-0.518,46.91,-0.431,47.52,-0.05225368966892696,46.48,-0.07299561228560036,46.64,-0.06980454726765062,50.16,0.0003988831272436766,ABFRL.NSE
