date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,-0.515,Negative,0.4,Vaccine Rollout,14.0,25.0,7,1.18,12.94,29.73,-1.15,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1126.8,,1134.6,,1182.25,,1153.8,,ACC.NSE
2020-05-04,1130.0,1149.4,1117.2,1126.8,1062.0065,960797.0,,,,1126.8,1126.8,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,0.247,Positive,0.225,Capacity Expansion,13.0,19.0,9,0.38,-6.84,31.28,0.2,covid_crash,,,0.762,,,0,5,2,2020,0,0,,-0.515,,,,,,,1134.6,0.006922257720979763,1182.25,0.04921015264465756,1152.65,0.022941072062477863,1170.2,0.038516151934682386,ACC.NSE
2020-05-05,1137.65,1168.45,1125.75,1134.6,1069.358,2292647.0,,,,1131.0249999999999,1130.85,0.17499999999995453,0.09722222222219695,0.07777777777775757,,,,,,,0.006922257720979763,,,,,,,Tuesday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,-0.861,Negative,0.811,Management Commentary,12.0,35.0,6,-1.48,-60.83,49.23,-1.19,covid_crash,,,-1.108,,,1,5,2,2020,0,0,1126.8,0.247,,-0.515,,,,,1182.25,0.041997179622774716,1152.65,0.015908690287326,1153.8,0.01692226335272351,1167.6,0.029085140137493415,ACC.NSE
2020-05-06,1145.0,1190.0,1141.7,1182.25,1114.268,2397623.0,,,,1151.018129330254,1149.317520946279,1.7006083839748953,0.754347698350352,0.9462606856245434,,,,,,,0.041997179622774716,,,,,,,Wednesday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,0.031,Neutral,0.1,Technical Factors,7.0,13.0,12,-3.5,9.22,30.34,0.57,covid_crash,,,0.892,,,2,5,2,2020,0,0,1134.6,-0.861,1126.8,0.247,,-0.515,,,1152.65,-0.02503700570945222,1153.8,-0.02406428420384865,1170.2,-0.010192429689152016,1207.95,0.021738211038274446,ACC.NSE
2020-05-07,1178.9,1204.0,1147.05,1152.65,1086.3701,1390594.0,,,,1151.5332471264367,1150.249136461766,1.2841106646706066,0.9338066977813324,0.35030396688927423,,,,,,,-0.02503700570945222,,,,,,,Thursday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,-0.364,Negative,0.368,Sector Rotation,7.0,23.0,9,1.34,-40.57,47.73,-1.06,covid_crash,,,-0.395,-0.2924,,3,5,2,2020,0,0,1182.25,0.031,1134.6,-0.861,1126.8,0.247,,,1153.8,0.0009977009499846368,1170.2,0.015225784062811831,1167.6,0.012970112349802498,1189.0,0.03153602567995484,ACC.NSE
2020-05-08,1166.0,1179.0,1145.35,1153.8,1087.4539,993471.0,1150.02,,,1152.149115780862,1151.0725963621705,1.0765194186915323,0.9762605057627103,0.10025891292882205,,,,,,,0.0009977009499846368,,,,,,,Friday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,-1.0,Negative,0.721,Capacity Expansion,15.0,38.0,9,-3.49,-37.23,45.19,-0.67,covid_crash,,,-0.636,-0.3894,,4,5,2,2020,0,0,1152.65,-0.364,1182.25,0.031,1134.6,-0.861,,-0.515,1170.2,0.014213901889408964,1167.6,0.011960478419136722,1207.95,0.04693187727509107,1194.2,0.03501473392269028,ACC.NSE
2020-05-11,1162.0,1187.95,1160.05,1170.2,1102.9109,988408.0,1158.7,,,1156.5364302996024,1154.903662756129,1.632767543473392,1.1542104140674967,0.47855712940589523,,,,,,,0.014213901889408964,0.038516151934682386,,,,,,Monday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,-0.209,Negative,0.322,Inflation Concerns,17.0,18.0,8,-3.93,-11.38,57.64,1.16,covid_crash,,,0.791,-0.4806,,0,5,2,2020,0,0,1153.8,-1.0,1152.65,-0.364,1182.25,0.031,1126.8,0.247,1167.6,-0.0022218424200992626,1207.95,0.03225944283028537,1189.0,0.01606562980687065,1134.55,-0.030464877798667023,ACC.NSE
2020-05-12,1165.8,1172.4,1147.2,1167.6,1100.4604,726718.0,1165.3,,,1159.0052271697696,1157.161640518884,1.843586650885527,1.328673148721644,0.5149135021638829,,,,,,,-0.0022218424200992626,0.029085140137493415,,,,,,Tuesday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,-0.904,Negative,0.634,Merger & Acquisition,13.0,36.0,10,-5.03,-3.99,24.01,-3.46,covid_crash,,,-0.6950000000000001,-0.4892,,1,5,2,2020,0,0,1170.2,-0.209,1153.8,-1.0,1152.65,-0.364,1134.6,-0.861,1207.95,0.03455806783144921,1189.0,0.018328194587187374,1194.2,0.022781774580335812,1138.45,-0.02496574169236032,ACC.NSE
2020-05-13,1220.0,1257.0,1195.25,1207.95,1138.4902,3601199.0,1170.44,,,1169.2192468684598,1165.3449036818079,3.874343186651913,1.9404455301719614,1.9338976564799517,,,,,,,0.03455806783144921,0.021738211038274446,,,,,,Wednesday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,-0.488,Negative,0.238,Sector Rotation,9.0,17.0,11,-3.81,2.52,20.06,-1.81,covid_crash,,,0.41600000000000004,-0.593,,2,5,2,2020,0,0,1167.6,-0.904,1170.2,-0.209,1153.8,-1.0,1182.25,0.031,1189.0,-0.015687735419512405,1194.2,-0.011382921478538033,1134.55,-0.06076410447452307,1170.85,-0.030713191771182702,ACC.NSE
2020-05-14,1200.0,1219.4,1175.5,1189.0,1120.6299,1301078.0,1177.7099999999998,,,1173.1325838937123,1168.851108255004,4.2814756387083435,2.4812350991541225,1.800240539554221,,,,,,,-0.015687735419512405,0.03153602567995484,,,,,,Thursday,May,Q2,ACC.NSE,ACC Limited,Cement,Large Cap,-0.308,Negative,0.22,Management Commentary,9.0,22.0,5,2.78,9.06,56.04,0.21,covid_crash,,,0.18,-0.5818,0.40611340780624317,3,5,2,2020,0,0,1207.95,-0.488,1167.6,-0.904,1170.2,-0.209,1152.65,-0.364,1194.2,0.004373423044575331,1134.55,-0.04579478553406224,1138.45,-0.04251471825063069,1187.6,-0.0011774600504625976,ACC.NSE
