date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.595,Negative,0.338,Interest Rate Policy,14.0,28.0,10,-2.11,21.67,42.8,-1.54,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,266.35,,263.1,,270.15,,285.05,,ADANIPORTS.NSE
2020-05-04,275.0,280.0,262.0,266.35,258.5506,6359013.0,,,,266.35,266.35,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.718,Negative,0.695,Merger & Acquisition,11.0,29.0,11,-3.77,16.26,43.27,-0.44,covid_crash,,,-0.123,,,0,5,2,2020,0,0,,-0.595,,,,,,,263.1,-0.012201989862962281,270.15,0.014266941993617221,282.4,0.06025905763093653,289.7,0.08766660409235949,ADANIPORTS.NSE
2020-05-05,271.7,271.7,261.1,263.1,255.3957,4866839.0,,,,264.58958333333334,264.6625,-0.07291666666668561,-0.040509259259269785,-0.03240740740741583,,,,,,,-0.012201989862962281,,,,,,,Tuesday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.703,Negative,0.561,Interest Rate Policy,12.0,27.0,6,-4.33,-0.34,40.22,-2.18,covid_crash,,,0.015000000000000013,,,1,5,2,2020,0,0,266.35,-0.718,,-0.595,,,,,270.15,0.026795895096921152,282.4,0.07335613835043686,285.05,0.08342835423793238,291.5,0.10794374762447734,ADANIPORTS.NSE
2020-05-06,261.1,273.5,261.1,270.15,262.2393,10547916.0,,,,266.75981524249426,266.6341054706752,0.12570977181906073,0.027613294461357466,0.09809647735770327,,,,,,,0.026795895096921152,,,,,,,Wednesday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.315,Negative,0.435,Vaccine Rollout,10.0,22.0,4,-1.96,-10.16,37.46,-0.09,covid_crash,,,0.38799999999999996,,,2,5,2,2020,0,0,263.1,-0.703,266.35,-0.718,,-0.595,,,282.4,0.04534517860447895,285.05,0.055154543771978704,289.7,0.07236720340551561,309.35,0.14510457153433287,ADANIPORTS.NSE
2020-05-07,271.2,284.5,268.45,282.4,274.1306,6505707.0,,,,271.6968103448276,271.04156061811153,0.6552497267160788,0.24022726202731998,0.41502246468875886,,,,,,,0.04534517860447895,,,,,,,Thursday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.483,Negative,0.366,Lockdown Measures,12.0,24.0,6,2.92,-24.73,43.31,0.04,covid_crash,,,-0.16799999999999998,-0.5628,,3,5,2,2020,0,0,270.15,-0.315,263.1,-0.703,266.35,-0.718,,,285.05,0.00938385269121822,289.7,0.025849858356940647,291.5,0.03222379603399439,308.4,0.09206798866855515,ADANIPORTS.NSE
2020-05-08,285.1,286.85,280.55,285.05,276.703,2594066.0,273.40999999999997,,,275.32482425014985,274.2901754899655,1.034648760184325,0.476549697223954,0.558099062960371,,,,,,,0.00938385269121822,,,,,,,Friday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.506,Negative,0.399,Management Commentary,15.0,28.0,9,-1.78,-71.18,35.6,-0.28,covid_crash,,,-0.02300000000000002,-0.545,,4,5,2,2020,0,0,282.4,-0.483,270.15,-0.315,263.1,-0.703,,-0.595,289.7,0.01631292755656899,291.5,0.02262760919136997,309.35,0.08524820206981243,309.25,0.08489738642343436,ADANIPORTS.NSE
2020-05-11,285.2,293.25,285.2,289.7,281.2168,3204070.0,278.08,,,278.81874823254935,277.3766404349742,1.4421077975751473,0.7382696264110022,0.703838171164145,,,,,,,0.01631292755656899,0.08766660409235949,,,,,,Monday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.582,Negative,0.599,Interest Rate Policy,12.0,26.0,9,-5.8,-15.89,60.99,-0.31,covid_crash,,,-0.07599999999999996,-0.5177999999999999,,0,5,2,2020,0,0,285.05,-0.506,282.4,-0.483,270.15,-0.315,266.35,-0.718,291.5,0.006213324128408804,309.35,0.06782878840179518,308.4,0.0645495340006903,293.3,0.012426648256817385,ADANIPORTS.NSE
2020-05-12,289.0,292.8,285.25,291.5,282.9641,4602740.0,283.76,,,281.6485251961416,279.88840672005887,1.7601184760827095,0.9968723098162017,0.7632461662665079,,,,,,,0.006213324128408804,0.10794374762447734,,,,,,Tuesday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.981,Negative,0.748,Vaccine Rollout,15.0,42.0,7,1.36,-17.89,37.73,-0.75,covid_crash,,,-0.399,-0.5734,,1,5,2,2020,0,0,289.7,-0.582,285.05,-0.506,282.4,-0.483,263.1,-0.703,309.35,0.061234991423670726,308.4,0.05797598627787304,309.25,0.06089193825042871,319.2,0.095025728987993,ADANIPORTS.NSE
2020-05-13,297.0,311.9,262.35,309.35,300.2914,9559902.0,291.6,,,287.42939602193536,284.6353994064131,2.7939966155222464,1.4287550754074236,1.3652415401148228,,,,,,,0.061234991423670726,0.14510457153433287,,,,,,Wednesday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.735,Negative,0.425,COVID-19 Impact,14.0,27.0,8,1.54,-19.91,32.32,-1.27,covid_crash,,,0.246,-0.6574,,2,5,2,2020,0,0,291.5,-0.981,289.7,-0.582,285.05,-0.506,270.15,-0.315,308.4,-0.0030709552287054853,309.25,-0.00032325844512692825,293.3,-0.0518829804428641,323.75,0.04654921609827056,ADANIPORTS.NSE
2020-05-14,301.1,311.45,301.1,308.4,299.3692,5684066.0,296.8,,,291.5781278949607,288.1578349171631,3.420292977797601,1.8888102109300362,1.5314827668675648,,,,,,,-0.0030709552287054853,0.09206798866855515,,,,,,Thursday,May,Q2,ADANIPORTS.NSE,Adani Ports and SEZ Limited,Transportation,Large Cap,-0.742,Negative,0.572,Sector Rotation,12.0,27.0,4,-6.33,21.95,68.52,-1.67,covid_crash,,,-0.007000000000000006,-0.7091999999999999,0.1823372942897006,3,5,2,2020,0,0,309.35,-0.735,291.5,-0.981,289.7,-0.582,282.4,-0.483,309.25,0.0027561608300907814,293.3,-0.04896238651102458,319.2,0.035019455252918386,317.15,0.02837224383916981,ADANIPORTS.NSE
