date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.099,Neutral,0.327,Capacity Expansion,12.0,12.0,6,-4.1,-0.6,39.96,-0.94,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,2663.55,,2674.15,,2614.65,,2587.95,,ALKEM.NSE
2020-05-04,2599.4,2723.0,2480.0,2663.55,2550.756,259890.0,,,,2663.55,2663.55,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.319,Positive,0.221,Inflation Concerns,10.0,23.0,3,0.08,4.93,46.45,-0.3,covid_crash,,,0.41800000000000004,,,0,5,2,2020,0,0,,-0.099,,,,,,,2674.15,0.003979651217360214,2614.65,-0.018358957031030076,2557.6,-0.03977774023389846,2599.6,-0.02400931088209357,ALKEM.NSE
2020-05-05,2696.0,2730.0,2646.0,2674.15,2560.9071,205986.0,,,,2669.2916666666665,2669.053846153846,0.23782051282069006,0.1321225071226056,0.10569800569808446,,,,,,,0.003979651217360214,,,,,,,Tuesday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.053,Neutral,0.21,Sector Rotation,11.0,10.0,3,2.19,-42.44,43.32,-0.27,covid_crash,,,-0.266,,,1,5,2,2020,0,0,2663.55,0.319,,-0.099,,,,,2614.65,-0.022250060766972668,2557.6,-0.043583942561187694,2587.95,-0.03223454181702612,2577.7,-0.03606753547856334,ALKEM.NSE
2020-05-06,2694.0,2713.95,2580.0,2614.65,2503.9268,207687.0,,,,2647.9650115473437,2649.507072449482,-1.5420609021384735,-0.5540182343778366,-0.9880426677606369,,,,,,,-0.022250060766972668,,,,,,,Wednesday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.163,Negative,0.398,Inflation Concerns,18.0,19.0,6,2.53,-28.87,32.99,-0.88,covid_crash,,,-0.216,,,2,5,2,2020,0,0,2674.15,0.053,2663.55,0.319,,-0.099,,,2557.6,-0.02181936396840889,2587.95,-0.010211691813435952,2599.6,-0.0057560285315434445,2487.05,-0.04880194289866713,ALKEM.NSE
2020-05-07,2617.0,2653.95,2521.0,2557.6,2449.2927,104891.0,,,,2619.4403089080456,2623.8138712930345,-4.3735623849888725,-1.8479017542325233,-2.525660630756349,,,,,,,-0.02181936396840889,,,,,,,Thursday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.124,Positive,0.1,Capacity Expansion,11.0,18.0,6,-1.66,-32.63,56.37,-0.31,covid_crash,,,0.28700000000000003,0.046799999999999994,,3,5,2,2020,0,0,2614.65,-0.163,2674.15,0.053,2663.55,0.319,,,2587.95,0.011866593681576498,2599.6,0.016421645292461706,2577.7,0.0078589302471066,2527.1,-0.011925242414763892,ALKEM.NSE
2020-05-08,2579.9,2600.0,2551.0,2587.95,2478.3575,185260.0,2619.58,,,2610.8845045233584,2615.4968916160956,-4.612387092737208,-2.6702736421741835,-1.9421134505630246,,,,,,,0.011866593681576498,,,,,,,Friday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.119,Positive,0.1,Interest Rate Policy,15.0,13.0,5,-4.0,-3.06,33.24,-1.69,covid_crash,,,-0.0050000000000000044,0.0904,,4,5,2,2020,0,0,2557.6,0.124,2614.65,-0.163,2674.15,0.053,,-0.099,2599.6,0.004501632566316971,2577.7,-0.003960663845901213,2487.05,-0.03898838849282238,2473.35,-0.04428215382831968,ALKEM.NSE
2020-05-11,2612.1,2625.5,2563.0,2599.6,2489.5141,139331.0,2606.79,,,2608.1417762486053,2612.3128710144506,-4.171094765845282,-3.0770796107293212,-1.0940151551159611,,,,,,,0.004501632566316971,-0.02400931088209357,,,,,,Monday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.052,Neutral,0.106,FII/DII Activity,10.0,12.0,5,1.2,-41.53,41.73,1.26,covid_crash,,,-0.17099999999999999,0.016200000000000003,,0,5,2,2020,0,0,2587.95,0.119,2557.6,0.124,2614.65,-0.163,2663.55,0.319,2577.7,-0.008424372980458616,2487.05,-0.04329512232651167,2527.1,-0.027888905985536283,2360.15,-0.09211032466533309,ALKEM.NSE
2020-05-12,2608.0,2608.0,2522.55,2577.7,2468.5415,134787.0,2587.5,,,2601.3488003863768,2606.1571513328972,-4.808350946520477,-3.5152181997015894,-1.2931327468188876,,,,,,,-0.008424372980458616,-0.03606753547856334,,,,,,Tuesday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.216,Negative,0.191,Vaccine Rollout,16.0,24.0,9,-4.78,39.67,32.03,-1.68,covid_crash,,,-0.164,-0.037599999999999995,,1,5,2,2020,0,0,2599.6,-0.052,2587.95,0.119,2557.6,0.124,2674.15,0.053,2487.05,-0.03516700934941985,2527.1,-0.01962990262637232,2473.35,-0.04048182488264729,2372.85,-0.07947007021763586,ALKEM.NSE
2020-05-13,2605.0,2610.0,2455.05,2487.05,2381.7303,247466.0,2561.98,,,2577.496402445282,2586.966037977371,-9.469635532088887,-4.946176657517011,-4.523458874571876,,,,,,,-0.03516700934941985,-0.04880194289866713,,,,,,Wednesday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.015,Neutral,0.143,Inflation Concerns,10.0,13.0,5,1.92,1.34,63.8,0.08,covid_crash,,,0.23099999999999998,-0.0019999999999999935,,2,5,2,2020,0,0,2577.7,-0.216,2599.6,-0.052,2587.95,0.119,2614.65,-0.163,2527.1,0.0161034156932911,2473.35,-0.005508534207193327,2360.15,-0.05102430590458573,2433.65,-0.021471220924388357,ALKEM.NSE
2020-05-14,2487.05,2546.4,2471.0,2527.1,2420.0843,121061.0,2555.88,,,2567.5262002837585,2578.0925769137625,-10.566376630004015,-6.24447073311735,-4.3219058968866655,,,,,,,0.0161034156932911,-0.011925242414763892,,,,,,Thursday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.398,Negative,0.393,Interest Rate Policy,12.0,20.0,6,-1.85,56.64,41.46,0.62,covid_crash,,,-0.41300000000000003,-0.10640000000000001,0.20264517429898665,3,5,2,2020,0,0,2487.05,0.015,2577.7,-0.216,2599.6,-0.052,2557.6,0.124,2473.35,-0.021269439278224,2360.15,-0.0660638676744093,2372.85,-0.06103834434727551,2474.95,-0.020636302481104818,ALKEM.NSE
