date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,-0.075,Neutral,0.16,Technical Factors,9.0,23.0,5,-2.92,-29.82,44.86,1.48,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1080.1,,1072.8,,1132.1,,1091.35,,AMBER.NSE
2020-05-04,1045.0,1097.95,1010.0,1080.1,1080.1,94569.0,,,,1080.1,1080.1,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,-0.031,Neutral,0.1,Global Markets,13.0,14.0,4,0.35,9.97,50.49,0.22,covid_crash,,,0.044,,,0,5,2,2020,0,0,,-0.075,,,,,,,1072.8,-0.006758633459864827,1132.1,0.0481436903990371,1111.6,0.029163966299416755,1073.95,-0.005693917229885992,AMBER.NSE
2020-05-05,1094.0,1118.0,1063.8,1072.8,1072.8,47975.0,,,,1076.1458333333333,1076.3096153846152,-0.16378205128194168,-0.0909900284899676,-0.07279202279197408,,,,,,,-0.006758633459864827,,,,,,,Tuesday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,-0.031,Neutral,0.1,Inflation Concerns,13.0,12.0,2,-0.06,15.91,44.07,-0.94,covid_crash,,,0.0,,,1,5,2,2020,0,0,1080.1,-0.031,,-0.075,,,,,1132.1,0.05527591349738992,1111.6,0.03616703952274425,1091.35,0.017291200596569745,1070.95,-0.0017244593586874801,AMBER.NSE
2020-05-06,1076.0,1153.9,1048.1,1132.1,1132.1,163914.0,,,,1097.9847575057736,1096.3545588960078,1.6301986097657846,0.6144151511230456,1.015783458642739,,,,,,,0.05527591349738992,,,,,,,Wednesday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,-0.455,Negative,0.411,Merger & Acquisition,17.0,27.0,4,0.26,-22.11,51.12,-0.44,covid_crash,,,-0.42400000000000004,,,2,5,2,2020,0,0,1072.8,-0.031,1080.1,-0.031,,-0.075,,,1111.6,-0.01810794099461177,1091.35,-0.035995053440508795,1073.95,-0.05136472043105722,1114.7,-0.015369666990548425,AMBER.NSE
2020-05-07,1119.95,1150.0,1091.1,1111.6,1111.6,123287.0,,,,1102.2825574712642,1100.6165180093171,1.6660394619470935,0.9706564488276687,0.6953830131194249,,,,,,,-0.01810794099461177,,,,,,,Thursday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,0.066,Neutral,0.144,Merger & Acquisition,11.0,22.0,9,-1.5,24.01,36.42,0.5,covid_crash,,,0.521,-0.1052,,3,5,2,2020,0,0,1132.1,-0.455,1072.8,-0.031,1080.1,-0.031,,,1091.35,-0.0182169845268082,1073.95,-0.033870097157250645,1070.95,-0.0365689096797408,1129.45,0.01605793450881632,AMBER.NSE
2020-05-08,1118.0,1124.0,1084.1,1091.35,1091.35,36259.0,1097.59,,,1099.312220679027,1098.4675742622865,0.8446464167404883,0.9331713131520438,-0.08852489641155548,,,,,,,-0.0182169845268082,,,,,,,Friday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,0.131,Positive,0.1,Interest Rate Policy,17.0,20.0,7,0.88,-3.57,48.45,1.02,covid_crash,,,0.065,-0.064,,4,5,2,2020,0,0,1111.6,0.066,1132.1,-0.455,1072.8,-0.031,,-0.075,1073.95,-0.01594355614605747,1070.95,-0.018692445136757052,1114.7,0.021395519310945188,1139.6,0.04421129793375167,AMBER.NSE
2020-05-11,1101.0,1129.5,1065.0,1073.95,1073.95,61268.0,1096.3600000000001,,,1093.1478667525514,1093.5568996827078,-0.40903293015639974,0.5693593381031337,-0.9783922682595334,,,,,,,-0.01594355614605747,-0.005693917229885992,,,,,,Monday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,-0.23,Negative,0.1,Management Commentary,12.0,21.0,3,-3.65,-22.13,46.24,-0.34,covid_crash,,,-0.361,-0.1038,,0,5,2,2020,0,0,1091.35,0.131,1111.6,0.066,1132.1,-0.455,1080.1,-0.031,1070.95,-0.0027934261371572733,1114.7,0.03794403836305227,1129.45,0.05167838353740861,1078.1,0.0038642394897341337,AMBER.NSE
2020-05-12,1074.9,1090.0,1058.3,1070.95,1070.95,42934.0,1095.99,,,1088.194490451129,1089.5363797651996,-1.3418893140706132,0.08567329171232706,-1.4275626057829403,,,,,,,-0.0027934261371572733,-0.0017244593586874801,,,,,,Tuesday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,-0.494,Negative,0.344,Vaccine Rollout,10.0,21.0,5,-1.34,62.46,63.22,-0.41,covid_crash,,,-0.264,-0.1964,,1,5,2,2020,0,0,1073.95,-0.23,1091.35,0.131,1111.6,0.066,1072.8,-0.031,1114.7,0.04085158037256642,1129.45,0.0546243988981745,1139.6,0.06410196554460978,1125.3,0.050749334702833826,AMBER.NSE
2020-05-13,1180.0,1180.0,1100.0,1114.7,1114.7,105502.0,1092.5099999999998,,,1093.7257817617462,1093.5908624974054,0.13491926434085144,0.09750802500568201,0.03741123933516943,,,,,,,0.04085158037256642,-0.015369666990548425,,,,,,Wednesday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,-0.239,Negative,0.254,Interest Rate Policy,8.0,14.0,7,0.41,-37.93,56.17,0.97,covid_crash,,,0.255,-0.15319999999999998,,2,5,2,2020,0,0,1070.95,-0.494,1073.95,-0.23,1091.35,0.131,1132.1,-0.455,1129.45,0.013232259800843194,1139.6,0.022337848748542166,1078.1,-0.032833946353279075,1182.25,0.06059926437606533,AMBER.NSE
2020-05-14,1095.0,1145.0,1091.75,1129.45,1129.45,61937.0,1096.0800000000002,,,1100.7933036604472,1098.9059738886776,1.8873297717696005,0.5109657278596204,1.3763640439099802,,,,,,,0.013232259800843194,0.01605793450881632,,,,,,Thursday,May,Q2,AMBER.NSE,Amber Enterprises India Limited,Consumer Goods,Mid Cap,-0.522,Negative,0.286,COVID-19 Impact,10.0,28.0,6,-1.5,-27.65,43.52,-0.33,covid_crash,,,-0.28300000000000003,-0.27080000000000004,0.23785850135462192,3,5,2,2020,0,0,1114.7,-0.239,1070.95,-0.494,1073.95,-0.23,1111.6,0.066,1139.6,0.008986674930275607,1078.1,-0.04546460666696195,1125.3,-0.0036743547744477745,1184.9,0.04909469210677764,AMBER.NSE
