date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,0.255,Positive,0.206,Merger & Acquisition,8.0,15.0,5,-0.21,18.13,59.74,0.79,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1371.75,,1347.6,,1305.75,,1314.8,,APOLLOHOSP.NSE
2020-05-04,1394.65,1427.15,1355.5,1371.75,1355.4111,1532116.0,,,,1371.75,1371.75,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,-0.332,Negative,0.449,Capacity Expansion,19.0,16.0,7,1.47,69.22,50.4,-0.93,covid_crash,,,-0.587,,,0,5,2,2020,0,0,,0.255,,,,,,,1347.6,-0.017605248769819615,1305.75,-0.048113723346090764,1271.15,-0.07333697831237462,1304.2,-0.04924366684891557,APOLLOHOSP.NSE
2020-05-05,1399.0,1401.8,1334.45,1347.6,1331.5488,652241.0,,,,1358.66875,1359.2105769230768,-0.5418269230767692,-0.30101495726487176,-0.2408119658118974,,,,,,,-0.017605248769819615,,,,,,,Tuesday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,-0.195,Negative,0.142,Management Commentary,18.0,19.0,8,3.52,-11.86,50.87,-0.24,covid_crash,,,0.137,,,1,5,2,2020,0,0,1371.75,-0.332,,0.255,,,,,1305.75,-0.031055209260908212,1271.15,-0.05673048382309276,1314.8,-0.024339566636984222,1301.1,-0.0345057880676759,APOLLOHOSP.NSE
2020-05-06,1350.0,1359.0,1261.75,1305.75,1290.1972,1621448.0,,,,1338.0145496535797,1340.0027106949235,-1.9881610413438011,-0.9924682704119738,-0.9956927709318273,,,,,,,-0.031055209260908212,,,,,,,Wednesday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,-0.28,Negative,0.138,Interest Rate Policy,12.0,19.0,7,-1.85,-7.32,33.35,1.05,covid_crash,,,-0.08500000000000002,,,2,5,2,2020,0,0,1347.6,-0.195,1371.75,-0.332,,0.255,,,1271.15,-0.02649818112196045,1314.8,0.006930882634501145,1304.2,-0.0011870572467930218,1284.55,-0.016235879762588556,APOLLOHOSP.NSE
2020-05-07,1293.95,1335.0,1265.5,1271.15,1256.0094,935845.0,,,,1316.9080244252873,1320.754501619134,-3.8464771938467948,-1.9592734612774279,-1.887203732569367,,,,,,,-0.02649818112196045,,,,,,,Thursday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,0.107,Positive,0.315,Sector Rotation,12.0,13.0,7,3.39,-38.89,25.57,2.52,covid_crash,,,0.387,-0.08900000000000001,,3,5,2,2020,0,0,1305.75,-0.28,1347.6,-0.195,1371.75,-0.332,,,1314.8,0.03433898438421901,1304.2,0.026000078668921844,1301.1,0.02356134209180638,1294.4,0.018290524328363977,APOLLOHOSP.NSE
2020-05-08,1280.3,1327.5,1276.2,1314.8,1299.1394,1250585.0,1322.21,,,1316.3352817229668,1319.3736281337262,-3.038346410759459,-2.280273267763039,-0.75807314299642,,,,,,,0.03433898438421901,,,,,,,Friday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,-0.137,Negative,0.174,Inflation Concerns,12.0,18.0,6,-8.38,-17.99,52.64,-0.6,covid_crash,,,-0.244,-0.16740000000000002,,4,5,2,2020,0,0,1271.15,0.107,1305.75,-0.28,1347.6,-0.195,,0.255,1304.2,-0.008062062671128634,1301.1,-0.01041983571645877,1284.55,-0.023007301490721055,1355.3,0.030803163979312487,APOLLOHOSP.NSE
2020-05-11,1320.0,1341.75,1282.4,1304.2,1288.6657,717988.0,1308.7,,,1313.3857698294864,1316.3344714390573,-2.9487016095708896,-2.461454512289844,-0.4872470972810454,,,,,,,-0.008062062671128634,-0.04924366684891557,,,,,,Monday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,0.14,Positive,0.1,Lockdown Measures,8.0,20.0,12,-3.15,-92.73,33.34,2.07,covid_crash,,,0.277,-0.07300000000000002,,0,5,2,2020,0,0,1314.8,-0.137,1271.15,0.107,1305.75,-0.28,1371.75,-0.332,1301.1,-0.0023769360527527983,1284.55,-0.01506670756019024,1294.4,-0.0075141849409599,1266.05,-0.029251648520165707,APOLLOHOSP.NSE
2020-05-12,1296.1,1320.0,1280.95,1301.1,1285.6026,663107.0,1299.4,,,1310.6442432766653,1313.6250996670276,-2.9808563903623053,-2.5929012712487567,-0.38795511911354863,,,,,,,-0.0023769360527527983,-0.0345057880676759,,,,,,Tuesday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,0.104,Positive,0.1,Interest Rate Policy,11.0,11.0,10,-2.01,-10.78,44.24,-1.51,covid_crash,,,-0.03600000000000002,-0.013200000000000009,,1,5,2,2020,0,0,1304.2,0.14,1314.8,-0.137,1271.15,0.107,1347.6,-0.195,1284.55,-0.012720006148643437,1294.4,-0.005149488894012566,1355.3,0.041657059411267516,1274.25,-0.02063638459764805,APOLLOHOSP.NSE
2020-05-13,1334.0,1334.0,1258.0,1284.55,1269.2498,1508002.0,1295.1599999999999,,,1305.1987768981664,1308.9403806783785,-3.7416037802120172,-2.868956085508097,-0.8726476947039203,,,,,,,-0.012720006148643437,-0.016235879762588556,,,,,,Wednesday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,-0.011,Neutral,0.1,Capacity Expansion,13.0,10.0,10,-0.54,45.51,41.46,0.21,covid_crash,,,-0.11499999999999999,0.04059999999999999,,2,5,2,2020,0,0,1301.1,0.104,1304.2,0.14,1314.8,-0.137,1305.75,-0.28,1294.4,0.00766805496088141,1355.3,0.05507765365303019,1266.05,-0.014401930637188087,1288.45,0.003036082674866769,APOLLOHOSP.NSE
2020-05-14,1289.3,1310.0,1265.8,1294.4,1278.9824,907116.0,1299.81,,,1303.0623944671227,1306.785177057781,-3.7227825906584258,-3.0661942440529577,-0.656588346605468,,,,,,,0.00766805496088141,0.018290524328363977,,,,,,Thursday,May,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Healthcare,Large Cap,-0.123,Negative,0.208,Inflation Concerns,14.0,19.0,7,-6.8,0.21,40.4,-1.25,covid_crash,,,-0.112,-0.005400000000000005,0.19586832311530114,3,5,2,2020,0,0,1284.55,-0.011,1301.1,0.104,1304.2,0.14,1271.15,0.107,1355.3,0.04704882571075397,1266.05,-0.021902039555006247,1274.25,-0.015567058096415343,1280.3,-0.010893077873918577,APOLLOHOSP.NSE
