date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.554,Negative,0.562,Sector Rotation,12.0,30.0,4,-1.84,67.35,47.8,-1.35,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,517.04,,491.2,,466.64,,421.2,,AUBANK.NSE
2020-05-04,517.04,517.04,517.04,517.04,257.5508,218142.0,,,,517.04,517.04,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.39,Negative,0.369,Corporate Governance,14.0,24.0,5,-4.85,-1.74,47.07,-0.03,covid_crash,,,0.16400000000000003,,,0,5,2,2020,0,0,,-0.554,,,,,,,491.2,-0.04997679096394858,466.64,-0.09747795141575111,443.36,-0.14250348135540758,400.14,-0.2260946928670896,AUBANK.NSE
2020-05-05,491.2,507.7,491.2,491.2,244.6792,2073832.0,,,,503.0433333333333,503.6230769230769,-0.5797435897436003,-0.32207977207977795,-0.25766381766382235,,,,,,,-0.04997679096394858,,,,,,,Tuesday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.276,Negative,0.207,Economic Stimulus,15.0,20.0,3,1.96,-23.97,61.53,-0.51,covid_crash,,,0.11399999999999999,,,1,5,2,2020,0,0,517.04,-0.39,,-0.554,,,,,466.64,-0.050000000000000044,443.36,-0.0973941368078175,421.2,-0.14250814332247552,380.14,-0.226099348534202,AUBANK.NSE
2020-05-06,471.64,480.64,466.64,466.64,232.4453,2187060.0,,,,488.83510392609696,490.3354164613109,-1.5003125352139364,-0.8049620520527936,-0.6953504831611428,,,,,,,-0.050000000000000044,,,,,,,Wednesday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.371,Negative,0.15,FII/DII Activity,12.0,22.0,4,2.93,12.04,49.37,-1.29,covid_crash,,,-0.09499999999999997,,,2,5,2,2020,0,0,491.2,-0.276,517.04,-0.39,,-0.554,,,443.36,-0.04988856506086059,421.2,-0.09737699297102687,400.14,-0.14250814332247552,399.14,-0.14465112292130977,AUBANK.NSE
2020-05-07,443.36,449.7,443.36,443.36,220.8489,667800.0,,,,474.48039080459773,477.203142824679,-2.722752020081259,-1.4546199003009188,-1.2681321197803403,,,,,,,-0.04988856506086059,,,,,,,Thursday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.685,Negative,0.488,FII/DII Activity,10.0,28.0,3,-4.05,45.57,53.76,-0.53,covid_crash,,,-0.31400000000000006,-0.45520000000000005,,3,5,2,2020,0,0,466.64,-0.371,491.2,-0.276,517.04,-0.39,,,421.2,-0.049981955972573155,400.14,-0.09748285817394453,380.14,-0.14259292674124868,419.1,-0.05471851317214005,AUBANK.NSE
2020-05-08,421.2,433.7,421.2,421.2,209.8105,3648038.0,467.88800000000003,,,460.0042990458615,464.21578301313343,-4.211483967271931,-2.2747246322651655,-1.9367593350067658,,,,,,,-0.049981955972573155,,,,,,,Friday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.747,Negative,0.685,Interest Rate Policy,9.0,41.0,5,-2.54,26.34,41.78,1.3,covid_crash,,,-0.061999999999999944,-0.49380000000000007,,4,5,2,2020,0,0,443.36,-0.685,466.64,-0.371,491.2,-0.276,,-0.554,400.14,-0.050000000000000044,380.14,-0.09748338081671415,399.14,-0.052374169040835694,417.5,-0.008784425451092037,AUBANK.NSE
2020-05-11,410.6,419.0,400.14,400.14,199.3199,2826698.0,444.508,,,445.4541249286474,451.38191472571475,-5.927789797067362,-3.264908398420675,-2.6628813986466873,,,,,,,-0.050000000000000044,-0.2260946928670896,,,,,,Monday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.471,Negative,0.404,Regulatory Changes,8.0,32.0,3,-2.4,58.67,26.2,0.37,covid_crash,,,0.276,-0.51,,0,5,2,2020,0,0,421.2,-0.747,443.36,-0.685,466.64,-0.371,517.04,-0.39,380.14,-0.04998250612285704,399.14,-0.0024991253061428242,419.1,0.04738341580446859,396.96,-0.007947218473534301,AUBANK.NSE
2020-05-12,390.0,393.0,380.14,380.14,189.3574,2238796.0,422.296,,,430.8795064675057,438.7119095000424,-7.8324030325367175,-4.420819440646476,-3.411583591890242,,,,,,,-0.04998250612285704,-0.226099348534202,,,,,,Tuesday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.284,Negative,0.1,Lockdown Measures,13.0,18.0,9,-0.15,28.17,47.61,0.65,covid_crash,,,0.187,-0.5116,,1,5,2,2020,0,0,400.14,-0.471,421.2,-0.747,443.36,-0.685,491.2,-0.276,399.14,0.04998158573157263,419.1,0.10248855684747737,417.5,0.0982795812069237,385.86,0.015047087914978663,AUBANK.NSE
2020-05-13,399.14,399.14,399.14,399.14,198.8218,976588.0,408.796,,,424.2559606721192,432.33589435392093,-8.07993368180172,-5.300173402454637,-2.779760279347083,,,,,,,0.04998158573157263,-0.14465112292130977,,,,,,Wednesday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.865,Negative,0.551,Earnings Report,11.0,28.0,3,1.42,41.37,60.43,0.09,covid_crash,,,-0.581,-0.6104,,2,5,2,2020,0,0,380.14,-0.284,400.14,-0.471,421.2,-0.747,466.64,-0.371,419.1,0.050007516159743526,417.5,0.04599889762990439,396.96,-0.005461742746905918,401.7,0.006413789647742751,AUBANK.NSE
2020-05-14,419.1,419.1,407.04,419.1,208.7644,1726814.0,403.94399999999996,,,423.2359281351994,430.3740442439145,-7.13811610871511,-5.72474728568159,-1.4133688230335197,,,,,,,0.050007516159743526,-0.05471851317214005,,,,,,Thursday,May,Q2,AUBANK.NSE,AU Small Finance Bank Limited,Banking,Mid Cap,-0.22,Negative,0.371,Merger & Acquisition,13.0,16.0,6,0.51,24.78,38.38,-1.66,covid_crash,,,0.645,-0.5174000000000001,0.21967453197856143,3,5,2,2020,0,0,399.14,-0.865,380.14,-0.284,400.14,-0.471,443.36,-0.685,417.5,-0.0038177046051062202,396.96,-0.05282748747315691,385.86,-0.07931281317108085,420.9,0.0042949176807443035,AUBANK.NSE
