date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,-0.066,Neutral,0.216,Regulatory Changes,10.0,19.0,8,0.55,1.03,59.11,-0.83,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,653.6,,635.0,,658.35,,652.5,,AUROPHARMA.NSE
2020-05-04,611.0,681.6,603.0,653.6,633.9914,16904893.0,,,,653.6,653.6,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,-0.308,Negative,0.1,Global Markets,11.0,20.0,5,-0.27,-24.79,40.53,0.33,covid_crash,,,-0.242,,,0,5,2,2020,0,0,,-0.066,,,,,,,635.0,-0.02845777233782132,658.35,0.007267441860465018,649.0,-0.007037943696450499,664.5,0.016676866585067174,AUROPHARMA.NSE
2020-05-05,663.95,668.45,627.55,635.0,615.9494,6453306.0,,,,643.525,643.9423076923076,-0.4173076923076451,-0.2318376068375806,-0.1854700854700645,,,,,,,-0.02845777233782132,,,,,,,Tuesday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,0.245,Positive,0.351,Interest Rate Policy,12.0,13.0,6,1.65,-27.37,40.39,-1.69,covid_crash,,,0.5529999999999999,,,1,5,2,2020,0,0,653.6,-0.308,,-0.066,,,,,658.35,0.03677165354330714,649.0,0.022047244094488105,652.5,0.027559055118110187,690.55,0.0874803149606298,AUROPHARMA.NSE
2020-05-06,633.7,667.8,626.55,658.35,638.5989,9906148.0,,,,649.3112009237875,649.1188516510596,0.19234927272793811,-0.05799052504843359,0.2503397977763717,,,,,,,0.03677165354330714,,,,,,,Wednesday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,0.017,Neutral,0.1,Sector Rotation,14.0,18.0,4,3.17,-32.34,31.77,1.17,covid_crash,,,-0.22799999999999998,,,2,5,2,2020,0,0,635.0,0.245,653.6,-0.308,,-0.066,,,649.0,-0.014202172096908994,652.5,-0.008885850991114164,664.5,0.009341535657325206,676.0,0.026809447862079505,AUROPHARMA.NSE
2020-05-07,657.95,671.9,646.0,649.0,629.5294,6622327.0,,,,649.212966954023,649.0856259231905,0.12734103083255377,0.004791167323174587,0.12254986350937919,,,,,,,-0.014202172096908994,,,,,,,Thursday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,-0.07,Neutral,0.1,Technical Factors,10.0,10.0,4,-1.58,-33.46,63.93,-0.25,covid_crash,,,-0.08700000000000001,-0.0364,,3,5,2,2020,0,0,658.35,0.017,635.0,0.245,653.6,-0.308,,,652.5,0.005392912172573094,664.5,0.023882896764252592,690.55,0.06402157164869027,664.15,0.023343605546995327,AUROPHARMA.NSE
2020-05-08,658.95,664.4,639.6,652.5,632.9244,4931319.0,649.6899999999999,,,650.1060420848356,649.8774333545263,0.2286087303093609,0.07137183218103581,0.1572368981283251,,,,,,,0.005392912172573094,,,,,,,Friday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,-0.207,Negative,0.343,Vaccine Rollout,11.0,26.0,10,0.68,-7.89,50.46,1.26,covid_crash,,,-0.13699999999999998,-0.0646,,4,5,2,2020,0,0,649.0,-0.07,658.35,0.017,635.0,0.245,,-0.066,664.5,0.01839080459770126,690.55,0.058314176245210625,676.0,0.03601532567049803,664.55,0.018467432950191487,AUROPHARMA.NSE
2020-05-11,651.0,673.5,647.25,664.5,644.5644,6407293.0,651.8700000000001,,,653.6045311215325,652.8062168282069,0.7983142933256886,0.26841365637021436,0.5299006369554742,,,,,,,0.01839080459770126,0.016676866585067174,,,,,,Monday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,0.179,Positive,0.129,Management Commentary,13.0,16.0,5,-4.88,-13.19,27.86,-0.32,covid_crash,,,0.386,0.032799999999999996,,0,5,2,2020,0,0,652.5,-0.207,649.0,-0.07,658.35,0.017,653.6,-0.308,690.55,0.039202407825432495,676.0,0.017306245297215916,664.15,-0.0005267118133935877,669.0,0.006772009029345272,AUROPHARMA.NSE
2020-05-12,663.95,695.0,659.0,690.55,669.8329,10921194.0,662.98,,,661.8487832394304,659.518753006725,2.3300302327054396,0.7901538129151017,1.539876419790338,,,,,,,0.039202407825432495,0.0874803149606298,,,,,,Tuesday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,0.334,Positive,0.186,Regulatory Changes,10.0,24.0,3,0.21,31.14,58.65,1.25,covid_crash,,,0.15500000000000003,0.0506,,1,5,2,2020,0,0,664.5,0.179,652.5,-0.207,649.0,-0.07,635.0,0.245,676.0,-0.02107016146549845,664.15,-0.03823039606111067,664.55,-0.03765114763594235,662.1,-0.04119904424009835,AUROPHARMA.NSE
2020-05-13,700.0,701.0,668.45,676.0,655.7194,6084261.0,666.51,,,664.8019240631553,662.1742902750485,2.6276337881067775,1.2317348047722536,1.395898983334524,,,,,,,-0.02107016146549845,0.026809447862079505,,,,,,Wednesday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,0.392,Positive,0.198,Management Commentary,12.0,19.0,4,4.65,15.52,47.88,0.47,covid_crash,,,0.057999999999999996,0.1256,,2,5,2,2020,0,0,690.55,0.334,664.5,0.179,652.5,-0.207,658.35,0.017,664.15,-0.017529585798816583,664.55,-0.01693786982248524,669.0,-0.010355029585798814,707.2,0.04615384615384621,AUROPHARMA.NSE
2020-05-14,675.0,681.9,655.35,664.15,644.2249,6900202.0,669.5400000000001,,,664.672950279547,662.4671338289176,2.2058164506294133,1.4567524974092216,0.7490639532201917,,,,,,,-0.017529585798816583,0.023343605546995327,,,,,,Thursday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,0.178,Positive,0.31,Economic Stimulus,11.0,14.0,9,-2.31,18.22,57.12,0.03,covid_crash,,,-0.21400000000000002,0.17520000000000002,0.23287202016940073,3,5,2,2020,0,0,676.0,0.392,690.55,0.334,664.5,0.179,649.0,-0.07,664.55,0.0006022735827748704,669.0,0.007302567191146636,662.1,-0.003086652111721655,724.0,0.09011518482270575,AUROPHARMA.NSE
2020-05-15,664.8,675.3,657.3,664.55,644.6129,4186937.0,671.9499999999999,660.8199999999999,,664.6496512493568,662.7545490886406,1.895102160716192,1.5549682681530166,0.3401338925631754,,,,,,,0.0006022735827748704,0.018467432950191487,,7931788.0,0.5278679914289187,,,Friday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,-0.03,Neutral,0.1,Merger & Acquisition,18.0,15.0,3,2.7,-16.44,51.29,-0.38,covid_crash,,,-0.208,0.21060000000000004,0.23081546260547145,4,5,2,2020,0,0,664.15,0.178,676.0,0.392,690.55,0.334,652.5,-0.207,669.0,0.00669626062749229,662.1,-0.0036867052892933794,707.2,0.06417876758708907,727.95,0.09540290422090147,AUROPHARMA.NSE
2020-05-18,665.0,682.45,654.6,669.0,648.9294,5621992.0,672.85,662.3599999999999,,665.4456601764073,663.5645860504055,1.8810741260017494,1.6263183665022938,0.2547557594994556,,,,,,,0.00669626062749229,0.006772009029345272,0.023561811505507846,6803497.9,0.8263384633366315,0.02356487295483303,,Monday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,0.144,Positive,0.147,Merger & Acquisition,8.0,14.0,4,-0.79,32.7,59.42,0.09,covid_crash,,,0.174,0.2036,0.188246764764881,0,5,2,2020,0,0,664.55,-0.03,664.15,0.178,676.0,0.392,664.5,0.179,662.1,-0.01031390134529142,707.2,0.057100149476831064,724.0,0.08221225710014957,,,AUROPHARMA.NSE
2020-05-19,673.95,679.8,655.7,662.1,642.2364,4452884.0,667.1600000000001,665.0699999999999,,664.8508127803746,663.3846385774926,1.4661742028819162,1.5919261163435345,-0.1257519134616183,,,,,,,-0.01031390134529142,-0.04119904424009835,0.04267716535433075,6603455.7,0.6743263228070114,0.021519321483629922,,Tuesday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,-0.225,Negative,0.226,Management Commentary,16.0,18.0,5,2.13,-47.67,53.57,-0.17,covid_crash,,,-0.369,0.09179999999999999,0.21043594961148843,1,5,2,2020,0,0,669.0,0.144,664.55,-0.03,664.15,0.178,690.55,0.334,707.2,0.06811659870110254,724.0,0.09349040930373054,727.95,0.09945627548708647,717.0,0.08291798821930207,AUROPHARMA.NSE
2020-05-20,663.0,712.0,658.1,707.2,685.9834,8783424.0,673.4,669.955,,672.2042405054306,668.5176002650066,3.6866402404239125,2.0352404017370804,1.651399838686832,,,,,,,0.06811659870110254,0.04615384615384621,0.07420065314802171,6491183.3,1.3531314082595696,0.02805101358734366,,Wednesday,May,Q2,AUROPHARMA.NSE,Aurobindo Pharma Limited,Pharmaceuticals,Mid Cap,-0.107,Negative,0.1,Earnings Report,9.0,12.0,5,-1.52,20.89,49.87,-0.32,covid_crash,,,0.11800000000000001,-0.008000000000000004,0.2175187348253019,2,5,2,2020,0,0,662.1,-0.225,669.0,0.144,664.55,-0.03,676.0,0.392,724.0,0.0237556561085972,727.95,0.029341063348416352,,,714.0,0.009615384615384581,AUROPHARMA.NSE
