date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.696,Negative,0.513,Global Markets,11.0,29.0,9,1.64,-44.57,40.06,-0.07,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,402.8,,389.0,,388.85,,382.05,,AXISBANK.NSE
2020-05-04,424.0,424.0,399.7,402.8,401.468,37853978.0,,,,402.8,402.8,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.597,Negative,0.461,Corporate Governance,10.0,27.0,8,-3.29,-15.08,31.33,-0.89,covid_crash,,,0.09899999999999998,,,0,5,2,2020,0,0,,-0.696,,,,,,,389.0,-0.03426017874875875,388.85,-0.03463257199602776,397.35,-0.013530287984111156,379.55,-0.05772095332671301,AXISBANK.NSE
2020-05-05,414.0,418.75,386.5,389.0,387.7136,50981056.0,,,,395.32499999999993,395.6346153846154,-0.30961538461548344,-0.1720085470086019,-0.13760683760688153,,,,,,,-0.03426017874875875,,,,,,,Tuesday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.351,Negative,0.29,Management Commentary,12.0,22.0,6,0.37,84.11,50.05,-0.98,covid_crash,,,0.246,,,1,5,2,2020,0,0,402.8,-0.597,,-0.696,,,,,388.85,-0.0003856041131105048,397.35,0.021465295629820025,382.05,-0.017866323907455017,386.85,-0.0055269922879176425,AXISBANK.NSE
2020-05-06,385.0,394.45,368.05,388.85,387.5641,67511628.0,,,,392.7978060046189,393.1969689502218,-0.3991629456028818,-0.26510461200625757,-0.13405833359662422,,,,,,,-0.0003856041131105048,,,,,,,Wednesday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.613,Negative,0.376,Capacity Expansion,13.0,24.0,6,-4.48,-41.62,48.23,-0.87,covid_crash,,,-0.262,,,2,5,2,2020,0,0,389.0,-0.351,402.8,-0.597,,-0.696,,,397.35,0.021859328790021948,382.05,-0.017487463032017536,379.55,-0.023916677382023965,414.0,0.06467789636106458,AXISBANK.NSE
2020-05-07,387.0,402.25,382.7,397.35,396.036,41339309.0,,,,394.2347557471264,394.3579749460289,-0.12321919890246136,-0.2170404476757033,0.09382124877324194,,,,,,,0.021859328790021948,,,,,,,Thursday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.408,Negative,0.348,Sector Rotation,11.0,20.0,7,3.71,-73.48,34.62,-1.69,covid_crash,,,0.20500000000000002,-0.533,,3,5,2,2020,0,0,388.85,-0.613,389.0,-0.351,402.8,-0.597,,,382.05,-0.03850509626274068,379.55,-0.04479677865861331,386.85,-0.026425066062665148,401.95,0.011576695608405574,AXISBANK.NSE
2020-05-08,403.5,409.45,379.65,382.05,380.7866,33505509.0,392.01000000000005,,,390.92420115866474,391.50370479058466,-0.5795036319199198,-0.3248650503185569,-0.25463858160136293,,,,,,,-0.03850509626274068,,,,,,,Friday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.788,Negative,0.485,Regulatory Changes,13.0,29.0,14,3.59,-19.07,37.04,-0.03,covid_crash,,,-0.38000000000000006,-0.5513999999999999,,4,5,2,2020,0,0,397.35,-0.408,388.85,-0.613,389.0,-0.351,,-0.696,379.55,-0.006543646119617885,386.85,0.012563800549666215,414.0,0.08362779740871606,388.55,0.017013479911006435,AXISBANK.NSE
2020-05-11,391.0,393.5,376.85,379.55,378.2948,30141935.0,387.36,,,388.15967188260976,389.10947306035973,-0.9498011777499755,-0.49425748662900737,-0.45554369112096815,,,,,,,-0.006543646119617885,-0.05772095332671301,,,,,,Monday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.38,Negative,0.211,Technical Factors,8.0,28.0,11,-1.22,-55.43,45.86,-0.95,covid_crash,,,0.40800000000000003,-0.508,,0,5,2,2020,0,0,382.05,-0.788,397.35,-0.408,388.85,-0.613,402.8,-0.597,386.85,0.019233302595178525,414.0,0.09076538005532875,401.95,0.05901725727835583,358.8,-0.05467000395204846,AXISBANK.NSE
2020-05-12,376.3,391.8,370.0,386.85,385.5707,38411107.0,386.93,,,387.86742318419766,388.70763748937264,-0.8402143051749817,-0.5818099281149057,-0.258404377060076,,,,,,,0.019233302595178525,-0.0055269922879176425,,,,,,Tuesday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.484,Negative,0.269,FII/DII Activity,12.0,23.0,6,1.88,64.56,54.95,-1.49,covid_crash,,,-0.10399999999999998,-0.5346,,1,5,2,2020,0,0,379.55,-0.38,382.05,-0.788,397.35,-0.408,389.0,-0.351,414.0,0.07018224117875138,401.95,0.0390332170091765,388.55,0.004394468140106023,354.5,-0.08362414372495808,AXISBANK.NSE
2020-05-13,411.0,416.45,399.6,414.0,412.6309,48206058.0,391.96,,,393.32088918147537,392.7828637922322,0.5380253892431597,-0.3126924428459522,0.8507178320891119,,,,,,,0.07018224117875138,0.06467789636106458,,,,,,Wednesday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,0.035,Neutral,0.111,Sector Rotation,11.0,12.0,9,-0.92,-11.91,39.9,-0.41,covid_crash,,,0.519,-0.40499999999999997,,2,5,2,2020,0,0,386.85,-0.484,379.55,-0.38,382.05,-0.788,388.85,-0.613,401.95,-0.02910628019323669,388.55,-0.061473429951690806,358.8,-0.1333333333333333,362.5,-0.12439613526570048,AXISBANK.NSE
2020-05-14,405.05,411.0,397.65,401.95,400.6208,31604212.0,392.88,,,395.0280344370974,394.1416346237873,0.8863998133101063,-0.03569618294654456,0.9220959962566508,,,,,,,-0.02910628019323669,0.011576695608405574,,,,,,Thursday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.785,Negative,0.629,Lockdown Measures,13.0,28.0,10,-1.44,-34.25,56.49,-1.95,covid_crash,,,-0.8200000000000001,-0.48040000000000005,0.24852008637800957,3,5,2,2020,0,0,414.0,0.035,386.85,-0.484,379.55,-0.38,397.35,-0.408,388.55,-0.033337479786042956,358.8,-0.10735166065431023,354.5,-0.1180495086453539,357.2,-0.11133225525562884,AXISBANK.NSE
2020-05-15,402.75,403.9,386.8,388.55,387.2651,25435025.0,394.17999999999995,393.095,,393.80044942891925,393.37004346733926,0.4304059615799929,0.06873775461975722,0.36166820696023566,,,,,,,-0.033337479786042956,0.017013479911006435,,40498981.7,0.6280410996111538,,,Friday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.393,Negative,0.223,Vaccine Rollout,7.0,24.0,10,1.34,-81.5,70.2,-0.63,covid_crash,,,0.392,-0.40140000000000003,0.24124040568141425,4,5,2,2020,0,0,401.95,-0.785,414.0,0.035,386.85,-0.484,382.05,-0.788,358.8,-0.07656672242954576,354.5,-0.08763350920087509,362.5,-0.0670441384635182,336.95,-0.13280144125595172,AXISBANK.NSE
2020-05-18,389.0,389.0,352.3,358.8,357.6135,47864748.0,390.03000000000003,388.695,,387.39621110387026,388.88629787781986,-1.4900867739495993,-0.27232414520750875,-1.2177626287420906,,,,,,,-0.07656672242954576,-0.05467000395204846,-0.10923535253227412,41500058.7,1.1533657902994725,0.04101432017960982,,Monday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.766,Negative,0.59,Earnings Report,12.0,32.0,9,-3.05,33.78,49.09,0.03,covid_crash,,,-0.373,-0.4786,0.2560902835590084,0,5,2,2020,0,0,388.55,-0.393,401.95,-0.785,414.0,0.035,379.55,-0.38,354.5,-0.011984392419175038,362.5,0.010312151616499454,357.2,-0.004459308807134965,,,AXISBANK.NSE
2020-05-19,368.8,372.5,350.1,354.5,353.3277,42889678.0,383.56000000000006,385.245,,381.5473727632437,384.6613993788688,-3.1140266156251073,-0.8826026594532168,-2.2314239561718905,,,,,,,-0.011984392419175038,-0.08362414372495808,-0.08868894601542421,40690920.9,1.0540355698855663,0.04019180822171537,,Tuesday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.27,Negative,0.29,Regulatory Changes,13.0,13.0,11,0.78,43.55,54.26,-0.81,covid_crash,,,0.496,-0.4358000000000001,0.2622970326430197,1,5,2,2020,0,0,358.8,-0.766,388.55,-0.393,401.95,-0.785,386.85,-0.484,362.5,0.02256699576868826,357.2,0.007616361071932198,336.95,-0.049506346967559955,341.3,-0.03723554301833565,AXISBANK.NSE
2020-05-20,353.0,366.3,350.0,362.5,361.3012,30720803.0,373.26000000000005,382.61,,378.24002525170033,382.06519543896485,-3.8251701872645185,-1.5053521820815683,-2.3198180051829502,,,,,,,0.02256699576868826,-0.12439613526570048,-0.06776391924906777,37011838.4,0.8300264004178728,0.04134646860588022,,Wednesday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.113,Negative,0.234,Vaccine Rollout,11.0,18.0,10,-0.7,11.47,32.25,1.82,covid_crash,,,0.15700000000000003,-0.4654,0.28213424700545187,2,5,2,2020,0,0,354.5,-0.27,358.8,-0.766,388.55,-0.393,414.0,0.035,357.2,-0.014620689655172492,336.95,-0.07048275862068965,,,387.0,0.06758620689655181,AXISBANK.NSE
2020-05-21,363.0,369.0,355.7,357.2,356.0188,24794914.0,364.31,378.595,,374.65758072164016,379.2725380762837,-4.614957354643536,-2.1558839043069185,-2.459073450336618,,,,,,34.54237288135593,-0.014620689655172492,-0.11133225525562884,-0.1010444192777149,35357398.9,0.7012652166559684,0.040186793218368606,,Thursday,May,Q2,AXISBANK.NSE,Axis Bank Limited,Banking,Large Cap,-0.156,Negative,0.389,Lockdown Measures,12.0,29.0,7,3.43,35.09,50.89,-0.74,covid_crash,,,-0.043,-0.3396,0.2957589108265942,3,5,2,2020,0,0,362.5,-0.113,354.5,-0.27,358.8,-0.766,401.95,-0.785,336.95,-0.05669092945128784,,,341.3,-0.04451287793952963,390.95,0.09448488241881292,AXISBANK.NSE
