date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.505,Negative,0.341,Regulatory Changes,14.0,20.0,9,0.45,-38.35,49.93,-0.36,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,2433.0,,2416.95,,2475.0,,2422.65,,BAJAJ-AUTO.NSE
2020-05-04,2550.0,2554.95,2415.4,2433.0,2181.4045,574562.0,,,,2433.0,2433.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.543,Negative,0.52,Lockdown Measures,9.0,25.0,9,-0.68,-0.26,55.3,-1.15,covid_crash,,,-0.038000000000000034,,,0,5,2,2020,0,0,,-0.505,,,,,,,2416.95,-0.006596794081381141,2475.0,0.01726263871763245,2405.85,-0.011159062885326754,2560.6,0.05244554048499794,BAJAJ-AUTO.NSE
2020-05-05,2475.0,2488.9,2400.8,2416.95,2167.0142,663761.0,,,,2424.3062499999996,2424.666346153846,-0.3600961538463707,-0.20005341880353927,-0.16004273504283145,,,,,,,-0.006596794081381141,,,,,,,Tuesday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.424,Negative,0.302,Technical Factors,13.0,20.0,7,1.05,-6.3,42.78,-0.88,covid_crash,,,0.11900000000000005,,,1,5,2,2020,0,0,2433.0,-0.543,,-0.505,,,,,2475.0,0.02401787376652398,2405.85,-0.004592565009619576,2422.65,0.0023583441941290584,2654.0,0.09807815635408268,BAJAJ-AUTO.NSE
2020-05-06,2425.0,2495.0,2361.3,2475.0,2219.0613,778603.0,,,,2444.0920323325636,2442.7507392804337,1.3412930521299131,0.4316459545298428,0.9096470976000703,,,,,,,0.02401787376652398,,,,,,,Wednesday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.176,Negative,0.307,Lockdown Measures,10.0,12.0,13,1.79,-0.2,35.75,1.25,covid_crash,,,0.248,,,2,5,2,2020,0,0,2416.95,-0.424,2433.0,-0.543,,-0.505,,,2405.85,-0.02793939393939393,2422.65,-0.021151515151515143,2560.6,0.0345858585858585,2680.05,0.08284848484848495,BAJAJ-AUTO.NSE
2020-05-07,2470.0,2485.75,2400.0,2405.85,2157.0621,422146.0,,,,2432.020517241379,2432.4349051244176,-0.41438788303867113,0.1450491260852243,-0.5594370091238954,,,,,,,-0.02793939393939393,,,,,,,Thursday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.791,Negative,0.679,COVID-19 Impact,14.0,30.0,8,-0.04,64.39,29.5,-0.29,covid_crash,,,-0.615,-0.4878,,3,5,2,2020,0,0,2475.0,-0.176,2416.95,-0.424,2433.0,-0.543,,,2422.65,0.006982978988715027,2560.6,0.06432238086331243,2654.0,0.10314441881247793,2697.05,0.12103830247106018,BAJAJ-AUTO.NSE
2020-05-08,2446.05,2450.0,2401.05,2422.65,2172.1248,455836.0,2430.69,,,2429.474581196906,2430.165745267256,-0.6911640703501689,-0.10370539451073985,-0.5874586758394291,,,,,,,0.006982978988715027,,,,,,,Friday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.693,Negative,0.622,Corporate Governance,11.0,40.0,9,-0.78,-5.53,37.09,-0.72,covid_crash,,,0.09800000000000009,-0.5254000000000001,,4,5,2,2020,0,0,2405.85,-0.791,2475.0,-0.176,2416.95,-0.424,,-0.505,2560.6,0.05694177863083816,2654.0,0.0954946030173569,2680.05,0.10624729118940013,2660.0,0.09797122985160867,BAJAJ-AUTO.NSE
2020-05-11,2430.0,2624.95,2428.0,2560.6,2295.8095,1627649.0,2456.21,,,2461.3449564487064,2456.2906861839288,5.054270264777642,1.2943927870554144,3.759877477722228,,,,,,,0.05694177863083816,0.05244554048499794,,,,,,Monday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.786,Negative,0.597,Merger & Acquisition,9.0,32.0,13,-4.45,23.11,38.29,-1.61,covid_crash,,,-0.09300000000000008,-0.5740000000000001,,0,5,2,2020,0,0,2422.65,-0.693,2405.85,-0.791,2475.0,-0.176,2433.0,-0.543,2654.0,0.03647582597828647,2680.05,0.04664922283839745,2697.05,0.05328829180660799,2477.5,-0.032453331250488104,BAJAJ-AUTO.NSE
2020-05-12,2531.0,2655.9,2494.25,2654.0,2379.551,1335103.0,2503.62,,,2504.335255368614,2491.452262748203,12.882992620411187,4.227158249166231,8.655834371244957,,,,,,,0.03647582597828647,0.09807815635408268,,,,,,Tuesday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.15,Negative,0.213,Vaccine Rollout,11.0,8.0,7,1.01,59.59,28.48,-0.58,covid_crash,,,0.636,-0.5192,,1,5,2,2020,0,0,2560.6,-0.786,2422.65,-0.693,2405.85,-0.791,2416.95,-0.424,2680.05,0.00981537302185398,2697.05,0.01622079879427285,2660.0,0.0022607385079125297,2510.0,-0.054257724189902046,BAJAJ-AUTO.NSE
2020-05-13,2774.0,2774.0,2671.35,2680.05,2402.9072,1257856.0,2544.63,,,2541.004214263175,2521.840031355639,19.164182907536087,7.816806165383467,11.34737674215262,,,,,,,0.00981537302185398,0.08284848484848495,,,,,,Wednesday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.446,Negative,0.363,Corporate Governance,10.0,24.0,7,0.94,-3.81,37.06,-2.27,covid_crash,,,-0.29600000000000004,-0.5731999999999999,,2,5,2,2020,0,0,2654.0,-0.15,2560.6,-0.786,2422.65,-0.693,2475.0,-0.176,2697.05,0.006343165239454551,2660.0,-0.007481203708886053,2477.5,-0.07557694819126515,2556.0,-0.04628644987966646,BAJAJ-AUTO.NSE
2020-05-14,2601.5,2730.0,2601.5,2697.05,2418.1492,893108.0,2602.87,,,2571.8756248155287,2547.8099950821424,24.06562973338623,11.570365020421505,12.495264712964726,,,,,,,0.006343165239454551,0.12103830247106018,,,,,,Thursday,May,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Limited,Automobile,Large Cap,-0.592,Negative,0.529,Technical Factors,7.0,23.0,9,-0.78,20.16,47.15,-0.59,covid_crash,,,-0.14599999999999996,-0.5334,0.22338516811402975,3,5,2,2020,0,0,2680.05,-0.446,2654.0,-0.15,2560.6,-0.786,2405.85,-0.791,2660.0,-0.013737231419513996,2477.5,-0.08140375595558114,2510.0,-0.06935355295600754,2627.0,-0.025972822157542597,BAJAJ-AUTO.NSE
