date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.618,Negative,0.386,Earnings Report,7.0,25.0,6,-2.6,-38.15,38.92,-1.03,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,415.92,,400.48,,421.26,,404.82,,BAJFINANCE.NSE
2020-05-04,440.0,440.44,405.7,415.92,187.4418,73127450.0,,,,415.92,415.92,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.234,Negative,0.17,Global Markets,15.0,16.0,7,3.39,-9.0,44.05,0.24,covid_crash,,,0.384,,,0,5,2,2020,0,0,,-0.618,,,,,,,400.48,-0.03712252356222345,421.26,0.012839007501442623,412.1,-0.009184458549721053,403.02,-0.03101557991921533,BAJFINANCE.NSE
2020-05-05,426.0,427.0,399.4,400.48,180.4835,115212090.0,,,,407.5566666666666,407.90307692307687,-0.3464102564102518,-0.1924501424501399,-0.15396011396011192,,,,,,,-0.03712252356222345,,,,,,,Tuesday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.507,Negative,0.388,Corporate Governance,15.0,29.0,3,-0.04,-3.69,55.77,0.27,covid_crash,,,-0.273,,,1,5,2,2020,0,0,415.92,-0.234,,-0.618,,,,,421.26,0.05188773471833796,412.1,0.0290151817818618,404.82,0.010836995605273625,413.94,0.03360966839792234,BAJFINANCE.NSE
2020-05-06,402.0,426.38,390.48,421.26,189.8483,131496960.0,,,,412.90508083140867,412.7020896993593,0.20299113204936248,-0.030384046343786466,0.23337517839314895,,,,,,,0.05188773471833796,,,,,,,Wednesday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.281,Negative,0.1,Vaccine Rollout,13.0,23.0,11,-0.01,-41.84,52.94,-2.61,covid_crash,,,0.22599999999999998,,,2,5,2,2020,0,0,400.48,-0.507,415.92,-0.234,,-0.618,,,412.1,-0.021744290936713595,404.82,-0.03902577980344679,403.02,-0.04329867540236432,432.2,0.025969709917865513,BAJFINANCE.NSE
2020-05-07,419.8,433.98,409.68,412.1,185.7202,77702040.0,,,,412.650948275862,412.53377173048517,0.11717654537682165,0.019602603968072646,0.097573941408749,,,,,,,-0.021744290936713595,,,,,,,Thursday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.533,Negative,0.401,Vaccine Rollout,15.0,24.0,12,3.37,19.98,37.21,-0.15,covid_crash,,,-0.252,-0.4346,,3,5,2,2020,0,0,421.26,-0.281,400.48,-0.507,415.92,-0.234,,,404.82,-0.01766561514195586,403.02,-0.022033487017714237,413.94,0.004464935695219552,422.4,0.02499393351128365,BAJFINANCE.NSE
2020-05-08,426.0,426.0,403.0,404.82,182.4394,69663750.0,410.916,,,410.52330761693656,410.74491624997114,-0.22160863303457745,-0.05215228566860336,-0.1694563473659741,,,,,,,-0.01766561514195586,,,,,,,Friday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.649,Negative,0.427,Vaccine Rollout,20.0,28.0,11,0.95,39.61,46.57,-0.36,covid_crash,,,-0.11599999999999999,-0.4408,,4,5,2,2020,0,0,412.1,-0.533,421.26,-0.281,400.48,-0.507,,-0.618,403.02,-0.004446420631391779,413.94,0.022528531199051516,432.2,0.06763499827083641,417.3,0.030828516377649384,BAJFINANCE.NSE
2020-05-11,414.0,418.54,399.06,403.02,181.6282,76549900.0,408.33599999999996,,,408.69960911847403,409.1976771368237,-0.4980680183496702,-0.17302024166030547,-0.3250477766893647,,,,,,,-0.004446420631391779,-0.03101557991921533,,,,,,Monday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.225,Negative,0.223,Earnings Report,13.0,16.0,10,-2.02,-13.1,41.86,-1.65,covid_crash,,,0.42400000000000004,-0.43899999999999995,,0,5,2,2020,0,0,404.82,-0.649,412.1,-0.533,421.26,-0.281,415.92,-0.234,413.94,0.027095429507220548,432.2,0.0724033546722247,422.4,0.048086943576001184,387.72,-0.03796337650736925,BAJFINANCE.NSE
2020-05-12,397.94,416.0,395.42,413.94,186.5495,103365270.0,411.02799999999996,,,409.8689840089579,410.04107467448955,-0.1720906655316412,-0.17278499074097506,0.0006943252093338514,,,,,,,0.027095429507220548,0.03360966839792234,,,,,,Tuesday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.33,Negative,0.289,Sector Rotation,15.0,23.0,6,-1.6,32.76,43.07,0.0,covid_crash,,,-0.10500000000000001,-0.40360000000000007,,1,5,2,2020,0,0,403.02,-0.225,404.82,-0.649,412.1,-0.533,400.48,-0.507,432.2,0.04411267333429958,422.4,0.02043774460066672,417.3,0.008117118422959813,392.98,-0.05063535778132089,BAJFINANCE.NSE
2020-05-13,444.0,447.98,429.0,432.2,194.7787,94411850.0,413.216,,,414.52912285596864,413.6114266054995,0.9176962504691346,0.08927815802610042,0.8284180924430342,,,,,,,0.04411267333429958,0.025969709917865513,,,,,,Wednesday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.094,Neutral,0.281,Merger & Acquisition,13.0,17.0,8,-1.2,-26.81,43.45,-0.46,covid_crash,,,0.23600000000000002,-0.36619999999999997,,2,5,2,2020,0,0,413.94,-0.33,403.02,-0.225,404.82,-0.649,421.26,-0.281,422.4,-0.022674687644609004,417.3,-0.03447478019435446,387.72,-0.10291531698287826,408.56,-0.05469689958352608,BAJFINANCE.NSE
2020-05-14,431.8,451.8,419.36,422.4,190.3621,143075310.0,415.276,,,416.08626250298437,414.9140861175628,1.172176385421551,0.33943302084025845,0.8327433645812925,,,,,,,-0.022674687644609004,0.02499393351128365,,,,,,Thursday,May,Q2,BAJFINANCE.NSE,Bajaj Finance Limited,Financial Services,Large Cap,-0.521,Negative,0.35,Capacity Expansion,9.0,18.0,10,-2.88,-25.41,38.28,-1.5,covid_crash,,,-0.42700000000000005,-0.3638,0.1897880689377262,3,5,2,2020,0,0,432.2,-0.094,413.94,-0.33,403.02,-0.225,412.1,-0.533,417.3,-0.012073863636363535,387.72,-0.08210227272727266,392.98,-0.06964962121212115,398.04,-0.0576704545454545,BAJFINANCE.NSE
