date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.701,Negative,0.395,Management Commentary,15.0,32.0,9,-1.3,-41.02,50.95,-1.9,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,880.3,,888.45,,893.1,,893.6,,BALKRISIND.NSE
2020-05-04,900.0,900.0,868.3,880.3,846.1041,584860.0,,,,880.3,880.3,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.467,Negative,0.518,Interest Rate Policy,14.0,25.0,5,-1.16,-0.87,62.49,-0.51,covid_crash,,,0.23399999999999993,,,0,5,2,2020,0,0,,-0.701,,,,,,,888.45,0.009258207429285514,893.1,0.014540497557650855,894.3,0.01590366920368047,926.85,0.05287970010223786,BALKRISIND.NSE
2020-05-05,893.5,915.4,882.3,888.45,853.9375,680952.0,,,,884.7145833333333,884.5317307692308,0.18285256410251804,0.10158475783473224,0.0812678062677858,,,,,,,0.009258207429285514,,,,,,,Tuesday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.631,Negative,0.488,Merger & Acquisition,11.0,25.0,5,0.43,-76.4,56.66,-0.03,covid_crash,,,-0.16399999999999998,,,1,5,2,2020,0,0,880.3,-0.467,,-0.701,,,,,893.1,0.005233834205639054,894.3,0.006584501097416817,893.6,0.005796612077213048,924.65,0.040745117901964,BALKRISIND.NSE
2020-05-06,891.0,913.1,870.5,893.1,858.4069,507981.0,,,,887.9874133949191,887.6102267126663,0.3771866822528409,0.21453636620280953,0.16265031605003138,,,,,,,0.005233834205639054,,,,,,,Wednesday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.354,Negative,0.271,Regulatory Changes,8.0,21.0,7,-2.87,-26.85,53.48,0.3,covid_crash,,,0.277,,,2,5,2,2020,0,0,888.45,-0.631,880.3,-0.467,,-0.701,,,894.3,0.0013436345314072895,893.6,0.000559847721419704,926.85,0.03778972119583468,938.7,0.05105811219348344,BALKRISIND.NSE
2020-05-07,898.8,911.9,888.0,894.3,859.5603,464075.0,,,,889.9800502873562,889.4803949835244,0.499655303831787,0.3111213721746854,0.18853393165710164,,,,,,,0.0013436345314072895,,,,,,,Thursday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-1.0,Negative,0.99,Lockdown Measures,12.0,36.0,7,0.73,22.45,31.52,-0.29,covid_crash,,,-0.646,-0.6306,,3,5,2,2020,0,0,893.1,-0.354,888.45,-0.631,880.3,-0.467,,,893.6,-0.0007827351000782024,926.85,0.03639718215363974,924.65,0.03393715755339377,965.3,0.07939170300793918,BALKRISIND.NSE
2020-05-08,907.7,914.2,887.1,893.6,858.8875,428118.0,889.95,,,890.9635776866658,890.4357483785636,0.5278293081021275,0.375587083719022,0.15224222438310547,,,,,,,-0.0007827351000782024,,,,,,,Friday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.388,Negative,0.328,Interest Rate Policy,12.0,27.0,5,0.82,-27.29,46.49,0.4,covid_crash,,,0.612,-0.568,,4,5,2,2020,0,0,894.3,-1.0,893.1,-0.354,888.45,-0.631,,-0.701,926.85,0.03720904207699194,924.65,0.034747090420769844,938.7,0.050470008952551604,944.3,0.05673679498657114,BALKRISIND.NSE
2020-05-11,895.0,935.0,894.75,926.85,890.8459,957905.0,899.26,,,899.6858662864682,897.7292325486852,1.9566337377830223,0.8041386314638393,1.1524951063191828,,,,,,,0.03720904207699194,0.05287970010223786,,,,,,Monday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.689,Negative,0.676,COVID-19 Impact,16.0,34.0,4,0.38,-3.52,61.96,-0.57,covid_crash,,,-0.30099999999999993,-0.6123999999999999,,0,5,2,2020,0,0,893.6,-0.388,894.3,-1.0,893.1,-0.354,880.3,-0.467,924.65,-0.00237363111614608,938.7,0.012785240330150494,965.3,0.041484598370825854,920.6,-0.006743270216324149,BALKRISIND.NSE
2020-05-12,925.0,937.0,902.25,924.65,888.7313,926678.0,906.5,,,905.2565253818038,902.5169514863424,2.73957389546149,1.293945664067187,1.445628231394303,,,,,,,-0.00237363111614608,0.040745117901964,,,,,,Tuesday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.643,Negative,0.561,Lockdown Measures,11.0,30.0,6,-2.56,-18.51,32.58,-2.73,covid_crash,,,0.04599999999999993,-0.6148,,1,5,2,2020,0,0,926.85,-0.689,893.6,-0.388,894.3,-1.0,888.45,-0.631,938.7,0.01519493862542598,965.3,0.04396258043584056,944.3,0.02125128426972367,949.85,0.027253555399340268,BALKRISIND.NSE
2020-05-13,945.0,951.2,930.1,938.7,902.2355,439083.0,915.6200000000001,,,912.2356630667973,908.3469371572556,3.8887259095416766,1.9175201519080383,1.9712057576336384,,,,,,,0.01519493862542598,0.05105811219348344,,,,,,Wednesday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.307,Negative,0.28,COVID-19 Impact,18.0,27.0,15,-3.73,2.22,54.21,-1.54,covid_crash,,,0.336,-0.6053999999999999,,2,5,2,2020,0,0,924.65,-0.643,926.85,-0.689,893.6,-0.388,893.1,-0.354,965.3,0.028337061894108784,944.3,0.00596569724086482,920.6,-0.019281985724938777,969.15,0.0324384787472034,BALKRISIND.NSE
2020-05-14,929.55,969.3,910.0,965.3,927.8022,896734.0,929.82,,,922.7336776297548,916.7886313575527,5.945046272202035,2.847898666356067,3.0971476058459677,,,,,,,0.028337061894108784,0.07939170300793918,,,,,,Thursday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.748,Negative,0.555,Corporate Governance,12.0,30.0,3,-0.21,-27.93,42.66,-0.98,covid_crash,,,-0.441,-0.5549999999999999,0.21377963732154973,3,5,2,2020,0,0,938.7,-0.307,924.65,-0.643,926.85,-0.689,894.3,-1.0,944.3,-0.021754894851341522,920.6,-0.04630684761214121,949.85,-0.016005386926344123,976.5,0.0116026105873821,BALKRISIND.NSE
2020-05-15,969.0,981.0,941.0,944.3,907.618,768323.0,939.96,914.9549999999999,,926.8204873372857,920.584932470646,6.235554866639745,3.6069303083921573,2.628624558247588,,,,,,,-0.021754894851341522,0.05673679498657114,,665470.9,1.1545553682362368,,,Friday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.737,Negative,0.712,Economic Stimulus,8.0,24.0,6,-2.38,-49.62,60.34,0.23,covid_crash,,,0.01100000000000001,-0.6248,0.216094732312783,4,5,2,2020,0,0,965.3,-0.748,938.7,-0.307,924.65,-0.643,893.6,-0.388,920.6,-0.02509795615800059,949.85,0.0058773694800382525,969.15,0.026315789473684292,995.1,0.05379646298845708,BALKRISIND.NSE
2020-05-18,943.0,957.85,914.5,920.6,884.8387,709425.0,938.71,918.985,,925.682288141106,920.5868867339766,5.09540140712943,3.932599279767164,1.1628021273622657,,,,,,,-0.02509795615800059,-0.006743270216324149,0.045779847779166216,677927.4,1.0464616122611359,0.019510331337894524,,Monday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.335,Negative,0.245,Corporate Governance,12.0,24.0,3,-1.68,17.49,54.76,-0.48,covid_crash,,,0.40199999999999997,-0.554,0.22854992160722057,0,5,2,2020,0,0,944.3,-0.737,965.3,-0.748,938.7,-0.307,926.85,-0.689,949.85,0.031772756897675336,969.15,0.05273734520964579,976.5,0.06072126873777961,,,BALKRISIND.NSE
2020-05-19,925.5,958.5,924.0,949.85,912.9524,584204.0,943.75,925.125,,929.9792279704133,924.1823212803635,5.796906690049809,4.3329743254619935,1.4639323645878157,,,,,,,0.031772756897675336,0.027253555399340268,0.06910912262929814,668252.6,0.8742263030476799,0.021315855285919515,,Tuesday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-1.0,Negative,0.574,Interest Rate Policy,15.0,32.0,9,-2.43,0.11,28.96,-2.19,covid_crash,,,-0.665,-0.6254000000000001,0.2641415655792679,1,5,2,2020,0,0,920.6,-0.335,944.3,-0.737,965.3,-0.748,924.65,-0.643,969.15,0.0203189977364846,976.5,0.02805706164131183,995.1,0.04763910091067003,1037.6,0.09238300784334363,BALKRISIND.NSE
2020-05-20,950.45,975.0,941.45,969.15,931.5027,665802.0,949.8399999999999,932.7299999999999,,936.7807620721285,929.4502767313886,7.33048534073987,4.967351798942095,2.363133541797774,,,,,,,0.0203189977364846,0.0324384787472034,0.08515283842794763,684034.7,0.9733453580644374,0.02171425748848718,,Wednesday,May,Q2,BALKRISIND.NSE,Balkrishna Industries Limited,Automobile,Mid Cap,-0.692,Negative,0.59,Capacity Expansion,15.0,25.0,7,-0.75,3.21,36.98,-1.05,covid_crash,,,0.30800000000000005,-0.7024000000000001,0.24740270815009288,2,5,2,2020,0,0,949.85,-1.0,920.6,-0.335,944.3,-0.737,938.7,-0.307,976.5,0.007583965330444142,995.1,0.026776040860547967,,,1076.0,0.11025125109632161,BALKRISIND.NSE
