date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,-0.08,Neutral,0.1,Economic Stimulus,10.0,14.0,5,3.04,-3.16,56.05,-1.02,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,240.95,,236.25,,249.3,,240.0,,BANDHANBNK.NSE
2020-05-04,245.0,245.0,236.15,240.95,236.7458,15031861.0,,,,240.95,240.95,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,-0.983,Negative,0.704,Global Markets,13.0,31.0,5,2.29,-5.33,16.47,-1.18,covid_crash,,,-0.903,,,0,5,2,2020,0,0,,-0.08,,,,,,,236.25,-0.019506121601992055,249.3,0.03465449263332654,252.2,0.04669018468561936,239.85,-0.004565262502593925,BANDHANBNK.NSE
2020-05-05,247.95,253.0,235.5,236.25,232.1278,12058763.0,,,,238.40416666666667,238.50961538461536,-0.10544871794868982,-0.05858262108260545,-0.04686609686608437,,,,,,,-0.019506121601992055,,,,,,,Tuesday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,-0.34,Negative,0.383,Interest Rate Policy,16.0,19.0,6,5.45,9.56,55.63,0.14,covid_crash,,,0.643,,,1,5,2,2020,0,0,240.95,-0.983,,-0.08,,,,,249.3,0.05523809523809531,252.2,0.06751322751322753,240.0,0.015873015873015817,233.9,-0.009947089947089927,BANDHANBNK.NSE
2020-05-06,237.8,253.5,222.15,249.3,244.9501,15816272.0,,,,242.6568129330254,242.3864958107442,0.27031712228119886,0.07621235570583892,0.19410476657535994,,,,,,,0.05523809523809531,,,,,,,Wednesday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,-0.665,Negative,0.511,Management Commentary,11.0,32.0,9,3.67,-24.3,27.0,-4.01,covid_crash,,,-0.325,,,2,5,2,2020,0,0,236.25,-0.34,240.95,-0.983,,-0.08,,,252.2,0.011632571199358122,240.0,-0.03730445246690739,239.85,-0.03790613718411562,252.2,0.011632571199358122,BANDHANBNK.NSE
2020-05-07,247.4,263.9,244.45,252.2,247.7995,13822866.0,,,,245.669224137931,245.1299227360527,0.5393014018783049,0.23308533882659296,0.3062160630517119,,,,,,,0.011632571199358122,,,,,,,Thursday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,-0.344,Negative,0.186,Regulatory Changes,12.0,21.0,8,3.46,-25.5,49.24,-0.3,covid_crash,,,0.32100000000000006,-0.4824,,3,5,2,2020,0,0,249.3,-0.665,236.25,-0.34,240.95,-0.983,,,240.0,-0.04837430610626481,239.85,-0.04896907216494839,233.9,-0.07256145915939727,251.8,-0.0015860428231561086,BANDHANBNK.NSE
2020-05-08,261.8,262.85,234.55,240.0,235.8124,12440889.0,243.74,,,244.12891620132987,243.94027249468832,0.18864370664155672,0.21986495800048747,-0.03122125135893075,,,,,,,-0.04837430610626481,,,,,,,Friday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,-0.412,Negative,0.278,Sector Rotation,15.0,23.0,10,-2.51,-47.63,54.38,1.27,covid_crash,,,-0.068,-0.5488,,4,5,2,2020,0,0,252.2,-0.344,249.3,-0.665,236.25,-0.34,,-0.08,239.85,-0.0006249999999999867,233.9,-0.025416666666666643,252.2,0.050833333333333286,243.7,0.015416666666666634,BANDHANBNK.NSE
2020-05-11,246.95,250.85,237.5,239.85,235.665,9656465.0,243.51999999999998,,,243.08891445146185,243.12102353684534,-0.032109085383495994,0.15156598275762614,-0.18367506814112214,,,,,,,-0.0006249999999999867,-0.004565262502593925,,,,,,Monday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,0.013,Neutral,0.1,Merger & Acquisition,12.0,28.0,4,-0.76,-80.2,45.03,1.43,covid_crash,,,0.425,-0.3496,,0,5,2,2020,0,0,240.0,-0.412,252.2,-0.344,249.3,-0.665,240.95,-0.983,233.9,-0.02480717114863451,252.2,0.051490514905149,251.8,0.04982280592036692,229.6,-0.042735042735042694,BANDHANBNK.NSE
2020-05-12,238.0,238.65,229.0,233.9,229.8188,13232678.0,243.05,,,241.0384403411766,241.4811123013363,-0.4426719601597142,0.0011802122310159277,-0.44385217239073016,,,,,,,-0.02480717114863451,-0.009947089947089927,,,,,,Tuesday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,-0.154,Negative,0.138,Capacity Expansion,11.0,15.0,5,-2.16,-17.38,55.28,-0.65,covid_crash,,,-0.167,-0.3124,,1,5,2,2020,0,0,239.85,0.013,240.0,-0.412,252.2,-0.344,236.25,-0.34,252.2,0.0782385634886702,251.8,0.0765284309533989,243.7,0.041898247114151355,220.4,-0.05771697306541257,BANDHANBNK.NSE
2020-05-13,251.0,257.25,243.35,252.2,247.7995,20769565.0,243.63000000000002,,,243.36768580766932,243.20819070568223,0.1594951019870905,0.03922625735156237,0.12026884463552812,,,,,,,0.0782385634886702,0.011632571199358122,,,,,,Wednesday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,-0.61,Negative,0.58,Inflation Concerns,12.0,27.0,3,0.25,5.34,34.62,-0.72,covid_crash,,,-0.45599999999999996,-0.3014,,2,5,2,2020,0,0,233.9,-0.154,239.85,0.013,240.0,-0.412,249.3,-0.665,251.8,-0.0015860428231561086,243.7,-0.03370340999206978,229.6,-0.08961141950832674,222.1,-0.11934972244250597,BANDHANBNK.NSE
2020-05-14,246.9,255.3,243.0,251.8,247.4065,9422831.0,243.55,,,245.03589768605295,244.48168545854855,0.5542122275043937,0.15819057131543876,0.3960216561889549,,,,,,,-0.0015860428231561086,-0.0015860428231561086,,,,,,Thursday,May,Q2,BANDHANBNK.NSE,Bandhan Bank Limited,Banking,Mid Cap,-0.576,Negative,0.579,Management Commentary,8.0,21.0,6,1.3,-5.04,53.63,-1.22,covid_crash,,,0.03400000000000003,-0.3478,0.302448324328122,3,5,2,2020,0,0,252.2,-0.61,233.9,-0.154,239.85,0.013,252.2,-0.344,243.7,-0.0321683876092137,229.6,-0.08816521048451154,220.4,-0.12470214455917394,210.85,-0.16262907069102472,BANDHANBNK.NSE
