date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.214,Negative,0.222,FII/DII Activity,14.0,25.0,9,0.15,79.86,30.97,-0.4,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,45.85,,44.0,,42.3,,41.1,,BANKBARODA.NSE
2020-05-04,48.0,48.0,45.5,45.85,40.649,23189709.0,,,,45.85,45.85,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.58,Negative,0.564,Economic Stimulus,10.0,29.0,5,-0.12,-20.06,47.34,-1.24,covid_crash,,,-0.366,,,0,5,2,2020,0,0,,-0.214,,,,,,,44.0,-0.040348964013086186,42.3,-0.07742639040348975,42.5,-0.07306434023991282,41.0,-0.10577971646673945,BANKBARODA.NSE
2020-05-05,46.5,46.5,43.8,44.0,39.0088,26003403.0,,,,44.84791666666667,44.88942307692307,-0.041506410256403115,-0.02305911680911284,-0.018447293447290274,,,,,,,-0.040348964013086186,,,,,,,Tuesday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.516,Negative,0.485,Lockdown Measures,11.0,26.0,6,-3.72,29.99,40.93,-1.82,covid_crash,,,0.06399999999999995,,,1,5,2,2020,0,0,45.85,-0.58,,-0.214,,,,,42.3,-0.03863636363636369,42.5,-0.03409090909090906,41.1,-0.06590909090909092,41.05,-0.06704545454545463,BANKBARODA.NSE
2020-05-06,44.0,44.2,41.8,42.3,37.5017,33143222.0,,,,43.85346420323326,43.95906850665352,-0.1056043034202645,-0.05688911132187991,-0.04871519209838459,,,,,,,-0.03863636363636369,,,,,,,Wednesday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.57,Negative,0.375,Management Commentary,11.0,27.0,6,-5.03,31.28,58.54,-0.82,covid_crash,,,-0.05399999999999994,,,2,5,2,2020,0,0,44.0,-0.516,45.85,-0.58,,-0.214,,,42.5,0.004728132387706863,41.1,-0.028368794326241065,41.0,-0.030732860520094496,44.15,0.043735224586288535,BANKBARODA.NSE
2020-05-07,42.0,43.25,41.6,42.5,37.679,17313624.0,,,,43.42622844827587,43.551176712873534,-0.12494826459766273,-0.07994438004673858,-0.04500388455092415,,,,,,,0.004728132387706863,,,,,,,Thursday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.477,Negative,0.419,Sector Rotation,14.0,22.0,3,-0.44,48.68,51.84,0.56,covid_crash,,,0.09299999999999997,-0.47139999999999993,,3,5,2,2020,0,0,42.3,-0.57,44.0,-0.516,45.85,-0.58,,,41.1,-0.03294117647058825,41.0,-0.03529411764705881,41.05,-0.034117647058823586,43.15,0.01529411764705868,BANKBARODA.NSE
2020-05-08,43.0,43.35,41.0,41.1,36.4378,19319340.0,43.15,,,42.79420049276548,42.982738723037336,-0.18853823027185257,-0.11224859536834556,-0.07628963490350701,,,,,,,-0.03294117647058825,,,,,,,Friday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.262,Negative,0.1,COVID-19 Impact,8.0,13.0,4,2.64,27.81,50.94,0.04,covid_crash,,,0.21499999999999997,-0.481,,4,5,2,2020,0,0,42.5,-0.477,42.3,-0.57,44.0,-0.516,,-0.214,41.0,-0.0024330900243308973,41.05,-0.0012165450121655041,44.15,0.07420924574209242,41.6,0.012165450121654597,BANKBARODA.NSE
2020-05-11,41.85,41.85,40.55,41.0,36.3491,19452306.0,42.18,,,42.358115380486296,42.585611970569715,-0.22749659008341894,-0.1434872096006818,-0.08400938048273715,,,,,,,-0.0024330900243308973,-0.10577971646673945,,,,,,Monday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.305,Negative,0.363,Earnings Report,10.0,23.0,8,2.57,-19.51,44.05,-1.03,covid_crash,,,-0.04299999999999998,-0.426,,0,5,2,2020,0,0,41.1,-0.262,42.5,-0.477,42.3,-0.57,45.85,-0.58,41.05,0.0012195121951219523,44.15,0.076829268292683,43.15,0.05243902439024395,38.6,-0.0585365853658536,BANKBARODA.NSE
2020-05-12,40.6,41.55,39.35,41.05,36.3935,24650906.0,41.589999999999996,,,42.06621401007726,42.31251134200532,-0.24629733192806214,-0.16950570883725583,-0.07679162309080631,,,,,,,0.0012195121951219523,-0.06704545454545463,,,,,,Tuesday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.95,Negative,0.732,COVID-19 Impact,8.0,33.0,7,-3.2,-74.83,66.0,0.15,covid_crash,,,-0.645,-0.5128,,1,5,2,2020,0,0,41.0,-0.305,41.1,-0.262,42.5,-0.477,44.0,-0.516,44.15,0.07551766138855065,43.15,0.05115712545675999,41.6,0.013398294762484886,36.5,-0.11084043848964675,BANKBARODA.NSE
2020-05-13,44.0,45.15,42.2,44.15,39.1418,57645381.0,41.959999999999994,,,42.501068028559494,42.60857629470082,-0.10750826614132336,-0.15460655749525495,0.04709829135393159,,,,,,,0.07551766138855065,0.043735224586288535,,,,,,Wednesday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.515,Negative,0.341,Vaccine Rollout,16.0,21.0,7,-1.03,3.2,48.57,0.71,covid_crash,,,0.43499999999999994,-0.5018,,2,5,2,2020,0,0,41.05,-0.95,41.0,-0.305,41.1,-0.262,42.3,-0.57,43.15,-0.022650056625141524,41.6,-0.05775764439411091,38.6,-0.1257078142695356,36.65,-0.16987542468856176,BANKBARODA.NSE
2020-05-14,43.6,44.9,42.85,43.15,38.2553,26195162.0,42.089999999999996,,,42.629449869929275,42.68882717366667,-0.05937730373739214,-0.1326081274424246,0.07323082370503245,,,,,,,-0.022650056625141524,0.01529411764705868,,,,,,Thursday,May,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,-0.361,Negative,0.354,Vaccine Rollout,9.0,23.0,4,-0.46,-65.47,39.6,-1.39,covid_crash,,,0.15400000000000003,-0.4786,0.21196068817904262,3,5,2,2020,0,0,44.15,-0.515,41.05,-0.95,41.0,-0.305,42.5,-0.477,41.6,-0.035921205098493614,38.6,-0.10544611819235217,36.5,-0.15411355735805332,37.55,-0.12977983777520286,BANKBARODA.NSE
