date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,-0.088,Neutral,0.118,Regulatory Changes,17.0,15.0,8,-3.11,14.27,31.76,0.16,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1313.3,,1265.25,,1306.8,,1293.1,,BATAINDIA.NSE
2020-05-04,1318.0,1346.25,1306.0,1313.3,900.8296,988486.0,,,,1313.3,1313.3,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,-0.271,Negative,0.245,Capacity Expansion,10.0,21.0,4,-3.05,41.06,43.53,1.12,covid_crash,,,-0.18300000000000002,,,0,5,2,2020,0,0,,-0.088,,,,,,,1265.25,-0.036587223025965065,1306.8,-0.004949364197060824,1278.45,-0.026536206502703052,1321.0,0.005863092971902795,BATAINDIA.NSE
2020-05-05,1330.0,1341.95,1257.0,1265.25,867.8707,1112004.0,,,,1287.2729166666666,1288.3509615384614,-1.078044871794873,-0.5989138176638183,-0.4791310541310546,,,,,,,-0.036587223025965065,,,,,,,Tuesday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,-0.631,Negative,0.502,FII/DII Activity,17.0,24.0,4,-3.89,-33.53,45.52,-1.78,covid_crash,,,-0.36,,,1,5,2,2020,0,0,1313.3,-0.271,,-0.088,,,,,1306.8,0.03283935981031405,1278.45,0.010432720806164753,1293.1,0.022011460185733966,1323.75,0.04623592175459401,BATAINDIA.NSE
2020-05-06,1270.0,1318.0,1245.65,1306.8,896.371,1180399.0,,,,1294.8943418013855,1294.979521931986,-0.08518013060051999,-0.3883672246050895,0.3031870940045695,,,,,,,0.03283935981031405,,,,,,,Wednesday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,-0.24,Negative,0.1,Economic Stimulus,10.0,14.0,3,-1.48,-21.58,46.45,-0.34,covid_crash,,,0.391,,,2,5,2,2020,0,0,1265.25,-0.631,1313.3,-0.271,,-0.088,,,1278.45,-0.021694214876032958,1293.1,-0.010483624119987822,1321.0,0.010866238138965478,1384.6,0.05953474135292325,BATAINDIA.NSE
2020-05-07,1313.9,1314.0,1273.5,1278.45,876.925,677378.0,,,,1289.7035057471262,1290.358589932962,-0.6550841858359036,-0.47871849873476907,-0.17636568710113448,,,,,,,-0.021694214876032958,,,,,,,Thursday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,0.264,Positive,0.144,Earnings Report,13.0,17.0,5,-2.67,-99.67,31.22,1.59,covid_crash,,,0.504,-0.19319999999999998,,3,5,2,2020,0,0,1306.8,-0.24,1265.25,-0.631,1313.3,-0.271,,,1293.1,0.011459188861511871,1321.0,0.033282490515859076,1323.75,0.03543353279361727,1364.0,0.06691696976807848,BATAINDIA.NSE
2020-05-08,1291.85,1314.6,1286.5,1293.1,886.9738,739799.0,1291.3799999999999,,,1290.6263210966406,1290.9943342347253,-0.36801313808473424,-0.4457861567993708,0.07777301871463654,,,,,,,0.011459188861511871,,,,,,,Friday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,0.065,Neutral,0.1,FII/DII Activity,17.0,15.0,9,-0.25,9.41,39.04,0.11,covid_crash,,,-0.199,-0.1626,,4,5,2,2020,0,0,1278.45,0.264,1306.8,-0.24,1265.25,-0.631,,-0.088,1321.0,0.021576057536153437,1323.75,0.023702729873946504,1384.6,0.07076018869383649,1335.0,0.032402753074008306,BATAINDIA.NSE
2020-05-11,1320.0,1334.9,1301.3,1321.0,906.1112,1364779.0,1292.9199999999998,,,1298.008723023466,1297.0042297709049,1.004493252561133,-0.05267980288735988,1.0571730554484928,,,,,,,0.021576057536153437,0.005863092971902795,,,,,,Monday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,-0.292,Negative,0.154,Regulatory Changes,13.0,19.0,1,0.24,20.19,42.44,-1.51,covid_crash,,,-0.357,-0.1668,,0,5,2,2020,0,0,1293.1,0.065,1278.45,0.264,1306.8,-0.24,1313.3,-0.271,1323.75,0.002081756245268629,1384.6,0.04814534443603313,1364.0,0.032551097653293004,1282.25,-0.029333838001514012,BATAINDIA.NSE
2020-05-12,1310.0,1329.55,1286.05,1323.75,907.9975,614793.0,1304.62,,,1303.7527989189236,1301.760826359752,1.9919725591716997,0.4647671635882851,1.5272053955834146,,,,,,,0.002081756245268629,0.04623592175459401,,,,,,Tuesday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,0.002,Neutral,0.1,Economic Stimulus,12.0,14.0,6,-5.62,42.72,42.49,1.19,covid_crash,,,0.294,-0.04019999999999999,,1,5,2,2020,0,0,1321.0,-0.292,1293.1,0.065,1278.45,0.264,1265.25,-0.631,1384.6,0.04596789423984893,1364.0,0.030406043437204877,1335.0,0.008498583569405138,1289.25,-0.02606232294617561,BATAINDIA.NSE
2020-05-13,1350.0,1392.0,1328.2,1384.6,949.7363,1343076.0,1320.1799999999998,,,1320.6243636780528,1315.108269849226,5.516093828826797,1.6786959514640936,3.8373978773627035,,,,,,,0.04596789423984893,0.05953474135292325,,,,,,Wednesday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,-0.322,Negative,0.27,Lockdown Measures,10.0,22.0,2,0.69,34.16,51.15,-0.54,covid_crash,,,-0.324,-0.0566,,2,5,2,2020,0,0,1323.75,0.002,1321.0,-0.292,1293.1,0.065,1306.8,-0.24,1364.0,-0.014877943088256518,1335.0,-0.03582262025133609,1282.25,-0.07392026578073085,1325.0,-0.04304492272136351,BATAINDIA.NSE
2020-05-14,1370.0,1385.8,1355.2,1364.0,935.6061,714738.0,1337.29,,,1329.2056084104338,1322.3550975746439,6.850510835789919,2.873410847249306,3.977099988540613,,,,,,,-0.014877943088256518,0.06691696976807848,,,,,,Thursday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,0.069,Neutral,0.1,FII/DII Activity,12.0,19.0,6,-0.23,-31.44,64.73,-0.33,covid_crash,,,0.391,-0.09559999999999999,0.2573511220103771,3,5,2,2020,0,0,1384.6,-0.322,1323.75,0.002,1321.0,-0.292,1278.45,0.264,1335.0,-0.02126099706744866,1282.25,-0.05993401759530792,1289.25,-0.05480205278592376,1301.3,-0.04596774193548392,BATAINDIA.NSE
2020-05-15,1372.0,1372.0,1323.0,1335.0,915.7142,882864.0,1345.67,1318.525,,1330.3036433646987,1324.0999710404542,6.203672324244508,3.6195827395096636,2.584089584734844,,,,,,,-0.02126099706744866,0.032402753074008306,,961831.6,0.9178987257228812,,,Friday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,-0.512,Negative,0.431,COVID-19 Impact,12.0,28.0,6,1.58,-79.12,55.17,-1.06,covid_crash,,,-0.581,-0.211,0.28087909617247536,4,5,2,2020,0,0,1364.0,0.069,1384.6,-0.322,1323.75,0.002,1293.1,0.065,1282.25,-0.039513108614232184,1289.25,-0.034269662921348365,1325.0,-0.0074906367041198685,1274.7,-0.04516853932584264,BATAINDIA.NSE
2020-05-18,1335.0,1337.95,1273.05,1282.25,879.5315,1265790.0,1337.92,1315.42,,1321.510985284138,1318.6720165384174,2.838968745720649,3.448788858047087,-0.609820112326438,,,,,,,-0.039513108614232184,-0.029333838001514012,-0.023642732049036774,989562.0,1.2791416808648675,0.02943267211305847,,Monday,May,Q2,BATAINDIA.NSE,Bata India Limited,Consumer Goods,Mid Cap,-0.487,Negative,0.443,Corporate Governance,10.0,25.0,4,-5.31,-58.93,46.14,-1.92,covid_crash,,,0.025000000000000022,-0.25,0.2959734222302176,0,5,2,2020,0,0,1335.0,-0.512,1364.0,0.069,1384.6,-0.322,1321.0,-0.292,1289.25,0.005459153831156138,1325.0,0.03333983232598947,1301.3,0.014856697211932168,,,BATAINDIA.NSE
