date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.528,Negative,0.466,Management Commentary,11.0,24.0,4,-3.22,15.89,40.13,-1.25,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,480.0,,468.0,,465.744,,455.004,,BERGEPAINT.NSE
2020-05-04,500.004,501.996,478.752,480.0,392.3349,1443443.0,,,,480.0,480.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.233,Negative,0.105,Vaccine Rollout,16.0,17.0,4,-0.91,-38.87,60.35,0.43,covid_crash,,,0.29500000000000004,,,0,5,2,2020,0,0,,-0.528,,,,,,,468.0,-0.025000000000000022,465.744,-0.02969999999999995,450.996,-0.06042500000000006,452.544,-0.05720000000000003,BERGEPAINT.NSE
2020-05-05,482.196,489.744,464.004,468.0,382.5265,2504739.0,,,,473.5,473.7692307692308,-0.2692307692307736,-0.149572649572652,-0.11965811965812159,,,,,,,-0.025000000000000022,,,,,,,Tuesday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.209,Negative,0.1,Regulatory Changes,12.0,18.0,4,-1.05,-13.0,43.12,-0.01,covid_crash,,,0.02400000000000002,,,1,5,2,2020,0,0,480.0,-0.233,,-0.528,,,,,465.744,-0.004820512820512768,450.996,-0.03633333333333333,455.004,-0.02776923076923077,458.844,-0.01956410256410257,BERGEPAINT.NSE
2020-05-06,460.2,474.552,455.052,465.744,380.6826,1892804.0,,,,470.472831408776,470.8858432725481,-0.4130118637720557,-0.25753954063798135,-0.15547232313407433,,,,,,,-0.004820512820512768,,,,,,,Wednesday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.393,Negative,0.265,COVID-19 Impact,10.0,25.0,8,0.9,12.03,47.37,0.06,covid_crash,,,-0.18400000000000002,,,2,5,2,2020,0,0,468.0,-0.209,480.0,-0.233,,-0.528,,,450.996,-0.031665464289395095,455.004,-0.023059878388127397,452.544,-0.028341749974234887,452.604,-0.028212923837988346,BERGEPAINT.NSE
2020-05-07,465.144,471.048,440.4,450.996,368.6281,3818828.0,,,,464.3247568965518,465.3255122713328,-1.000755374781022,-0.5093064221227512,-0.4914489526582708,,,,,,,-0.031665464289395095,,,,,,,Thursday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.183,Negative,0.1,Interest Rate Policy,10.0,24.0,5,-3.01,8.26,60.55,-2.67,covid_crash,,,0.21000000000000002,-0.30920000000000003,,3,5,2,2020,0,0,465.744,-0.393,468.0,-0.209,480.0,-0.233,,,455.004,0.008886996780459233,452.544,0.0034324029481414,458.844,0.017401484713833515,459.9,0.019742968895511304,BERGEPAINT.NSE
2020-05-08,456.996,465.096,448.8,455.004,371.9041,2710139.0,463.9488,,,461.7923405599263,462.93191100351237,-1.1395704435860807,-0.6967957193215047,-0.442774724264576,,,,,,,0.008886996780459233,,,,,,,Friday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.598,Negative,0.537,Economic Stimulus,12.0,24.0,5,-7.15,10.54,46.7,-1.49,covid_crash,,,-0.415,-0.32320000000000004,,4,5,2,2020,0,0,450.996,-0.183,465.744,-0.393,468.0,-0.209,,-0.528,452.544,-0.005406545876519897,458.844,0.008439486246274663,452.604,-0.005274678903921748,450.252,-0.010443864229765065,BERGEPAINT.NSE
2020-05-11,463.896,463.896,446.652,452.544,369.8934,1537258.0,458.4576,,,459.54450725047525,460.8512952805149,-1.3067880300396268,-0.8621375504425154,-0.44465047959711146,,,,,,,-0.005406545876519897,-0.05720000000000003,,,,,,Monday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.115,Negative,0.1,Lockdown Measures,16.0,15.0,9,-2.07,32.32,29.7,-0.96,covid_crash,,,0.483,-0.2996,,0,5,2,2020,0,0,455.004,-0.598,450.996,-0.183,465.744,-0.393,480.0,-0.233,458.844,0.013921298260500592,452.604,0.00013258379295710832,459.9,0.016254773016546542,440.244,-0.02717967755621542,BERGEPAINT.NSE
2020-05-12,446.004,459.0,443.196,458.844,375.0427,1585639.0,456.6264,,,459.38819150841954,460.4943082204182,-1.1061167119986521,-0.9238821674606174,-0.18223454453803478,,,,,,,0.013921298260500592,-0.01956410256410257,,,,,,Tuesday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.285,Negative,0.286,Inflation Concerns,17.0,10.0,8,0.31,11.07,55.32,-1.06,covid_crash,,,-0.16999999999999998,-0.3148,,1,5,2,2020,0,0,452.544,-0.115,455.004,-0.598,450.996,-0.183,468.0,-0.209,452.604,-0.01359939325783932,459.9,0.002301435782095851,450.252,-0.018725318408870928,438.996,-0.04325653163166565,BERGEPAINT.NSE
2020-05-13,470.004,471.0,448.404,452.604,369.9424,1847515.0,453.99839999999995,,,457.9724353060761,459.2229840574813,-1.2505487514052334,-1.0023862905489813,-0.24816246085625204,,,,,,,-0.01359939325783932,-0.028212923837988346,,,,,,Wednesday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.492,Negative,0.366,Technical Factors,15.0,25.0,5,-4.57,40.79,41.35,-1.83,covid_crash,,,-0.20700000000000002,-0.3346,,2,5,2,2020,0,0,458.844,-0.285,452.544,-0.115,455.004,-0.598,465.744,-0.393,459.9,0.016120051965957005,450.252,-0.005196595699551887,440.244,-0.027308640666012574,446.604,-0.01325662168253039,BERGEPAINT.NSE
2020-05-14,450.0,459.9,444.096,459.9,375.9059,1907811.0,455.77919999999995,,,458.3537762102944,459.3233326826509,-0.9695564723564871,-0.9948024396769471,0.025245967320460028,,,,,,,0.016120051965957005,0.019742968895511304,,,,,,Thursday,May,Q2,BERGEPAINT.NSE,Berger Paints India Limited,Consumer Goods,Mid Cap,-0.099,Neutral,0.1,Capacity Expansion,13.0,14.0,8,0.2,44.64,54.68,-0.74,covid_crash,,,0.393,-0.31779999999999997,0.17819730014166257,3,5,2,2020,0,0,452.604,-0.492,458.844,-0.285,452.544,-0.115,450.996,-0.183,450.252,-0.020978473581213186,440.244,-0.042739726027397174,438.996,-0.04545335942596218,465.0,0.01108936725375087,BERGEPAINT.NSE
