date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.438,Negative,0.548,Earnings Report,16.0,27.0,8,-2.44,46.07,42.95,1.19,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,522.69,,518.32,,535.94,,520.28,,BHARTIARTL.NSE
2020-05-04,493.19,530.05,490.69,522.69,513.2838,34658164.0,,,,522.69,522.69,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.041,Neutral,0.1,FII/DII Activity,6.0,12.0,8,1.06,-70.27,32.15,0.41,covid_crash,,,0.397,,,0,5,2,2020,0,0,,-0.438,,,,,,,518.32,-0.008360596146855692,535.94,0.025349633626049917,518.32,-0.008360596146855692,526.32,0.006944843023589442,BHARTIARTL.NSE
2020-05-05,528.09,543.5,516.36,518.32,508.9924,30498970.0,,,,520.3229166666666,520.4209615384616,-0.09804487179496846,-0.05446937321942692,-0.043575498575541535,,,,,,,-0.008360596146855692,,,,,,,Tuesday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.247,Negative,0.113,Inflation Concerns,15.0,13.0,6,-2.37,39.58,35.39,0.83,covid_crash,,,-0.206,,,1,5,2,2020,0,0,522.69,-0.041,,-0.438,,,,,535.94,0.03399444358697323,518.32,0.0,520.28,0.0037814477542830183,549.53,0.06021376755672159,BHARTIARTL.NSE
2020-05-06,521.95,541.29,520.28,535.94,526.2953,26074684.0,,,,526.4182678983834,525.9968013799902,0.4214665183932311,0.1405863200644493,0.28088019832878186,,,,,,,0.03399444358697323,,,,,,,Wednesday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.172,Negative,0.339,Sector Rotation,14.0,16.0,5,-1.33,40.59,43.93,1.63,covid_crash,,,0.07500000000000001,,,2,5,2,2020,0,0,518.32,-0.247,522.69,-0.041,,-0.438,,,518.32,-0.03287681456879499,520.28,-0.029219688771131236,526.32,-0.017949770496697437,545.7,0.018210993767959094,BHARTIARTL.NSE
2020-05-07,535.3,535.3,514.78,518.32,508.9924,15823732.0,,,,523.8619612068967,523.8507031871378,0.011258019758884075,0.09677592023194076,-0.08551790047305668,,,,,,,-0.03287681456879499,,,,,,,Thursday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.205,Negative,0.268,Sector Rotation,14.0,21.0,7,0.18,-15.12,36.13,-0.88,covid_crash,,,-0.033,-0.2206,,3,5,2,2020,0,0,535.94,-0.172,518.32,-0.247,522.69,-0.041,,,520.28,0.0037814477542830183,526.32,0.015434480629726854,549.53,0.06021376755672159,529.9,0.022341410711529397,BHARTIARTL.NSE
2020-05-08,530.05,535.74,518.56,520.28,510.9171,13847608.0,523.11,,,522.8887551488286,523.0226423903221,-0.1338872414934258,0.028158844516398603,-0.1620460860098244,,,,,,,0.0037814477542830183,,,,,,,Friday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.335,Negative,0.352,Inflation Concerns,11.0,23.0,6,-2.64,-34.63,43.65,0.14,covid_crash,,,-0.13000000000000003,-0.2,,4,5,2,2020,0,0,518.32,-0.205,535.94,-0.172,518.32,-0.247,,-0.438,526.32,0.011609133543476702,549.53,0.05621972783885609,545.7,0.04885830706542649,543.89,0.04537941108633814,BHARTIARTL.NSE
2020-05-11,523.23,538.39,522.29,526.32,516.8484,14490804.0,523.836,,,523.722728164784,523.6830768207598,0.03965134402426429,0.0312739508536421,0.008377393170622187,,,,,,,0.011609133543476702,0.006944843023589442,,,,,,Monday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,0.309,Positive,0.297,FII/DII Activity,12.0,24.0,5,2.42,-32.26,47.33,0.74,covid_crash,,,0.644,-0.13,,0,5,2,2020,0,0,520.28,-0.335,518.32,-0.205,535.94,-0.172,522.69,-0.041,549.53,0.04409864721082224,545.7,0.036821705426356655,529.9,0.006801945584435254,528.13,0.0034389724882200046,BHARTIARTL.NSE
2020-05-12,523.18,553.61,520.72,549.53,539.6407,23041211.0,530.078,,,529.4815305820582,528.2798181212897,1.2017124607684764,0.3274807132549521,0.8742317475135243,,,,,,,0.04409864721082224,0.06021376755672159,,,,,,Tuesday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,0.1,Positive,0.119,Earnings Report,9.0,15.0,8,-0.09,53.1,60.77,1.5,covid_crash,,,-0.209,-0.06060000000000001,,1,5,2,2020,0,0,526.32,0.309,520.28,-0.335,518.32,-0.205,518.32,-0.247,545.7,-0.006969592196968133,529.9,-0.03572143468054523,543.89,-0.010263315924517236,587.76,0.0695685403890598,BHARTIARTL.NSE
2020-05-13,557.92,559.25,539.18,545.7,535.8797,21509772.0,532.03,,,532.8660751725921,531.0866410648914,1.7794341077006948,0.6764124179298985,1.1030216897707963,,,,,,,-0.006969592196968133,0.018210993767959094,,,,,,Wednesday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.062,Neutral,0.123,Inflation Concerns,12.0,6.0,6,1.22,-38.5,62.34,0.54,covid_crash,,,-0.162,-0.0386,,2,5,2,2020,0,0,549.53,0.1,526.32,0.309,520.28,-0.335,535.94,-0.172,529.9,-0.02895363752977842,543.89,-0.0033168407549937218,528.13,-0.03219717793659527,583.1,0.06853582554517135,BHARTIARTL.NSE
2020-05-14,540.94,552.13,525.24,529.9,520.364,13428330.0,534.3459999999999,,,532.2792799320166,530.910754808818,1.3685251231986513,0.8362938864358169,0.5322312367628343,,,,,,,-0.02895363752977842,0.022341410711529397,,,,,,Thursday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.377,Negative,0.454,Management Commentary,14.0,20.0,5,-2.94,5.76,55.8,-0.82,covid_crash,,,-0.315,-0.073,0.22956954889047845,3,5,2,2020,0,0,545.7,-0.062,549.53,0.1,526.32,0.309,518.32,-0.205,543.89,0.02640120777505195,528.13,-0.0033402528779014062,587.76,0.1091904132855257,583.59,0.10132100396301191,BHARTIARTL.NSE
2020-05-15,533.48,546.64,529.46,543.89,534.1022,14758117.0,539.068,531.089,,534.4795068724582,532.7017643222586,1.777742550199605,1.0472330381388357,0.7305095120607692,,,,,,,0.02640120777505195,0.04537941108633814,,20813139.2,0.7090769373223622,,,Friday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.146,Negative,0.1,FII/DII Activity,15.0,17.0,7,-2.82,-26.4,60.68,-1.05,covid_crash,,,0.231,-0.035199999999999995,0.20574968610749647,4,5,2,2020,0,0,529.9,-0.377,545.7,-0.062,549.53,0.1,520.28,-0.335,528.13,-0.028976447443416875,587.76,0.08065969221717628,583.1,0.07209178326499854,582.27,0.07056573939583366,BHARTIARTL.NSE
2020-05-18,546.64,548.7,525.34,528.13,518.6259,21991328.0,539.43,531.633,,533.3177002122226,532.1088050413246,1.2088951708980176,1.0826037890594524,0.12629138183856514,,,,,,,-0.028976447443416875,0.0034389724882200046,0.010407698635902518,19546455.6,1.1250800886888157,0.027497101170562897,,Monday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,0.172,Positive,0.1,Interest Rate Policy,13.0,22.0,6,7.59,-0.01,56.78,0.24,covid_crash,,,0.31799999999999995,-0.0626,0.22471218628874284,0,5,2,2020,0,0,543.89,-0.146,529.9,-0.377,545.7,-0.062,526.32,0.309,587.76,0.1129078067899949,583.1,0.10408422168784215,583.59,0.10501202355480665,,,BHARTIARTL.NSE
2020-05-19,548.21,592.38,546.74,587.76,577.1828,73259076.0,547.076,538.577,,542.9973623880644,538.9464312051286,4.050931182935756,1.7200760264198465,2.3308551565159092,,,,,,,0.1129078067899949,0.0695685403890598,0.13397129186602852,23822466.2,3.075209568352751,0.04432086455056697,,Tuesday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.006,Neutral,0.215,Vaccine Rollout,13.0,16.0,6,1.82,-63.55,59.42,-0.56,covid_crash,,,-0.178,-0.08379999999999999,0.21961977243509848,1,5,2,2020,0,0,528.13,0.172,543.89,-0.146,529.9,-0.377,549.53,0.1,583.1,-0.007928406152170941,583.59,-0.007094732543895366,582.27,-0.009340547162106971,548.94,-0.06604736627194763,BHARTIARTL.NSE
2020-05-20,593.85,600.72,577.75,583.1,572.6066,36412918.0,554.5559999999999,543.293,,549.9607037559672,544.1190138253115,5.8416899306556616,2.592352725955908,3.2493372046997537,,,,,,,-0.007928406152170941,0.06853582554517135,0.08799492480501536,24856289.6,1.464937791841627,0.04414947959589902,,Wednesday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,0.114,Positive,0.1,Regulatory Changes,15.0,19.0,6,-1.07,7.68,51.42,-1.64,covid_crash,,,0.12000000000000001,-0.0486,0.22376237395951984,2,5,2,2020,0,0,587.76,-0.006,528.13,0.172,543.89,-0.146,545.7,-0.062,583.59,0.0008403361344537785,582.27,-0.0014234265134626112,,,552.72,-0.05210084033613449,BHARTIARTL.NSE
2020-05-21,579.62,593.36,574.61,583.59,573.0878,20673544.0,565.2940000000001,549.8199999999999,,555.6866991831577,548.5520753077199,7.134623875437796,3.5425992394875507,3.5920246359502457,,,,,,66.46123905287058,0.0008403361344537785,0.10132100396301191,0.12592606883778346,25341270.8,0.8158053383810571,0.04179441359662814,,Thursday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,0.007,Neutral,0.1,Management Commentary,13.0,19.0,10,4.99,51.61,39.16,0.06,covid_crash,,,-0.107,0.028200000000000003,0.21670317641111464,3,5,2,2020,0,0,583.1,0.114,587.76,-0.006,528.13,0.172,529.9,-0.377,582.27,-0.002261861923610886,,,548.94,-0.059373875494782236,552.38,-0.05347932623931195,BHARTIARTL.NSE
2020-05-22,586.0,586.39,576.18,582.27,571.7916,11630640.0,572.97,556.019,,560.1398571602072,552.1995288243737,7.940328335833442,4.454219857795113,3.4861084780383287,,,,,,65.99033816425118,-0.002261861923610886,0.07056573939583366,0.1191473821788267,25119574.0,0.4630110367317535,0.041980673600333876,,Friday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.507,Negative,0.609,Merger & Acquisition,7.0,23.0,9,-0.09,-8.24,40.49,-0.8,covid_crash,,,-0.514,-0.044,0.24873064413805818,4,5,2,2020,0,0,583.59,0.007,583.1,0.114,587.76,-0.006,543.89,-0.146,,,548.94,-0.05724148590859901,552.72,-0.050749652223195385,542.42,-0.06843904030776105,BHARTIARTL.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.133,Negative,0.1,Vaccine Rollout,10.0,15.0,10,1.31,-8.17,48.0,0.64,covid_crash,,,0.374,-0.10500000000000001,0.21717059346667233,0,5,2,2020,0,0,582.27,-0.507,583.59,0.007,583.1,0.114,528.13,0.172,548.94,,552.72,,552.38,,548.75,,BHARTIARTL.NSE
2020-05-26,561.46,565.83,547.27,548.94,539.0614,77933211.0,577.1320000000001,558.2810000000001,,558.2889924585943,551.8585553329541,6.430437125640196,4.860910639186178,1.5695264864540182,,,,,,57.1123292762241,-0.05724148590859901,0.03940317724802611,0.04297765617875049,31463814.7,2.476915521626181,0.047366357806780404,,Tuesday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.293,Negative,0.407,Technical Factors,12.0,16.0,10,-2.4,23.53,44.96,-1.1,covid_crash,,,-0.15999999999999998,-0.16240000000000002,0.21576862607895522,1,5,2,2020,0,0,,-0.133,582.27,-0.507,583.59,0.007,587.76,-0.006,552.72,0.0068859984697779986,552.38,0.0062666229460413,542.42,-0.011877436514008965,547.81,-0.00205851277006619,BHARTIARTL.NSE
2020-05-27,550.66,555.13,543.64,552.72,542.7733,22948762.0,570.124,558.6,,557.3790564900205,551.9459994895428,5.433057000477675,4.977975988768257,0.4550810117094173,,,,,,54.165425479098396,0.0068859984697779986,-0.05961616986525109,0.0058049606026968625,31454569.8,0.7295843543852887,0.0453906322027563,,Wednesday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.53,Negative,0.396,Corporate Governance,12.0,29.0,8,-0.69,-1.3,58.18,-1.75,covid_crash,,,-0.23700000000000004,-0.2912,0.24920694211839284,2,5,2,2020,0,0,548.94,-0.293,,-0.133,582.27,-0.507,583.1,0.114,552.38,-0.0006151396728905079,542.42,-0.01863511361991621,548.75,-0.007182660298161836,541.48,-0.02033579389202489,BHARTIARTL.NSE
2020-05-28,554.24,557.53,545.75,552.38,542.4395,16574283.0,563.98,559.268,,556.5699686980207,551.9888779748109,4.581090723209854,4.897142773911342,-0.31605205070148745,,,,,,59.248397958075365,-0.0006151396728905079,-0.05268393071514321,0.012241158145501085,30961020.9,0.5353274058220735,0.045303744793512755,,Thursday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.15,Negative,0.166,Sector Rotation,13.0,21.0,8,5.57,63.49,45.43,-0.02,covid_crash,,,0.38,-0.3226,0.2383483911327189,3,5,2,2020,0,0,552.72,-0.53,548.94,-0.293,,-0.133,583.59,0.007,542.42,-0.018031065570802807,548.75,-0.006571563054419083,547.81,-0.008273290126362354,561.9,0.017234512473297325,BHARTIARTL.NSE
2020-05-29,547.72,553.61,533.78,542.42,532.6587,55206200.0,555.746,560.5200000000001,,554.2980033003837,551.0662996774099,3.2317036229737823,4.55918445099697,-1.3274808280231873,,,,,,55.7614239616946,-0.018031065570802807,-0.07054610257201133,0.023627099452727007,35138807.9,1.571089154677897,0.044597878946730084,,Friday,May,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.116,Negative,0.307,Management Commentary,13.0,20.0,10,-3.61,-1.01,39.59,1.4,covid_crash,,,0.03399999999999999,-0.2444,0.2385538839666115,4,5,2,2020,0,0,552.38,-0.15,552.72,-0.53,548.94,-0.293,582.27,-0.507,548.75,0.011669923675380778,547.81,0.009936949227535852,541.48,-0.001732974447844704,573.58,0.05744625935621861,BHARTIARTL.NSE
2020-06-01,548.7,551.3,540.01,548.75,538.8748,40024637.0,549.042,561.006,546.0475,553.4131414180973,550.8478550121872,2.565286405910115,4.155753600953226,-1.5904671950431108,546.0475,591.4346393215022,500.66036067849774,90.7742786430045,0.5297716494187562,55.828093332640435,0.011669923675380778,-0.05756779500918818,0.008935630366434522,37665459.9,1.062635027058305,0.04398538090769095,,Monday,June,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.309,Negative,0.382,Management Commentary,12.0,23.0,6,-2.74,11.0,56.21,-1.81,covid_crash,,,-0.193,-0.2796,0.21504834081873053,0,6,2,2020,0,0,542.42,-0.116,552.38,-0.15,552.72,-0.53,,-0.133,547.81,-0.0017129840546697972,541.48,-0.013248291571754,561.9,0.023963553530751636,574.37,0.04668792710706149,BHARTIARTL.NSE
2020-06-02,552.62,561.75,545.85,547.81,537.9517,32573015.0,548.816,562.9739999999999,547.3035,552.5245025265328,550.5670439917999,1.9574585347329503,3.712001698823769,-1.7545431640908187,547.3035,591.3392435081522,503.26775649184776,88.07148701630445,0.5057510099710953,49.49459332393041,-0.0017129840546697972,-0.00205851277006619,0.037263552534413824,38723628.6,0.8411663931721522,0.0426970421570477,0.03498832670868162,Tuesday,June,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.31,Negative,0.107,Earnings Report,13.0,24.0,10,1.68,29.19,60.52,-1.38,covid_crash,,,-0.0010000000000000009,-0.28300000000000003,0.2071274701455335,1,6,2,2020,0,0,548.75,-0.309,542.42,-0.116,552.38,-0.15,548.94,-0.293,541.48,-0.01155510122122616,561.9,0.025720596557200492,573.58,0.04704185757835755,557.34,0.017396542596885833,BHARTIARTL.NSE
2020-06-03,557.53,557.83,539.13,541.48,531.7356,29783799.0,546.568,558.3459999999999,548.4615,550.7811640883731,549.7422090679192,1.038955020453841,3.1734183192435963,-2.1344632987897554,548.4615,590.4589872807258,506.46401271927425,83.9949745614515,0.4168819320863982,48.77794509440518,-0.01155510122122616,-0.02033579389202489,-0.07873962161426429,34376100.9,0.8664100412853978,0.019297752258694418,0.035049738450283224,Wednesday,June,Q2,BHARTIARTL.NSE,Bharti Airtel Limited,Telecommunications,Large Cap,-0.07,Neutral,0.1,FII/DII Activity,16.0,19.0,7,0.04,57.38,43.34,0.39,covid_crash,,,0.24,-0.191,0.1803333025261834,2,6,2,2020,0,0,547.81,-0.31,548.75,-0.309,542.42,-0.116,552.72,-0.53,561.9,0.037711457486887756,573.58,0.05928196793972074,574.37,0.06074093225973254,556.65,0.028015808524783914,BHARTIARTL.NSE
