date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,-0.282,Negative,0.236,Technical Factors,10.0,19.0,5,-1.68,27.01,50.48,-1.22,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,357.95,,349.2,,353.25,,359.25,,BIOCON.NSE
2020-05-04,352.0,366.0,349.15,357.95,354.8158,9023354.0,,,,357.95,357.95,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,0.242,Positive,0.238,Interest Rate Policy,12.0,22.0,3,4.08,65.19,46.32,1.19,covid_crash,,,0.524,,,0,5,2,2020,0,0,,-0.282,,,,,,,349.2,-0.02444475485402986,353.25,-0.013130325464450365,349.75,-0.022908227406062243,351.6,-0.017739907808352995,BIOCON.NSE
2020-05-05,366.9,366.9,347.0,349.2,346.1424,8533450.0,,,,353.2104166666666,353.4067307692307,-0.196314102564088,-0.10906339031338222,-0.08725071225070577,,,,,,,-0.02444475485402986,,,,,,,Tuesday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,0.439,Positive,0.346,Corporate Governance,16.0,22.0,5,1.28,62.14,45.73,-0.69,covid_crash,,,0.197,,,1,5,2,2020,0,0,357.95,0.242,,-0.282,,,,,353.25,0.011597938144329856,349.75,0.0015750286368843014,359.25,0.028780068728522457,343.45,-0.016466208476517807,BIOCON.NSE
2020-05-06,350.95,355.5,345.35,353.25,350.1569,6743672.0,,,,353.2258660508083,353.35041892557905,-0.12455287477075672,-0.11541153968115864,-0.00914133508959808,,,,,,,0.011597938144329856,,,,,,,Wednesday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,-0.191,Negative,0.152,Corporate Governance,7.0,19.0,8,-3.66,-12.38,55.29,0.22,covid_crash,,,-0.63,,,2,5,2,2020,0,0,349.2,0.439,357.95,0.242,,-0.282,,,349.75,-0.0099079971691437,359.25,0.01698513800424628,351.6,-0.004670912951167616,337.25,-0.04529370134465671,BIOCON.NSE
2020-05-07,353.95,361.0,348.1,349.75,346.6876,6104697.0,,,,352.1286709770115,352.3438991307806,-0.21522815376908966,-0.14922475583560682,-0.06600339793348284,,,,,,,-0.0099079971691437,,,,,,,Thursday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,0.42,Positive,0.375,Earnings Report,14.0,14.0,9,1.37,6.39,38.18,1.34,covid_crash,,,0.611,0.1256,,3,5,2,2020,0,0,353.25,-0.191,349.2,0.439,357.95,0.242,,,359.25,0.027162258756254554,351.6,0.00528949249463917,343.45,-0.018012866333095068,335.15,-0.04174410293066477,BIOCON.NSE
2020-05-08,355.0,361.0,349.2,359.25,356.1044,5545552.0,353.88,,,354.06351062109377,353.9454524072488,0.11805821384496085,-0.06971411516432897,0.1877723290092898,,,,,,,0.027162258756254554,,,,,,,Friday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,0.347,Positive,0.1,Regulatory Changes,14.0,26.0,9,-1.99,-7.74,36.51,1.13,covid_crash,,,-0.07300000000000001,0.25139999999999996,,4,5,2,2020,0,0,349.75,0.42,353.25,-0.191,349.2,0.439,,-0.282,351.6,-0.02129436325678491,343.45,-0.043980514961725836,337.25,-0.06123869171885876,328.5,-0.08559498956158662,BIOCON.NSE
2020-05-11,359.45,363.8,350.05,351.6,348.5214,8182212.0,352.61,,,353.4647479353557,353.47567699673414,-0.010929061378419647,-0.053780097202583234,0.04285103582416359,,,,,,,-0.02129436325678491,-0.017739907808352995,,,,,,Monday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,-0.605,Negative,0.489,Management Commentary,11.0,27.0,8,-6.66,37.15,38.84,-0.53,covid_crash,,,-0.952,0.08199999999999999,,0,5,2,2020,0,0,359.25,0.347,349.75,0.42,353.25,-0.191,357.95,0.242,343.45,-0.023179749715586007,337.25,-0.04081342434584767,335.15,-0.04678612059158149,331.75,-0.056456200227531395,BIOCON.NSE
2020-05-12,354.0,356.8,337.65,343.45,340.4428,7690803.0,351.46,,,351.22999197251045,351.6926623145969,-0.462670342086426,-0.15725930998355603,-0.30541103210286996,,,,,,,-0.023179749715586007,-0.016466208476517807,,,,,,Tuesday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,0.226,Positive,0.207,Sector Rotation,13.0,12.0,2,4.27,9.66,37.89,1.12,covid_crash,,,0.831,0.0394,,1,5,2,2020,0,0,351.6,-0.605,359.25,0.347,349.75,0.42,349.2,0.439,337.25,-0.01805211821225794,335.15,-0.02416654534866791,328.5,-0.043528897947299416,336.6,-0.019944678992575238,BIOCON.NSE
2020-05-13,352.85,352.85,334.1,337.25,334.297,8732429.0,348.26000000000005,,,348.3125831229476,349.36559155072365,-1.0530084277760352,-0.3725246675549824,-0.6804837602210527,,,,,,,-0.01805211821225794,-0.04529370134465671,,,,,,Wednesday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,-0.418,Negative,0.401,FII/DII Activity,11.0,22.0,7,-3.78,35.28,51.93,-1.52,covid_crash,,,-0.644,-0.005999999999999994,,2,5,2,2020,0,0,343.45,0.226,351.6,-0.605,359.25,0.347,353.25,-0.191,335.15,-0.0062268346923647355,328.5,-0.02594514455151964,331.75,-0.016308376575240868,346.85,0.028465530022238728,BIOCON.NSE
2020-05-14,337.25,343.5,333.0,335.15,332.2154,8706127.0,345.34000000000003,,,345.7085556857485,347.25852880892023,-1.5499731231717533,-0.6445211021543664,-0.9054520210173869,,,,,,,-0.0062268346923647355,-0.04174410293066477,,,,,,Thursday,May,Q2,BIOCON.NSE,Biocon Limited,Pharmaceuticals,Mid Cap,-0.016,Neutral,0.1,Vaccine Rollout,10.0,18.0,4,4.55,-46.42,55.42,0.07,covid_crash,,,0.40199999999999997,-0.0932,0.3732076574181665,3,5,2,2020,0,0,337.25,-0.418,343.45,0.226,351.6,-0.605,349.75,0.42,328.5,-0.0198418618529016,331.75,-0.01014471132328798,336.6,0.004326421005520054,354.85,0.05877965090258108,BIOCON.NSE
