date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.722,Negative,0.523,Earnings Report,12.0,28.0,10,-5.85,26.42,45.19,-1.9,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,347.7,,347.0,,342.5,,324.0,,BPCL.NSE
2020-05-04,362.0,362.0,341.56,347.7,132.0142,14510430.0,,,,347.7,347.7,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.333,Negative,0.128,FII/DII Activity,15.0,17.0,4,1.01,-41.83,38.58,-0.38,covid_crash,,,0.38899999999999996,,,0,5,2,2020,0,0,,-0.722,,,,,,,347.0,-0.002013229795800986,342.5,-0.014955421340235753,329.2,-0.053206787460454374,314.5,-0.09548461317227497,BPCL.NSE
2020-05-05,354.0,364.2,345.26,347.0,131.7484,26357320.0,,,,347.32083333333327,347.33653846153845,-0.015705128205183883,-0.008725071225102157,-0.006980056980081726,,,,,,,-0.002013229795800986,,,,,,,Tuesday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.874,Negative,0.651,Sector Rotation,13.0,28.0,8,-1.51,10.52,35.36,-1.48,covid_crash,,,-0.5409999999999999,,,1,5,2,2020,0,0,347.7,-0.333,,-0.722,,,,,342.5,-0.012968299711815567,329.2,-0.05129682997118157,324.0,-0.06628242074927959,312.36,-0.09982708933717577,BPCL.NSE
2020-05-06,321.26,346.46,312.36,342.5,130.0399,41361302.0,,,,345.4392609699769,345.59881715130604,-0.15955618132915106,-0.07054109995626973,-0.08901508137288133,,,,,,,-0.012968299711815567,,,,,,,Wednesday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.26,Negative,0.1,Global Markets,12.0,27.0,5,-2.2,11.3,51.03,-0.09,covid_crash,,,0.614,,,2,5,2,2020,0,0,347.0,-0.874,347.7,-0.333,,-0.722,,,329.2,-0.038832116788321214,324.0,-0.05401459854014601,314.5,-0.08175182481751819,316.0,-0.07737226277372267,BPCL.NSE
2020-05-07,342.0,342.0,328.2,329.2,124.9902,17101468.0,,,,340.31316091954017,341.01442449721617,-0.7012635776760021,-0.28420047587758823,-0.4170631017984139,,,,,,,-0.038832116788321214,,,,,,,Thursday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.873,Negative,0.747,Merger & Acquisition,16.0,33.0,8,3.14,-23.91,29.07,-1.41,covid_crash,,,-0.613,-0.6124,,3,5,2,2020,0,0,342.5,-0.26,347.0,-0.874,347.7,-0.333,,,324.0,-0.015795868772782495,314.5,-0.04465370595382745,312.36,-0.051154313487241754,309.06,-0.06117861482381526,BPCL.NSE
2020-05-08,333.0,336.3,321.2,324.0,123.0158,16999406.0,338.08000000000004,,,335.8809334005574,337.0687092786348,-1.1877758780773888,-0.5529937297447349,-0.6347821483326539,,,,,,,-0.015795868772782495,,,,,,,Friday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.57,Negative,0.465,Sector Rotation,13.0,29.0,8,3.03,12.86,50.28,0.37,covid_crash,,,0.30300000000000005,-0.5820000000000001,,4,5,2,2020,0,0,329.2,-0.873,342.5,-0.26,347.0,-0.874,,-0.722,314.5,-0.029320987654321007,312.36,-0.03592592592592592,316.0,-0.024691358024691357,317.8,-0.01913580246913582,BPCL.NSE
2020-05-11,326.0,330.36,311.3,314.5,119.4089,21376034.0,331.43999999999994,,,330.68424173749554,332.5483768116921,-1.8641350741965539,-0.9083859321397331,-0.9557491420568208,,,,,,,-0.029320987654321007,-0.09548461317227497,,,,,,Monday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.604,Negative,0.495,Regulatory Changes,13.0,32.0,7,-3.6,-25.14,56.82,-0.89,covid_crash,,,-0.03400000000000003,-0.6362,,0,5,2,2020,0,0,324.0,-0.57,329.2,-0.873,342.5,-0.26,347.7,-0.333,312.36,-0.00680445151033382,316.0,0.004769475357710551,309.06,-0.017297297297297343,295.06,-0.061812400635930076,BPCL.NSE
2020-05-12,310.5,319.8,308.6,312.36,118.5964,16623240.0,324.512,,,326.5952513054031,328.9579786495038,-2.3627273441006764,-1.2764409452086782,-1.0862863988919982,,,,,,,-0.00680445151033382,-0.09982708933717577,,,,,,Tuesday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.382,Negative,0.367,Corporate Governance,12.0,20.0,8,-1.16,64.48,43.4,-2.29,covid_crash,,,0.22199999999999998,-0.5378000000000001,,1,5,2,2020,0,0,314.5,-0.604,324.0,-0.57,329.2,-0.873,347.0,-0.874,316.0,0.011653220642847906,309.06,-0.010564733000384186,317.8,0.017415802279421078,294.16,-0.05826610321423997,BPCL.NSE
2020-05-13,324.0,324.4,312.76,316.0,119.9784,15241974.0,319.212,,,324.3841856636984,326.8701272120525,-2.4859415483541056,-1.5671066848084079,-0.9188348635456978,,,,,,,0.011653220642847906,-0.07737226277372267,,,,,,Wednesday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.583,Negative,0.322,Sector Rotation,10.0,20.0,16,-3.38,-8.87,46.14,-1.34,covid_crash,,,-0.20099999999999996,-0.6024,,2,5,2,2020,0,0,312.36,-0.382,314.5,-0.604,324.0,-0.57,342.5,-0.26,309.06,-0.021962025316455636,317.8,0.0056962025316456,295.06,-0.06626582278481008,310.0,-0.01898734177215189,BPCL.NSE
2020-05-14,313.46,316.36,307.26,309.06,117.3434,9664372.0,315.184,,,321.3525163060755,324.2302753746251,-2.877759068549608,-1.86987388763263,-1.007885180916978,,,,,,,-0.021962025316455636,-0.06117861482381526,,,,,,Thursday,May,Q2,BPCL.NSE,Bharat Petroleum Corporation Limited,Oil & Gas,Large Cap,-0.372,Negative,0.345,FII/DII Activity,9.0,20.0,10,-0.16,-3.66,39.31,-0.02,covid_crash,,,0.21099999999999997,-0.5022,0.21955968563366898,3,5,2,2020,0,0,316.0,-0.583,312.36,-0.382,314.5,-0.604,329.2,-0.873,317.8,0.02827929851808708,295.06,-0.04529864751181001,294.16,-0.048210703423283485,312.36,0.010677538342069637,BPCL.NSE
