date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.593,Negative,0.327,FII/DII Activity,10.0,22.0,10,-3.01,-27.58,37.25,-1.08,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,3092.95,,2978.75,,2987.7,,2994.65,,BRITANNIA.NSE
2020-05-04,3109.0,3160.0,3056.0,3092.95,2786.8055,591353.0,,,,3092.95,3092.95,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.308,Negative,0.292,Inflation Concerns,10.0,17.0,9,-0.39,10.29,55.75,-1.18,covid_crash,,,0.285,,,0,5,2,2020,0,0,,-0.593,,,,,,,2978.75,-0.03692267899578072,2987.7,-0.03402900143875587,2915.35,-0.05742090884107398,3053.95,-0.01260932119820879,BRITANNIA.NSE
2020-05-05,3107.0,3126.0,2970.5,2978.75,2683.9092,905266.0,,,,3031.0916666666667,3033.653846153846,-2.562179487179492,-1.423433048433051,-1.1387464387464408,,,,,,,-0.03692267899578072,,,,,,,Tuesday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.214,Negative,0.1,Management Commentary,12.0,21.0,7,-0.14,30.02,62.66,-0.08,covid_crash,,,0.094,,,1,5,2,2020,0,0,3092.95,-0.308,,-0.593,,,,,2987.7,0.003004616030213958,2915.35,-0.021284095677717163,2994.65,0.0053378094838438805,3107.3,0.04315568610994558,BRITANNIA.NSE
2020-05-06,2950.0,3065.0,2907.65,2987.7,2691.9733,995972.0,,,,3014.1558891454965,3017.143075406604,-2.9871862611075812,-2.064315512643924,-0.9228707484636574,,,,,,,0.003004616030213958,,,,,,,Wednesday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.084,Neutral,0.165,Lockdown Measures,13.0,15.0,4,2.09,45.75,46.07,-0.19,covid_crash,,,0.13,,,2,5,2,2020,0,0,2978.75,-0.214,3092.95,-0.308,,-0.593,,,2915.35,-0.024215952070154256,2994.65,0.0023262041034910474,3053.95,0.022174247749104703,3079.55,0.03074271178498522,BRITANNIA.NSE
2020-05-07,2977.7,2980.0,2867.0,2915.35,2626.7846,994651.0,,,,2982.9667313218392,2988.686179837518,-5.719448515678778,-3.302504199308847,-2.4169443163699307,,,,,,,-0.024215952070154256,,,,,,,Thursday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.008,Neutral,0.1,Economic Stimulus,11.0,17.0,9,-2.27,-36.48,53.52,0.72,covid_crash,,,0.07600000000000001,-0.2414,,3,5,2,2020,0,0,2987.7,-0.084,2978.75,-0.214,3092.95,-0.308,,,2994.65,0.02720085066973099,3053.95,0.0475414615740819,3107.3,0.06584115114823264,3118.7,0.06975148781449914,BRITANNIA.NSE
2020-05-08,2945.0,3037.0,2923.45,2994.65,2698.2354,1102857.0,2993.88,,,2986.141033665966,2990.069214331564,-3.92818066559812,-3.4886288025600587,-0.43955186303806126,,,,,,,0.02720085066973099,,,,,,,Friday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.214,Negative,0.125,COVID-19 Impact,11.0,19.0,8,1.83,29.7,49.54,-0.08,covid_crash,,,-0.206,-0.1656,,4,5,2,2020,0,0,2915.35,-0.008,2987.7,-0.084,2978.75,-0.214,,-0.593,3053.95,0.01980198019801982,3107.3,0.037617083799442286,3079.55,0.028350558495984446,3125.65,0.04374467800911619,BRITANNIA.NSE
2020-05-11,3029.0,3083.4,2991.85,3053.95,2751.6658,1095855.0,2986.0800000000004,,,3002.6221799015984,3002.8640262060826,-0.2418463044841701,-2.6085702279666725,2.3667239234825024,,,,,,,0.01980198019801982,-0.01260932119820879,,,,,,Monday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.443,Negative,0.218,Global Markets,14.0,20.0,5,-2.58,25.01,37.13,1.24,covid_crash,,,-0.229,-0.19260000000000002,,0,5,2,2020,0,0,2994.65,-0.214,2915.35,-0.008,2987.7,-0.084,3092.95,-0.308,3107.3,0.017469179259647527,3079.55,0.008382586486353816,3118.7,0.021202049804351697,3109.55,0.018205930025049666,BRITANNIA.NSE
2020-05-12,3048.95,3123.2,3031.3,3107.3,2799.7351,1329390.0,3011.79,,,3025.9806692168104,3021.437422763594,4.543246453216398,-0.7986362190668255,5.341882672283223,,,,,,,0.017469179259647527,0.04315568610994558,,,,,,Tuesday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.352,Negative,0.431,Merger & Acquisition,12.0,22.0,5,-2.54,-23.08,58.59,0.64,covid_crash,,,0.09100000000000003,-0.2202,,1,5,2,2020,0,0,3053.95,-0.443,2994.65,-0.214,2915.35,-0.008,2978.75,-0.214,3079.55,-0.00893058282109871,3118.7,0.00366877996974857,3125.65,0.005905448460077789,3104.0,-0.001062015254400972,BRITANNIA.NSE
2020-05-13,3180.0,3188.0,3057.5,3079.55,2774.7318,850975.0,3030.16,,,3037.1597628814807,3030.8007988887484,6.358963992732242,0.9214697105303066,5.437494282201936,,,,,,,-0.00893058282109871,0.03074271178498522,,,,,,Wednesday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.157,Negative,0.1,Lockdown Measures,16.0,27.0,6,-4.27,-1.17,42.31,-2.2,covid_crash,,,0.19499999999999998,-0.23479999999999998,,2,5,2,2020,0,0,3107.3,-0.352,3053.95,-0.443,2994.65,-0.214,2987.7,-0.084,3118.7,0.012712896364728499,3125.65,0.014969719601889864,3109.55,0.009741683038106297,3127.85,0.015684109691350923,BRITANNIA.NSE
2020-05-14,3065.0,3138.0,3031.7,3118.7,2810.0067,777257.0,3070.83,,,3053.291324043071,3043.8293901390634,9.461933904007765,2.8943593086849466,6.567574595322818,,,,,,,0.012712896364728499,0.06975148781449914,,,,,,Thursday,May,Q2,BRITANNIA.NSE,Britannia Industries Limited,FMCG,Large Cap,-0.164,Negative,0.1,Earnings Report,13.0,24.0,9,-5.69,9.78,47.17,0.5,covid_crash,,,-0.007000000000000006,-0.26599999999999996,0.17425591015004982,3,5,2,2020,0,0,3079.55,-0.157,3107.3,-0.352,3053.95,-0.443,2915.35,-0.008,3125.65,0.0022284926411646477,3109.55,-0.0029339147721806347,3104.0,-0.004713502420880422,3110.95,-0.0024850097797158854,BRITANNIA.NSE
