date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,0.059,Neutral,0.1,COVID-19 Impact,10.0,13.0,12,-1.8,-5.53,48.38,0.42,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,330.2,,326.1,,326.9,,321.25,,CADILAHC.NSE
2020-05-04,323.95,337.25,320.2,330.2,328.27,10069776.0,,,,330.2,330.2,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,0.033,Neutral,0.181,Vaccine Rollout,7.0,13.0,5,2.67,38.99,39.24,0.61,covid_crash,,,-0.025999999999999995,,,0,5,2,2020,0,0,,0.059,,,,,,,326.1,-0.012416717141126465,326.9,-0.009993943064809274,321.2,-0.027256208358570566,328.4,-0.00545124167171418,CADILAHC.NSE
2020-05-05,336.0,342.5,324.3,326.1,324.19,8082678.0,,,,327.97916666666663,328.07115384615383,-0.09198717948720514,-0.05110398860400285,-0.04088319088320229,,,,,,,-0.012416717141126465,,,,,,,Tuesday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,-0.097,Neutral,0.215,Sector Rotation,7.0,14.0,1,-2.02,58.28,64.05,-0.77,covid_crash,,,-0.13,,,1,5,2,2020,0,0,330.2,0.033,,0.059,,,,,326.9,0.0024532352039250416,321.2,-0.015026065624041851,321.25,-0.014872738423796439,323.7,-0.00735970561177568,CADILAHC.NSE
2020-05-06,328.95,330.7,323.6,326.9,324.99,3448128.0,,,,327.55796766743646,327.65036964021687,-0.09240197278040796,-0.06802939195498854,-0.024372580825419418,,,,,,,0.0024532352039250416,,,,,,,Wednesday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,-0.013,Neutral,0.178,Sector Rotation,14.0,12.0,3,-6.41,1.44,47.43,0.42,covid_crash,,,0.084,,,2,5,2,2020,0,0,326.1,-0.097,330.2,0.033,,0.059,,,321.2,-0.017436524931171538,321.25,-0.01728357295809113,328.4,0.004588559192413522,324.95,-0.0059651269501376225,CADILAHC.NSE
2020-05-07,328.15,332.55,320.3,321.2,319.32,4523263.0,,,,325.55100574712645,325.84712816725374,-0.29612242012728984,-0.14529667792121528,-0.15082574220607456,,,,,,,-0.017436524931171538,,,,,,,Thursday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,0.356,Positive,0.292,Economic Stimulus,14.0,23.0,5,2.83,25.16,54.09,-0.83,covid_crash,,,0.369,0.0676,,3,5,2,2020,0,0,326.9,-0.013,326.1,-0.097,330.2,0.033,,,321.25,0.00015566625155671865,328.4,0.02241594022415927,323.7,0.007783312577833046,336.85,0.048723536737235396,CADILAHC.NSE
2020-05-08,323.5,327.45,318.0,321.25,319.37,5409424.0,325.13,,,324.38243785732635,324.7810351839578,-0.39859732663143177,-0.22064789422006598,-0.1779494324113658,,,,,,,0.00015566625155671865,,,,,,,Friday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,0.059,Neutral,0.23,Vaccine Rollout,13.0,16.0,3,1.4,-12.36,59.4,-1.09,covid_crash,,,-0.297,0.0676,,4,5,2,2020,0,0,321.2,0.356,326.9,-0.013,326.1,-0.097,,0.059,328.4,0.022256809338521366,323.7,0.007626459143968756,324.95,0.01151750972762633,332.2,0.03408560311284048,CADILAHC.NSE
2020-05-11,332.8,333.0,325.2,328.4,326.48,5369042.0,324.77,,,325.358916821155,325.50588497278306,-0.14696815162807297,-0.20067658746319392,0.05370843583512094,,,,,,,0.022256809338521366,-0.00545124167171418,,,,,,Monday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,-0.003,Neutral,0.121,Merger & Acquisition,12.0,15.0,4,0.31,22.37,37.96,-0.28,covid_crash,,,-0.062,0.06039999999999999,,0,5,2,2020,0,0,321.25,0.059,321.2,0.356,326.9,-0.013,330.2,0.033,323.7,-0.01431181485992683,324.95,-0.010505481120584581,336.85,0.02573081607795391,323.95,-0.01355054811205847,CADILAHC.NSE
2020-05-12,325.95,330.2,322.3,323.7,321.81,2547712.0,324.29,,,324.98873533662135,325.18471769183316,-0.19598235521181095,-0.19948860251108982,0.0035062472992788696,,,,,,,-0.01431181485992683,-0.00735970561177568,,,,,,Tuesday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,0.36,Positive,0.645,FII/DII Activity,6.0,22.0,7,2.09,-13.29,52.31,1.02,covid_crash,,,0.363,0.1518,,1,5,2,2020,0,0,328.4,-0.003,321.25,0.059,321.2,0.356,326.1,-0.097,324.95,0.003861600247142327,336.85,0.04062403459993824,332.2,0.026258881680568447,325.9,0.006796416434970531,CADILAHC.NSE
2020-05-13,326.75,328.75,321.1,324.95,323.05,2799973.0,323.9,,,324.98065186890034,325.1468988557674,-0.16624698686706552,-0.19150001716311005,0.025253030296044532,,,,,,,0.003861600247142327,-0.0059651269501376225,,,,,,Wednesday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,0.039,Neutral,0.1,COVID-19 Impact,14.0,21.0,7,0.37,-31.8,40.13,0.08,covid_crash,,,-0.321,0.16219999999999998,,2,5,2,2020,0,0,323.7,0.36,328.4,-0.003,321.25,0.059,326.9,-0.013,336.85,0.03662101861824896,332.2,0.022311124788428893,323.95,-0.0030773965225419087,337.8,0.03954454531466389,CADILAHC.NSE
2020-05-14,323.1,341.75,322.6,336.85,334.88,10950024.0,327.03000000000003,,,327.3288313946324,326.8815553627852,0.44727603184719555,-0.04393958085740906,0.4912156127046046,,,,,,,0.03662101861824896,0.048723536737235396,,,,,,Thursday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,0.016,Neutral,0.133,Economic Stimulus,9.0,24.0,4,0.98,-6.58,52.9,0.63,covid_crash,,,-0.023,0.09419999999999999,0.1528626471342456,3,5,2,2020,0,0,324.95,0.039,323.7,0.36,328.4,-0.003,321.2,0.356,332.2,-0.013804363960219779,323.95,-0.03829597743802893,325.9,-0.03250705061600134,344.35,0.02226510316164454,CADILAHC.NSE
2020-05-15,340.0,343.0,330.0,332.2,330.26,5091000.0,329.22,327.175,,328.2519159521972,327.6154489599591,0.6364669922380699,0.10851098906334132,0.5279560031747286,,,,,,,-0.013804363960219779,0.03408560311284048,,5829102.0,0.8733763794148739,,,Friday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,-0.121,Negative,0.226,Inflation Concerns,12.0,16.0,3,4.45,8.11,46.69,-0.45,covid_crash,,,-0.137,0.058199999999999995,0.16577994115359337,4,5,2,2020,0,0,336.85,0.016,324.95,0.039,323.7,0.36,321.25,0.059,323.95,-0.024834437086092676,325.9,-0.018964479229379938,337.8,0.01685731487055997,346.7,0.043648404575556965,CADILAHC.NSE
2020-05-18,332.5,335.65,323.15,323.95,322.06,3086689.0,328.33000000000004,326.55,,327.4647690594651,327.1400390686365,0.3247299908285868,0.15581847118802264,0.16891151964056414,,,,,,,-0.024834437086092676,-0.01355054811205847,-0.01892792247122954,5130793.3,0.6016007310214583,0.019140691418046793,,Monday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,-0.006,Neutral,0.1,Economic Stimulus,16.0,14.0,10,0.63,-10.32,42.84,-1.09,covid_crash,,,0.11499999999999999,0.0576,0.16701563466401048,0,5,2,2020,0,0,332.2,-0.121,336.85,0.016,324.95,0.039,328.4,-0.003,325.9,0.006019447445593462,337.8,0.04275351134434335,344.35,0.06297268096928543,,,CADILAHC.NSE
2020-05-19,326.05,330.95,321.35,325.9,323.99,2773188.0,328.77,326.53,,327.1865582576093,326.9876807304886,0.1988775271207146,0.1650657505752853,0.0338117765454293,,,,,,,0.006019447445593462,0.006796416434970531,-0.0006133088009814269,4599844.3,0.6028873629483502,0.018884817172582027,,Tuesday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,0.414,Positive,0.558,Lockdown Measures,16.0,19.0,4,2.79,51.97,52.42,0.67,covid_crash,,,0.42,0.06839999999999999,0.19050368908647294,1,5,2,2020,0,0,323.95,-0.006,332.2,-0.121,336.85,0.016,323.7,0.36,337.8,0.03651426818042358,344.35,0.056612457809144034,346.7,0.06382325866830318,338.3,0.0380484811291808,CADILAHC.NSE
2020-05-20,326.8,339.0,325.1,337.8,335.83,3302453.0,331.34000000000003,327.62,,329.0294549432532,328.2543419826554,0.7751129605978235,0.29417293511112164,0.4809400254867019,,,,,,,0.03651426818042358,0.03954454531466389,0.03334353013153879,4585276.8,0.7202298016119769,0.022146744433363782,,Wednesday,May,Q2,CADILAHC.NSE,Cadila Healthcare Limited,Pharmaceuticals,Mid Cap,-0.215,Negative,0.147,Economic Stimulus,11.0,24.0,6,0.04,-1.17,29.3,-0.02,covid_crash,,,-0.629,0.017599999999999998,0.2142378999565151,2,5,2,2020,0,0,325.9,0.414,323.95,-0.006,332.2,-0.121,324.95,0.039,344.35,0.019390171699230407,346.7,0.026346950858496143,,,337.6,-0.000592066311426831,CADILAHC.NSE
