date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,-0.409,Negative,0.221,Earnings Report,15.0,22.0,7,0.07,-1.67,40.96,-1.28,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,301.15,,293.4,,297.0,,299.75,,CANFINHOME.NSE
2020-05-04,304.0,310.0,295.85,301.15,291.0583,290205.0,,,,301.15,301.15,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,0.017,Neutral,0.1,Earnings Report,10.0,13.0,7,-0.42,-21.82,54.89,-0.38,covid_crash,,,0.426,,,0,5,2,2020,0,0,,-0.409,,,,,,,293.4,-0.025734683712435702,297.0,-0.013780508052465446,305.5,0.014444628922464009,305.45,0.014278598704964285,CANFINHOME.NSE
2020-05-05,297.05,308.25,290.0,293.4,283.568,221646.0,,,,296.9520833333333,297.12596153846147,-0.17387820512817598,-0.09659900284898665,-0.07727920227918933,,,,,,,-0.025734683712435702,,,,,,,Tuesday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,-0.602,Negative,0.431,Vaccine Rollout,13.0,27.0,5,-2.89,39.12,48.15,-0.6,covid_crash,,,-0.619,,,1,5,2,2020,0,0,301.15,0.017,,-0.409,,,,,297.0,0.0122699386503069,305.5,0.041240627130197716,299.75,0.021642808452624562,294.75,0.004601226993865115,CANFINHOME.NSE
2020-05-06,292.8,303.6,286.1,297.0,287.0474,370446.0,,,,296.97078521939954,297.0807047806801,-0.1099195612805488,-0.10205824810782359,-0.007861313172725218,,,,,,,0.0122699386503069,,,,,,,Wednesday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,-0.332,Negative,0.266,Interest Rate Policy,15.0,18.0,5,-3.06,5.03,46.02,-3.61,covid_crash,,,0.26999999999999996,,,2,5,2,2020,0,0,293.4,-0.602,301.15,0.017,,-0.409,,,305.5,0.028619528619528545,299.75,0.0092592592592593,305.45,0.028451178451178505,308.9,0.04006734006733992,CANFINHOME.NSE
2020-05-07,297.0,314.9,293.1,305.5,295.2626,473717.0,,,,299.663125,299.4343718043404,0.22875319565957852,0.010005249103355976,0.21874794655622254,,,,,,,0.028619528619528545,,,,,,,Thursday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,-0.768,Negative,0.599,Lockdown Measures,18.0,30.0,4,-0.71,-0.96,28.58,-1.29,covid_crash,,,-0.436,-0.41879999999999995,,3,5,2,2020,0,0,297.0,-0.332,293.4,-0.602,301.15,0.017,,,299.75,-0.01882160392798693,305.45,-0.00016366612111295975,294.75,-0.03518821603927991,305.0,-0.0016366612111292644,CANFINHOME.NSE
2020-05-08,312.9,312.9,297.3,299.75,289.7053,251482.0,299.36,,,299.6867286270107,299.5075672847536,0.17916134225714586,0.060325362487991224,0.11883597976915464,,,,,,,-0.01882160392798693,,,,,,,Friday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,-0.591,Negative,0.55,Interest Rate Policy,7.0,22.0,6,-0.32,-19.48,61.1,-1.87,covid_crash,,,0.17700000000000005,-0.45519999999999994,,4,5,2,2020,0,0,305.5,-0.768,297.0,-0.332,293.4,-0.602,,-0.409,305.45,0.01901584653878219,294.75,-0.016680567139282787,308.9,0.030525437864887373,294.7,-0.01684737281067561,CANFINHOME.NSE
2020-05-11,308.0,308.75,298.25,305.45,295.2142,210591.0,300.22,,,301.0875067752273,300.69778916247435,0.3897176127529747,0.14960897616463906,0.24010863658833562,,,,,,,0.01901584653878219,0.014278598704964285,,,,,,Monday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,-0.342,Negative,0.207,Interest Rate Policy,11.0,24.0,7,-2.39,-61.94,46.24,-0.15,covid_crash,,,0.24899999999999994,-0.5269999999999999,,0,5,2,2020,0,0,299.75,-0.591,305.5,-0.768,297.0,-0.332,301.15,0.017,294.75,-0.03503028318873791,308.9,0.011294810934686428,305.0,-0.0014732362088720752,280.8,-0.08070060566377468,CANFINHOME.NSE
2020-05-12,301.4,306.0,292.95,294.75,284.8728,200372.0,300.49,,,299.6733143115796,299.64000569244996,0.03330861912962746,0.12017645841027719,-0.08686783928064973,,,,,,,-0.03503028318873791,0.004601226993865115,,,,,,Tuesday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,-0.282,Negative,0.36,Merger & Acquisition,11.0,20.0,7,0.27,-20.33,48.28,0.1,covid_crash,,,0.06000000000000005,-0.46299999999999997,,1,5,2,2020,0,0,305.45,-0.342,299.75,-0.591,305.5,-0.768,293.4,-0.602,308.9,0.048006785411365493,305.0,0.034775233248515613,294.7,-0.00016963528413915796,274.0,-0.0703986429177269,CANFINHOME.NSE
2020-05-13,309.45,315.8,300.0,308.9,298.5486,474491.0,302.87,,,301.598781402867,301.1320202225518,0.4667611803152454,0.20346728461118105,0.26329389570406436,,,,,,,0.048006785411365493,0.04006734006733992,,,,,,Wednesday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,-0.676,Negative,0.614,Interest Rate Policy,13.0,27.0,1,-2.05,-28.85,38.25,-1.79,covid_crash,,,-0.3940000000000001,-0.5317999999999999,,2,5,2,2020,0,0,294.75,-0.282,305.45,-0.342,299.75,-0.591,297.0,-0.332,305.0,-0.012625445127873003,294.7,-0.04596956943994812,280.8,-0.0909679507931368,285.0,-0.07737131757850435,CANFINHOME.NSE
2020-05-14,309.0,321.7,300.25,305.0,294.7793,1175355.0,302.77,,,302.2716635008653,301.70533973908607,0.5663237617792447,0.28728893097726965,0.27903483080197505,,,,,,,-0.012625445127873003,-0.0016366612111292644,,,,,,Thursday,May,Q2,CANFINHOME.NSE,Can Fin Homes Limited,Financial Services,Mid Cap,-0.126,Negative,0.1,Global Markets,14.0,22.0,5,0.02,62.54,52.58,-0.32,covid_crash,,,0.55,-0.4034,0.24913425653205096,3,5,2,2020,0,0,308.9,-0.676,294.75,-0.282,305.45,-0.342,305.5,-0.768,294.7,-0.033770491803278735,280.8,-0.07934426229508196,274.0,-0.10163934426229504,284.6,-0.06688524590163925,CANFINHOME.NSE
