date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,-0.114,Negative,0.1,Corporate Governance,13.0,16.0,6,-1.28,-38.64,48.45,0.73,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,611.5,,597.4,,591.45,,592.55,,CIPLA.NSE
2020-05-04,589.0,616.95,580.6,611.5,588.9833,16816196.0,,,,611.5,611.5,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,0.13,Positive,0.24,Technical Factors,9.0,13.0,8,2.81,-12.15,46.82,0.53,covid_crash,,,0.244,,,0,5,2,2020,0,0,,-0.114,,,,,,,597.4,-0.0230580539656583,591.45,-0.032788225674570626,591.0,-0.03352412101390023,587.75,-0.0388389206868357,CIPLA.NSE
2020-05-05,623.05,623.05,595.0,597.4,575.4025,9257197.0,,,,603.8624999999998,604.178846153846,-0.31634615384621156,-0.17574786324789532,-0.14059829059831624,,,,,,,-0.0230580539656583,,,,,,,Tuesday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,-0.097,Neutral,0.196,Lockdown Measures,12.0,15.0,10,2.81,78.33,44.92,1.02,covid_crash,,,-0.227,,,1,5,2,2020,0,0,611.5,0.13,,-0.114,,,,,591.45,-0.009959825912286502,591.0,-0.010713090056913233,592.55,-0.008118513558754592,570.5,-0.04502845664546362,CIPLA.NSE
2020-05-06,597.5,606.0,590.0,591.45,569.6716,6979140.0,,,,599.0178983833717,599.6054953178906,-0.5875969345188423,-0.3445384662277916,-0.2430584682910507,,,,,,,-0.009959825912286502,,,,,,,Wednesday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,0.43,Positive,0.166,Interest Rate Policy,16.0,22.0,10,1.13,-22.84,58.21,0.67,covid_crash,,,0.527,,,2,5,2,2020,0,0,597.4,-0.097,611.5,0.13,,-0.114,,,591.0,-0.0007608419984783676,592.55,0.0018598359962802569,587.75,-0.00625581198748848,571.5,-0.03373066193253871,CIPLA.NSE
2020-05-07,598.0,601.8,587.5,591.0,569.2382,4620871.0,,,,596.4869612068965,597.1997748835361,-0.7128136766395983,-0.4692929412995418,-0.24352073534005647,,,,,,,-0.0007608419984783676,,,,,,,Thursday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,0.636,Positive,0.466,Lockdown Measures,14.0,21.0,7,0.29,27.32,48.44,1.49,covid_crash,,,0.20600000000000002,0.197,,3,5,2,2020,0,0,591.45,0.43,597.4,-0.097,611.5,0.13,,,592.55,0.0026226734348560043,587.75,-0.0054991539763112884,570.5,-0.0346869712351946,570.0,-0.035532994923857864,CIPLA.NSE
2020-05-08,598.0,601.2,589.5,592.55,570.7311,5051381.0,596.78,,,595.4173029175902,596.1214729095876,-0.7041699919974462,-0.5391635537156247,-0.1650064382818215,,,,,,,0.0026226734348560043,,,,,,,Friday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,-0.466,Negative,0.341,COVID-19 Impact,14.0,21.0,8,0.24,15.6,53.38,-1.29,covid_crash,,,-1.102,0.1266,,4,5,2,2020,0,0,591.0,0.636,591.45,0.43,597.4,-0.097,,-0.114,587.75,-0.00810058222934762,570.5,-0.037212049616066056,571.5,-0.035524428318285284,566.8,-0.043456248417855003,CIPLA.NSE
2020-05-11,600.95,600.95,583.45,587.75,566.1078,5853898.0,592.03,,,593.5537449333082,594.4447336542698,-0.8909887209616727,-0.6345277351401976,-0.25646098582147514,,,,,,,-0.00810058222934762,-0.0388389206868357,,,,,,Monday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,0.37,Positive,0.1,Lockdown Measures,9.0,16.0,6,3.06,21.34,50.37,0.35,covid_crash,,,0.8360000000000001,0.1746,,0,5,2,2020,0,0,592.55,-0.466,591.0,0.636,591.45,0.43,611.5,0.13,570.5,-0.02934921310080818,571.5,-0.027647809442790328,570.0,-0.030199914929817107,601.75,0.02381965121225016,CIPLA.NSE
2020-05-12,587.0,593.8,566.2,570.5,549.493,8868988.0,586.65,,,588.4093824103393,590.1862869000668,-1.7769044897274853,-0.9236328158876161,-0.8532716738398691,,,,,,,-0.02934921310080818,-0.04502845664546362,,,,,,Tuesday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,0.098,Neutral,0.107,Global Markets,10.0,9.0,9,-0.88,-67.88,39.76,-0.43,covid_crash,,,-0.272,0.21359999999999996,,1,5,2,2020,0,0,587.75,0.37,592.55,-0.466,591.0,0.636,597.4,-0.097,571.5,0.0017528483786153348,570.0,-0.0008764241893076674,566.8,-0.00648553900087645,593.55,0.04040315512708137,CIPLA.NSE
2020-05-13,600.0,605.0,568.9,571.5,550.4562,10438684.0,582.6600000000001,,,584.8806549274072,587.175463065562,-2.2948081381547354,-1.2531520307860553,-1.04165610736868,,,,,,,0.0017528483786153348,-0.03373066193253871,,,,,,Wednesday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,0.377,Positive,0.338,Capacity Expansion,13.0,27.0,8,1.57,-3.22,62.9,1.36,covid_crash,,,0.279,0.203,,2,5,2,2020,0,0,570.5,0.098,587.75,0.37,592.55,-0.466,591.45,0.43,570.0,-0.002624671916010457,566.8,-0.008223972003499669,601.75,0.05293088363954501,621.0,0.08661417322834652,CIPLA.NSE
2020-05-14,571.0,577.9,566.1,570.0,549.0114,8546052.0,578.46,,,581.9367317360008,584.6296823873865,-2.692950651385786,-1.585752655022383,-1.1071979963634029,,,,,,,-0.002624671916010457,-0.035532994923857864,,,,,,Thursday,May,Q2,CIPLA.NSE,Cipla Limited,Pharmaceuticals,Large Cap,-0.278,Negative,0.305,Earnings Report,11.0,22.0,9,0.46,-0.61,53.17,-0.78,covid_crash,,,-0.655,0.020199999999999996,0.3486217944356829,3,5,2,2020,0,0,571.5,0.377,570.5,0.098,587.75,0.37,591.0,0.636,566.8,-0.0056140350877194045,601.75,0.05570175438596481,593.55,0.041315789473684195,617.0,0.08245614035087723,CIPLA.NSE
