date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.357,Negative,0.201,Management Commentary,13.0,26.0,5,-2.86,-15.87,43.53,-2.0,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,142.3,,138.0,,133.75,,129.0,,COALINDIA.NSE
2020-05-04,144.7,144.7,140.35,142.3,91.5259,8356099.0,,,,142.3,142.3,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.601,Negative,0.424,Economic Stimulus,8.0,28.0,8,-3.26,-5.43,40.89,-1.84,covid_crash,,,-0.244,,,0,5,2,2020,0,0,,-0.357,,,,,,,138.0,-0.03021784961349272,133.75,-0.06008432888264237,130.8,-0.0808151791988756,128.45,-0.09732958538299386,COALINDIA.NSE
2020-05-05,143.9,147.25,137.35,138.0,88.7601,11879416.0,,,,139.9708333333333,140.06730769230768,-0.09647435897437617,-0.05359686609687565,-0.04287749287750052,,,,,,,-0.03021784961349272,,,,,,,Tuesday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.322,Negative,0.345,Management Commentary,13.0,22.0,6,-0.05,33.77,62.57,-0.6,covid_crash,,,0.27899999999999997,,,1,5,2,2020,0,0,142.3,-0.601,,-0.357,,,,,133.75,-0.030797101449275388,130.8,-0.05217391304347818,129.0,-0.06521739130434778,126.85,-0.08079710144927543,COALINDIA.NSE
2020-05-06,139.35,139.35,133.15,133.75,86.0266,10427774.0,,,,137.54284064665126,137.79756037456875,-0.25471972791748954,-0.13602426848237315,-0.11869545943511639,,,,,,,-0.030797101449275388,,,,,,,Wednesday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.608,Negative,0.573,Earnings Report,16.0,24.0,9,-4.91,-36.68,34.31,-0.56,covid_crash,,,-0.286,,,2,5,2,2020,0,0,138.0,-0.322,142.3,-0.601,,-0.357,,,130.8,-0.02205607476635507,129.0,-0.03551401869158877,128.45,-0.039626168224299096,130.6,-0.02355140186915894,COALINDIA.NSE
2020-05-07,130.0,133.0,130.0,130.8,84.1292,10860354.0,,,,135.41438936781609,135.84134828428589,-0.42695891646980044,-0.23457936603908966,-0.19237955043071078,,,,,,,-0.02205607476635507,,,,,,,Thursday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.064,Neutral,0.1,Earnings Report,14.0,18.0,7,0.59,-9.2,29.97,-1.25,covid_crash,,,0.544,-0.39039999999999997,,3,5,2,2020,0,0,133.75,-0.608,138.0,-0.322,142.3,-0.601,,,129.0,-0.013761467889908396,128.45,-0.017966360856269237,126.85,-0.030198776758409873,128.65,-0.016437308868501588,COALINDIA.NSE
2020-05-08,132.85,133.2,128.55,129.0,82.9714,7096898.0,134.77,,,133.67162270145832,134.25481139934223,-0.5831886978839123,-0.3382827608049222,-0.24490593707899005,,,,,,,-0.013761467889908396,,,,,,,Friday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.015,Neutral,0.1,Economic Stimulus,8.0,17.0,7,3.18,28.64,37.03,-0.8,covid_crash,,,0.049,-0.32199999999999995,,4,5,2,2020,0,0,130.8,-0.064,133.75,-0.608,138.0,-0.322,,-0.357,128.45,-0.00426356589147292,126.85,-0.01666666666666672,130.6,0.012403100775193687,129.6,0.0046511627906975495,COALINDIA.NSE
2020-05-11,130.15,131.05,128.05,128.45,82.6177,6657844.0,132.0,,,132.40249367645438,133.09215397356883,-0.6896602971144432,-0.4335256093578975,-0.2561346877565457,,,,,,,-0.00426356589147292,-0.09732958538299386,,,,,,Monday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.32,Negative,0.234,Economic Stimulus,13.0,13.0,10,-2.64,-21.08,27.74,-0.07,covid_crash,,,-0.305,-0.2658,,0,5,2,2020,0,0,129.0,-0.015,130.8,-0.064,133.75,-0.608,142.3,-0.601,126.85,-0.01245620864149466,130.6,0.016738030362008605,128.65,0.0015570260801869296,121.7,-0.052549630206305875,COALINDIA.NSE
2020-05-12,128.2,129.05,125.3,126.85,81.5886,8128169.0,129.76999999999998,,,131.1634741392466,131.98201924783802,-0.8185451085914224,-0.5309637732283211,-0.28758133536310126,,,,,,,-0.01245620864149466,-0.08079710144927543,,,,,,Tuesday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.287,Negative,0.328,Economic Stimulus,13.0,12.0,10,-0.6,30.54,53.47,0.97,covid_crash,,,0.03300000000000003,-0.2588,,1,5,2,2020,0,0,128.45,-0.32,129.0,-0.015,130.8,-0.064,138.0,-0.322,130.6,0.02956247536460377,128.65,0.014189988175010049,129.6,0.02167914860070952,123.6,-0.025620811982656644,COALINDIA.NSE
2020-05-13,132.5,132.5,128.5,130.6,84.0005,11135898.0,129.14,,,131.04588577127254,131.7593417028882,-0.7134559316156697,-0.5748200706546001,-0.1386358609610696,,,,,,,0.02956247536460377,-0.02355140186915894,,,,,,Wednesday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.561,Negative,0.607,FII/DII Activity,8.0,27.0,12,-4.43,-56.22,50.87,1.31,covid_crash,,,-0.2740000000000001,-0.2494,,2,5,2,2020,0,0,126.85,-0.287,128.45,-0.32,129.0,-0.015,133.75,-0.608,128.65,-0.014931087289433265,129.6,-0.007656967840735107,121.7,-0.06814701378254207,123.25,-0.05627871362940273,COALINDIA.NSE
2020-05-14,129.85,131.45,128.05,128.65,82.7463,5663178.0,128.70999999999998,,,130.57189428901464,131.29846900333754,-0.7265747143229078,-0.6098761462006486,-0.1166985681222592,,,,,,,-0.014931087289433265,-0.016437308868501588,,,,,,Thursday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.086,Neutral,0.182,Technical Factors,10.0,18.0,5,-3.42,33.18,46.2,1.87,covid_crash,,,0.4750000000000001,-0.2538,0.2200305281849165,3,5,2,2020,0,0,130.6,-0.561,126.85,-0.287,128.45,-0.32,130.8,-0.064,129.6,0.007384376214535582,121.7,-0.0540225417800233,123.6,-0.03925378935095225,124.5,-0.032258064516129115,COALINDIA.NSE
2020-05-15,129.7,130.85,127.75,129.6,83.3573,6296826.0,128.82999999999998,131.8,,130.38772069896763,131.06409681154568,-0.6763761125780547,-0.624775998986938,-0.051600113591116714,,,,,,,0.007384376214535582,0.0046511627906975495,,8650245.6,0.7279360946699595,,,Friday,May,Q2,COALINDIA.NSE,Coal India Limited,Mining,Large Cap,-0.182,Negative,0.1,Management Commentary,11.0,28.0,11,3.76,-84.81,34.37,1.98,covid_crash,,,-0.096,-0.2872,0.22387208649385282,4,5,2,2020,0,0,128.65,-0.086,130.6,-0.561,126.85,-0.287,129.0,-0.015,121.7,-0.06095679012345667,123.6,-0.04629629629629628,123.25,-0.048996913580246826,125.2,-0.033950617283950546,COALINDIA.NSE
