date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,0.03,Neutral,0.1,Global Markets,13.0,18.0,5,0.11,30.77,40.23,0.77,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1183.0,,1200.0,,1415.05,,1400.0,,COFORGE.NSE
2020-05-04,1166.0,1225.0,1152.1,1183.0,221.9113,4502380.0,,,,1183.0,1183.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,-0.135,Negative,0.1,Regulatory Changes,21.0,19.0,5,1.1,-14.66,55.85,-0.89,covid_crash,,,-0.165,,,0,5,2,2020,0,0,,0.03,,,,,,,1200.0,0.014370245139475823,1415.05,0.19615384615384612,1365.5,0.1542688081149619,1450.0,0.2256973795435333,COFORGE.NSE
2020-05-05,1205.0,1235.0,1174.75,1200.0,225.1002,4006040.0,,,,1192.2083333333333,1191.826923076923,0.38141025641016313,0.21189458689453505,0.16951566951562808,,,,,,,0.014370245139475823,,,,,,,Tuesday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,0.127,Positive,0.26,COVID-19 Impact,10.0,17.0,8,3.7,-24.37,38.36,0.58,covid_crash,,,0.262,,,1,5,2,2020,0,0,1183.0,-0.135,,0.03,,,,,1415.05,0.1792083333333332,1365.5,0.1379166666666667,1400.0,0.16666666666666674,1427.1,0.18924999999999992,COFORGE.NSE
2020-05-06,1234.9,1448.0,1225.5,1415.05,265.44,25742280.0,,,,1279.1834872979216,1272.0288072942335,7.1546800036880995,3.0572984462361594,4.09738155745194,,,,,,,0.1792083333333332,,,,,,,Wednesday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,-0.365,Negative,0.349,Management Commentary,15.0,18.0,5,-0.59,-68.29,43.42,-0.2,covid_crash,,,-0.492,,,2,5,2,2020,0,0,1200.0,0.127,1183.0,-0.135,,0.03,,,1365.5,-0.03501643051482273,1400.0,-0.01063566658421966,1450.0,0.02469877389491537,1418.5,0.0024380763930602622,COFORGE.NSE
2020-05-07,1401.0,1414.35,1350.15,1365.5,256.1453,6774095.0,,,,1306.4302370689654,1298.1592681229404,8.27096894602505,4.823446989525078,3.4475219564999717,,,,,,,-0.03501643051482273,,,,,,,Thursday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,-0.19,Negative,0.1,Sector Rotation,13.0,15.0,1,-0.09,35.08,35.09,0.75,covid_crash,,,0.175,-0.10659999999999999,,3,5,2,2020,0,0,1415.05,-0.365,1200.0,0.127,1183.0,-0.135,,,1400.0,0.025265470523617717,1450.0,0.06188209447088977,1427.1,0.04511168070303917,1348.0,-0.012815818381545219,COFORGE.NSE
2020-05-08,1385.0,1431.95,1360.1,1400.0,262.6169,6482605.0,1312.71,,,1331.852807241179,1321.7765538974036,10.076253343775534,6.386038122988445,3.6902152207870884,,,,,,,0.025265470523617717,,,,,,,Friday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,-0.121,Negative,0.281,Earnings Report,13.0,16.0,2,-3.79,-61.99,43.29,0.75,covid_crash,,,0.069,-0.13679999999999998,,4,5,2,2020,0,0,1365.5,-0.19,1415.05,-0.365,1200.0,0.127,,0.03,1450.0,0.03571428571428581,1427.1,0.01935714285714285,1418.5,0.013214285714285623,1359.0,-0.02928571428571425,COFORGE.NSE
2020-05-11,1405.05,1465.95,1400.0,1450.0,271.9961,4106815.0,1366.1100000000001,,,1360.5687907822864,1347.4586874782349,13.110103304051563,8.208633637848559,4.901469666203004,,,,,,,0.03571428571428581,0.2256973795435333,,,,,,Monday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,0.33,Positive,0.233,Inflation Concerns,7.0,25.0,7,-1.92,32.72,58.45,0.2,covid_crash,,,0.451,-0.04379999999999999,,0,5,2,2020,0,0,1400.0,-0.121,1365.5,-0.19,1415.05,-0.365,1183.0,-0.135,1427.1,-0.01579310344827589,1418.5,-0.02172413793103445,1348.0,-0.07034482758620686,1349.0,-0.06965517241379315,COFORGE.NSE
2020-05-12,1420.0,1454.9,1396.1,1427.1,267.7004,3246230.0,1411.53,,,1375.4149973442804,1361.6224820606108,13.792515283669672,9.621765117998782,4.17075016567089,,,,,,,-0.01579310344827589,0.18924999999999992,,,,,,Tuesday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,-0.065,Neutral,0.1,Capacity Expansion,15.0,17.0,6,-2.2,-14.03,45.77,1.4,covid_crash,,,-0.395,-0.0822,,1,5,2,2020,0,0,1450.0,0.33,1400.0,-0.121,1365.5,-0.19,1200.0,0.127,1418.5,-0.006026206993202887,1348.0,-0.05542708990259959,1359.0,-0.047719150725246906,1372.7,-0.038119262840725865,COFORGE.NSE
2020-05-13,1488.0,1488.0,1408.05,1418.5,266.0872,1978665.0,1412.2199999999998,,,1384.40617332481,1370.7868595303144,13.61931379449561,10.582451238880493,3.0368625556151176,,,,,,,-0.006026206993202887,0.0024380763930602622,,,,,,Wednesday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,-0.206,Negative,0.226,Capacity Expansion,9.0,22.0,5,-1.24,23.75,41.21,-0.51,covid_crash,,,-0.141,-0.0504,,2,5,2,2020,0,0,1427.1,-0.065,1450.0,0.33,1400.0,-0.121,1415.05,-0.365,1348.0,-0.04970038773352137,1359.0,-0.04194571730701446,1349.0,-0.04899541769474802,1415.0,-0.002467395135706707,COFORGE.NSE
2020-05-14,1401.0,1404.95,1326.15,1348.0,254.8387,2179545.0,1408.7199999999998,,,1377.2037364371783,1367.4093467094294,9.794389727748921,10.400405120215783,-0.6060153924668619,,,,,,,-0.04970038773352137,-0.012815818381545219,,,,,,Thursday,May,Q2,COFORGE.NSE,Coforge Limited,IT,Mid Cap,-0.131,Negative,0.135,Capacity Expansion,12.0,19.0,4,0.22,-32.3,40.6,-0.69,covid_crash,,,0.07499999999999998,-0.038599999999999995,0.19414610763832252,3,5,2,2020,0,0,1418.5,-0.206,1427.1,-0.065,1450.0,0.33,1365.5,-0.19,1359.0,0.008160237388723957,1349.0,0.0007418397626113293,1372.7,0.018323442136498613,1440.1,0.06832344213649844,COFORGE.NSE
