date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,0.409,Positive,0.468,Merger & Acquisition,16.0,30.0,8,0.16,37.59,43.1,0.89,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,213.25,,214.75,,209.45,,203.1,,CROMPTON.NSE
2020-05-04,219.9,226.4,212.25,213.25,204.8301,552983.0,,,,213.25,213.25,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,0.028,Neutral,0.1,Technical Factors,9.0,20.0,3,4.63,81.45,57.63,0.6,covid_crash,,,-0.38099999999999995,,,0,5,2,2020,0,0,,0.409,,,,,,,214.75,0.00703399765533419,209.45,-0.01781946072684648,207.75,-0.02579132473622514,213.7,0.002110199296600168,CROMPTON.NSE
2020-05-05,216.6,217.7,210.75,214.75,206.2708,472135.0,,,,214.06249999999997,214.02884615384613,0.033653846153839595,0.018696581196577553,0.014957264957262042,,,,,,,0.00703399765533419,,,,,,,Tuesday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,-0.315,Negative,0.214,Sector Rotation,11.0,20.0,6,2.02,-33.21,39.16,-1.05,covid_crash,,,-0.343,,,1,5,2,2020,0,0,213.25,0.028,,0.409,,,,,209.45,-0.024679860302677548,207.75,-0.03259604190919674,203.1,-0.054249126891734556,216.35,0.0074505238649591465,CROMPTON.NSE
2020-05-06,216.0,217.9,205.05,209.45,201.1801,1108387.0,,,,212.26224018475747,212.38371118777718,-0.12147100301970681,-0.03874915003960456,-0.08272185298010226,,,,,,,-0.024679860302677548,,,,,,,Wednesday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,-0.579,Negative,0.585,Inflation Concerns,11.0,27.0,4,-3.8,-102.9,43.05,-1.02,covid_crash,,,-0.26399999999999996,,,2,5,2,2020,0,0,214.75,-0.315,213.25,0.028,,0.409,,,207.75,-0.008116495583671446,203.1,-0.030317498209596505,213.7,0.020291238959178726,214.95,0.026259250417760782,CROMPTON.NSE
2020-05-07,208.0,209.55,204.15,207.75,199.5472,555298.0,,,,210.83790229885057,211.08832803090553,-0.2504257320549641,-0.11045530925889979,-0.1399704227960643,,,,,,,-0.008116495583671446,,,,,,,Thursday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,-0.83,Negative,0.681,Vaccine Rollout,10.0,39.0,4,-0.72,-8.36,36.14,-1.66,covid_crash,,,-0.251,-0.25739999999999996,,3,5,2,2020,0,0,209.45,-0.579,214.75,-0.315,213.25,0.028,,,203.1,-0.02238267148014439,213.7,0.028640192539109544,216.35,0.041395908543923055,208.15,0.0019253910950662867,CROMPTON.NSE
2020-05-08,211.95,211.95,202.5,203.1,195.0808,227908.0,209.66,,,208.73554189933506,209.2358018118894,-0.500259912554327,-0.22641336592698258,-0.2738465466273444,,,,,,,-0.02238267148014439,,,,,,,Friday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,-0.833,Negative,0.757,Regulatory Changes,16.0,35.0,5,-3.75,10.4,23.64,-1.41,covid_crash,,,-0.0030000000000000027,-0.5058,,4,5,2,2020,0,0,207.75,-0.83,209.45,-0.579,214.75,-0.315,,0.409,213.7,0.05219103889709498,216.35,0.06523879862136872,214.95,0.05834564254062036,207.85,0.0233874938453964,CROMPTON.NSE
2020-05-11,207.0,216.0,205.2,213.7,205.2623,553267.0,209.75,,,209.94216639696677,210.12994510380048,-0.18777870683371134,-0.21594122526721393,0.028162518433502592,,,,,,,0.05219103889709498,0.002110199296600168,,,,,,Monday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,-0.809,Negative,0.663,Interest Rate Policy,12.0,32.0,8,1.37,-22.31,24.83,-1.96,covid_crash,,,0.02399999999999991,-0.6732,,0,5,2,2020,0,0,203.1,-0.833,207.75,-0.83,209.45,-0.579,213.25,0.028,216.35,0.01240056153486191,214.95,0.005849321478708536,208.15,-0.025970987365465548,199.7,-0.06551240056153484,CROMPTON.NSE
2020-05-12,211.0,217.75,210.2,216.35,207.8077,575358.0,210.07,,,211.3720520461846,211.23614962317973,0.13590242300486466,-0.1268989842239651,0.2628014072288297,,,,,,,0.01240056153486191,0.0074505238649591465,,,,,,Tuesday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,0.221,Positive,0.2,Technical Factors,13.0,20.0,2,-1.21,-26.64,23.77,1.51,covid_crash,,,1.03,-0.5660000000000001,,1,5,2,2020,0,0,213.7,-0.809,203.1,-0.833,207.75,-0.83,214.75,-0.315,214.95,-0.006470996071180957,208.15,-0.03790154841691695,207.85,-0.039288190432170134,202.15,-0.06563438872197824,CROMPTON.NSE
2020-05-13,222.0,224.0,214.1,214.95,206.4629,634323.0,211.17,,,212.11871463685426,211.83454294187993,0.2841716949743329,-0.028110969826778395,0.31228266480111133,,,,,,,-0.006470996071180957,0.026259250417760782,,,,,,Wednesday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,-0.136,Negative,0.115,Global Markets,14.0,20.0,5,-1.8,-24.71,37.88,1.26,covid_crash,,,-0.357,-0.4774,,2,5,2,2020,0,0,216.35,0.221,213.7,-0.809,203.1,-0.833,209.45,-0.579,208.15,-0.03163526401488714,207.85,-0.03303093742730867,199.7,-0.07094673179809263,211.5,-0.016050244242847067,CROMPTON.NSE
2020-05-14,213.0,213.75,207.5,208.15,199.9314,363835.0,211.25,,,211.33356162332726,211.28841279135415,0.04514883197310837,-0.011187592167253681,0.05633642414036205,,,,,,,-0.03163526401488714,0.0019253910950662867,,,,,,Thursday,May,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals,Consumer Goods,Mid Cap,-0.064,Neutral,0.119,Vaccine Rollout,11.0,16.0,7,0.76,19.25,43.78,-0.62,covid_crash,,,0.07200000000000001,-0.3242,0.4552883823590397,3,5,2,2020,0,0,214.95,-0.136,216.35,0.221,213.7,-0.809,207.75,-0.83,207.85,-0.0014412683161182382,199.7,-0.040595724237328934,202.15,-0.028825366322363655,211.8,0.01753543117943801,CROMPTON.NSE
