date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,-0.823,Negative,0.595,Management Commentary,14.0,28.0,2,-0.91,-63.96,59.63,-0.86,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,373.0,,366.75,,369.85,,358.1,,CUMMINSIND.NSE
2020-05-04,358.0,382.0,354.0,373.0,343.2518,2134801.0,,,,373.0,373.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,-0.12,Negative,0.1,Interest Rate Policy,13.0,14.0,2,-3.79,5.45,47.12,-0.1,covid_crash,,,0.703,,,0,5,2,2020,0,0,,-0.823,,,,,,,366.75,-0.016756032171581725,369.85,-0.008445040214477118,358.25,-0.03954423592493295,368.95,-0.010857908847185072,CUMMINSIND.NSE
2020-05-05,367.35,374.3,365.15,366.75,337.5003,1427609.0,,,,369.61458333333326,369.7548076923077,-0.14022435897442165,-0.07790242165245646,-0.062321937321965185,,,,,,,-0.016756032171581725,,,,,,,Tuesday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,0.15,Positive,0.11,Vaccine Rollout,13.0,25.0,3,-1.57,-9.56,30.31,0.88,covid_crash,,,0.27,,,1,5,2,2020,0,0,373.0,-0.12,,-0.823,,,,,369.85,0.008452624403544773,358.25,-0.023176550783912786,358.1,-0.023585548738922935,354.35,-0.033810497614178536,CUMMINSIND.NSE
2020-05-06,370.0,379.25,358.4,369.85,340.353,2912933.0,,,,369.70646651270204,369.7890093642189,-0.08254285151684826,-0.07980423717064981,-0.0027386143461984452,,,,,,,0.008452624403544773,,,,,,,Wednesday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,-0.84,Negative,0.583,Merger & Acquisition,11.0,41.0,2,-0.75,12.37,27.57,-2.07,covid_crash,,,-0.99,,,2,5,2,2020,0,0,366.75,0.15,373.0,-0.12,,-0.823,,,358.25,-0.03136406651345147,358.1,-0.031769636339056384,368.95,-0.0024334189536299178,362.65,-0.019467351629038898,CUMMINSIND.NSE
2020-05-07,372.2,374.85,355.0,358.25,329.6782,1013292.0,,,,366.09010775862066,366.56320659584145,-0.47309883722078894,-0.21303411523641508,-0.26006472198437386,,,,,,,-0.03136406651345147,,,,,,,Thursday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,-0.821,Negative,0.761,Vaccine Rollout,12.0,31.0,5,3.09,11.35,59.66,0.02,covid_crash,,,0.019000000000000017,-0.49079999999999996,,3,5,2,2020,0,0,369.85,-0.84,366.75,0.15,373.0,-0.12,,,358.1,-0.00041870202372640275,368.95,0.029867411025819912,354.35,-0.010886252616887582,347.25,-0.03070481507327283,CUMMINSIND.NSE
2020-05-08,361.1,367.0,352.15,358.1,329.5401,960318.0,365.19,,,363.919224037062,364.6005540789331,-0.6813300418710924,-0.35234156604397016,-0.3289884758271222,,,,,,,-0.00041870202372640275,,,,,,,Friday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,-0.684,Negative,0.533,Capacity Expansion,12.0,25.0,3,-0.33,18.51,58.9,-2.06,covid_crash,,,0.1369999999999999,-0.46299999999999997,,4,5,2,2020,0,0,358.25,-0.821,369.85,-0.84,366.75,0.15,,-0.823,368.95,0.030298799218095418,354.35,-0.010471935213627437,362.65,0.012705948059201111,338.35,-0.05515219212510469,CUMMINSIND.NSE
2020-05-11,358.85,375.7,358.55,368.95,339.5248,1902972.0,364.38,,,365.14196726419584,365.47171340698657,-0.3297461427907251,-0.34621695006111036,0.016470807270385246,,,,,,,0.030298799218095418,-0.010857908847185072,,,,,,Monday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,-0.797,Negative,0.609,Global Markets,12.0,28.0,2,1.29,-5.92,55.29,-1.16,covid_crash,,,-0.11299999999999999,-0.5984,,0,5,2,2020,0,0,358.1,-0.684,358.25,-0.821,369.85,-0.84,373.0,-0.12,354.35,-0.03957175769074395,362.65,-0.017075484482992342,347.25,-0.058815557663639995,317.5,-0.1394497899444369,CUMMINSIND.NSE
2020-05-12,364.15,367.5,347.05,354.35,326.0892,2190657.0,361.9,,,362.7337775274028,363.49377433098806,-0.7599968035852385,-0.4509335923460507,-0.3090632112391878,,,,,,,-0.03957175769074395,-0.033810497614178536,,,,,,Tuesday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,-0.333,Negative,0.427,FII/DII Activity,9.0,18.0,6,-1.18,27.84,26.72,-1.33,covid_crash,,,0.464,-0.695,,1,5,2,2020,0,0,368.95,-0.797,358.1,-0.684,358.25,-0.821,366.75,0.15,362.65,0.023423169183011128,347.25,-0.020036686891491517,338.35,-0.045153097220262395,326.95,-0.07732467898969952,CUMMINSIND.NSE
2020-05-13,366.0,374.65,361.15,362.65,333.7272,2026539.0,360.46000000000004,,,362.71629444870575,363.35782137895063,-0.6415269302448792,-0.4967367555516528,-0.14479017469322636,,,,,,,0.023423169183011128,-0.019467351629038898,,,,,,Wednesday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,-0.806,Negative,0.817,Capacity Expansion,16.0,27.0,3,-4.1,45.05,48.43,-2.62,covid_crash,,,-0.47300000000000003,-0.6881999999999999,,2,5,2,2020,0,0,354.35,-0.333,368.95,-0.797,358.1,-0.684,369.85,-0.84,347.25,-0.04246518681924716,338.35,-0.06700675582517568,317.5,-0.12450020681097473,333.3,-0.08093202812629252,CUMMINSIND.NSE
2020-05-14,359.65,368.6,344.5,347.25,319.5555,7243815.0,358.26000000000005,,,359.6565109153341,360.9702886366017,-1.313777721267627,-0.6854772719931754,-0.6283004492744515,,,,,,,-0.04246518681924716,-0.03070481507327283,,,,,,Thursday,May,Q2,CUMMINSIND.NSE,Cummins India Limited,Automobile,Mid Cap,-0.722,Negative,0.651,Interest Rate Policy,14.0,27.0,7,0.44,-66.35,59.83,-2.42,covid_crash,,,0.08400000000000007,-0.6684000000000001,0.3526695652054799,3,5,2,2020,0,0,362.65,-0.806,354.35,-0.333,368.95,-0.797,358.25,-0.821,338.35,-0.025629949604031643,317.5,-0.08567314614830812,326.95,-0.05845932325413972,337.5,-0.02807775377969768,CUMMINSIND.NSE
