date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,-0.39,Negative,0.343,Lockdown Measures,11.0,20.0,4,0.2,-6.21,60.68,1.01,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,468.75,,452.5,,455.7,,446.8,,DABUR.NSE
2020-05-04,480.0,482.8,465.7,468.75,448.3965,3267221.0,,,,468.75,468.75,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,-0.234,Negative,0.177,Vaccine Rollout,13.0,13.0,3,-0.3,77.58,39.79,0.09,covid_crash,,,0.156,,,0,5,2,2020,0,0,,-0.39,,,,,,,452.5,-0.03466666666666662,455.7,-0.027839999999999976,441.9,-0.05728,446.55,-0.04735999999999996,DABUR.NSE
2020-05-05,471.0,475.55,450.0,452.5,432.8521,3676031.0,,,,459.94791666666663,460.3125,-0.36458333333337123,-0.20254629629631735,-0.16203703703705388,,,,,,,-0.03466666666666662,,,,,,,Tuesday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,0.173,Positive,0.162,FII/DII Activity,13.0,13.0,3,0.7,24.97,39.26,0.73,covid_crash,,,0.40700000000000003,,,1,5,2,2020,0,0,468.75,-0.234,,-0.39,,,,,455.7,0.0070718232044197915,441.9,-0.023425414364640962,446.8,-0.012596685082872927,443.15,-0.020662983425414394,DABUR.NSE
2020-05-06,454.95,458.35,443.1,455.7,435.9132,4087839.0,,,,458.2899538106235,458.65527353376046,-0.36531972313696315,-0.26925671713264754,-0.09606300600431561,,,,,,,0.0070718232044197915,,,,,,,Wednesday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,0.049,Neutral,0.1,Regulatory Changes,11.0,9.0,4,-0.91,2.18,54.73,-1.6,covid_crash,,,-0.12399999999999999,,,2,5,2,2020,0,0,452.5,0.173,468.75,-0.234,,-0.39,,,441.9,-0.030283080974325194,446.8,-0.019530392802282193,446.55,-0.02007899934167212,444.05,-0.02556506473557163,DABUR.NSE
2020-05-07,456.5,456.5,440.0,441.9,422.7124,3356812.0,,,,453.1162859195402,453.97123125213045,-0.8549453325902618,-0.4676607196589396,-0.3872846129313222,,,,,,,-0.030283080974325194,,,,,,,Thursday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,-0.186,Negative,0.167,Interest Rate Policy,10.0,30.0,2,1.87,-38.65,45.61,-0.79,covid_crash,,,-0.235,-0.11760000000000001,,3,5,2,2020,0,0,455.7,0.049,452.5,0.173,468.75,-0.234,,,446.8,0.011088481556913443,446.55,0.010522742701968957,443.15,0.002828694274722876,458.6,0.03779135551029644,DABUR.NSE
2020-05-08,447.0,452.0,441.65,446.8,427.3996,3238325.0,453.13,,,451.4001736094595,452.3081931463087,-0.9080195368492241,-0.59865751201683,-0.30936202483239406,,,,,,,0.011088481556913443,,,,,,,Friday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,0.156,Positive,0.1,Global Markets,14.0,12.0,3,-5.07,-6.17,50.5,-0.73,covid_crash,,,0.34199999999999997,-0.008400000000000001,,4,5,2,2020,0,0,441.9,-0.186,455.7,0.049,452.5,0.173,,-0.39,446.55,-0.0005595344673231528,443.15,-0.008169203222918586,444.05,-0.006154879140555014,443.9,-0.006490599820949017,DABUR.NSE
2020-05-11,450.0,454.7,443.5,446.55,427.1605,2890780.0,448.68999999999994,,,450.22132625567536,451.1548729848041,-0.93354672912875,-0.6894311093344421,-0.24411561979430796,,,,,,,-0.0005595344673231528,-0.04735999999999996,,,,,,Monday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,-0.014,Neutral,0.1,Economic Stimulus,14.0,12.0,3,1.46,-23.44,31.81,-1.48,covid_crash,,,-0.17,0.0356,,0,5,2,2020,0,0,446.8,0.156,441.9,-0.186,455.7,0.049,468.75,-0.234,443.15,-0.007613929011308973,444.05,-0.005598477214197706,458.6,0.02698466017243306,436.1,-0.023401634755346512,DABUR.NSE
2020-05-12,447.0,451.75,439.2,443.15,423.9081,2465770.0,446.82,,,448.6433845424041,449.7312478206183,-1.087863278214229,-0.7902636620748685,-0.2975996161393605,,,,,,,-0.007613929011308973,-0.020662983425414394,,,,,,Tuesday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,0.38,Positive,0.418,FII/DII Activity,10.0,13.0,2,-1.08,-12.12,41.79,-0.03,covid_crash,,,0.394,0.077,,1,5,2,2020,0,0,446.55,-0.014,446.8,0.156,441.9,-0.186,452.5,0.173,444.05,0.0020309150400541487,458.6,0.03486404152092981,443.9,0.001692429200045087,437.1,-0.013652262213697308,DABUR.NSE
2020-05-13,458.0,458.6,442.45,444.05,424.769,2202274.0,444.48999999999995,,,447.6848159867278,448.8158580249075,-1.1310420381797144,-0.872159114191646,-0.25888292398806834,,,,,,,0.0020309150400541487,-0.02556506473557163,,,,,,Wednesday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,-0.184,Negative,0.116,Merger & Acquisition,12.0,16.0,5,-1.96,14.19,44.94,-0.83,covid_crash,,,-0.5640000000000001,0.030400000000000003,,2,5,2,2020,0,0,443.15,0.38,446.55,-0.014,446.8,0.156,455.7,0.049,458.6,0.032766580340051865,443.9,-0.00033779979732018184,436.1,-0.017903389257966418,439.65,-0.009908794054723669,DABUR.NSE
2020-05-14,445.5,461.0,445.0,458.6,438.6873,3710845.0,447.83000000000004,,,449.84422788841493,450.2660826562689,-0.42185476785397213,-0.7681365762162614,0.3462818083622893,,,,,,,0.032766580340051865,0.03779135551029644,,,,,,Thursday,May,Q2,DABUR.NSE,Dabur India Limited,FMCG,Mid Cap,-0.176,Negative,0.15,Economic Stimulus,10.0,11.0,10,1.86,-10.77,61.88,-0.02,covid_crash,,,0.008000000000000007,0.032400000000000005,0.23319005124575962,3,5,2,2020,0,0,444.05,-0.184,443.15,0.38,446.55,-0.014,441.9,-0.186,443.9,-0.032054077627562294,436.1,-0.04906236371565631,437.1,-0.04688181421718274,440.15,-0.04023113824683833,DABUR.NSE
