date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.224,Negative,0.299,Global Markets,11.0,28.0,5,-0.11,7.56,66.57,-1.84,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,2287.15,,2284.25,,2291.35,,2300.8,,DIVISLAB.NSE
2020-05-04,2226.0,2343.95,2226.0,2287.15,2228.7228,936799.0,,,,2287.15,2287.15,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,0.111,Positive,0.158,Interest Rate Policy,13.0,16.0,8,-1.43,-5.98,67.89,-1.75,covid_crash,,,0.335,,,0,5,2,2020,0,0,,-0.224,,,,,,,2284.25,-0.0012679535666659802,2291.35,0.0018363465448265615,2258.85,-0.012373477909188413,2326.9,0.017379708370679703,DIVISLAB.NSE
2020-05-05,2273.2,2326.0,2273.2,2284.25,2225.8969,609756.0,,,,2285.5791666666664,2285.644230769231,-0.06506410256452,-0.03614672364695556,-0.02891737891756444,,,,,,,-0.0012679535666659802,,,,,,,Tuesday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.305,Negative,0.308,Global Markets,11.0,20.0,6,1.0,52.68,36.81,-0.69,covid_crash,,,-0.416,,,1,5,2,2020,0,0,2287.15,0.111,,-0.224,,,,,2291.35,0.0031082412170295726,2258.85,-0.01111962350881035,2300.8,0.007245266498850933,2363.55,0.03471598993104963,DIVISLAB.NSE
2020-05-06,2310.0,2313.85,2241.7,2291.35,2232.8155,762810.0,,,,2287.8315242494223,2287.6942582552983,0.13726599412393625,0.03492406232472141,0.10234193179921484,,,,,,,0.0031082412170295726,,,,,,,Wednesday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,0.236,Positive,0.364,Technical Factors,10.0,19.0,13,-0.12,76.86,42.79,-0.98,covid_crash,,,0.5409999999999999,,,2,5,2,2020,0,0,2284.25,-0.305,2287.15,0.111,,-0.224,,,2258.85,-0.014183778122067725,2300.8,0.004124206253955265,2326.9,0.015514871145831055,2339.5,0.02101381281777126,DIVISLAB.NSE
2020-05-07,2280.35,2310.0,2227.0,2258.85,2201.1457,498471.0,,,,2278.683189655172,2279.630664129076,-0.9474744739040943,-0.2978667697311104,-0.649607704172984,,,,,,,-0.014183778122067725,,,,,,,Thursday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,0.11,Positive,0.302,Management Commentary,17.0,12.0,6,-2.8,39.57,34.5,0.12,covid_crash,,,-0.126,-0.0144,,3,5,2,2020,0,0,2291.35,0.236,2284.25,-0.305,2287.15,0.111,,,2300.8,0.018571396949775387,2326.9,0.030125949044867983,2363.55,0.04635101932399244,2366.6,0.047701263917480086,DIVISLAB.NSE
2020-05-08,2271.0,2314.85,2253.1,2300.8,2242.0241,641799.0,2284.48,,,2284.692247980898,2284.5399204325636,0.15232754833459694,-0.16394413822655685,0.3162716865611538,,,,,,,0.018571396949775387,,,,,,,Friday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.015,Neutral,0.164,FII/DII Activity,17.0,10.0,7,-3.24,-76.48,26.92,-0.95,covid_crash,,,-0.125,0.0274,,4,5,2,2020,0,0,2258.85,0.11,2291.35,0.236,2284.25,-0.305,,-0.224,2326.9,0.011343880389429684,2363.55,0.027273122392211357,2339.5,0.016820236439499148,2335.2,0.014951321279554675,DIVISLAB.NSE
2020-05-11,2319.0,2356.0,2310.05,2326.9,2267.4573,654101.0,2292.4300000000003,,,2294.950952263122,2293.0243065180466,1.9266457450753478,0.40272195469723976,1.523923790378108,,,,,,,0.011343880389429684,0.017379708370679703,,,,,,Monday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.283,Negative,0.167,Regulatory Changes,11.0,22.0,9,-0.74,55.07,49.81,-2.06,covid_crash,,,-0.26799999999999996,-0.0514,,0,5,2,2020,0,0,2300.8,-0.015,2258.85,0.11,2291.35,0.236,2287.15,0.111,2363.55,0.01575056942713493,2339.5,0.005414929734840257,2366.6,0.017061326228028584,2330.2,0.0014181958829342367,DIVISLAB.NSE
2020-05-12,2330.0,2374.35,2303.05,2363.55,2303.1711,676613.0,2308.29,,,2310.2585897558524,2305.5669355083087,4.691654247543738,1.488136299714757,3.2035179478289812,,,,,,,0.01575056942713493,0.03471598993104963,,,,,,Tuesday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.051,Neutral,0.225,Vaccine Rollout,10.0,21.0,6,-0.14,-84.64,44.33,-1.76,covid_crash,,,0.23199999999999998,-0.0006000000000000019,,1,5,2,2020,0,0,2326.9,-0.283,2300.8,-0.015,2258.85,0.11,2284.25,-0.305,2339.5,-0.010175371792430998,2366.6,0.0012904317657760345,2335.2,-0.011994669035984118,2321.75,-0.01768526157686534,DIVISLAB.NSE
2020-05-13,2388.0,2396.9,2314.0,2339.5,2279.7355,538167.0,2317.92,,,2316.360821372846,2311.034393002446,5.326428370400208,2.410550063398858,2.9158783070013503,,,,,,,-0.010175371792430998,0.02101381281777126,,,,,,Wednesday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.178,Negative,0.1,Merger & Acquisition,9.0,19.0,10,1.53,44.15,39.13,-0.34,covid_crash,,,-0.127,-0.0834,,2,5,2,2020,0,0,2363.55,-0.051,2326.9,-0.283,2300.8,-0.015,2291.35,0.236,2366.6,0.011583671724727518,2335.2,-0.0018379995725583687,2330.2,-0.003975208377858586,2372.7,0.014191066467193814,DIVISLAB.NSE
2020-05-14,2329.0,2377.9,2302.0,2366.6,2306.1432,413755.0,2339.4700000000003,,,2326.2999190670807,2319.270435787755,7.029483279325632,3.477546550923789,3.551936728401843,,,,,,,0.011583671724727518,0.047701263917480086,,,,,,Thursday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,0.338,Positive,0.376,Global Markets,9.0,16.0,10,4.28,25.53,47.74,0.56,covid_crash,,,0.516,-0.0378,0.2224482211911597,3,5,2,2020,0,0,2339.5,-0.178,2363.55,-0.051,2326.9,-0.283,2258.85,0.11,2335.2,-0.013267979379700923,2330.2,-0.015380714949716934,2321.75,-0.018951238063043996,2357.35,-0.003908560804529726,DIVISLAB.NSE
2020-05-15,2376.0,2413.0,2327.35,2335.2,2275.5453,600190.0,2346.35,2315.415,,2327.9864809449023,2321.468560611568,6.517920333334132,4.158766771639562,2.35915356169457,,,,,,,-0.013267979379700923,0.014951321279554675,,633246.1,0.9477989678894193,,,Friday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.201,Negative,0.288,Merger & Acquisition,10.0,17.0,11,-1.81,-26.55,58.92,-1.4,covid_crash,,,-0.539,-0.075,0.2202830502381475,4,5,2,2020,0,0,2366.6,0.338,2339.5,-0.178,2363.55,-0.051,2300.8,-0.015,2330.2,-0.0021411442274751336,2321.75,-0.005759677971908128,2372.7,0.016058581706063668,2320.0,-0.006509078451524375,DIVISLAB.NSE
2020-05-18,2342.0,2379.0,2318.4,2330.2,2270.673,600640.0,2347.0099999999998,2319.72,,2328.391501560271,2322.601031066372,5.790470493899193,4.515774222619206,1.2746962712799865,,,,,,,-0.0021411442274751336,0.0014181958829342367,0.01882255208447181,599630.2,1.0016840379287102,0.012088196863272874,,Monday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.271,Negative,0.288,Sector Rotation,15.0,20.0,9,1.24,41.32,50.69,-0.6,covid_crash,,,-0.07,-0.07260000000000001,0.22731915889339377,0,5,2,2020,0,0,2335.2,-0.201,2366.6,0.338,2339.5,-0.178,2326.9,-0.283,2321.75,-0.0036262981718306886,2372.7,0.01823877778731431,2357.35,0.0116513603982491,,,DIVISLAB.NSE
2020-05-19,2350.0,2358.0,2307.8,2321.75,2262.4389,322942.0,2338.65,2323.47,,2327.210664385972,2322.496468490672,4.714195895299781,4.558386876427349,0.15580901887243215,,,,,,,-0.0036262981718306886,-0.01768526157686534,0.01641676699135375,570948.8,0.5656233974044608,0.012180220990271962,,Tuesday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,0.068,Neutral,0.102,Inflation Concerns,10.0,21.0,7,-1.93,-14.83,49.05,-0.19,covid_crash,,,0.339,-0.04880000000000001,0.21317809455945513,1,5,2,2020,0,0,2330.2,-0.271,2335.2,-0.201,2366.6,0.338,2363.55,-0.051,2372.7,0.021944653817163706,2357.35,0.015333261548400978,2320.0,-0.0007537417895984166,2295.7,-0.011219984925164295,DIVISLAB.NSE
2020-05-20,2325.0,2376.7,2311.1,2372.7,2312.0873,600994.0,2345.29,2331.605,,2335.1093411649103,2328.3778031516003,6.731538013310001,5.018301158870187,1.7132368544398133,,,,,,,0.021944653817163706,0.014191066467193814,0.035503087699391145,554767.2,1.0833264836133067,0.013774939210929078,,Wednesday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,0.195,Positive,0.205,COVID-19 Impact,14.0,16.0,8,-2.59,18.52,56.59,0.45,covid_crash,,,0.127,0.02579999999999999,0.20793684938782095,2,5,2,2020,0,0,2321.75,0.068,2330.2,-0.271,2335.2,-0.201,2339.5,-0.178,2357.35,-0.006469423020187937,2320.0,-0.022210983268006856,,,2290.4,-0.03468622244700115,DIVISLAB.NSE
2020-05-21,2375.0,2390.5,2333.3,2357.35,2297.1295,317110.0,2343.4399999999996,2341.4550000000004,,2338.896215260143,2331.631725649026,7.264489611116915,5.488205458996778,1.7762841521201365,,,,,,61.34087237479803,-0.006469423020187937,-0.003908560804529726,0.04360625982247601,536631.1,0.5909273614592967,0.0128548699418112,,Thursday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.192,Negative,0.121,COVID-19 Impact,11.0,16.0,8,-0.03,48.05,58.22,-1.21,covid_crash,,,-0.387,-0.08020000000000002,0.20746833761109457,3,5,2,2020,0,0,2372.7,0.195,2321.75,0.068,2330.2,-0.271,2366.6,0.338,2320.0,-0.01584406218847434,,,2295.7,-0.026152247226758907,2285.1,-0.030648821770208112,DIVISLAB.NSE
2020-05-22,2351.0,2375.15,2305.0,2320.0,2260.7336,479501.0,2340.4,2343.375,,2335.7307757121525,2330.3734578579183,5.357317854234225,5.461073310433653,-0.10375545619942805,,,,,,54.73547643073374,-0.01584406218847434,-0.006509078451524375,0.008344923504867818,520401.3,0.9214062301535373,0.01322638282275275,,Friday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,0.433,Positive,0.311,Lockdown Measures,4.0,23.0,11,2.05,-26.37,43.68,1.12,covid_crash,,,0.625,0.04659999999999999,0.2597959883361472,4,5,2,2020,0,0,2357.35,-0.192,2372.7,0.195,2321.75,0.068,2335.2,-0.201,,,2295.7,-0.010474137931034577,2290.4,-0.012758620689655165,2390.1,0.030215517241379164,DIVISLAB.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.092,Neutral,0.194,Economic Stimulus,11.0,12.0,7,-3.2,-14.23,38.09,0.25,covid_crash,,,-0.525,0.0824,0.2444033324013584,0,5,2,2020,0,0,2320.0,0.433,2357.35,-0.192,2372.7,0.195,2330.2,-0.271,2295.7,,2290.4,,2285.1,,2480.05,,DIVISLAB.NSE
2020-05-26,2339.95,2344.9,2287.4,2295.7,2237.0544,404978.0,2333.5,2340.255,,2329.11537440087,2326.746329330323,2.369045070547145,4.824756949159321,-2.455711878612176,,,,,,51.55465037338763,-0.010474137931034577,-0.014805596086172823,-0.013408397438652409,495489.0,0.8173299508162644,0.013113006295441388,,Tuesday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,0.646,Positive,0.624,Merger & Acquisition,13.0,26.0,7,1.29,-6.68,57.19,2.13,covid_crash,,,0.738,0.198,0.3156827521420833,1,5,2,2020,0,0,,-0.092,2320.0,0.433,2357.35,-0.192,2321.75,0.068,2290.4,-0.0023086640240448375,2285.1,-0.004617328048089897,2390.1,0.04112035544714043,2411.0,0.05022433244761948,DIVISLAB.NSE
2020-05-27,2305.0,2320.0,2260.0,2290.4,2231.8898,720014.0,2327.23,2332.94,,2322.789542220977,2323.056859495556,-0.2673172745789998,3.7828811470407184,-4.050198421619719,,,,,,49.8703779506072,-0.0023086640240448375,-0.013502745773662062,-0.030949207759514374,499829.1,1.440520369862419,0.011672633452488826,,Wednesday,May,Q2,DIVISLAB.NSE,Divi's Laboratories Limited,Pharmaceuticals,Large Cap,-0.181,Negative,0.155,Earnings Report,8.0,18.0,8,0.56,3.8,46.99,-0.5,covid_crash,,,-0.827,0.12279999999999998,0.31595078730713744,2,5,2,2020,0,0,2295.7,0.646,,-0.092,2320.0,0.433,2372.7,0.195,2285.1,-0.0023140062871115363,2390.1,0.04352951449528453,2480.05,0.08280213063220399,2382.2,0.04008033531260913,DIVISLAB.NSE
