date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,-0.472,Negative,0.408,Corporate Governance,9.0,22.0,8,-3.76,-1.43,35.8,-1.17,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,4586.75,,4513.6,,4416.9,,4255.8,,DIXON.NSE
2020-05-04,4500.0,4789.8,4405.0,4586.75,915.7625,582690.0,,,,4586.75,4586.75,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,-0.152,Negative,0.255,Technical Factors,10.0,20.0,3,-2.61,27.99,58.25,-0.19,covid_crash,,,0.31999999999999995,,,0,5,2,2020,0,0,,-0.472,,,,,,,4513.6,-0.015948111407859566,4416.9,-0.037030577206082826,4352.45,-0.05108192074998641,4235.2,-0.07664468305445038,DIXON.NSE
2020-05-05,4646.0,4700.05,4481.1,4513.6,901.1578,317030.0,,,,4547.127083333334,4548.768269230769,-1.6411858974352072,-0.9117699430195595,-0.7294159544156477,,,,,,,-0.015948111407859566,,,,,,,Tuesday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,-0.259,Negative,0.356,Regulatory Changes,13.0,20.0,2,-4.23,-20.13,51.63,0.49,covid_crash,,,-0.10700000000000001,,,1,5,2,2020,0,0,4586.75,-0.152,,-0.472,,,,,4416.9,-0.021424140375753464,4352.45,-0.03570320808224048,4255.8,-0.05711627082594828,4207.95,-0.06771756469337131,DIXON.NSE
2020-05-06,4520.0,4636.3,4374.95,4416.9,881.8513,240960.0,,,,4496.299422632795,4501.389280433711,-5.089857800916434,-2.6241010323215566,-2.4657567685948774,,,,,,,-0.021424140375753464,,,,,,,Wednesday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,-0.428,Negative,0.132,FII/DII Activity,9.0,24.0,10,-0.86,18.26,55.93,-1.31,covid_crash,,,-0.16899999999999998,,,2,5,2,2020,0,0,4513.6,-0.259,4586.75,-0.152,,-0.472,,,4352.45,-0.014591681948878166,4255.8,-0.03647354479385978,4235.2,-0.041137449342298904,4369.35,-0.010765468994090699,DIXON.NSE
2020-05-07,4420.0,4488.0,4320.1,4352.45,868.9836,195970.0,,,,4450.891781609195,4459.752366208386,-8.860584599190588,-4.736730966897786,-4.123853632292802,,,,,,,-0.014591681948878166,,,,,,,Thursday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,-0.312,Negative,0.1,Vaccine Rollout,11.0,27.0,6,0.75,-13.81,24.84,-0.44,covid_crash,,,0.11599999999999999,-0.3246,,3,5,2,2020,0,0,4416.9,-0.428,4513.6,-0.259,4586.75,-0.152,,,4255.8,-0.022205884042320934,4235.2,-0.026938850532458702,4207.95,-0.033199692127422464,4317.35,-0.008064423485622862,DIXON.NSE
2020-05-08,4394.0,4469.95,4230.15,4255.8,849.687,113790.0,4425.1,,,4397.88604179945,4412.454971262952,-14.568929463502172,-7.6615877305235545,-6.907341732978618,,,,,,,-0.022205884042320934,,,,,,,Friday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,-0.613,Negative,0.382,Corporate Governance,11.0,29.0,7,4.33,18.05,61.18,-2.15,covid_crash,,,-0.301,-0.3528,,4,5,2,2020,0,0,4352.45,-0.312,4416.9,-0.428,4513.6,-0.259,,-0.472,4235.2,-0.004840453028807867,4207.95,-0.011243479486818031,4369.35,0.02668123502044284,4406.35,0.035375252596456574,DIXON.NSE
2020-05-11,4299.0,4378.0,4211.0,4235.2,845.5742,126645.0,4354.79,,,4358.344774761328,4376.952214253917,-18.607439492589037,-10.628522135628474,-7.978917356960563,,,,,,,-0.004840453028807867,-0.07664468305445038,,,,,,Monday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,-0.338,Negative,0.326,Earnings Report,12.0,25.0,5,0.83,-5.31,58.96,-1.41,covid_crash,,,0.27499999999999997,-0.39,,0,5,2,2020,0,0,4255.8,-0.613,4352.45,-0.312,4416.9,-0.428,4586.75,-0.152,4207.95,-0.006434170759350155,4369.35,0.03167500944465451,4317.35,0.01939695882130721,4256.4,0.005005666792595287,DIXON.NSE
2020-05-12,4240.6,4328.0,4185.0,4207.95,840.1336,150515.0,4293.659999999999,,,4324.784706964503,4346.896046533113,-22.111339568609765,-13.53451689422216,-8.576822674387605,,,,,,,-0.006434170759350155,-0.06771756469337131,,,,,,Tuesday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,0.005,Neutral,0.242,Earnings Report,11.0,14.0,5,-1.51,65.41,37.34,1.63,covid_crash,,,0.343,-0.3372,,1,5,2,2020,0,0,4235.2,-0.338,4255.8,-0.613,4352.45,-0.312,4513.6,-0.259,4369.35,0.03835596905856775,4317.35,0.025998407775758015,4406.35,0.047148849202105714,4301.75,0.02229113939091487,DIXON.NSE
2020-05-13,4600.0,4600.0,4351.0,4369.35,872.3577,347475.0,4284.15,,,4334.084796731419,4350.513934808003,-16.429138076583513,-14.230148797706992,-2.198989278876521,,,,,,,0.03835596905856775,-0.010765468994090699,,,,,,Wednesday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,-0.028,Neutral,0.1,Economic Stimulus,21.0,15.0,7,3.0,10.93,62.78,-1.39,covid_crash,,,-0.033,-0.2572,,2,5,2,2020,0,0,4207.95,0.005,4235.2,-0.338,4255.8,-0.613,4416.9,-0.428,4317.35,-0.011901083685216363,4406.35,0.008468078776019405,4256.4,-0.025850526966253673,4390.85,0.004920640369848961,DIXON.NSE
2020-05-14,4349.95,4430.0,4285.15,4317.35,861.9757,121370.0,4277.13,,,4330.774058296757,4345.598311623685,-14.824253326927646,-14.36738989132473,-0.45686343560291576,,,,,,,-0.011901083685216363,-0.008064423485622862,,,,,,Thursday,May,Q2,DIXON.NSE,Dixon Technologies India Limited,Consumer Goods,Mid Cap,0.017,Neutral,0.1,Sector Rotation,13.0,12.0,4,2.27,29.72,29.1,1.31,covid_crash,,,0.045,-0.1914,0.21575912495187777,3,5,2,2020,0,0,4369.35,-0.028,4207.95,0.005,4235.2,-0.338,4352.45,-0.312,4406.35,0.02061449731895726,4256.4,-0.014117456310005161,4301.75,-0.0036133276199521447,4296.3,-0.0048756760512814745,DIXON.NSE
