date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,-0.101,Negative,0.117,Lockdown Measures,8.0,11.0,6,-1.32,-28.42,59.75,0.33,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,3920.0,,3837.0,,3835.0,,3978.0,,DRREDDY.NSE
2020-05-04,3850.0,4006.0,3848.2,3920.0,715.6207,7077460.0,,,,3920.0,3920.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,0.186,Positive,0.176,Merger & Acquisition,10.0,21.0,11,-1.4,-4.83,62.35,0.61,covid_crash,,,0.28700000000000003,,,0,5,2,2020,0,0,,-0.101,,,,,,,3837.0,-0.021173469387755106,3835.0,-0.02168367346938771,3825.0,-0.02423469387755106,3866.0,-0.013775510204081631,DRREDDY.NSE
2020-05-05,3980.0,3986.35,3806.0,3837.0,700.4685,3978675.0,,,,3875.041666666666,3876.9038461538457,-1.8621794871796737,-1.0345441595442633,-0.8276353276354105,,,,,,,-0.021173469387755106,,,,,,,Tuesday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,0.435,Positive,0.407,Earnings Report,17.0,24.0,10,-0.2,-32.59,34.2,-0.56,covid_crash,,,0.249,,,1,5,2,2020,0,0,3920.0,0.186,,-0.101,,,,,3835.0,-0.0005212405525150121,3825.0,-0.0031274433150899617,3978.0,0.036747458952306467,3785.0,-0.013552254365389649,DRREDDY.NSE
2020-05-06,3851.0,3880.0,3805.05,3835.0,700.1034,4779690.0,,,,3859.4133949191682,3861.8482010842777,-2.4348061651094213,-1.6084220306775245,-0.8263841344318967,,,,,,,-0.0005212405525150121,,,,,,,Wednesday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,-0.427,Negative,0.401,COVID-19 Impact,13.0,17.0,8,-2.73,-7.91,49.77,-2.26,covid_crash,,,-0.862,,,2,5,2,2020,0,0,3837.0,0.435,3920.0,0.186,,-0.101,,,3825.0,-0.0026075619295958807,3978.0,0.03728813559322042,3866.0,0.008083441981747042,3785.55,-0.012894393741851307,DRREDDY.NSE
2020-05-07,3908.9,3936.55,3818.55,3825.0,698.2779,4581515.0,,,,3848.5504310344827,3851.5470543120095,-2.996623277526851,-2.0786799056264833,-0.9179433719003676,,,,,,,-0.0026075619295958807,,,,,,,Thursday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,0.458,Positive,0.509,Management Commentary,12.0,22.0,8,0.49,7.25,31.37,-1.94,covid_crash,,,0.885,0.11019999999999999,,3,5,2,2020,0,0,3835.0,-0.427,3837.0,0.435,3920.0,0.186,,,3978.0,0.040000000000000036,3866.0,0.010718954248366108,3785.0,-0.010457516339869244,3732.05,-0.024300653594771182,DRREDDY.NSE
2020-05-08,3900.1,4132.2,3900.1,3978.0,726.209,10017375.0,3879.0,,,3883.7214162726764,3880.8720139847383,2.849402287938119,-0.612686868511835,3.462089156449954,,,,,,,0.040000000000000036,,,,,,,Friday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,-0.279,Negative,0.404,Management Commentary,9.0,16.0,9,-0.22,-25.5,45.78,0.7,covid_crash,,,-0.7370000000000001,0.07459999999999999,,4,5,2,2020,0,0,3825.0,0.458,3835.0,-0.427,3837.0,0.435,,-0.101,3866.0,-0.02815485168426346,3785.0,-0.04851684263448974,3785.55,-0.04837858220211155,3730.0,-0.06234288587229764,DRREDDY.NSE
2020-05-11,3977.8,3977.8,3848.05,3866.0,705.7627,5974940.0,3868.2,,,3879.4141797981697,3877.893268198524,1.5209115996458422,-0.03436305786106385,1.555274657506906,,,,,,,-0.02815485168426346,-0.013775510204081631,,,,,,Monday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,0.067,Neutral,0.1,Technical Factors,12.0,12.0,9,-3.0,-34.86,43.69,-1.79,covid_crash,,,0.34600000000000003,0.0508,,0,5,2,2020,0,0,3978.0,-0.279,3825.0,0.458,3835.0,-0.427,3920.0,0.186,3785.0,-0.020951888256595996,3785.55,-0.02080962234868078,3732.05,-0.034648215209518884,3672.0,-0.05018106570098291,DRREDDY.NSE
2020-05-12,3863.2,3909.6,3759.15,3785.0,690.9756,5392505.0,3857.8,,,3858.3459859062173,3861.3726819953536,-3.026696089136294,-0.791642719895619,-2.235053369240675,,,,,,,-0.020951888256595996,-0.013552254365389649,,,,,,Tuesday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,-0.085,Neutral,0.1,Vaccine Rollout,12.0,14.0,8,0.18,-64.29,46.58,0.44,covid_crash,,,-0.15200000000000002,-0.053200000000000004,,1,5,2,2020,0,0,3866.0,0.067,3978.0,-0.279,3825.0,0.458,3837.0,0.435,3785.55,0.00014531043593124515,3732.05,-0.013989431968295829,3730.0,-0.014531043593130732,3707.8,-0.020396301188903565,DRREDDY.NSE
2020-05-13,3849.0,3849.0,3735.1,3785.55,691.076,4392180.0,3847.91,,,3843.154585659847,3849.1557691667876,-6.0011835069408335,-2.043593336458798,-3.9575901704820353,,,,,,,0.00014531043593124515,-0.012894393741851307,,,,,,Wednesday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,0.021,Neutral,0.16,Management Commentary,15.0,8.0,6,1.12,-25.74,40.27,-0.5,covid_crash,,,0.10600000000000001,0.036399999999999995,,2,5,2,2020,0,0,3785.0,-0.085,3866.0,0.067,3978.0,-0.279,3835.0,-0.427,3732.05,-0.014132688777060087,3730.0,-0.014674221711508229,3672.0,-0.02999564132028376,3915.05,0.03420903171269707,DRREDDY.NSE
2020-05-14,3790.0,3819.95,3718.6,3732.05,681.3093,4485705.0,3829.3199999999997,,,3821.17414407369,3831.798123360693,-10.62397928700284,-4.025705058548677,-6.598274228454162,,,,,,,-0.014132688777060087,-0.024300653594771182,,,,,,Thursday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,-0.123,Negative,0.203,Inflation Concerns,10.0,17.0,6,2.09,-63.27,49.89,-1.26,covid_crash,,,-0.144,-0.07980000000000001,0.28459124683970477,3,5,2,2020,0,0,3785.55,0.021,3785.0,-0.085,3866.0,0.067,3825.0,0.458,3730.0,-0.0005492959633446315,3672.0,-0.016090352487239,3707.8,-0.006497769322490354,3839.0,0.028657172331560288,DRREDDY.NSE
2020-05-15,3746.0,3778.9,3717.05,3730.0,680.935,4496935.0,3779.72,3829.3599999999997,,3803.896679206046,3817.75097310628,-13.854293900234097,-6.22787950788547,-7.626414392348627,,,,,,,-0.0005492959633446315,-0.06234288587229764,,5517698.0,0.815002017145556,,,Friday,May,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Large Cap,0.096,Neutral,0.1,Merger & Acquisition,15.0,27.0,7,-3.21,-11.57,33.45,-1.63,covid_crash,,,0.219,-0.00480000000000001,0.2824643340317499,4,5,2,2020,0,0,3732.05,-0.123,3785.55,0.021,3785.0,-0.085,3978.0,-0.279,3672.0,-0.015549597855227915,3707.8,-0.0059517426273457685,3915.05,0.04961126005361938,3886.0,0.04182305630026817,DRREDDY.NSE
