date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.569,Negative,0.516,Sector Rotation,12.0,22.0,9,1.34,-57.14,25.3,0.46,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,13748.8,,13810.9,,13859.9,,13858.9,,EICHERMOT.NSE
2020-05-04,14390.0,14390.0,13614.4,13748.8,1327.809,1924440.0,,,,13748.8,13748.8,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.341,Negative,0.261,Inflation Concerns,8.0,21.0,8,-3.76,-5.88,45.13,0.83,covid_crash,,,0.22799999999999992,,,0,5,2,2020,0,0,,-0.569,,,,,,,13810.9,0.004516757826137585,13859.9,0.008080705225183227,14010.5,0.01903438845571981,14289.0,0.039290701733969646,EICHERMOT.NSE
2020-05-05,14000.0,14162.9,13666.0,13810.9,1333.8064,1524890.0,,,,13782.4375,13781.04423076923,1.3932692307698744,0.7740384615388191,0.6192307692310554,,,,,,,0.004516757826137585,,,,,,,Tuesday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.519,Negative,0.436,Sector Rotation,13.0,14.0,7,-2.08,5.31,50.63,-0.39,covid_crash,,,-0.178,,,1,5,2,2020,0,0,13748.8,-0.341,,-0.569,,,,,13859.9,0.0035479222932610632,14010.5,0.014452352851733075,13858.9,0.003475515715847699,14167.0,0.025783982216944556,EICHERMOT.NSE
2020-05-06,13825.0,14175.4,13600.0,13859.9,1338.5387,1871230.0,,,,13812.671131639723,13809.37634302612,3.2947886136025772,1.8071327861551132,1.487655827447464,,,,,,,0.0035479222932610632,,,,,,,Wednesday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.614,Negative,0.565,Sector Rotation,14.0,33.0,10,-6.87,-5.82,43.37,-0.0,covid_crash,,,-0.09499999999999997,,,2,5,2,2020,0,0,13810.9,-0.519,13748.8,-0.341,,-0.569,,,14010.5,0.010865879263198153,13858.9,-7.215059271714619e-05,14289.0,0.030959819334915872,14271.7,0.02971161408090972,EICHERMOT.NSE
2020-05-07,13859.9,14105.0,13712.9,14010.5,1353.0831,1270450.0,,,,13875.117974137933,13865.601728496762,9.516245641170826,4.418620880672631,5.097624760498196,,,,,,,0.010865879263198153,,,,,,,Thursday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.991,Negative,0.784,FII/DII Activity,12.0,27.0,10,-3.63,19.06,52.89,-2.59,covid_crash,,,-0.377,-0.6068,,3,5,2,2020,0,0,13859.9,-0.614,13810.9,-0.519,13748.8,-0.341,,,13858.9,-0.010820456086506614,14289.0,0.01987794868134607,14167.0,0.011170193783234028,14031.9,0.0015274258591770895,EICHERMOT.NSE
2020-05-08,14230.8,14330.8,13571.0,13858.9,1338.4421,1643300.0,13857.8,,,13870.711608527317,13864.047570016422,6.664038510894898,5.086581860629278,1.5774566502656198,,,,,,,-0.010820456086506614,,,,,,,Friday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.974,Negative,0.702,Interest Rate Policy,14.0,43.0,4,3.34,5.09,49.17,-3.32,covid_crash,,,0.017000000000000015,-0.6878,,4,5,2,2020,0,0,14010.5,-0.991,13859.9,-0.614,13810.9,-0.519,,-0.569,14289.0,0.031034209064211504,14167.0,0.022231201610517504,14271.7,0.029785913744958092,14099.6,0.017367900771345646,EICHERMOT.NSE
2020-05-11,14059.9,14550.0,14000.0,14289.0,1379.9796,1958240.0,13965.84,,,13972.37769372568,13949.162152443141,23.21554128253956,10.000537814612244,13.215003467927318,,,,,,,0.031034209064211504,0.039290701733969646,,,,,,Monday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.172,Negative,0.225,Corporate Governance,9.0,17.0,8,-0.55,-39.33,44.94,0.22,covid_crash,,,0.802,-0.654,,0,5,2,2020,0,0,13858.9,-0.974,14010.5,-0.991,13859.9,-0.614,13748.8,-0.341,14167.0,-0.008538036251662162,14271.7,-0.00121072153404711,14031.9,-0.017992861641822455,12988.2,-0.09103506193575472,EICHERMOT.NSE
2020-05-12,14240.0,14269.4,13789.0,14167.0,1368.1973,1479050.0,14037.060000000001,,,14015.806980439304,13987.903484389662,27.903496049641035,14.531298936432831,13.372197113208204,,,,,,,-0.008538036251662162,0.025783982216944556,,,,,,Tuesday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.29,Negative,0.226,Interest Rate Policy,9.0,23.0,5,-0.85,0.18,55.71,-0.32,covid_crash,,,-0.118,-0.6082000000000001,,1,5,2,2020,0,0,14289.0,-0.172,13858.9,-0.974,14010.5,-0.991,13810.9,-0.519,14271.7,0.007390414343191987,14031.9,-0.009536246205971599,14099.6,-0.004757535116820755,12966.2,-0.08476035857979802,EICHERMOT.NSE
2020-05-13,14970.0,14970.0,14184.7,14271.7,1378.3088,2529370.0,14119.420000000002,,,14069.20790951535,14033.630135057001,35.57777445834836,19.589162783409044,15.988611674939314,,,,,,,0.007390414343191987,0.02971161408090972,,,,,,Wednesday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.62,Negative,0.394,Capacity Expansion,17.0,25.0,8,0.91,-15.65,37.74,-2.62,covid_crash,,,-0.33,-0.6093999999999999,,2,5,2,2020,0,0,14167.0,-0.29,14289.0,-0.172,13858.9,-0.974,13859.9,-0.614,14031.9,-0.0168024832360546,14099.6,-0.012058829711947494,12988.2,-0.08993322449322783,13675.1,-0.04180300875158538,EICHERMOT.NSE
2020-05-14,14120.0,14270.2,13980.0,14031.9,1355.1498,1481780.0,14123.7,,,14061.827077113758,14033.373691060007,28.453386053750364,21.636842334496297,6.816543719254067,,,,,,,-0.0168024832360546,0.0015274258591770895,,,,,,Thursday,May,Q2,EICHERMOT.NSE,Eicher Motors Limited,Automobile,Large Cap,-0.353,Negative,0.213,Technical Factors,13.0,24.0,8,-1.97,58.78,44.71,-1.33,covid_crash,,,0.267,-0.48180000000000006,0.2743120890923734,3,5,2,2020,0,0,14271.7,-0.62,14167.0,-0.29,14289.0,-0.172,14010.5,-0.991,14099.6,0.004824720814715189,12988.2,-0.07438051867530404,12966.2,-0.07594837477462058,14087.6,0.003969526578724292,EICHERMOT.NSE
