date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.473,Negative,0.288,Technical Factors,14.0,22.0,3,-2.64,-35.76,22.58,-0.12,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,147.25,,147.05,,147.4,,146.7,,EXIDEIND.NSE
2020-05-04,150.0,153.0,146.4,147.25,142.4224,1300324.0,,,,147.25,147.25,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.662,Negative,0.502,COVID-19 Impact,12.0,27.0,5,-0.48,29.17,18.65,-0.41,covid_crash,,,-0.18900000000000006,,,0,5,2,2020,0,0,,-0.473,,,,,,,147.05,-0.0013582342954159277,147.4,0.0010186757215620013,147.05,-0.0013582342954159277,148.3,0.007130730050933787,EXIDEIND.NSE
2020-05-05,149.8,150.2,145.6,147.05,142.2289,2351361.0,,,,147.14166666666668,147.14615384615382,-0.004487179487142612,-0.0024928774928570066,-0.001994301994285605,,,,,,,-0.0013582342954159277,,,,,,,Tuesday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.484,Negative,0.514,FII/DII Activity,13.0,22.0,5,1.34,-45.56,36.08,-0.68,covid_crash,,,0.17800000000000005,,,1,5,2,2020,0,0,147.25,-0.662,,-0.473,,,,,147.4,0.002380142808568575,147.05,0.0,146.7,-0.002380142808568686,152.35,0.036042162529751565,EXIDEIND.NSE
2020-05-06,147.0,150.0,142.35,147.4,142.5674,3299441.0,,,,147.24249422632795,147.23735830458352,0.0051359217444257865,0.0006336795716031543,0.004502242172822632,,,,,,,0.002380142808568575,,,,,,,Wednesday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.284,Negative,0.222,Lockdown Measures,11.0,27.0,1,0.75,-63.65,53.7,-0.1,covid_crash,,,0.2,,,2,5,2,2020,0,0,147.05,-0.484,147.25,-0.662,,-0.473,,,147.05,-0.002374491180461291,146.7,-0.004748982360922804,148.3,0.006105834464043447,152.9,0.03731343283582089,EXIDEIND.NSE
2020-05-07,145.0,150.6,145.0,147.05,142.2289,1181644.0,,,,147.1817313218391,147.18498111010112,-0.003249788262024822,-0.0006818583124171627,-0.002567929949607659,,,,,,,-0.002374491180461291,,,,,,,Thursday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.868,Negative,0.535,COVID-19 Impact,8.0,35.0,10,-1.57,-27.78,43.99,-1.81,covid_crash,,,-0.5840000000000001,-0.5542,,3,5,2,2020,0,0,147.4,-0.284,147.05,-0.484,147.25,-0.662,,,146.7,-0.002380142808568686,148.3,0.008500510030601927,152.35,0.036042162529751565,150.9,0.02618157089425366,EXIDEIND.NSE
2020-05-08,148.5,149.95,145.95,146.7,141.8904,1129540.0,147.09,,,147.05084664339188,147.07251199031612,-0.021665346924237383,-0.006923971773810611,-0.014741375150426773,,,,,,,-0.002380142808568686,,,,,,,Friday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.751,Negative,0.533,Management Commentary,10.0,27.0,8,1.86,27.94,38.09,-3.07,covid_crash,,,0.11699999999999999,-0.6098,,4,5,2,2020,0,0,147.05,-0.868,147.4,-0.284,147.05,-0.484,,-0.473,148.3,0.010906612133606108,152.35,0.03851397409679613,152.9,0.04226312201772342,154.8,0.05521472392638049,EXIDEIND.NSE
2020-05-11,149.0,149.9,146.5,148.3,143.4379,1843577.0,147.3,,,147.35445662676153,147.31836804856266,0.036088578198871346,0.00473482072030259,0.03135375747856876,,,,,,,0.010906612133606108,0.007130730050933787,,,,,,Monday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.92,Negative,0.509,Vaccine Rollout,15.0,35.0,2,-4.17,2.87,48.79,-0.43,covid_crash,,,-0.16900000000000004,-0.6613999999999999,,0,5,2,2020,0,0,146.7,-0.751,147.05,-0.868,147.4,-0.284,147.25,-0.662,152.35,0.027309507754551543,152.9,0.03101820633850294,150.9,0.017532029669588667,151.25,0.019892110586648526,EXIDEIND.NSE
2020-05-12,147.5,153.95,145.65,152.35,147.3552,4756042.0,148.36,,,148.46919465242712,148.2132177078372,0.2559769445899178,0.06831749974174275,0.18765944484817507,,,,,,,0.027309507754551543,0.036042162529751565,,,,,,Tuesday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.877,Negative,0.576,FII/DII Activity,13.0,35.0,5,-4.08,-28.52,27.71,-2.33,covid_crash,,,0.04300000000000004,-0.74,,1,5,2,2020,0,0,148.3,-0.92,146.7,-0.751,147.05,-0.868,147.05,-0.484,152.9,0.0036101083032491488,150.9,-0.00951755825402023,154.8,0.016081391532655198,149.9,-0.016081391532654976,EXIDEIND.NSE
2020-05-13,159.5,159.5,151.55,152.9,147.8871,4672611.0,149.45999999999998,,,149.39383543599243,148.96837446572303,0.42546097026939833,0.15414579179399024,0.2713151784754081,,,,,,,0.0036101083032491488,0.03731343283582089,,,,,,Wednesday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.483,Negative,0.295,Global Markets,15.0,25.0,5,-0.47,-4.31,21.06,-2.64,covid_crash,,,0.394,-0.7798,,2,5,2,2020,0,0,152.35,-0.877,148.3,-0.92,146.7,-0.751,147.4,-0.284,150.9,-0.013080444735121044,154.8,0.012426422498365008,151.25,-0.010791366906474864,149.4,-0.022890778286461688,EXIDEIND.NSE
2020-05-14,150.0,152.55,148.7,150.9,145.9527,2258293.0,150.23000000000002,,,149.69180839562944,149.25468377475661,0.43712462087282233,0.2195153051764107,0.21760931569641162,,,,,,,-0.013080444735121044,0.02618157089425366,,,,,,Thursday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.562,Negative,0.521,Lockdown Measures,16.0,24.0,7,-2.68,35.79,55.34,-0.55,covid_crash,,,-0.07900000000000007,-0.7186,0.21315680196095602,3,5,2,2020,0,0,152.9,-0.483,152.35,-0.877,148.3,-0.92,147.05,-0.868,154.8,0.025844930417495027,151.25,0.0023194168323392717,149.9,-0.0066269052352551094,155.05,0.027501656726308887,EXIDEIND.NSE
2020-05-15,151.5,155.9,150.0,154.8,149.7248,2505873.0,151.85,149.47,,150.6598087193876,150.01988344300813,0.639925276379472,0.3137115434912326,0.32621373288823946,,,,,,,0.025844930417495027,0.05521472392638049,,2529870.6,0.9905142974506285,,,Friday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.372,Negative,0.506,Merger & Acquisition,14.0,23.0,7,-2.28,-15.33,63.21,-1.32,covid_crash,,,0.19000000000000006,-0.6428,0.22388243442584868,4,5,2,2020,0,0,150.9,-0.562,152.9,-0.483,152.35,-0.877,146.7,-0.751,151.25,-0.022932816537467815,149.9,-0.03165374677002586,149.4,-0.03488372093023262,154.1,-0.004521963824289488,EXIDEIND.NSE
2020-05-18,155.9,155.9,150.4,151.25,146.2912,2387413.0,152.44,149.87,,150.76779949322278,150.17942995015144,0.5883695430713374,0.3738051444211073,0.21456439865023008,,,,,,,-0.022932816537467815,0.019892110586648526,0.02716468590831922,2638579.5,0.9048099555082574,0.015576336993041378,,Monday,May,Q2,EXIDEIND.NSE,Exide Industries Limited,Automobile,Mid Cap,-0.353,Negative,0.346,Lockdown Measures,15.0,18.0,2,2.46,-32.44,54.07,0.53,covid_crash,,,0.019000000000000017,-0.5294000000000001,0.23920711620778431,0,5,2,2020,0,0,154.8,-0.372,150.9,-0.562,152.9,-0.483,148.3,-0.92,149.9,-0.00892561983471074,149.4,-0.012231404958677694,155.05,0.0251239669421488,,,EXIDEIND.NSE
