date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.592,Negative,0.543,Corporate Governance,14.0,29.0,8,1.69,-16.1,51.04,-1.71,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,44.05,,42.95,,43.8,,42.65,,FEDERALBNK.NSE
2020-05-04,46.3,46.4,43.65,44.05,42.3609,29620830.0,,,,44.05,44.05,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.7,Negative,0.652,Management Commentary,13.0,25.0,7,-1.38,14.35,50.01,-1.79,covid_crash,,,-0.10799999999999998,,,0,5,2,2020,0,0,,-0.592,,,,,,,42.95,-0.02497162315550494,43.8,-0.005675368898978461,43.15,-0.020431328036322305,43.1,-0.02156640181611791,FEDERALBNK.NSE
2020-05-05,45.05,45.35,42.7,42.95,41.3031,22783249.0,,,,43.45416666666666,43.478846153846156,-0.024679487179497528,-0.01371082621083196,-0.010968660968665568,,,,,,,-0.02497162315550494,,,,,,,Tuesday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.623,Negative,0.486,Earnings Report,10.0,35.0,7,-0.26,0.3,47.0,-1.09,covid_crash,,,0.07699999999999996,,,1,5,2,2020,0,0,44.05,-0.7,,-0.592,,,,,43.8,0.019790454016297865,43.15,0.004656577415599328,42.65,-0.006984866123399436,41.45,-0.03492433061699651,FEDERALBNK.NSE
2020-05-06,43.0,44.1,41.95,43.8,42.1205,21471279.0,,,,43.58914549653579,43.59423361261705,-0.005088116081260807,-0.010176928616745422,0.005088812535484615,,,,,,,0.019790454016297865,,,,,,,Wednesday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.284,Negative,0.163,Lockdown Measures,10.0,20.0,3,-2.2,5.25,24.78,-1.18,covid_crash,,,0.339,,,2,5,2,2020,0,0,42.95,-0.623,44.05,-0.7,,-0.592,,,43.15,-0.014840182648401812,42.65,-0.026255707762557035,43.1,-0.015981735159817267,43.15,-0.014840182648401812,FEDERALBNK.NSE
2020-05-07,43.4,44.8,42.75,43.15,41.4955,20343168.0,,,,43.450524425287355,43.47004530735144,-0.019520882064085754,-0.013342224499990793,-0.006178657564094961,,,,,,,-0.014840182648401812,,,,,,,Thursday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.437,Negative,0.45,Technical Factors,10.0,31.0,7,0.24,38.14,29.84,-0.14,covid_crash,,,-0.15300000000000002,-0.5272,,3,5,2,2020,0,0,43.8,-0.284,42.95,-0.623,44.05,-0.7,,,42.65,-0.011587485515643148,43.1,-0.0011587485515642815,41.45,-0.03939745075318646,45.4,0.052143684820394,FEDERALBNK.NSE
2020-05-08,43.95,44.35,42.3,42.65,41.0146,14969804.0,43.32,,,43.23302479999239,43.279873418218656,-0.04684861822626374,-0.02330961911156651,-0.02353899911469723,,,,,,,-0.011587485515643148,,,,,,,Friday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.708,Negative,0.593,Global Markets,8.0,32.0,7,-2.47,37.3,34.39,-2.16,covid_crash,,,-0.27099999999999996,-0.5504,,4,5,2,2020,0,0,43.15,-0.437,43.8,-0.284,42.95,-0.623,,-0.592,43.1,0.010550996483001285,41.45,-0.028135990621336315,43.15,0.011723329425556761,43.75,0.02579132473622514,FEDERALBNK.NSE
2020-05-11,43.0,44.65,42.75,43.1,41.4474,27431639.0,43.13,,,43.20069277518551,43.243846207168374,-0.0431534319828657,-0.02868839569434125,-0.014465036288524448,,,,,,,0.010550996483001285,-0.02156640181611791,,,,,,Monday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.166,Negative,0.263,Management Commentary,11.0,10.0,3,-0.65,-63.89,59.34,0.61,covid_crash,,,0.5419999999999999,-0.4436,,0,5,2,2020,0,0,42.65,-0.708,43.15,-0.437,43.8,-0.284,44.05,-0.7,41.45,-0.03828306264501158,43.15,0.001160092807424462,45.4,0.05336426914153125,39.6,-0.08120649651972156,FEDERALBNK.NSE
2020-05-12,42.5,42.55,40.3,41.45,39.8606,36707066.0,42.83,,,42.8100318076095,42.924819958275705,-0.1147881506662074,-0.050477946745270265,-0.06431020392093714,,,,,,,-0.03828306264501158,-0.03492433061699651,,,,,,Tuesday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.575,Negative,0.537,COVID-19 Impact,6.0,23.0,3,1.9,63.32,55.73,-0.81,covid_crash,,,-0.4089999999999999,-0.434,,1,5,2,2020,0,0,43.1,-0.166,42.65,-0.708,43.15,-0.437,42.95,-0.623,43.15,0.04101326899879365,45.4,0.09529553679131464,43.75,0.055488540410132625,38.25,-0.0772014475271412,FEDERALBNK.NSE
2020-05-13,45.0,45.0,42.25,43.15,41.4955,40986378.0,42.7,,,42.88097792939556,42.96110204258191,-0.0801241131863506,-0.05760247803734536,-0.022521635149005237,,,,,,,0.04101326899879365,-0.014840182648401812,,,,,,Wednesday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.571,Negative,0.511,COVID-19 Impact,11.0,17.0,5,-2.13,-10.28,31.05,0.34,covid_crash,,,0.0040000000000000036,-0.49139999999999995,,2,5,2,2020,0,0,41.45,-0.575,43.1,-0.166,42.65,-0.708,43.8,-0.284,45.4,0.052143684820394,43.75,0.013904982618771822,39.6,-0.08227114716106598,39.1,-0.09385863267670913,FEDERALBNK.NSE
2020-05-14,43.45,45.7,42.25,45.4,43.6592,52425222.0,43.15,,,43.379330154448425,43.32260026084456,0.05672989360386538,-0.0311911329824051,0.08792102658627048,,,,,,,0.052143684820394,0.052143684820394,,,,,,Thursday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.213,Negative,0.195,Sector Rotation,8.0,21.0,5,5.42,8.67,32.61,-1.34,covid_crash,,,0.358,-0.44659999999999994,0.20009911432976296,3,5,2,2020,0,0,43.15,-0.571,41.45,-0.575,43.1,-0.166,43.15,-0.437,43.75,-0.03634361233480177,39.6,-0.1277533039647577,38.25,-0.15748898678414092,39.3,-0.13436123348017626,FEDERALBNK.NSE
2020-05-15,45.4,45.4,43.55,43.75,42.0725,18625496.0,43.37,43.345,,43.449571946121694,43.38157726509975,0.06799468102194339,-0.008967752916829802,0.0769624339387732,,,,,,,-0.03634361233480177,0.02579132473622514,,28536413.1,0.6526922614531396,,,Friday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.4,Negative,0.27,Capacity Expansion,14.0,22.0,5,-1.24,-42.14,52.52,0.5,covid_crash,,,-0.18700000000000003,-0.38499999999999995,0.19809540350267818,4,5,2,2020,0,0,45.4,-0.213,43.15,-0.571,41.45,-0.575,42.65,-0.708,39.6,-0.09485714285714286,38.25,-0.12571428571428567,39.1,-0.1062857142857142,37.35,-0.14628571428571424,FEDERALBNK.NSE
2020-05-18,43.65,43.65,39.45,39.6,38.0816,42172828.0,42.67,42.9,,42.745193099717056,42.89110549581091,-0.14591239609385553,-0.03893045835102603,-0.1069819377428295,,,,,,,-0.09485714285714286,-0.08120649651972156,-0.10102156640181603,29791612.9,1.4155939841712968,0.0430994599381104,,Monday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.062,Neutral,0.142,Merger & Acquisition,18.0,14.0,10,-2.96,72.22,40.64,-1.2,covid_crash,,,0.338,-0.36419999999999997,0.2168206888447482,0,5,2,2020,0,0,43.75,-0.4,45.4,-0.213,43.15,-0.571,43.1,-0.166,38.25,-0.03409090909090917,39.1,-0.012626262626262652,39.3,-0.00757575757575768,,,FEDERALBNK.NSE
2020-05-19,40.4,40.7,37.75,38.25,36.7833,34760754.0,42.029999999999994,42.43,,41.945962523675064,42.32087255848232,-0.3749100348072574,-0.1110847809344454,-0.26382525387281197,,,,,,,-0.03409090909090917,-0.0772014475271412,-0.10942956926658909,30989363.4,1.1216995183579668,0.04355168986491467,,Tuesday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.129,Negative,0.239,Sector Rotation,14.0,20.0,8,0.8,-5.65,48.59,-0.6,covid_crash,,,-0.067,-0.275,0.21762927192820364,1,5,2,2020,0,0,39.6,-0.062,43.75,-0.4,45.4,-0.213,41.45,-0.575,39.1,0.022222222222222365,39.3,0.027450980392156765,37.35,-0.0235294117647058,38.45,0.005228758169934622,FEDERALBNK.NSE
2020-05-20,38.5,39.9,38.0,39.1,37.6008,24764915.0,41.220000000000006,41.959999999999994,,41.4517953129201,41.943547919216364,-0.4917526062962665,-0.19164731833876925,-0.30010528795749725,,,,,,,0.022222222222222365,-0.09385863267670913,-0.10730593607305927,31318727.0,0.7907382378600509,0.0437468977378621,,Wednesday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.436,Negative,0.419,COVID-19 Impact,10.0,21.0,5,-0.12,-20.52,65.37,-0.65,covid_crash,,,-0.307,-0.248,0.2174662425910437,2,5,2,2020,0,0,38.25,-0.129,39.6,-0.062,43.75,-0.4,43.15,-0.571,39.3,0.005115089514066362,37.35,-0.04475703324808189,,,40.95,0.04731457800511518,FEDERALBNK.NSE
2020-05-21,39.25,39.9,38.9,39.3,37.7931,19911466.0,40.0,41.575,,41.08541327409832,41.6466460276418,-0.5612327535434787,-0.2689648671371076,-0.2922678864063711,,,,,,36.311239193083566,0.005115089514066362,-0.13436123348017626,-0.0892236384704519,31275556.8,0.636646251490557,0.04397674801194038,,Thursday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.593,Negative,0.516,Vaccine Rollout,12.0,24.0,5,4.27,-46.37,45.67,-0.2,covid_crash,,,-0.15699999999999997,-0.32399999999999995,0.22816273432209153,3,5,2,2020,0,0,39.1,-0.436,38.25,-0.129,39.6,-0.062,45.4,-0.213,37.35,-0.04961832061068694,,,38.45,-0.0216284987277352,42.8,0.08905852417302795,FEDERALBNK.NSE
2020-05-22,39.0,39.85,36.8,37.35,35.9179,34961306.0,38.720000000000006,41.045,,40.459667602643236,41.18185417564129,-0.722186572998055,-0.362914776891819,-0.359271796106236,,,,,,32.64248704663211,-0.04961832061068694,-0.14628571428571424,-0.12426729191090269,33274707.0,1.0506871179962607,0.0458849469328668,,Friday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.401,Negative,0.351,Economic Stimulus,12.0,23.0,5,3.33,9.94,54.63,0.58,covid_crash,,,0.19199999999999995,-0.3242,0.1986651006649689,4,5,2,2020,0,0,39.3,-0.593,39.1,-0.436,38.25,-0.129,43.75,-0.4,,,38.45,0.02945113788487297,40.95,0.09638554216867479,44.9,0.2021419009370815,FEDERALBNK.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.553,Negative,0.378,Merger & Acquisition,12.0,27.0,5,3.15,-9.55,46.24,-0.37,covid_crash,,,-0.15200000000000002,-0.4224,0.1955124605293029,0,5,2,2020,0,0,37.35,-0.401,39.3,-0.593,39.1,-0.436,39.6,-0.062,38.45,,40.95,,42.8,,46.65,,FEDERALBNK.NSE
2020-05-26,37.85,38.75,37.55,38.45,36.9757,24766540.0,38.489999999999995,40.58,,40.1275541859719,40.89607978722285,-0.7685256012509498,-0.44638646079182037,-0.32213914045912945,,,,,,38.341968911917085,0.02945113788487297,-0.029040404040403978,-0.10788863109048719,33008197.1,0.750314836189584,0.04729446965589555,,Tuesday,May,Q2,FEDERALBNK.NSE,Federal Bank Limited,Banking,Mid Cap,-0.64,Negative,0.556,Inflation Concerns,10.0,24.0,7,-0.44,-30.56,47.38,-2.87,covid_crash,,,-0.08699999999999997,-0.5246000000000001,0.20315555069398863,1,5,2,2020,0,0,,-0.553,37.35,-0.401,39.3,-0.593,38.25,-0.129,40.95,0.06501950585175553,42.8,0.11313394018205436,44.9,0.16775032509752918,47.6,0.23797139141742507,FEDERALBNK.NSE
