date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.759,Negative,0.547,Earnings Report,14.0,27.0,1,-2.99,-28.7,48.77,-1.42,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,93.495,,91.095,,94.695,,91.35,,GAIL.NSE
2020-05-04,92.205,95.25,89.595,93.495,50.2322,31698963.0,,,,93.495,93.495,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.661,Negative,0.558,Corporate Governance,9.0,31.0,5,-0.56,52.04,43.37,-0.81,covid_crash,,,0.09799999999999998,,,0,5,2,2020,0,0,,-0.759,,,,,,,91.095,-0.025669821915610513,94.695,0.012834910957805201,91.5,-0.021338039467351244,92.055,-0.015401893149366241,GAIL.NSE
2020-05-05,94.5,95.805,90.705,91.095,48.9427,22593571.0,,,,92.195,92.24884615384615,-0.05384615384615188,-0.02991452991452882,-0.02393162393162306,,,,,,,-0.025669821915610513,,,,,,,Tuesday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.468,Negative,0.378,Earnings Report,10.0,20.0,3,-0.45,30.43,65.9,-0.85,covid_crash,,,0.193,,,1,5,2,2020,0,0,93.495,-0.661,,-0.759,,,,,94.695,0.03951918327021242,91.5,0.004445908117898911,91.35,0.00279927548163994,88.695,-0.02634612218014165,GAIL.NSE
2020-05-06,91.995,94.995,89.7,94.695,50.8769,22434006.0,,,,93.1707505773672,93.12772548053226,0.04302509683493838,-2.124026310783846e-05,0.04304633709804622,,,,,,,0.03951918327021242,,,,,,,Wednesday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.61,Negative,0.214,Vaccine Rollout,9.0,19.0,9,-1.94,-14.21,44.09,-0.47,covid_crash,,,-0.14199999999999996,,,2,5,2,2020,0,0,91.095,-0.468,93.495,-0.661,,-0.759,,,91.5,-0.033739901789957116,91.35,-0.035323934737842566,92.055,-0.02787897988278143,89.355,-0.056391572944717194,GAIL.NSE
2020-05-07,95.295,96.255,91.05,91.5,49.1603,19897138.0,,,,92.6433599137931,92.67268456709463,-0.029324653301529224,-0.009947870696177412,-0.019376782605351812,,,,,,,-0.033739901789957116,,,,,,,Thursday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.437,Negative,0.315,Technical Factors,13.0,22.0,3,-3.89,-19.61,47.02,0.14,covid_crash,,,0.173,-0.587,,3,5,2,2020,0,0,94.695,-0.61,91.095,-0.468,93.495,-0.661,,,91.35,-0.0016393442622951726,92.055,0.006065573770491772,88.695,-0.03065573770491814,85.455,-0.06606557377049183,GAIL.NSE
2020-05-08,94.755,94.755,90.9,91.35,49.0797,13464063.0,92.42699999999999,,,92.29195864765366,92.36594856044205,-0.07398991278839162,-0.02899893033807835,-0.04499098245031327,,,,,,,-0.0016393442622951726,,,,,,,Friday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.575,Negative,0.478,Lockdown Measures,15.0,24.0,1,1.76,-48.35,48.52,-1.63,covid_crash,,,-0.13799999999999996,-0.5502,,4,5,2,2020,0,0,91.5,-0.437,94.695,-0.61,91.095,-0.468,,-0.759,92.055,0.007717569786535483,88.695,-0.029064039408867037,89.355,-0.02183908045977001,85.8,-0.06075533661740551,GAIL.NSE
2020-05-11,91.995,94.605,91.395,92.055,49.4585,11780929.0,92.139,,,92.23436522992569,92.30366804382226,-0.06930281389657011,-0.03992352363500669,-0.029379290261563426,,,,,,,0.007717569786535483,-0.015401893149366241,,,,,,Monday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.774,Negative,0.498,Merger & Acquisition,14.0,26.0,4,-4.51,-33.71,54.87,-1.17,covid_crash,,,-0.19900000000000007,-0.5728,,0,5,2,2020,0,0,91.35,-0.575,91.5,-0.437,94.695,-0.61,93.495,-0.661,88.695,-0.03649991852696777,89.355,-0.029330291673456133,85.455,-0.07169626853511502,81.0,-0.12009124979631747,GAIL.NSE
2020-05-12,91.95,94.095,88.245,88.695,47.6533,21244138.0,91.659,,,91.44456826216178,91.6618851390677,-0.21731687690592594,-0.08481704892384413,-0.13249982798208182,,,,,,,-0.03649991852696777,-0.02634612218014165,,,,,,Tuesday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.434,Negative,0.296,Interest Rate Policy,8.0,24.0,5,1.33,71.77,48.56,-0.96,covid_crash,,,0.34,-0.5660000000000001,,1,5,2,2020,0,0,92.055,-0.774,91.35,-0.575,91.5,-0.437,91.095,-0.468,89.355,0.007441231185523645,85.455,-0.0365296803652968,85.8,-0.03263994588195496,81.855,-0.07711821410451536,GAIL.NSE
2020-05-13,91.995,91.995,87.255,89.355,48.0079,20780226.0,90.59100000000001,,,91.00850757258603,91.29018878241243,-0.2816812098264023,-0.13212720882009518,-0.14955400100630714,,,,,,,0.007441231185523645,-0.056391572944717194,,,,,,Wednesday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.507,Negative,0.339,Sector Rotation,9.0,31.0,3,-0.81,-17.88,63.98,-2.4,covid_crash,,,-0.07300000000000001,-0.5454,,2,5,2,2020,0,0,88.695,-0.434,92.055,-0.774,91.35,-0.575,94.695,-0.61,85.455,-0.04364613060265243,85.8,-0.03978512674164858,81.0,-0.09350344132952837,86.25,-0.03474903474903479,GAIL.NSE
2020-05-14,89.25,89.25,85.095,85.455,45.9125,19550328.0,89.382,,,89.90982610887734,90.425285705327,-0.5154595964496593,-0.220678892084306,-0.2947807043653533,,,,,,,-0.04364613060265243,-0.06606557377049183,,,,,,Thursday,May,Q2,GAIL.NSE,GAIL India Limited,Oil & Gas,Mid Cap,-0.759,Negative,0.608,Earnings Report,5.0,29.0,7,-5.23,-91.7,49.57,-2.42,covid_crash,,,-0.252,-0.6098,0.1355877739489975,3,5,2,2020,0,0,89.355,-0.507,88.695,-0.434,92.055,-0.774,91.5,-0.437,85.8,0.004037212568018145,81.0,-0.05213270142180093,81.855,-0.04212743549236431,87.945,0.02913814288221861,GAIL.NSE
