date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.172,Negative,0.219,Management Commentary,17.0,16.0,4,-1.15,18.99,52.36,-1.2,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,339.0,,325.0,,336.0,,335.0,,GLENMARK.NSE
2020-05-04,337.5,347.3,330.0,339.0,332.0894,8534892.0,,,,339.0,339.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.109,Negative,0.1,COVID-19 Impact,15.0,15.0,8,-0.34,73.24,44.21,-2.0,covid_crash,,,0.06299999999999999,,,0,5,2,2020,0,0,,-0.172,,,,,,,325.0,-0.041297935103244865,336.0,-0.008849557522123908,336.45,-0.007522123893805355,336.5,-0.007374631268436627,GLENMARK.NSE
2020-05-05,346.0,346.0,322.9,325.0,318.3748,4686125.0,,,,331.41666666666663,331.7307692307692,-0.3141025641025976,-0.17450142450144313,-0.1396011396011545,,,,,,,-0.041297935103244865,,,,,,,Tuesday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.17,Negative,0.192,Economic Stimulus,13.0,20.0,5,0.63,-34.9,30.4,1.19,covid_crash,,,-0.06100000000000001,,,1,5,2,2020,0,0,339.0,-0.109,,-0.172,,,,,336.0,0.03384615384615386,336.45,0.03523076923076918,335.0,0.03076923076923066,333.1,0.024923076923077048,GLENMARK.NSE
2020-05-06,326.4,339.55,325.1,336.0,329.1506,4634569.0,,,,333.2055427251732,333.2646623952686,-0.05911967009541286,-0.12721382023667663,0.06809415014126377,,,,,,,0.03384615384615386,,,,,,,Wednesday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.191,Negative,0.1,Merger & Acquisition,9.0,21.0,5,-2.7,25.14,38.88,-1.13,covid_crash,,,-0.02099999999999999,,,2,5,2,2020,0,0,325.0,-0.17,339.0,-0.109,,-0.172,,,336.45,0.001339285714285765,335.0,-0.0029761904761904656,336.5,0.0014880952380953438,337.5,0.0044642857142858094,GLENMARK.NSE
2020-05-07,336.0,344.0,333.05,336.45,329.5914,3739422.0,,,,334.229691091954,334.15514359163734,0.0745475003166689,-0.058866489425922736,0.13341398974259164,,,,,,,0.001339285714285765,,,,,,,Thursday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.05,Neutral,0.119,Earnings Report,11.0,12.0,5,-3.29,7.94,42.76,0.71,covid_crash,,,0.14100000000000001,-0.13840000000000002,,3,5,2,2020,0,0,336.0,-0.191,325.0,-0.17,339.0,-0.109,,,335.0,-0.004309704265121117,336.5,0.00014861049190084685,333.1,-0.009956902957348635,346.75,0.030613761331550027,GLENMARK.NSE
2020-05-08,339.0,343.7,332.8,335.0,328.171,2748715.0,334.29,,,334.4389812692041,334.3510692774305,0.08791199177358067,-0.015203209678331294,0.10311520145191196,,,,,,,-0.004309704265121117,,,,,,,Friday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.029,Neutral,0.1,Earnings Report,16.0,16.0,4,2.29,17.54,33.3,0.87,covid_crash,,,0.021,-0.10979999999999998,,4,5,2,2020,0,0,336.45,-0.05,336.0,-0.191,325.0,-0.17,,-0.172,336.5,0.004477611940298498,333.1,-0.005671641791044735,337.5,0.00746268656716409,338.75,0.011194029850746245,GLENMARK.NSE
2020-05-11,338.0,339.65,329.05,336.5,329.6404,2928897.0,333.79,,,334.93991725058,334.7814829619046,0.15843428867538023,0.03186220643367742,0.1265720822417028,,,,,,,0.004477611940298498,-0.007374631268436627,,,,,,Monday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,0.284,Positive,0.244,Global Markets,11.0,16.0,3,0.28,-27.92,30.67,2.27,covid_crash,,,0.313,-0.031200000000000016,,0,5,2,2020,0,0,335.0,-0.029,336.45,-0.05,336.0,-0.191,339.0,-0.109,333.1,-0.010104011887072772,337.5,0.002971768202080227,346.75,0.03046062407132233,329.2,-0.02169390787518577,GLENMARK.NSE
2020-05-12,336.4,342.95,329.55,333.1,326.3097,3147540.0,335.40999999999997,,,334.5293461534923,334.4824399337065,0.04690621978585341,0.03566944487535717,0.011236774910496239,,,,,,,-0.010104011887072772,0.024923076923077048,,,,,,Tuesday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.29,Negative,0.337,Corporate Governance,8.0,19.0,4,-0.08,-3.6,50.56,0.62,covid_crash,,,-0.574,-0.055200000000000006,,1,5,2,2020,0,0,336.5,0.284,335.0,-0.029,336.45,-0.05,325.0,-0.17,337.5,0.013209246472530634,346.75,0.04097868507955571,338.75,0.016961873311317932,333.1,0.0,GLENMARK.NSE
2020-05-13,342.0,342.0,334.55,337.5,330.62,2759040.0,335.71,,,335.1492758242554,334.9686436304727,0.18063219378274198,0.07050671946289915,0.11012547431984283,,,,,,,0.013209246472530634,0.0044642857142858094,,,,,,Wednesday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,0.49,Positive,0.457,Interest Rate Policy,10.0,26.0,4,0.29,33.78,39.8,1.8,covid_crash,,,0.78,0.08099999999999999,,2,5,2,2020,0,0,333.1,-0.29,336.5,0.284,335.0,-0.029,336.0,-0.191,346.75,0.027407407407407325,338.75,0.0037037037037037646,329.2,-0.02459259259259261,349.7,0.03614814814814804,GLENMARK.NSE
2020-05-14,336.5,351.9,333.1,346.75,339.6814,6787422.0,337.77,,,337.4443119704928,336.7148992798111,0.72941269068167,0.22271726766381467,0.5066954230178553,,,,,,,0.027407407407407325,0.030613761331550027,,,,,,Thursday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.122,Negative,0.176,Merger & Acquisition,10.0,10.0,5,2.34,-13.97,52.89,0.98,covid_crash,,,-0.612,0.06659999999999999,0.23968472347370548,3,5,2,2020,0,0,337.5,0.49,333.1,-0.29,336.5,0.284,336.45,-0.05,338.75,-0.023071377072819033,329.2,-0.050612833453496764,333.1,-0.0393655371304974,348.85,0.006056236481615018,GLENMARK.NSE
2020-05-15,350.0,353.75,336.0,338.75,331.8445,6867586.0,338.52,336.40500000000003,,337.69173934463606,336.995723372197,0.6960159724390564,0.3287636524855753,0.3672523199534811,,,,,,,-0.023071377072819033,0.011194029850746245,,4683420.8,1.4663610837616812,,,Friday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.023,Neutral,0.1,Merger & Acquisition,10.0,14.0,5,-1.45,24.55,24.93,0.29,covid_crash,,,0.099,0.0678,0.23486686536087725,4,5,2,2020,0,0,346.75,-0.122,337.5,0.49,333.1,-0.29,335.0,-0.029,329.2,-0.028191881918819273,333.1,-0.01667896678966785,349.7,0.032324723247232345,351.3,0.03704797047970487,GLENMARK.NSE
2020-05-18,341.0,341.0,325.55,329.2,322.4892,2729565.0,337.06,335.425,,336.1379557948651,335.98461558113434,0.15334021373075757,0.2903820064443364,-0.13704179271357886,,,,,,,-0.028191881918819273,-0.02169390787518577,-0.028908554572271372,4102888.1,0.6652789287624004,0.02397926488306848,,Monday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.051,Neutral,0.1,Economic Stimulus,8.0,15.0,7,0.32,7.08,38.79,0.08,covid_crash,,,-0.027999999999999997,0.0008000000000000035,0.23316222297409633,0,5,2,2020,0,0,338.75,-0.023,346.75,-0.122,337.5,0.49,336.5,0.284,333.1,0.01184690157958701,349.7,0.06227217496962334,348.85,0.05969015795868793,,,GLENMARK.NSE
2020-05-19,331.5,338.4,328.6,333.1,326.3097,2926620.0,337.06000000000006,336.235,,335.5978172277203,335.6301951058017,-0.03237787808137682,0.2210667192751196,-0.2534445973564964,,,,,,,0.01184690157958701,0.0,0.024923076923077048,3926937.6,0.7452677628490965,0.02003103432787146,,Tuesday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.365,Negative,0.256,Global Markets,13.0,21.0,5,2.02,0.39,47.29,0.34,covid_crash,,,-0.314,-0.0142,0.25470595246719735,1,5,2,2020,0,0,329.2,-0.051,338.75,-0.023,346.75,-0.122,333.1,-0.29,349.7,0.04983488441909323,348.85,0.04728309816871801,351.3,0.05463824677274087,347.35,0.042779945962173604,GLENMARK.NSE
2020-05-20,333.1,350.0,331.45,349.7,342.5713,2539368.0,339.5,337.605,,338.0464918916211,337.27847021133624,0.7680216802848463,0.33682139190326754,0.43120028838157876,,,,,,,0.04983488441909323,0.03614814814814804,0.04077380952380949,3717417.5,0.683100028447168,0.023187619884516612,,Wednesday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,0.106,Positive,0.128,Merger & Acquisition,14.0,17.0,3,3.29,4.06,45.0,-1.08,covid_crash,,,0.471,-0.091,0.25175428938197303,2,5,2,2020,0,0,333.1,-0.365,329.2,-0.051,338.75,-0.023,337.5,0.49,348.85,-0.0024306548470116596,351.3,0.004575350300257464,,,349.0,-0.002001715756362543,GLENMARK.NSE
2020-05-21,347.9,354.45,345.05,348.85,341.7386,4531260.0,339.92,338.845,,339.885984385823,338.5780907166774,1.3078936691455851,0.5399704368346779,0.7679232323109072,,,,,,55.83876704208656,-0.0024306548470116596,0.006056236481615018,0.03685540199138071,3796601.3,1.193504306075015,0.023270588531692525,,Thursday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,-0.258,Negative,0.214,Sector Rotation,12.0,28.0,9,-3.26,33.91,51.83,-1.46,covid_crash,,,-0.364,-0.1182,0.2641715772414251,3,5,2,2020,0,0,349.7,0.106,333.1,-0.365,329.2,-0.051,346.75,-0.122,351.3,0.007023075820553171,,,347.35,-0.004299842339114179,343.7,-0.014762792030958982,GLENMARK.NSE
2020-05-22,347.0,363.6,345.0,351.3,344.1387,7839018.0,342.43,340.475,,341.79802740232594,339.95428967249956,1.8437377298263868,0.8102329108815325,1.0335048189448544,,,,,,57.08525345622121,0.007023075820553171,0.03704797047970487,0.048656716417910584,4305631.6,1.8206429923080276,0.023103499792638295,,Friday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,0.193,Positive,0.223,Inflation Concerns,8.0,14.0,7,0.3,38.69,27.2,1.41,covid_crash,,,0.451,-0.075,0.2730515620822477,4,5,2,2020,0,0,348.85,-0.258,349.7,0.106,333.1,-0.365,338.75,-0.023,,,347.35,-0.011243951038998001,349.0,-0.00654711073156844,354.4,0.008824366638200853,GLENMARK.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mid Cap,0.098,Neutral,0.212,Vaccine Rollout,10.0,16.0,7,3.53,-38.25,47.68,0.28,covid_crash,,,-0.095,-0.045200000000000004,0.2571561566225644,0,5,2,2020,0,0,351.3,0.193,348.85,-0.258,349.7,0.106,329.2,-0.051,347.35,,349.0,,343.7,,368.55,,GLENMARK.NSE
