date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.185,Negative,0.3,Economic Stimulus,12.0,21.0,12,0.55,20.48,55.27,1.41,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,526.3,,514.3,,507.2,,499.55,,GODREJCP.NSE
2020-05-04,530.0,537.45,522.3,526.3,511.6612,2940240.0,,,,526.3,526.3,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,0.199,Positive,0.184,Economic Stimulus,14.0,23.0,8,-1.44,-7.44,34.38,0.75,covid_crash,,,0.384,,,0,5,2,2020,0,0,,-0.185,,,,,,,514.3,-0.0228006840205206,507.2,-0.03629108873266196,486.3,-0.07600228006840193,516.8,-0.018050541516245522,GODREJCP.NSE
2020-05-05,532.0,533.15,507.15,514.3,499.995,2381774.0,,,,519.8,520.0692307692307,-0.26923076923071676,-0.14957264957262043,-0.11965811965809633,,,,,,,-0.0228006840205206,,,,,,,Tuesday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.301,Negative,0.281,Inflation Concerns,12.0,25.0,7,-0.04,-83.62,44.61,-0.05,covid_crash,,,-0.5,,,1,5,2,2020,0,0,526.3,0.199,,-0.185,,,,,507.2,-0.013805172078553363,486.3,-0.05444293214077378,499.55,-0.02867975889558616,517.85,0.006902586039276848,GODREJCP.NSE
2020-05-06,513.75,513.75,495.1,507.2,493.0925,2065103.0,,,,514.8822170900693,515.445441103992,-0.5632240139227633,-0.3191018972571052,-0.24412211666565814,,,,,,,-0.013805172078553363,,,,,,,Wednesday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.667,Negative,0.429,Corporate Governance,9.0,31.0,6,-0.89,31.19,42.27,-0.75,covid_crash,,,-0.36600000000000005,,,2,5,2,2020,0,0,514.3,-0.301,526.3,0.199,,-0.185,,,486.3,-0.041206624605678144,499.55,-0.015082807570977907,516.8,0.018927444794952564,534.45,0.0537263406940065,GODREJCP.NSE
2020-05-07,505.0,505.5,484.05,486.3,472.7738,2263764.0,,,,505.85992816091954,507.29764941483916,-1.4377212539196194,-0.6980379936874961,-0.7396832602321233,,,,,,,-0.041206624605678144,,,,,,,Thursday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.442,Negative,0.312,Global Markets,17.0,18.0,5,1.46,-1.81,53.29,-0.87,covid_crash,,,0.22500000000000003,-0.2792,,3,5,2,2020,0,0,507.2,-0.667,514.3,-0.301,526.3,0.199,,,499.55,0.027246555624100388,516.8,0.0627184865309478,517.85,0.06487764754266911,564.45,0.16070326958667502,GODREJCP.NSE
2020-05-08,491.5,506.9,491.5,499.55,485.6552,2795019.0,506.73,,,504.1455432311336,505.5009375595916,-1.355394328457976,-0.8935866415844737,-0.46180768687350227,,,,,,,0.027246555624100388,,,,,,,Friday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,0.119,Positive,0.129,Global Markets,9.0,14.0,10,2.15,-39.31,31.0,0.53,covid_crash,,,0.5609999999999999,-0.21839999999999998,,4,5,2,2020,0,0,486.3,-0.442,507.2,-0.667,514.3,-0.301,,-0.185,516.8,0.034531077970173074,517.85,0.03663296967270546,534.45,0.0698628765889302,543.5,0.08797918126313675,GODREJCP.NSE
2020-05-11,508.0,523.95,505.05,516.8,502.4254,2283976.0,504.8299999999999,,,507.22124197446476,507.7640496483163,-0.5428076738515415,-0.7985060383955229,0.2556983645439814,,,,,,,0.034531077970173074,-0.018050541516245522,,,,,,Monday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.105,Negative,0.262,Inflation Concerns,12.0,17.0,8,0.92,-23.63,31.98,-0.9,covid_crash,,,-0.22399999999999998,-0.2792,,0,5,2,2020,0,0,499.55,0.119,486.3,-0.442,507.2,-0.667,526.3,0.199,517.85,0.002031733746130193,534.45,0.03415247678018596,564.45,0.09220201238390113,537.55,0.04015092879256965,GODREJCP.NSE
2020-05-12,518.7,524.7,510.0,517.85,503.4462,2022416.0,505.53999999999996,,,509.5930121406762,509.55778363418256,0.03522850649363818,-0.5875100670977931,0.6227385735914313,,,,,,,0.002031733746130193,0.006902586039276848,,,,,,Tuesday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,0.139,Positive,0.193,Regulatory Changes,14.0,20.0,8,2.49,-24.44,51.37,-0.25,covid_crash,,,0.244,-0.19119999999999998,,1,5,2,2020,0,0,516.8,-0.105,499.55,0.119,486.3,-0.442,514.3,-0.301,534.45,0.032055614560200896,564.45,0.08998744810273251,543.5,0.04953171767886455,554.0,0.06980785941875056,GODREJCP.NSE
2020-05-13,533.0,544.85,523.0,534.45,519.5845,1828087.0,510.98999999999995,,,514.7802823835248,513.5685364781618,1.2117459053629318,-0.1551150218994194,1.3668609272623513,,,,,,,0.032055614560200896,0.0537263406940065,,,,,,Wednesday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,0.063,Neutral,0.162,Management Commentary,13.0,18.0,12,-2.76,-61.7,36.74,-0.5,covid_crash,,,-0.07600000000000001,-0.0452,,2,5,2,2020,0,0,517.85,0.139,516.8,-0.105,499.55,0.119,507.2,-0.667,564.45,0.05613247263541954,543.5,0.016933295911684798,537.55,0.005800355505659827,564.65,0.05650668911965551,GODREJCP.NSE
2020-05-14,520.0,568.15,520.0,564.45,548.7501,6363235.0,526.62,,,524.606720421036,521.110286369663,3.4964340513730576,0.6884109294548898,2.808023121918168,,,,,,,0.05613247263541954,0.16070326958667502,,,,,,Thursday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.364,Negative,0.338,Economic Stimulus,15.0,23.0,6,0.28,27.53,43.63,-1.88,covid_crash,,,-0.427,-0.029599999999999994,0.2881470303701065,3,5,2,2020,0,0,534.45,0.063,517.85,0.139,516.8,-0.105,486.3,-0.442,543.5,-0.03711577641952346,537.55,-0.047657011249889414,554.0,-0.018513597307113216,575.6,0.019753742581273714,GODREJCP.NSE
2020-05-15,566.0,572.5,539.0,543.5,528.3828,2855729.0,535.4100000000001,521.0699999999999,,528.1869895584824,524.1998489385546,3.9871406199278,1.4275178711165577,2.5596227488112424,,,,,,,-0.03711577641952346,0.08797918126313675,,2779934.3,1.0272649249300605,,,Friday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.574,Negative,0.499,Technical Factors,10.0,19.0,7,-2.41,-3.03,54.04,-0.18,covid_crash,,,-0.20999999999999996,-0.1682,0.31749962379680247,4,5,2,2020,0,0,564.45,-0.364,534.45,0.063,517.85,0.139,499.55,0.119,537.55,-0.010947562097516128,554.0,0.01931922723091084,564.65,0.03891444342226302,569.2,0.04728610855565796,GODREJCP.NSE
2020-05-18,547.85,551.0,535.1,537.55,522.5983,2235232.0,539.56,522.1949999999999,,529.9001947111526,525.931367760558,3.9688269505945755,1.9835417768287196,1.985285173765856,,,,,,,-0.010947562097516128,0.04015092879256965,0.021375641269238077,2709433.5,0.824981310668817,0.033258166685362564,,Monday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.156,Negative,0.107,Capacity Expansion,13.0,23.0,6,-2.46,-32.84,45.58,-1.6,covid_crash,,,0.4179999999999999,-0.17839999999999998,0.28715918930098683,0,5,2,2020,0,0,543.5,-0.574,564.45,-0.364,534.45,0.063,516.8,-0.105,554.0,0.030601804483304074,564.65,0.05041391498465253,575.6,0.07078411310575783,,,GODREJCP.NSE
2020-05-19,540.1,557.8,537.15,554.0,538.5907,2041488.0,546.79,526.165,,534.1850609752331,529.3800414920946,4.805019483138494,2.589476859937923,2.2155426232005713,,,,,,,0.030601804483304074,0.06980785941875056,0.07719230021388301,2675404.9,0.7630575842931289,0.033010731358687644,,Tuesday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.273,Negative,0.269,Management Commentary,10.0,18.0,9,-3.34,-7.13,41.94,-0.43,covid_crash,,,-0.11700000000000002,-0.2608,0.2865127493769789,1,5,2,2020,0,0,537.55,-0.156,543.5,-0.574,564.45,-0.364,517.85,0.139,564.65,0.019223826714801495,575.6,0.03898916967509036,569.2,0.02743682310469331,574.95,0.03781588447653439,GODREJCP.NSE
2020-05-20,556.0,567.4,555.9,564.65,548.9445,1412403.0,552.83,531.91,,539.4749317372166,533.5119107695278,5.963020967688749,3.30343600031835,2.659584967370399,,,,,,,0.019223826714801495,0.05650668911965551,0.11326892744479489,2610134.9,0.5411226063449824,0.032235136603998946,,Wednesday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.273,Negative,0.553,Economic Stimulus,13.0,21.0,8,0.18,21.47,29.47,-0.53,covid_crash,,,0.0,-0.32799999999999996,0.24290153469164313,2,5,2,2020,0,0,554.0,-0.273,537.55,-0.156,543.5,-0.574,534.45,0.063,575.6,0.019392544053838723,569.2,0.008058089081732112,,,574.85,0.018064287611794905,GODREJCP.NSE
2020-05-21,570.0,585.0,562.55,575.6,559.5899,1661712.0,555.06,540.8399999999999,,545.6258774536718,538.2389040706331,7.386973383038708,4.157715067574994,3.2292583154637136,,,,,,63.46258874931732,0.019392544053838723,0.019753742581273714,0.183631503187333,2549929.7,0.6516697303458993,0.026454720402381768,,Thursday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.362,Negative,0.243,Regulatory Changes,8.0,21.0,6,0.58,45.8,43.8,0.27,covid_crash,,,-0.08899999999999997,-0.3276,0.23473540659881514,3,5,2,2020,0,0,564.65,-0.273,554.0,-0.273,537.55,-0.156,564.45,-0.364,569.2,-0.011118832522585054,,,574.95,-0.0011292564280750428,604.4,0.050034746351633075,GODREJCP.NSE
2020-05-22,576.0,583.1,566.8,569.2,553.3679,884548.0,560.2,547.8050000000001,,549.5749465550759,541.5881362448446,7.986810310231363,4.951461589062499,3.0353487211688632,,,,,,61.31926121372034,-0.011118832522585054,0.04728610855565796,0.1394254829346413,2358882.6,0.3749860209236356,0.02761107748562902,,Friday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.499,Negative,0.682,Regulatory Changes,12.0,27.0,10,1.39,6.59,30.81,-2.27,covid_crash,,,-0.137,-0.3126,0.22896006444598824,4,5,2,2020,0,0,575.6,-0.362,564.65,-0.273,554.0,-0.273,543.5,-0.574,,,574.95,0.01010189739985945,574.85,0.00992621222768797,633.8,0.11349262122276871,GODREJCP.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.454,Negative,0.405,Corporate Governance,11.0,21.0,9,-1.39,-15.74,47.25,-0.44,covid_crash,,,0.044999999999999984,-0.3722,0.23259791247749595,0,5,2,2020,0,0,569.2,-0.499,575.6,-0.362,564.65,-0.273,537.55,-0.156,574.95,,574.85,,604.4,,633.3,,GODREJCP.NSE
2020-05-26,570.0,588.0,570.0,574.95,558.958,1415962.0,567.6800000000001,553.62,,553.7683742078515,545.0780612548026,8.690312953048874,5.720889327330732,2.969423625718142,,,,,,66.54843110504777,0.01010189739985945,0.06957492326295256,0.11251934984520151,2272081.2,0.6232004384350347,0.026603812628195493,,Tuesday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.607,Negative,0.482,Sector Rotation,7.0,35.0,7,-3.71,27.29,44.5,-1.26,covid_crash,,,-0.15299999999999997,-0.43899999999999995,0.20266143085342,1,5,2,2020,0,0,,-0.454,569.2,-0.499,575.6,-0.362,554.0,-0.273,574.85,-0.00017392816766681474,604.4,0.05122184537785879,633.8,0.10235672667188433,639.55,0.11235759631272257,GODREJCP.NSE
2020-05-27,577.5,580.9,568.15,574.85,558.8608,818578.0,571.85,559.3199999999999,,557.2129702863912,548.1001730318864,9.112797254504812,6.414898612557236,2.6978986419475763,,,,,,69.19148936170211,-0.00017392816766681474,0.03763537906137193,0.11007048373080996,2151697.4,0.38043360558041295,0.02669574205927036,,Wednesday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.257,Negative,0.259,Regulatory Changes,11.0,25.0,5,4.14,-87.38,60.19,0.44,covid_crash,,,0.35,-0.43579999999999997,0.1481549114196953,2,5,2,2020,0,0,574.95,-0.607,,-0.454,569.2,-0.499,564.65,-0.273,604.4,0.05140471427328852,633.8,0.1025484909106722,633.3,0.10167869879098879,658.7,0.1458641384709054,GODREJCP.NSE
2020-05-28,575.0,610.0,573.7,604.4,587.5889,1946395.0,579.8,566.3149999999999,,564.8501013646709,553.6624966768654,11.187604687805447,7.386950762406259,3.800653925399188,,,,,,81.93618171984853,0.05140471427328852,0.07039759142831836,0.1308822153615865,2163528.2,0.899639302136205,0.029007428654802415,,Thursday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.068,Neutral,0.1,Capacity Expansion,14.0,18.0,9,2.66,-46.91,41.3,1.39,covid_crash,,,0.189,-0.37699999999999995,0.17857463425694026,3,5,2,2020,0,0,574.85,-0.257,574.95,-0.607,,-0.454,575.6,-0.362,633.8,0.04864328259430839,633.3,0.0478160158835208,639.55,0.058156849768365326,655.2,0.08405029781601603,GODREJCP.NSE
2020-05-29,610.0,639.95,603.05,633.8,616.1711,6532208.0,591.44,573.25,,575.9209233016807,561.3889115782199,14.532011723460755,8.836858324720714,5.695153398740041,,,,,,83.38721711017156,0.04864328259430839,0.1011118832522584,0.12286296394720497,2180425.5,2.995840949392676,0.027835947979340584,,Friday,May,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.097,Neutral,0.209,Technical Factors,10.0,23.0,5,-2.57,36.85,26.84,-2.23,covid_crash,,,-0.028999999999999998,-0.2965999999999999,0.1764698274493404,4,5,2,2020,0,0,604.4,-0.068,574.85,-0.257,574.95,-0.607,569.2,-0.499,633.3,-0.0007888923950772897,639.55,0.009072262543388998,658.7,0.03928684127485016,649.9,0.025402335121489372,GODREJCP.NSE
2020-06-01,635.2,657.6,627.15,633.3,615.685,2040611.0,604.26,582.23,551.65,585.0724243124351,568.1706737954747,16.90175051696042,10.468650040773419,6.4331004761870005,551.65,634.2594425595524,469.0405574404475,165.21888511910493,0.9941929001708198,81.6060770482908,-0.0007888923950772897,0.1126141953619113,0.16522539098436062,2098913.7,0.9722224405891485,0.022589833149393022,,Monday,June,Q2,GODREJCP.NSE,Godrej Consumer Products Limited,FMCG,Large Cap,-0.401,Negative,0.405,Sector Rotation,12.0,30.0,6,-2.2,15.49,45.88,1.0,covid_crash,,,-0.30400000000000005,-0.2859999999999999,0.1704513289932218,0,6,2,2020,0,0,633.8,-0.097,604.4,-0.068,574.85,-0.257,,-0.454,639.55,0.00986894047055098,658.7,0.04010737407231968,655.2,0.03458076740881122,658.55,0.03987051950102627,GODREJCP.NSE
