date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,-0.475,Negative,0.428,Global Markets,13.0,24.0,7,-1.5,8.34,32.48,-0.41,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,477.15,,469.58,,480.49,,484.37,,GRASIM.NSE
2020-05-04,491.05,492.99,474.46,477.15,467.2141,3320830.0,,,,477.15,477.15,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,-0.824,Negative,0.577,Global Markets,13.0,31.0,6,-2.62,-71.79,49.19,-0.84,covid_crash,,,-0.349,,,0,5,2,2020,0,0,,-0.475,,,,,,,469.58,-0.015865031960599407,480.49,0.0069998952111496315,483.28,0.01284711306716968,502.45,0.05302315833595306,GRASIM.NSE
2020-05-05,483.08,485.87,467.39,469.58,459.8017,1735925.0,,,,473.0495833333333,473.2194230769231,-0.16983974358976184,-0.09435541310542324,-0.0754843304843386,,,,,,,-0.015865031960599407,,,,,,,Tuesday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,-0.567,Negative,0.321,Lockdown Measures,10.0,24.0,4,4.02,31.21,45.87,-0.71,covid_crash,,,0.257,,,1,5,2,2020,0,0,477.15,-0.824,,-0.475,,,,,480.49,0.02323352783338306,483.28,0.029175007453469126,484.37,0.03149623067421947,515.9,0.09864133906895534,GRASIM.NSE
2020-05-06,473.12,484.08,467.34,480.49,470.4845,1896522.0,,,,475.9535796766744,475.8316707737802,0.12190890289417666,-0.005722496712144595,0.12763139960632125,,,,,,,0.02323352783338306,,,,,,,Wednesday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,-0.184,Negative,0.168,Regulatory Changes,13.0,23.0,6,2.54,26.35,48.3,-0.48,covid_crash,,,0.38299999999999995,,,2,5,2,2020,0,0,469.58,-0.567,477.15,-0.824,,-0.475,,,483.28,0.00580657245728311,484.37,0.008075090012279018,502.45,0.04570334450248703,520.88,0.08406002206081298,GRASIM.NSE
2020-05-07,480.49,490.0,474.51,483.28,473.2164,1743414.0,,,,478.26624425287355,477.91389813657537,0.3523461162981789,0.11557445891465874,0.23677165738352018,,,,,,,0.00580657245728311,,,,,,,Thursday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,0.111,Positive,0.1,Capacity Expansion,8.0,16.0,11,7.7,26.82,49.5,-1.34,covid_crash,,,0.295,-0.3878,,3,5,2,2020,0,0,480.49,-0.184,469.58,-0.567,477.15,-0.824,,,484.37,0.002255421287866266,502.45,0.03966644595265678,515.9,0.06749710312862112,509.37,0.053985267339844434,GRASIM.NSE
2020-05-08,487.86,490.85,480.84,484.37,474.2837,1451705.0,478.974,,,479.9246128746872,479.4110947875344,0.5135180871528178,0.23395369149383502,0.2795643956589827,,,,,,,0.002255421287866266,,,,,,,Friday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,-0.283,Negative,0.174,Merger & Acquisition,18.0,20.0,8,-2.43,50.81,40.73,-1.27,covid_crash,,,-0.39399999999999996,-0.3494,,4,5,2,2020,0,0,483.28,0.111,480.49,-0.184,469.58,-0.567,,-0.475,502.45,0.03732683692218752,515.9,0.06509486549538579,520.88,0.07537626194851033,515.8,0.06488841175134707,GRASIM.NSE
2020-05-11,487.26,510.47,482.83,502.45,491.9873,3912963.0,484.034,,,485.3994670023513,484.02560374987513,1.3738632524761556,0.5429325602656063,0.8309306922105493,,,,,,,0.03732683692218752,0.05302315833595306,,,,,,Monday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,-0.54,Negative,0.566,Sector Rotation,13.0,30.0,10,-1.96,15.05,34.95,1.12,covid_crash,,,-0.25700000000000006,-0.2926,,0,5,2,2020,0,0,484.37,-0.283,483.28,0.111,480.49,-0.184,477.15,-0.824,515.9,0.026768832719673563,520.88,0.036680266693203345,509.37,0.013772514678077385,493.84,-0.01713603343616288,GRASIM.NSE
2020-05-12,500.71,518.94,490.15,515.9,505.1572,3122914.0,493.29799999999994,,,492.2055542275545,489.6942998904698,2.511254337084722,1.0410622919317387,1.4701920451529833,,,,,,,0.026768832719673563,0.09864133906895534,,,,,,Tuesday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,-0.465,Negative,0.402,Capacity Expansion,13.0,26.0,9,-0.38,-54.14,47.61,-3.55,covid_crash,,,0.07500000000000001,-0.2722,,1,5,2,2020,0,0,502.45,-0.54,484.37,-0.283,483.28,0.111,469.58,-0.567,520.88,0.009653033533630673,509.37,-0.012657491761969286,515.8,-0.0001938360147315521,509.82,-0.011785229695677413,GRASIM.NSE
2020-05-13,547.82,547.82,516.99,520.88,510.0335,2711938.0,501.37600000000003,,,498.1894690979876,494.7190889075515,3.470380190436117,1.6248730662755475,1.8455071241605696,,,,,,,0.009653033533630673,0.08406002206081298,,,,,,Wednesday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,-0.252,Negative,0.279,Inflation Concerns,13.0,24.0,7,-1.66,4.86,36.05,-0.58,covid_crash,,,0.21300000000000002,-0.2858,,2,5,2,2020,0,0,515.9,-0.465,502.45,-0.54,484.37,-0.283,480.49,-0.184,509.37,-0.022097220089079994,515.8,-0.009752726155736524,493.84,-0.051912148671479086,534.72,0.02657041929043169,GRASIM.NSE
2020-05-14,515.95,526.51,506.24,509.37,498.7632,1940379.0,506.59399999999994,,,500.4013760587524,496.890675561981,3.510700496771392,2.0605085583582134,1.4501919384131785,,,,,,,-0.022097220089079994,0.053985267339844434,,,,,,Thursday,May,Q2,GRASIM.NSE,Grasim Industries Limited,Cement,Large Cap,-0.71,Negative,0.471,Management Commentary,7.0,27.0,5,4.9,-38.86,55.69,-2.15,covid_crash,,,-0.45799999999999996,-0.45,0.2734578781295414,3,5,2,2020,0,0,520.88,-0.252,515.9,-0.465,502.45,-0.54,483.28,0.111,515.8,0.012623436794471532,493.84,-0.03048864283330399,509.82,0.0008834442546674648,524.86,0.030410114455111215,GRASIM.NSE
