date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,-0.472,Negative,0.394,FII/DII Activity,14.0,24.0,7,-1.16,-19.91,35.57,0.28,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,524.85,,506.6,,508.3,,487.45,,HAVELLS.NSE
2020-05-04,547.0,552.75,518.05,524.85,509.1004,1835896.0,,,,524.85,524.85,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,0.053,Neutral,0.1,Inflation Concerns,10.0,12.0,3,4.38,-23.29,43.32,-1.1,covid_crash,,,0.525,,,0,5,2,2020,0,0,,-0.472,,,,,,,506.6,-0.034771839573211394,508.3,-0.031532818900638304,486.85,-0.0724016385633991,488.45,-0.0693531485186244,HAVELLS.NSE
2020-05-05,534.8,534.9,501.05,506.6,491.3981,1137980.0,,,,514.9645833333333,515.3740384615385,-0.40945512820519525,-0.22747507122510846,-0.1819800569800868,,,,,,,-0.034771839573211394,,,,,,,Tuesday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,-0.42,Negative,0.242,Vaccine Rollout,15.0,19.0,1,0.63,-63.17,40.53,-0.74,covid_crash,,,-0.473,,,1,5,2,2020,0,0,524.85,0.053,,-0.472,,,,,508.3,0.003355704697986628,486.85,-0.03898539281484403,487.45,-0.03780102645084882,480.55,-0.05142123963679435,HAVELLS.NSE
2020-05-06,509.05,518.0,492.45,508.3,493.047,2448671.0,,,,512.3633949191686,512.8324051256777,-0.46901020650909686,-0.3264648807677266,-0.14254532574137024,,,,,,,0.003355704697986628,,,,,,,Wednesday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,-0.357,Negative,0.243,Capacity Expansion,10.0,27.0,2,-3.01,12.4,48.14,-0.47,covid_crash,,,0.063,,,2,5,2,2020,0,0,506.6,-0.42,524.85,0.053,,-0.472,,,486.85,-0.0421994884910486,487.45,-0.04101908321857173,488.45,-0.03905174109777698,511.2,0.005705292150304908,HAVELLS.NSE
2020-05-07,510.3,512.25,485.0,486.85,472.2407,2606691.0,,,,504.3098132183908,505.568860072719,-1.2590468543282327,-0.642380183464375,-0.6166666708638577,,,,,,,-0.0421994884910486,,,,,,,Thursday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,-0.071,Neutral,0.1,Merger & Acquisition,14.0,16.0,3,-1.86,10.34,40.09,-0.4,covid_crash,,,0.286,-0.25339999999999996,,3,5,2,2020,0,0,508.3,-0.357,506.6,-0.42,524.85,0.053,,,487.45,0.001232412447365716,488.45,0.003286433192975169,480.55,-0.012940330697340019,500.95,0.028961692513094217,HAVELLS.NSE
2020-05-08,494.0,497.0,485.15,487.45,472.8227,3203167.0,502.81000000000006,,,499.7290622235329,501.3670216888248,-1.6379594652919423,-0.9385425114711476,-0.6994169538207946,,,,,,,0.001232412447365716,,,,,,,Friday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,-0.209,Negative,0.221,Capacity Expansion,19.0,14.0,9,1.89,27.24,61.64,-0.21,covid_crash,,,-0.138,-0.2008,,4,5,2,2020,0,0,486.85,-0.071,508.3,-0.357,506.6,-0.42,,-0.472,488.45,0.002051492460765303,480.55,-0.014155297979279835,511.2,0.04872294594317372,486.85,-0.0012308954764590485,HAVELLS.NSE
2020-05-11,492.0,493.4,476.75,488.45,473.7927,2932826.0,495.53000000000003,,,496.98765671395574,498.7798452670223,-1.7921885530665804,-1.169928050545285,-0.6222605025212955,,,,,,,0.002051492460765303,-0.0693531485186244,,,,,,Monday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,-0.539,Negative,0.374,Earnings Report,16.0,29.0,2,-1.27,12.78,64.59,-1.59,covid_crash,,,-0.33000000000000007,-0.3192,,0,5,2,2020,0,0,487.45,-0.209,486.85,-0.071,508.3,-0.357,524.85,0.053,480.55,-0.016173610400245675,511.2,0.046575903367796156,500.95,0.025591155696591317,475.75,-0.026000614187736693,HAVELLS.NSE
2020-05-12,484.35,485.8,471.2,480.55,466.1298,2707994.0,490.32,,,493.3196511292089,495.5377617872952,-2.218110658086289,-1.4351951055464705,-0.7829155525398184,,,,,,,-0.016173610400245675,-0.05142123963679435,,,,,,Tuesday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,-0.19,Negative,0.113,Interest Rate Policy,12.0,13.0,2,0.48,-9.97,49.37,-0.55,covid_crash,,,0.34900000000000003,-0.2732,,1,5,2,2020,0,0,488.45,-0.539,487.45,-0.209,486.85,-0.071,506.6,-0.42,511.2,0.06378108417438355,500.95,0.042451357819165425,486.85,0.013109978150036339,468.2,-0.02569971907189683,HAVELLS.NSE
2020-05-13,494.0,515.0,483.8,511.2,495.86,7182888.0,490.9,,,497.05100434682794,498.0613364474025,-1.0103321005745443,-1.3330925359011374,0.32276043532659315,,,,,,,0.06378108417438355,0.005705292150304908,,,,,,Wednesday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,0.19,Positive,0.322,Capacity Expansion,12.0,24.0,3,2.84,-3.99,43.75,0.84,covid_crash,,,0.38,-0.1638,,2,5,2,2020,0,0,480.55,-0.19,488.45,-0.539,487.45,-0.209,508.3,-0.357,500.95,-0.02005086071987483,486.85,-0.047633020344287846,475.75,-0.06934663536776209,469.6,-0.08137715179968696,HAVELLS.NSE
2020-05-14,510.0,510.0,493.0,500.95,485.9176,2881855.0,493.71999999999997,,,497.8223644638767,498.48949980054647,-0.6671353366697872,-1.1792531190479936,0.5121177823782064,,,,,,,-0.02005086071987483,0.028961692513094217,,,,,,Thursday,May,Q2,HAVELLS.NSE,Havells India Limited,Consumer Goods,Mid Cap,-0.464,Negative,0.38,Earnings Report,17.0,22.0,4,-2.31,-18.08,37.41,-0.04,covid_crash,,,-0.654,-0.2424,0.24531994981610802,3,5,2,2020,0,0,511.2,0.19,480.55,-0.19,488.45,-0.539,486.85,-0.071,486.85,-0.02814652160894293,475.75,-0.05030442159896198,468.2,-0.06537578600658744,465.85,-0.07006687294141123,HAVELLS.NSE
