date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.806,Negative,0.619,COVID-19 Impact,12.0,35.0,7,-1.45,27.67,55.55,-1.04,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,923.0,,911.45,,946.4,,929.05,,HDFCBANK.NSE
2020-05-04,957.5,960.0,917.5,923.0,876.4187,13361162.0,,,,923.0,923.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.551,Negative,0.492,COVID-19 Impact,13.0,22.0,9,-2.05,-26.68,39.86,-0.29,covid_crash,,,0.255,,,0,5,2,2020,0,0,,-0.806,,,,,,,911.45,-0.012513542795232868,946.4,0.025352112676056304,925.0,0.0021668472372697867,915.8,-0.007800650054171188,HDFCBANK.NSE
2020-05-05,938.0,944.0,908.05,911.45,865.4516,14836429.0,,,,916.74375,917.0028846153847,-0.25913461538470983,-0.1439636752137277,-0.11517094017098214,,,,,,,-0.012513542795232868,,,,,,,Tuesday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.399,Negative,0.41,Lockdown Measures,11.0,18.0,8,-2.0,-32.85,36.46,-0.41,covid_crash,,,0.15200000000000002,,,1,5,2,2020,0,0,923.0,-0.551,,-0.806,,,,,946.4,0.038345493444511325,925.0,0.014866421635854943,929.05,0.019309890833287602,901.55,-0.010861813593724401,HDFCBANK.NSE
2020-05-06,919.0,950.0,905.65,946.4,898.6377,16892923.0,,,,928.3185912240184,927.5649827501232,0.7536084738951558,0.22389376294565075,0.5297147109495051,,,,,,,0.038345493444511325,,,,,,,Wednesday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.214,Negative,0.123,COVID-19 Impact,13.0,17.0,10,0.96,-70.53,42.43,-0.02,covid_crash,,,0.18500000000000003,,,2,5,2,2020,0,0,911.45,-0.399,923.0,-0.551,,-0.806,,,925.0,-0.022612003381234147,929.05,-0.018332628909552007,915.8,-0.032333051563820825,927.65,-0.01981191885038036,HDFCBANK.NSE
2020-05-07,940.5,943.3,921.35,925.0,878.3177,10915865.0,,,,927.2710416666667,926.8479256618567,0.4231160048100264,0.29138097224930104,0.13173503256072538,,,,,,,-0.022612003381234147,,,,,,,Thursday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.526,Negative,0.479,Management Commentary,13.0,36.0,4,3.65,20.03,58.91,-1.06,covid_crash,,,-0.31200000000000006,-0.4992,,3,5,2,2020,0,0,946.4,-0.214,911.45,-0.399,923.0,-0.551,,,929.05,0.0043783783783784,915.8,-0.009945945945946,901.55,-0.02535135135135136,893.7,-0.03383783783783778,HDFCBANK.NSE
2020-05-08,942.0,943.95,925.2,929.05,882.1633,10403742.0,926.9799999999999,,,927.7543782878779,927.3585957835456,0.39578250433226003,0.3224380677047267,0.07334443662753332,,,,,,,0.0043783783783784,,,,,,,Friday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.311,Negative,0.204,Economic Stimulus,13.0,23.0,6,-3.39,54.84,40.03,-1.58,covid_crash,,,0.21500000000000002,-0.4002,,4,5,2,2020,0,0,925.0,-0.526,946.4,-0.214,911.45,-0.399,,-0.806,915.8,-0.014261880415478156,901.55,-0.029600129164199962,927.65,-0.0015069156665410421,888.15,-0.04402346482966468,HDFCBANK.NSE
2020-05-11,937.0,954.0,914.0,915.8,869.582,14275392.0,925.54,,,924.8488354464187,925.0435012361543,-0.194665789735609,0.18227417192009243,-0.3769399616557014,,,,,,,-0.014261880415478156,-0.007800650054171188,,,,,,Monday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.367,Negative,0.241,Economic Stimulus,9.0,29.0,10,-1.95,41.99,59.95,-0.47,covid_crash,,,-0.055999999999999994,-0.3634,,0,5,2,2020,0,0,929.05,-0.311,925.0,-0.526,946.4,-0.214,923.0,-0.551,901.55,-0.01556016597510379,927.65,0.012939506442454674,893.7,-0.0241319065298099,836.65,-0.08642716750382173,HDFCBANK.NSE
2020-05-12,901.0,909.4,871.1,901.55,856.0512,24784209.0,923.5600000000001,,,919.6497818329553,920.8653038283862,-1.2155219954308905,-0.17147074822793082,-1.0440512472029597,,,,,,,-0.01556016597510379,-0.010861813593724401,,,,,,Tuesday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.395,Negative,0.543,Capacity Expansion,10.0,22.0,11,-2.57,56.14,44.83,-0.67,covid_crash,,,-0.028000000000000025,-0.36260000000000003,,1,5,2,2020,0,0,915.8,-0.367,929.05,-0.311,925.0,-0.526,911.45,-0.399,927.65,0.02895014142310459,893.7,-0.008707226443347427,888.15,-0.014863290998835321,830.65,-0.07864233819533029,HDFCBANK.NSE
2020-05-13,951.0,960.0,922.1,927.65,880.834,22173483.0,919.8100000000001,,,921.3193040562056,921.958486495045,-0.6391824388393843,-0.28387066280215445,-0.35531177603722985,,,,,,,0.02895014142310459,-0.01981191885038036,,,,,,Wednesday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.237,Negative,0.268,Technical Factors,12.0,22.0,7,-1.41,35.32,38.5,-1.21,covid_crash,,,0.15800000000000003,-0.36719999999999997,,2,5,2,2020,0,0,901.55,-0.395,915.8,-0.367,929.05,-0.311,946.4,-0.214,893.7,-0.03659785479437283,888.15,-0.04258071470921143,836.65,-0.09809734274780357,857.1,-0.07605239044898393,HDFCBANK.NSE
2020-05-14,898.0,911.0,890.0,893.7,848.5973,19777445.0,913.55,,,915.8552226607144,917.7699584397047,-1.914735778990348,-0.6606085954051896,-1.2541271835851586,,,,,,,-0.03659785479437283,-0.03383783783783778,,,,,,Thursday,May,Q2,HDFCBANK.NSE,HDFC Bank Limited,Banking,Large Cap,-0.196,Negative,0.306,Inflation Concerns,14.0,18.0,9,-0.51,21.14,49.12,1.27,covid_crash,,,0.04099999999999998,-0.3012,0.18718072075462858,3,5,2,2020,0,0,927.65,-0.237,901.55,-0.395,915.8,-0.367,925.0,-0.526,888.15,-0.006210137630077273,836.65,-0.0638357390623252,830.65,-0.07054940136511145,859.55,-0.038211927940024704,HDFCBANK.NSE
