date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.601,Negative,0.553,Interest Rate Policy,15.0,23.0,10,-3.41,17.94,61.01,-0.08,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,115.9,,115.9,,118.6,,117.1,,HINDALCO.NSE
2020-05-04,121.4,123.0,114.6,115.9,112.0975,22496677.0,,,,115.9,115.9,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.556,Negative,0.406,FII/DII Activity,7.0,19.0,11,-0.06,-33.9,62.93,-1.15,covid_crash,,,0.04499999999999993,,,0,5,2,2020,0,0,,-0.601,,,,,,,115.9,0.0,118.6,0.023295944779982536,117.65,0.015099223468507228,119.75,0.03321829163071599,HINDALCO.NSE
2020-05-05,120.0,120.75,115.0,115.9,112.0975,19405341.0,,,,115.9,115.9,0.0,0.0,0.0,,,,,,,0.0,,,,,,,Tuesday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.423,Negative,0.281,Merger & Acquisition,15.0,22.0,8,0.79,5.17,46.47,-0.45,covid_crash,,,0.13300000000000006,,,1,5,2,2020,0,0,115.9,-0.556,,-0.601,,,,,118.6,0.023295944779982536,117.65,0.015099223468507228,117.1,0.010353753235547769,121.1,0.04486626402070737,HINDALCO.NSE
2020-05-06,116.0,120.7,115.5,118.6,114.7089,15993752.0,,,,116.95381062355658,116.87008378511581,0.08372683844076789,0.03431427804949503,0.04941256039127286,,,,,,,0.023295944779982536,,,,,,,Wednesday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.372,Negative,0.235,Economic Stimulus,11.0,28.0,8,-0.12,38.06,58.06,-1.16,covid_crash,,,0.05099999999999999,,,2,5,2,2020,0,0,115.9,-0.423,115.9,-0.556,,-0.601,,,117.65,-0.008010118043844772,117.1,-0.012647554806070826,119.75,0.009696458684654408,123.55,0.041736930860033716,HINDALCO.NSE
2020-05-07,117.0,122.0,116.7,117.65,113.7901,16729796.0,,,,117.17357040229884,117.08811427678674,0.08545612551209558,0.05163875212219168,0.0338173733899039,,,,,,,-0.008010118043844772,,,,,,,Thursday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.539,Negative,0.506,FII/DII Activity,8.0,30.0,4,-1.54,24.37,42.67,0.31,covid_crash,,,-0.16700000000000004,-0.49820000000000003,,3,5,2,2020,0,0,118.6,-0.372,115.9,-0.423,115.9,-0.556,,,117.1,-0.004674883127921858,119.75,0.017849553761155823,121.1,0.029324266893327566,117.2,-0.003824904377390581,HINDALCO.NSE
2020-05-08,122.9,123.0,115.85,117.1,113.2581,21602930.0,117.03,,,117.15358158693314,117.09087062502375,0.06271096190938863,0.05493248421024408,0.007778477699144547,,,,,,,-0.004674883127921858,,,,,,,Friday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.179,Negative,0.273,Management Commentary,12.0,21.0,8,2.16,84.49,48.16,1.86,covid_crash,,,0.36000000000000004,-0.4138,,4,5,2,2020,0,0,117.65,-0.539,118.6,-0.372,115.9,-0.423,,-0.601,119.75,0.022630230572160626,121.1,0.03415883859948754,123.55,0.0550811272416738,119.25,0.0183603757472246,HINDALCO.NSE
2020-05-11,118.95,121.4,117.55,119.75,115.8212,13916698.0,117.8,,,117.7846478583735,117.62347303037645,0.1611748279970584,0.0837300663365165,0.0774447616605419,,,,,,,0.022630230572160626,0.03321829163071599,,,,,,Monday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.125,Negative,0.163,Regulatory Changes,13.0,19.0,11,-1.58,-23.8,36.81,-0.17,covid_crash,,,0.05399999999999999,-0.3276,,0,5,2,2020,0,0,117.1,-0.179,117.65,-0.539,118.6,-0.372,115.9,-0.556,121.1,0.01127348643006254,123.55,0.03173277661795404,117.2,-0.02129436325678491,115.35,-0.03674321503131528,HINDALCO.NSE
2020-05-12,118.9,122.25,116.4,121.1,117.1269,13673363.0,118.84,,,118.52445708924543,118.24175533008591,0.2827017591595222,0.1340844937082705,0.14861726545125173,,,,,,,0.01127348643006254,0.04486626402070737,,,,,,Tuesday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.009,Neutral,0.121,Merger & Acquisition,13.0,15.0,5,-1.45,-0.83,54.65,1.56,covid_crash,,,0.116,-0.2448,,1,5,2,2020,0,0,119.75,-0.125,117.1,-0.179,117.65,-0.539,115.9,-0.423,123.55,0.020231213872832443,117.2,-0.03220478943022287,119.25,-0.015276630883567233,117.3,-0.03137902559867878,HINDALCO.NSE
2020-05-13,125.5,126.95,121.6,123.55,119.4965,13922270.0,119.83,,,119.5732104354936,119.09704507582471,0.4761653596688973,0.2162929586307193,0.259872401038178,,,,,,,0.020231213872832443,0.041736930860033716,,,,,,Wednesday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.437,Negative,0.288,Inflation Concerns,15.0,21.0,9,5.48,-43.04,27.39,-0.05,covid_crash,,,-0.428,-0.25780000000000003,,2,5,2,2020,0,0,121.1,-0.009,119.75,-0.125,117.1,-0.179,118.6,-0.372,117.2,-0.051396195872116524,119.25,-0.034803723188992275,115.35,-0.066369890732497,120.8,-0.022258195062727637,HINDALCO.NSE
2020-05-14,119.0,120.9,117.0,117.2,113.3548,12778232.0,119.74000000000001,,,119.10370494173542,118.81586134987639,0.28784359185902986,0.23282150987098085,0.055022081988049004,,,,,,,-0.051396195872116524,-0.003824904377390581,,,,,,Thursday,May,Q2,HINDALCO.NSE,Hindalco Industries Limited,Metals,Large Cap,-0.343,Negative,0.188,COVID-19 Impact,12.0,18.0,6,1.46,-2.62,66.88,-1.07,covid_crash,,,0.09399999999999997,-0.2186,0.197211223480477,3,5,2,2020,0,0,123.55,-0.437,121.1,-0.009,119.75,-0.125,117.65,-0.539,119.25,0.017491467576791875,115.35,-0.015784982935153624,117.3,0.0008532423208189588,129.5,0.1049488054607508,HINDALCO.NSE
