date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,0.131,Positive,0.208,Technical Factors,11.0,15.0,7,-0.08,43.36,43.52,-0.27,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,2082.65,,2041.5,,2010.2,,2089.45,,HINDUNILVR.NSE
2020-05-04,2130.0,2160.0,2066.0,2082.65,1897.0482,8474573.0,,,,2082.65,2082.65,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,-0.215,Negative,0.104,Vaccine Rollout,9.0,20.0,8,-2.36,-7.55,51.97,0.16,covid_crash,,,-0.346,,,0,5,2,2020,0,0,,0.131,,,,,,,2041.5,-0.019758480781696397,2010.2,-0.03478741027056875,1992.05,-0.0435022687441482,2048.0,-0.016637457085924234,HINDUNILVR.NSE
2020-05-05,2101.2,2121.0,2033.1,2041.5,1859.5654,4304136.0,,,,2060.3604166666664,2061.283653846154,-0.923237179487387,-0.5129095441596595,-0.41032763532772754,,,,,,,-0.019758480781696397,,,,,,,Tuesday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,-0.28,Negative,0.322,Inflation Concerns,5.0,18.0,8,2.33,-22.11,46.07,-0.94,covid_crash,,,-0.06500000000000003,,,1,5,2,2020,0,0,2082.65,-0.215,,0.131,,,,,2010.2,-0.015331863825618353,1992.05,-0.024222385500857202,2089.45,0.023487631643399398,2011.55,-0.014670585353906418,HINDUNILVR.NSE
2020-05-06,2049.95,2073.0,2000.0,2010.2,1831.0548,5127656.0,,,,2040.7827944572746,2042.9297930014786,-2.1469985442040525,-1.1826181507352302,-0.9643803934688222,,,,,,,-0.015331863825618353,,,,,,,Wednesday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,-0.203,Negative,0.232,Inflation Concerns,15.0,11.0,7,-2.38,0.79,43.62,1.04,covid_crash,,,0.07700000000000001,,,2,5,2,2020,0,0,2041.5,-0.28,2082.65,-0.215,,0.131,,,1992.05,-0.009028952343050456,2089.45,0.03942393791662502,2048.0,0.018804099094617444,1995.75,-0.007188339468709559,HINDUNILVR.NSE
2020-05-07,1950.1,2007.0,1902.0,1992.05,1814.5223,185669922.0,,,,2025.3997557471262,2028.7060263038293,-3.3062705567031117,-1.9020125972013149,-1.4042579595017968,,,,,,,-0.009028952343050456,,,,,,,Thursday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,-0.256,Negative,0.266,Inflation Concerns,10.0,21.0,6,4.22,41.25,49.78,-2.31,covid_crash,,,-0.05299999999999999,-0.1646,,3,5,2,2020,0,0,2010.2,-0.203,2041.5,-0.28,2082.65,-0.215,,,2089.45,0.048894355061368966,2048.0,0.028086644411535966,2011.55,0.00978891092091061,2006.05,0.007027936045781891,HINDUNILVR.NSE
2020-05-08,2074.95,2098.0,2036.0,2089.45,1903.2422,16100226.0,2043.17,,,2042.8019781965543,2042.7928043485,0.009173848054160771,-1.3334778383794812,1.342651686433642,,,,,,,0.048894355061368966,,,,,,,Friday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,0.109,Positive,0.1,FII/DII Activity,12.0,21.0,7,-0.03,60.83,36.79,-0.76,covid_crash,,,0.365,-0.16899999999999998,,4,5,2,2020,0,0,1992.05,-0.256,2010.2,-0.203,2041.5,-0.28,,0.131,2048.0,-0.019837756347364066,2011.55,-0.037282538467060644,1995.75,-0.044844337026490155,2032.1,-0.027447414391347014,HINDUNILVR.NSE
2020-05-11,2083.0,2116.55,2035.95,2048.0,1865.4861,11158755.0,2036.2400000000002,,,2044.0653709617022,2043.8357641063928,0.22960685530938463,-0.9097949805620031,1.1394018358713878,,,,,,,-0.019837756347364066,-0.016637457085924234,,,,,,Monday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,0.004,Neutral,0.1,Lockdown Measures,13.0,13.0,8,3.92,3.84,30.54,-2.3,covid_crash,,,-0.105,-0.1252,,0,5,2,2020,0,0,2089.45,0.109,1992.05,-0.256,2010.2,-0.203,2082.65,-0.215,2011.55,-0.017797851562500022,1995.75,-0.0255126953125,2006.05,-0.020483398437500022,2005.25,-0.0208740234375,HINDUNILVR.NSE
2020-05-12,2020.0,2027.85,1985.0,2011.55,1832.2845,14881008.0,2030.25,,,2036.8096796942007,2038.0939083250353,-1.2842286308346047,-1.0045541484651694,-0.27967448236943526,,,,,,,-0.017797851562500022,-0.014670585353906418,,,,,,Tuesday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,0.171,Positive,0.1,Lockdown Measures,10.0,23.0,9,-0.45,-24.77,43.5,-0.47,covid_crash,,,0.167,-0.035,,1,5,2,2020,0,0,2048.0,0.004,2089.45,0.109,1992.05,-0.256,2041.5,-0.28,1995.75,-0.007854639457135049,2006.05,-0.00273420993761031,2032.1,0.010216002585071271,1975.55,-0.017896646864358323,HINDUNILVR.NSE
2020-05-13,2075.0,2075.0,1975.4,1995.75,1817.8925,8432979.0,2027.36,,,2028.2411573992222,2031.2712554827176,-3.0300980834954316,-1.4913304464150823,-1.5387676370803494,,,,,,,-0.007854639457135049,-0.007188339468709559,,,,,,Wednesday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,-0.287,Negative,0.394,FII/DII Activity,11.0,20.0,8,-1.07,-93.7,51.66,-0.45,covid_crash,,,-0.45799999999999996,-0.0518,,2,5,2,2020,0,0,2011.55,0.171,2048.0,0.004,2089.45,0.109,2010.2,-0.203,2006.05,0.005160967054991916,2032.1,0.018213704121257557,2005.25,0.004760115244895502,1990.85,-0.0024552173368408425,HINDUNILVR.NSE
2020-05-14,1988.0,2026.55,1980.65,2006.05,1827.2746,8510002.0,2030.1599999999999,,,2023.8509566163652,2027.5329117395452,-3.6819551231799323,-1.997375614492825,-1.6845795086871074,,,,,,,0.005160967054991916,0.007027936045781891,,,,,,Thursday,May,Q2,HINDUNILVR.NSE,Hindustan Unilever Limited,FMCG,Large Cap,-0.094,Neutral,0.242,Economic Stimulus,9.0,19.0,8,-2.99,-49.02,55.14,1.03,covid_crash,,,0.19299999999999998,-0.01939999999999999,0.1814246093805603,3,5,2,2020,0,0,1995.75,-0.287,2011.55,0.171,2048.0,0.004,1992.05,-0.256,2032.1,0.012985718202437546,2005.25,-0.0003987936492111377,1975.55,-0.015204007876174597,1970.9,-0.017521995962214265,HINDUNILVR.NSE
