date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,-0.125,Negative,0.1,Technical Factors,11.0,21.0,8,-3.03,-33.86,43.0,-0.79,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,27448.9,,27339.1,,27045.9,,26578.75,,HONAUT.NSE
2020-05-04,28399.0,28399.0,27110.0,27448.9,27079.4469,3983.0,,,,27448.9,27448.9,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,-0.18,Negative,0.221,Economic Stimulus,13.0,24.0,2,2.68,13.23,47.08,-0.63,covid_crash,,,-0.05499999999999999,,,0,5,2,2020,0,0,,-0.125,,,,,,,27339.1,-0.004000160297862654,27045.9,-0.014681826958457322,26910.55,-0.0196128077992197,26929.25,-0.01893154188328139,HONAUT.NSE
2020-05-05,27550.05,27964.95,27112.0,27339.1,26971.1248,4359.0,,,,27389.425,27391.888461538463,-2.463461538463889,-1.3685897435910495,-1.0948717948728397,,,,,,,-0.004000160297862654,,,,,,,Tuesday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,-0.285,Negative,0.311,Inflation Concerns,7.0,18.0,5,-3.25,-10.57,46.8,0.62,covid_crash,,,-0.10499999999999998,,,1,5,2,2020,0,0,27448.9,-0.18,,-0.125,,,,,27045.9,-0.010724566646305056,26910.55,-0.015675351419761396,26578.75,-0.02781181531213528,26846.85,-0.01800534765226358,HONAUT.NSE
2020-05-06,27400.0,27750.0,26800.0,27045.9,26681.8711,9316.0,,,,27255.347113163974,27267.578166584528,-12.231053420553508,-5.820419119395335,-6.410634301158173,,,,,,,-0.010724566646305056,,,,,,,Wednesday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,-0.336,Negative,0.357,Vaccine Rollout,13.0,18.0,6,-2.53,9.35,47.17,1.55,covid_crash,,,-0.051000000000000045,,,2,5,2,2020,0,0,27339.1,-0.285,27448.9,-0.18,,-0.125,,,26910.55,-0.00500445538880212,26578.75,-0.017272488621195903,26929.25,-0.004313038205421171,27898.2,0.03151309440617611,HONAUT.NSE
2020-05-07,26960.0,27386.65,26360.2,26910.55,26548.3429,5798.0,,,,27146.508139367816,27167.768693188278,-21.26055382046252,-11.050817053361182,-10.209736767101337,,,,,,,-0.00500445538880212,,,,,,,Thursday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,-0.593,Negative,0.733,Management Commentary,16.0,28.0,7,-0.72,28.59,56.65,-1.57,covid_crash,,,-0.25699999999999995,-0.30379999999999996,,3,5,2,2020,0,0,27045.9,-0.336,27339.1,-0.285,27448.9,-0.18,,,26578.75,-0.012329736850417383,26929.25,0.0006948947531730809,26846.85,-0.0023671013784556383,27653.25,0.027598841346609504,HONAUT.NSE
2020-05-08,27300.0,27549.0,26501.0,26578.75,26221.0088,3482.0,27064.640000000003,,,26992.250282055917,27031.172828772054,-38.92254671613773,-19.342026496119555,-19.580520220018176,,,,,,,-0.012329736850417383,,,,,,,Friday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,-0.484,Negative,0.516,Lockdown Measures,15.0,32.0,2,1.56,30.69,38.24,0.07,covid_crash,,,0.10899999999999999,-0.3756,,4,5,2,2020,0,0,26910.55,-0.593,27045.9,-0.336,27339.1,-0.285,,-0.125,26929.25,0.013187226637821459,26846.85,0.010087005596576049,27898.2,0.04964304190377655,27395.45,0.030727554907586052,HONAUT.NSE
2020-05-11,26950.0,27099.95,26445.1,26929.25,26566.7912,4465.0,26960.710000000003,,,26976.937899083805,27010.758499076335,-33.82059999253033,-23.266524906760864,-10.554075085769469,,,,,,,0.013187226637821459,-0.01893154188328139,,,,,,Monday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,-0.059,Neutral,0.1,COVID-19 Impact,7.0,13.0,5,0.17,6.52,32.17,0.87,covid_crash,,,0.425,-0.3514,,0,5,2,2020,0,0,26578.75,-0.484,26910.55,-0.593,27045.9,-0.336,27448.9,-0.18,26846.85,-0.0030598698441286487,27898.2,0.03598132142558752,27653.25,0.026885264164430822,26876.95,-0.0019421261267952294,HONAUT.NSE
2020-05-12,26900.0,26999.7,26340.0,26846.85,26485.5003,2900.0,26862.26,,,26947.909239546083,26981.608222194747,-33.69898264866424,-25.906701648589475,-7.792281000074766,,,,,,,-0.0030598698441286487,-0.01800534765226358,,,,,,Tuesday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,-0.423,Negative,0.138,Earnings Report,15.0,23.0,2,2.23,-0.26,54.74,0.38,covid_crash,,,-0.364,-0.379,,1,5,2,2020,0,0,26929.25,-0.059,26578.75,-0.484,26910.55,-0.593,27339.1,-0.285,27898.2,0.03916101889048451,27653.25,0.03003704345202518,27395.45,0.02043442713018484,27032.35,0.006909562946863401,HONAUT.NSE
2020-05-13,27900.0,27975.0,27207.0,27898.2,27522.6995,3077.0,27032.72,,,27146.220274320458,27129.293869208832,16.92640511162608,-15.613100617358523,32.53950572898461,,,,,,,0.03916101889048451,0.03151309440617611,,,,,,Wednesday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,0.013,Neutral,0.1,Earnings Report,8.0,20.0,4,-1.97,-10.8,38.12,2.26,covid_crash,,,0.436,-0.30920000000000003,,2,5,2,2020,0,0,26846.85,-0.423,26929.25,-0.059,26578.75,-0.484,27045.9,-0.336,27653.25,-0.008780136352882995,27395.45,-0.018020875898803523,26876.95,-0.0366063043493845,26796.2,-0.03950075632119632,HONAUT.NSE
2020-05-14,27400.0,27951.0,27400.0,27653.25,27281.0464,2107.0,27181.26,,,27246.528800755765,27206.95567016803,39.57313058773434,-2.8648074286772807,42.43793801641162,,,,,,,-0.008780136352882995,0.027598841346609504,,,,,,Thursday,May,Q2,HONAUT.NSE,Honeywell Automation India Limited,Infrastructure,Mid Cap,-0.166,Negative,0.169,Economic Stimulus,16.0,15.0,5,-1.19,47.2,40.16,0.0,covid_crash,,,-0.17900000000000002,-0.2238,0.19501612468944432,3,5,2,2020,0,0,27898.2,0.013,26846.85,-0.423,26929.25,-0.059,26910.55,-0.593,27395.45,-0.009322593185249417,26876.95,-0.02807264968855372,27032.35,-0.022453057054776626,26703.0,-0.03436304955113778,HONAUT.NSE
