date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-0.269,Negative,0.158,Economic Stimulus,14.0,17.0,4,-5.64,-41.37,51.92,-0.33,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,20.6,,20.65,,20.95,,20.3,,IDFCFIRSTB.NSE
2020-05-04,21.45,21.45,20.2,20.6,20.6,43680075.0,,,,20.6,20.6,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-0.432,Negative,0.541,FII/DII Activity,9.0,20.0,6,-1.07,4.96,28.87,-1.0,covid_crash,,,-0.16299999999999998,,,0,5,2,2020,0,0,,-0.269,,,,,,,20.65,0.0024271844660193054,20.95,0.016990291262135804,20.75,0.007281553398058138,20.4,-0.009708737864077777,IDFCFIRSTB.NSE
2020-05-05,21.1,21.55,20.55,20.65,20.65,37217663.0,,,,20.627083333333335,20.62596153846154,0.001121794871796311,0.0006232193732201728,0.0004985754985761383,,,,,,,0.0024271844660193054,,,,,,,Tuesday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-1.0,Negative,0.762,Inflation Concerns,4.0,34.0,7,-2.44,-83.96,43.75,-2.46,covid_crash,,,-0.5680000000000001,,,1,5,2,2020,0,0,20.6,-0.432,,-0.269,,,,,20.95,0.014527845036319542,20.75,0.004842615012106588,20.3,-0.016949152542372725,20.2,-0.021791767554479424,IDFCFIRSTB.NSE
2020-05-06,20.9,21.1,20.15,20.95,20.95,23676351.0,,,,20.753117782909932,20.742385411532776,0.010732371377155658,0.004766314456800289,0.005966056920355369,,,,,,,0.014527845036319542,,,,,,,Wednesday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-0.406,Negative,0.3,Capacity Expansion,14.0,18.0,4,-2.69,9.03,60.12,-0.48,covid_crash,,,0.594,,,2,5,2,2020,0,0,20.65,-1.0,20.6,-0.432,,-0.269,,,20.75,-0.009546539379474916,20.3,-0.031026252983293534,20.4,-0.026252983293556076,21.85,0.042959427207637235,IDFCFIRSTB.NSE
2020-05-07,20.9,21.2,20.6,20.75,20.75,18458595.0,,,,20.75213362068966,20.744514117713898,0.007619502975760639,0.005732841732870869,0.0018866612428897703,,,,,,,-0.009546539379474916,,,,,,,Thursday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-0.281,Negative,0.294,Interest Rate Policy,11.0,22.0,6,-3.43,-20.85,47.09,-1.46,covid_crash,,,0.125,-0.47759999999999997,,3,5,2,2020,0,0,20.95,-0.406,20.65,-1.0,20.6,-0.432,,,20.3,-0.02168674698795181,20.4,-0.01686746987951815,20.2,-0.026506024096385583,20.9,0.0072289156626506035,IDFCFIRSTB.NSE
2020-05-08,21.0,21.1,20.2,20.3,20.3,18680446.0,20.65,,,20.629290531863283,20.641429460373594,-0.01213892851031062,0.000416394135541774,-0.012555322645852395,,,,,,,-0.02168674698795181,,,,,,,Friday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-0.801,Negative,0.634,Interest Rate Policy,9.0,35.0,6,-6.26,-39.34,36.97,-0.03,covid_crash,,,-0.52,-0.584,,4,5,2,2020,0,0,20.75,-0.281,20.95,-0.406,20.65,-1.0,,-0.269,20.4,0.004926108374384119,20.2,-0.0049261083743843415,21.85,0.07635467980295574,20.85,0.027093596059113434,IDFCFIRSTB.NSE
2020-05-11,20.65,20.75,20.25,20.4,20.4,16239039.0,20.610000000000003,,,20.573560869690446,20.593073065033064,-0.01951219534261739,-0.004985361621180177,-0.014526833721437211,,,,,,,0.004926108374384119,-0.009708737864077777,,,,,,Monday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-0.569,Negative,0.456,Global Markets,13.0,27.0,5,-0.2,-88.99,34.35,-1.48,covid_crash,,,0.2320000000000001,-0.6113999999999999,,0,5,2,2020,0,0,20.3,-0.801,20.75,-0.281,20.95,-0.406,20.6,-0.432,20.2,-0.009803921568627416,21.85,0.07107843137254921,20.9,0.02450980392156854,19.85,-0.026960784313725394,IDFCFIRSTB.NSE
2020-05-12,20.35,20.45,19.85,20.2,20.2,21908891.0,20.52,,,20.490202068608774,20.523167058053687,-0.03296498944491333,-0.012066258994818932,-0.020898730450094397,,,,,,,-0.009803921568627416,-0.021791767554479424,,,,,,Tuesday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-0.554,Negative,0.56,Capacity Expansion,15.0,20.0,8,-2.58,62.31,51.71,-0.54,covid_crash,,,0.014999999999999902,-0.5222,,1,5,2,2020,0,0,20.4,-0.569,20.3,-0.801,20.75,-0.281,20.65,-1.0,21.85,0.08168316831683176,20.9,0.034653465346534684,20.85,0.03217821782178221,19.6,-0.02970297029702962,IDFCFIRSTB.NSE
2020-05-13,21.7,22.6,20.7,21.85,21.85,63001904.0,20.7,,,20.773970938180273,20.736952721700106,0.0370182164801669,-0.0002703365044139443,0.03728855298458084,,,,,,,0.08168316831683176,0.042959427207637235,,,,,,Wednesday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-0.308,Negative,0.111,Vaccine Rollout,14.0,24.0,2,-1.91,10.03,58.16,-0.52,covid_crash,,,0.24600000000000005,-0.5025999999999999,,2,5,2,2020,0,0,20.2,-0.554,20.4,-0.569,20.3,-0.801,20.95,-0.406,20.9,-0.0434782608695653,20.85,-0.04576659038901598,19.85,-0.09153318077803207,19.25,-0.11899313501144171,IDFCFIRSTB.NSE
2020-05-14,21.3,21.6,20.8,20.9,20.9,23879114.0,20.729999999999997,,,20.79890397235735,20.761119907710782,0.03778406464656925,0.008520418950320796,0.029263645696248453,,,,,,,-0.0434782608695653,0.0072289156626506035,,,,,,Thursday,May,Q2,IDFCFIRSTB.NSE,IDFC First Bank Limited,Banking,Mid Cap,-0.717,Negative,0.583,Corporate Governance,14.0,29.0,2,2.59,34.57,52.5,-2.0,covid_crash,,,-0.409,-0.5898000000000001,0.24396176840735603,3,5,2,2020,0,0,21.85,-0.308,20.2,-0.554,20.4,-0.569,20.75,-0.281,20.85,-0.0023923444976075015,19.85,-0.05023923444976064,19.6,-0.062200956937798924,18.85,-0.09808612440191378,IDFCFIRSTB.NSE
