date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.162,Negative,0.166,Merger & Acquisition,11.0,21.0,14,0.34,54.73,37.33,-1.72,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,423.05,,418.7,,425.5,,440.35,,INDUSINDBK.NSE
2020-05-04,444.0,444.05,416.0,423.05,408.5411,17565171.0,,,,423.05,423.05,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.39,Negative,0.327,Economic Stimulus,9.0,22.0,10,6.83,38.72,35.64,0.47,covid_crash,,,-0.228,,,0,5,2,2020,0,0,,-0.162,,,,,,,418.7,-0.010282472520978692,425.5,0.005791277626758129,454.35,0.07398652641531744,433.4,0.024465193239569638,INDUSINDBK.NSE
2020-05-05,433.0,438.9,415.95,418.7,404.3403,18470026.0,,,,420.69374999999997,420.7913461538461,-0.09759615384615472,-0.05422008547008596,-0.04337606837606876,,,,,,,-0.010282472520978692,,,,,,,Tuesday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.372,Negative,0.284,Merger & Acquisition,11.0,23.0,7,-2.87,-16.23,41.36,-0.51,covid_crash,,,0.018000000000000016,,,1,5,2,2020,0,0,423.05,-0.39,,-0.162,,,,,425.5,0.016240745163601744,454.35,0.0851444948650586,440.35,0.05170766658705528,446.2,0.06567948411750657,INDUSINDBK.NSE
2020-05-06,420.0,429.35,408.5,425.5,410.9071,17184968.0,,,,422.5696304849884,422.48311976343024,0.08651072155817019,0.0034564747873960635,0.08305424677077412,,,,,,,0.016240745163601744,,,,,,,Wednesday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.29,Negative,0.218,Technical Factors,15.0,28.0,9,-1.5,51.54,47.1,-0.49,covid_crash,,,0.08200000000000002,,,2,5,2,2020,0,0,418.7,-0.372,423.05,-0.39,,-0.162,,,454.35,0.06780258519388949,440.35,0.03490011750881328,433.4,0.018566392479435923,448.6,0.05428907168037611,INDUSINDBK.NSE
2020-05-07,420.0,461.5,415.5,454.35,438.7677,26784490.0,,,,432.60145114942526,431.39170690830593,1.2097442411193242,0.4120905419730085,0.7976536991463157,,,,,,,0.06780258519388949,,,,,,,Thursday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.688,Negative,0.559,Capacity Expansion,11.0,24.0,8,3.06,30.29,36.43,-1.02,covid_crash,,,-0.39799999999999996,-0.38039999999999996,,3,5,2,2020,0,0,425.5,-0.29,418.7,-0.372,423.05,-0.39,,,440.35,-0.03081324969736987,433.4,-0.04610982722570711,446.2,-0.01793771321668325,428.0,-0.05799493782326404,INDUSINDBK.NSE
2020-05-08,463.0,477.7,435.45,440.35,425.2478,29096376.0,432.39,,,434.7067041789937,433.4691720256359,1.2375321533577903,0.6576407595434457,0.5798913938143446,,,,,,,-0.03081324969736987,,,,,,,Friday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.304,Negative,0.335,Management Commentary,20.0,33.0,8,0.97,11.89,46.38,-0.87,covid_crash,,,0.38399999999999995,-0.4088,,4,5,2,2020,0,0,454.35,-0.688,425.5,-0.29,418.7,-0.372,,-0.162,433.4,-0.015782899965936292,446.2,0.013284887021687286,448.6,0.018735097081866714,418.7,-0.049165436584535094,INDUSINDBK.NSE
2020-05-11,450.0,458.75,428.8,433.4,418.5362,18434346.0,434.46000000000004,,,434.38910631804674,433.45531742059734,0.9337888974494035,0.7324922584554171,0.20129663899398642,,,,,,,-0.015782899965936292,0.024465193239569638,,,,,,Monday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.784,Negative,0.697,COVID-19 Impact,14.0,31.0,6,3.18,-54.83,54.31,-1.43,covid_crash,,,-0.48000000000000004,-0.4875999999999999,,0,5,2,2020,0,0,440.35,-0.304,454.35,-0.688,425.5,-0.29,423.05,-0.39,446.2,0.029533917858791003,448.6,0.035071527457314344,428.0,-0.01245962159667735,376.75,-0.13071065989847708,INDUSINDBK.NSE
2020-05-12,429.8,450.0,425.0,446.2,430.8972,26126553.0,439.96000000000004,,,437.0246659200108,435.7218931506609,1.3027727693499287,0.8768150420631776,0.4259577272867511,,,,,,,0.029533917858791003,0.06567948411750657,,,,,,Tuesday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.569,Negative,0.51,Regulatory Changes,15.0,19.0,8,-1.14,24.96,51.11,-1.09,covid_crash,,,0.21500000000000008,-0.5269999999999999,,1,5,2,2020,0,0,433.4,-0.784,440.35,-0.304,454.35,-0.688,418.7,-0.372,448.6,0.005378753922008039,428.0,-0.04078888390856117,418.7,-0.06163155535634246,367.8,-0.17570596145226347,INDUSINDBK.NSE
2020-05-13,475.0,480.0,444.5,448.6,433.2149,20820446.0,444.58000000000004,,,439.4402597306517,437.7968752620161,1.6433844686355883,1.0610360906097898,0.5823483780257985,,,,,,,0.005378753922008039,0.05428907168037611,,,,,,Wednesday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.244,Negative,0.176,FII/DII Activity,11.0,16.0,9,1.42,-34.95,26.72,0.54,covid_crash,,,0.32499999999999996,-0.5178,,2,5,2,2020,0,0,446.2,-0.569,433.4,-0.784,440.35,-0.304,425.5,-0.29,428.0,-0.04592064199732504,418.7,-0.06665180561747663,376.75,-0.1601649576460098,357.3,-0.20352206865804723,INDUSINDBK.NSE
2020-05-14,439.0,442.0,425.0,428.0,413.3213,16520436.0,439.31000000000006,,,437.17696916306056,436.3447632779996,0.8322058850609437,1.0081751778955026,-0.17596929283455887,,,,,,,-0.04592064199732504,-0.05799493782326404,,,,,,Thursday,May,Q2,INDUSINDBK.NSE,IndusInd Bank Limited,Banking,Large Cap,-0.357,Negative,0.355,Global Markets,10.0,28.0,8,-0.27,68.84,58.76,-1.3,covid_crash,,,-0.11299999999999999,-0.4516,0.20039682853999682,3,5,2,2020,0,0,448.6,-0.244,446.2,-0.569,433.4,-0.784,454.35,-0.688,418.7,-0.021728971962616805,376.75,-0.11974299065420557,367.8,-0.14065420560747666,346.8,-0.18971962616822424,INDUSINDBK.NSE
