date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,0.247,Positive,0.297,COVID-19 Impact,10.0,23.0,6,3.93,-15.45,66.75,0.74,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,673.7,,673.7,,665.9,,674.2,,INFY.NSE
2020-05-04,689.8,701.2,670.35,673.7,587.52,9122803.0,,,,673.7,673.7,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,-0.053,Neutral,0.1,Economic Stimulus,11.0,15.0,5,-2.99,25.26,53.48,0.48,covid_crash,,,-0.3,,,0,5,2,2020,0,0,,0.247,,,,,,,673.7,0.0,665.9,-0.01157785364405528,664.95,-0.012987976844292759,682.9,0.013655929939141886,INFY.NSE
2020-05-05,681.75,685.6,670.0,673.7,587.52,6393108.0,,,,673.7,673.7,0.0,0.0,0.0,,,,,,,0.0,,,,,,,Tuesday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,-0.193,Negative,0.1,Regulatory Changes,13.0,16.0,7,2.2,-13.85,44.12,-2.02,covid_crash,,,-0.14,,,1,5,2,2020,0,0,673.7,-0.053,,0.247,,,,,665.9,-0.01157785364405528,664.95,-0.012987976844292759,674.2,0.0007421701053882401,687.65,0.0207065459403295,INFY.NSE
2020-05-06,676.9,681.45,664.05,665.9,580.72,7934457.0,,,,670.6556581986143,670.8975357318877,-0.24187753327339578,-0.09913013658745727,-0.1427473966859385,,,,,,,-0.01157785364405528,,,,,,,Wednesday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,-0.06,Neutral,0.1,COVID-19 Impact,13.0,21.0,7,1.04,-25.25,59.78,0.19,covid_crash,,,0.133,,,2,5,2,2020,0,0,673.7,-0.193,673.7,-0.053,,0.247,,,664.95,-0.001426640636732146,674.2,0.012464333984081755,682.9,0.025529358762576893,694.15,0.04242378735545871,INFY.NSE
2020-05-07,665.55,674.35,662.45,664.95,579.89,4779550.0,,,,668.8546048850575,669.234864646063,-0.3802597610055045,-0.19436374919519683,-0.18589601181030768,,,,,,,-0.001426640636732146,,,,,,,Thursday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,0.236,Positive,0.376,Interest Rate Policy,13.0,26.0,6,-0.11,-2.68,55.52,1.42,covid_crash,,,0.296,0.0354,,3,5,2,2020,0,0,665.9,-0.06,673.7,-0.193,673.7,-0.053,,,674.2,0.013910820362433185,682.9,0.02699451086547855,687.65,0.03413790510564696,658.15,-0.010226332806978045,INFY.NSE
2020-05-08,672.25,680.9,668.5,674.2,587.96,8400376.0,670.49,,,670.30692963347,670.3863000138329,-0.07937038036288868,-0.16015582177006948,0.0807854414071808,,,,,,,0.013910820362433185,,,,,,,Friday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,0.395,Positive,0.448,Global Markets,11.0,23.0,9,1.71,40.83,62.16,-0.34,covid_crash,,,0.15900000000000003,0.065,,4,5,2,2020,0,0,664.95,0.236,665.9,-0.06,673.7,-0.193,,0.247,682.9,0.012904182735093306,687.65,0.01994956986057539,694.15,0.02959062592702444,652.3,-0.03248294274695951,INFY.NSE
2020-05-11,682.5,698.55,678.0,682.9,595.54,7370192.0,672.3299999999999,,,673.3677082515069,672.8926943153715,0.4750139361353831,0.012010497377691729,0.4630034387576914,,,,,,,0.012904182735093306,0.013655929939141886,,,,,,Monday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,-0.061,Neutral,0.1,Inflation Concerns,16.0,14.0,10,0.51,-42.35,38.39,-0.53,covid_crash,,,-0.456,0.0634,,0,5,2,2020,0,0,674.2,0.395,664.95,0.236,665.9,-0.06,673.7,-0.053,687.65,0.0069556303997657665,694.15,0.016473861473129237,658.15,-0.03624249524088441,663.9,-0.027822521599062844,INFY.NSE
2020-05-12,678.5,691.0,675.5,687.65,599.68,7356063.0,675.12,,,676.5547516852573,675.5172046315379,1.037547053719436,0.2715464409620158,0.7660006127574202,,,,,,,0.0069556303997657665,0.0207065459403295,,,,,,Tuesday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,0.081,Neutral,0.233,Capacity Expansion,7.0,12.0,8,-1.67,-79.86,64.05,1.41,covid_crash,,,0.14200000000000002,0.1182,,1,5,2,2020,0,0,682.9,-0.061,674.2,0.395,664.95,0.236,673.7,-0.193,694.15,0.009452483094597453,658.15,-0.042899730967788874,652.3,-0.05140696575292669,668.6,-0.027703046608012705,INFY.NSE
2020-05-13,694.8,699.9,683.75,694.15,605.35,8287106.0,680.77,,,680.2266088111141,678.5194096548706,1.7071991562435187,0.6165607858994556,1.0906383703440632,,,,,,,0.009452483094597453,0.04242378735545871,,,,,,Wednesday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,-0.094,Neutral,0.228,Lockdown Measures,13.0,20.0,3,-1.55,45.18,48.39,0.14,covid_crash,,,-0.175,0.11140000000000001,,2,5,2,2020,0,0,687.65,0.081,682.9,-0.061,674.2,0.395,665.9,-0.06,658.15,-0.05186198948354104,652.3,-0.0602895627746165,663.9,-0.04357847727436437,669.55,-0.03543902614708638,INFY.NSE
2020-05-14,659.0,671.75,652.6,658.15,573.96,16888356.0,679.4100000000001,,,675.8590698161103,675.5002159756513,0.35885384045900537,0.5570292030119626,-0.1981753625529572,,,,,,,-0.05186198948354104,-0.010226332806978045,,,,,,Thursday,May,Q2,INFY.NSE,Infosys Limited,IT,Large Cap,-0.366,Negative,0.277,Sector Rotation,11.0,23.0,10,-2.11,-54.61,43.03,-1.17,covid_crash,,,-0.272,-0.008999999999999998,0.2279667617097818,3,5,2,2020,0,0,694.15,-0.094,687.65,0.081,682.9,-0.061,664.95,0.236,652.3,-0.00888855124211807,663.9,0.008736610195244188,668.6,0.015877839398313442,672.2,0.021347717085770768,INFY.NSE
