date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,-0.128,Negative,0.188,Regulatory Changes,12.0,18.0,3,3.21,-8.47,40.67,-0.91,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1614.56,,1576.1,,1549.9,,1552.3,,IPCALAB.NSE
2020-05-04,1580.0,1639.84,1564.44,1614.56,793.5984,1364580.0,,,,1614.56,1614.56,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.017,Neutral,0.311,Earnings Report,12.0,17.0,7,0.48,8.79,51.67,0.73,covid_crash,,,0.14500000000000002,,,0,5,2,2020,0,0,,-0.128,,,,,,,1576.1,-0.023820731344762702,1549.9,-0.04004806263006633,1547.06,-0.04180705579229016,1554.76,-0.037037954613021506,IPCALAB.NSE
2020-05-05,1625.0,1638.94,1566.0,1576.1,774.6943,505388.0,,,,1593.7274999999997,1594.5903846153844,-0.8628846153847007,-0.4793803418803893,-0.38350427350431143,,,,,,,-0.023820731344762702,,,,,,,Tuesday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,-0.025,Neutral,0.133,Vaccine Rollout,16.0,15.0,8,2.19,24.39,57.05,0.12,covid_crash,,,-0.042,,,1,5,2,2020,0,0,1614.56,0.017,,-0.128,,,,,1549.9,-0.01662331070363543,1547.06,-0.018425226825709018,1552.3,-0.015100564684981888,1545.56,-0.019376943087367482,IPCALAB.NSE
2020-05-06,1588.0,1606.44,1542.1,1549.9,761.8163,758112.0,,,,1576.6216166281754,1578.5335633316906,-1.911946703515241,-1.066497703206148,-0.8454490003090931,,,,,,,-0.01662331070363543,,,,,,,Wednesday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.517,Positive,0.447,Technical Factors,9.0,25.0,9,1.47,47.5,52.02,1.48,covid_crash,,,0.542,,,2,5,2,2020,0,0,1576.1,-0.025,1614.56,0.017,,-0.128,,,1547.06,-0.0018323762823408973,1552.3,0.0015484869991611028,1554.76,0.0031356861733013996,1534.9,-0.00967804374475778,IPCALAB.NSE
2020-05-07,1556.34,1589.0,1511.0,1547.06,760.4204,485040.0,,,,1567.2901695402297,1569.7349304056359,-2.444760865406124,-1.5333890183145409,-0.9113718470915833,,,,,,,-0.0018323762823408973,,,,,,,Thursday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.066,Neutral,0.363,Economic Stimulus,11.0,18.0,6,-0.48,27.81,41.81,0.21,covid_crash,,,-0.451,0.08940000000000001,,3,5,2,2020,0,0,1549.9,0.517,1576.1,-0.025,1614.56,0.017,,,1552.3,0.0033870696676276957,1554.76,0.0049771825268574155,1545.56,-0.0009695810117255066,1594.34,0.030561193489586636,IPCALAB.NSE
2020-05-08,1544.26,1587.0,1533.3,1552.3,762.996,735310.0,1567.984,,,1563.2173940506655,1565.691698132474,-2.474304081808441,-1.8132899772310986,-0.6610141045773423,,,,,,,0.0033870696676276957,,,,,,,Friday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.006,Neutral,0.1,Global Markets,14.0,14.0,4,1.38,-14.51,43.71,-1.61,covid_crash,,,-0.060000000000000005,0.1162,,4,5,2,2020,0,0,1547.06,0.066,1549.9,0.517,1576.1,-0.025,,-0.128,1554.76,0.0015847452167752074,1545.56,-0.004341944211814774,1534.9,-0.011209173484506785,1591.6,0.02531727114604143,IPCALAB.NSE
2020-05-11,1550.0,1579.0,1544.0,1554.76,764.2051,412836.0,1556.0240000000001,,,1561.1618023545059,1563.5021661846358,-2.340363830129945,-1.9561562961060135,-0.3842075340239317,,,,,,,0.0015847452167752074,-0.037037954613021506,,,,,,Monday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.055,Neutral,0.229,Technical Factors,9.0,17.0,6,-1.67,-28.67,43.83,0.31,covid_crash,,,0.049,0.1238,,0,5,2,2020,0,0,1552.3,0.006,1547.06,0.066,1549.9,0.517,1614.56,0.017,1545.56,-0.005917311996706864,1534.9,-0.012773675679847663,1594.34,0.02545730530757151,1597.16,0.027271090071779636,IPCALAB.NSE
2020-05-12,1560.5,1569.9,1537.6,1545.56,759.6831,369334.0,1549.916,,,1557.6803147456392,1560.3112449384223,-2.6309301927831257,-2.126923568025482,-0.5040066247576438,,,,,,,-0.005917311996706864,-0.019376943087367482,,,,,,Tuesday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.062,Neutral,0.1,Corporate Governance,14.0,16.0,6,-3.08,-4.04,54.57,0.54,covid_crash,,,0.006999999999999999,0.1412,,1,5,2,2020,0,0,1554.76,0.055,1552.3,0.006,1547.06,0.066,1576.1,-0.025,1534.9,-0.006897176427961282,1594.34,0.03156137581200347,1591.6,0.029788555604441047,1568.1,0.01458371075856002,IPCALAB.NSE
2020-05-13,1560.0,1560.0,1530.16,1534.9,754.4434,309784.0,1546.916,,,1552.9264141736332,1556.2168637307375,-3.290449557104239,-2.4065407433121813,-0.8839088137920577,,,,,,,-0.006897176427961282,-0.00967804374475778,,,,,,Wednesday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,-0.061,Neutral,0.1,Inflation Concerns,18.0,14.0,7,0.23,-15.87,55.38,0.69,covid_crash,,,-0.123,0.02559999999999999,,2,5,2,2020,0,0,1545.56,0.062,1554.76,0.055,1552.3,0.006,1549.9,0.517,1594.34,0.0387256498794708,1591.6,0.03694051729754366,1597.16,0.040562903120724414,1599.9,0.042348035702651554,IPCALAB.NSE
2020-05-14,1519.9,1618.8,1519.84,1594.34,783.6597,980276.0,1556.3719999999998,,,1561.1194954827763,1561.8675494406523,-0.7480539578759817,-2.0234220680810493,1.2753681102050676,,,,,,,0.0387256498794708,0.030561193489586636,,,,,,Thursday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.223,Positive,0.175,Capacity Expansion,12.0,16.0,3,-1.24,-7.43,43.34,2.45,covid_crash,,,0.28400000000000003,0.05699999999999998,0.181265796246531,3,5,2,2020,0,0,1534.9,-0.061,1545.56,0.062,1554.76,0.055,1547.06,0.066,1591.6,-0.001718579474892401,1597.16,0.001768756977809094,1568.1,-0.016458220956634073,1604.7,0.006497986627695518,IPCALAB.NSE
2020-05-15,1601.0,1610.0,1539.06,1591.6,782.3129,705826.0,1564.232,1566.108,,1566.8955392427129,1565.9703382411806,0.9252010015322867,-1.3627593331533754,2.2879603346856623,,,,,,,-0.001718579474892401,0.02531727114604143,,662648.6,1.065158818716285,,,Friday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,-0.468,Negative,0.382,FII/DII Activity,11.0,24.0,3,2.32,17.31,60.75,-1.21,covid_crash,,,-0.6910000000000001,-0.037800000000000014,0.24417015924692081,4,5,2,2020,0,0,1594.34,0.223,1534.9,-0.061,1545.56,0.062,1552.3,0.006,1597.16,0.0034933400351848665,1568.1,-0.01476501633576277,1599.9,0.005214878110078036,1594.16,0.0016084443327470943,IPCALAB.NSE
2020-05-18,1590.0,1617.66,1571.16,1597.16,785.0458,595838.0,1572.712,1564.368,,1572.4332058336056,1570.0156472521985,2.417558581407093,-0.535647373942454,2.9532059553495467,,,,,,,0.0034933400351848665,0.027271090071779636,-0.01077692993756807,585774.4,1.0171799928436613,0.016496698595719186,,Monday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.743,Positive,0.684,Regulatory Changes,10.0,30.0,5,1.26,-12.24,43.94,1.2,covid_crash,,,1.211,0.09979999999999999,0.3297651689712949,0,5,2,2020,0,0,1591.6,-0.468,1594.34,0.223,1534.9,-0.061,1554.76,0.055,1568.1,-0.01819479576247851,1599.9,0.001715545092539239,1604.7,0.004720879561221247,,,IPCALAB.NSE
2020-05-19,1610.0,1619.0,1542.0,1568.1,770.7621,347632.0,1577.22,1563.568,,1571.6627760616968,1569.7802798035395,1.882496258157289,-0.01633153479561813,1.8988277929529072,,,,,,,-0.01819479576247851,0.01458371075856002,-0.005075820062178771,569998.8,0.6098819857164611,0.01570757295548555,,Tuesday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.144,Positive,0.1,Technical Factors,8.0,12.0,3,-7.24,-34.89,45.45,-0.77,covid_crash,,,-0.599,0.1162,0.3262875521172493,1,5,2,2020,0,0,1597.16,0.743,1591.6,-0.468,1594.34,0.223,1545.56,0.062,1599.9,0.020279318920987333,1604.7,0.023340348192079752,1594.16,0.016618838084305976,1618.94,0.03242140169632046,IPCALAB.NSE
2020-05-20,1561.56,1604.5,1553.1,1599.9,786.3926,367334.0,1590.22,1568.568,,1576.5658308549257,1573.3087995917538,3.257031263171939,0.6764257598313426,2.580605503340596,,,,,,,0.020279318920987333,0.042348035702651554,0.03226014581585912,530921.0,0.6918807129497608,0.01580701358906959,,Wednesday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.041,Neutral,0.166,Vaccine Rollout,9.0,12.0,9,1.7,12.37,51.01,-0.66,covid_crash,,,-0.10299999999999998,0.13659999999999997,0.2967282520346783,2,5,2,2020,0,0,1568.1,0.144,1597.16,0.743,1591.6,-0.468,1534.9,-0.061,1604.7,0.0030001875117193766,1594.16,-0.0035877242327645442,,,1548.1,-0.03237702356397287,IPCALAB.NSE
2020-05-21,1590.1,1657.7,1576.2,1604.7,788.7519,1097762.0,1592.292,1574.3319999999999,,1581.3561815867251,1576.8344049769466,4.521776609778499,1.48087602671711,3.040900583061389,,,,,,47.842073010592685,0.0030001875117193766,0.006497986627695518,0.037257766343903986,592193.2,1.853722737782197,0.015706528861407703,,Thursday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,-0.064,Neutral,0.131,Vaccine Rollout,6.0,14.0,4,-1.7,-38.94,29.82,-1.05,covid_crash,,,-0.10500000000000001,0.07919999999999998,0.3002896564615201,3,5,2,2020,0,0,1599.9,0.041,1568.1,0.144,1597.16,0.743,1594.34,0.223,1594.16,-0.006568205895182921,,,1618.94,0.008873932822334396,1550.4,-0.0338381005795475,IPCALAB.NSE
2020-05-22,1602.0,1612.0,1575.06,1594.16,783.5713,396014.0,1592.804,1578.518,,1583.5010403646706,1578.7086099605476,4.792430404123024,2.167339695340606,2.6250907087824182,,,,,,45.73221757322179,-0.006568205895182921,0.0016084443327470943,0.026966436900083934,558263.6,0.7093674027824849,0.016045633084208484,,Friday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,-0.224,Negative,0.165,Merger & Acquisition,10.0,16.0,3,-2.14,35.79,27.61,-1.94,covid_crash,,,-0.16,0.128,0.31406667728012433,4,5,2,2020,0,0,1604.7,-0.064,1599.9,0.041,1568.1,0.144,1591.6,-0.468,,,1618.94,0.015544236463090222,1548.1,-0.028892959301450416,1494.6,-0.0624529532794702,IPCALAB.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,IPCALAB.NSE,IPCA Laboratories Limited,Pharmaceuticals,Mid Cap,0.109,Positive,0.1,Technical Factors,12.0,19.0,5,1.45,-16.39,58.78,1.43,covid_crash,,,0.333,0.0011999999999999984,0.3147193635253125,0,5,2,2020,0,0,1594.16,-0.224,1604.7,-0.064,1599.9,0.041,1597.16,0.743,1618.94,,1548.1,,1550.4,,1526.94,,IPCALAB.NSE
