date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,-0.587,Negative,0.429,Capacity Expansion,12.0,18.0,11,-2.97,-18.76,52.59,-0.6,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1282.35,,1262.0,,1216.2,,1241.5,,IRCTC.NSE
2020-05-04,1270.1,1304.0,1270.1,1282.35,248.0136,3829230.0,,,,1282.35,1282.35,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,-0.605,Negative,0.393,Lockdown Measures,11.0,25.0,10,-2.72,-29.78,44.66,0.56,covid_crash,,,-0.018000000000000016,,,0,5,2,2020,0,0,,-0.587,,,,,,,1262.0,-0.01586930245252849,1216.2,-0.05158498069949691,1214.55,-0.052871680898350704,1303.55,0.016532148009513747,IRCTC.NSE
2020-05-05,1305.0,1309.8,1260.0,1262.0,244.0778,3284695.0,,,,1271.3270833333333,1271.7836538461538,-0.4565705128204627,-0.25365028490025704,-0.20292022792020564,,,,,,,-0.01586930245252849,,,,,,,Tuesday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,-0.728,Negative,0.645,Sector Rotation,11.0,35.0,6,0.15,31.79,54.1,-1.43,covid_crash,,,-0.123,,,1,5,2,2020,0,0,1282.35,-0.605,,-0.587,,,,,1216.2,-0.036291600633914345,1214.55,-0.037599049128367756,1241.5,-0.016244057052297922,1368.7,0.08454833597464351,IRCTC.NSE
2020-05-06,1264.0,1268.9,1202.25,1216.2,235.2198,4604495.0,,,,1249.8109699769054,1251.812986692952,-2.0020167160466826,-0.9701939042225625,-1.0318228118241202,,,,,,,-0.036291600633914345,,,,,,,Wednesday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,0.225,Positive,0.194,Corporate Governance,8.0,24.0,8,4.52,50.98,49.82,1.26,covid_crash,,,0.953,,,2,5,2,2020,0,0,1262.0,-0.728,1282.35,-0.605,,-0.587,,,1214.55,-0.0013566847557968664,1241.5,0.02080249958888336,1303.55,0.07182206873869412,1437.1,0.1816313106396974,IRCTC.NSE
2020-05-07,1219.4,1248.95,1190.0,1214.55,234.9007,5116205.0,,,,1238.680459770115,1241.3958839904556,-2.7154242203405374,-1.5613965858343426,-1.1540276345061948,,,,,,,-0.0013566847557968664,,,,,,,Thursday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,-0.656,Negative,0.673,Technical Factors,14.0,22.0,8,-0.65,11.23,49.04,-1.57,covid_crash,,,-0.881,-0.4702,,3,5,2,2020,0,0,1216.2,0.225,1262.0,-0.728,1282.35,-0.605,,,1241.5,0.022189288213741776,1303.55,0.07327816886912841,1368.7,0.12691943518175464,1389.2,0.1437981145280145,IRCTC.NSE
2020-05-08,1230.0,1275.25,1222.0,1241.5,240.113,9340630.0,1243.3200000000002,,,1239.4465187736039,1241.4200289225057,-1.9735101489018234,-1.6839910536673628,-0.2895190952344606,,,,,,,0.022189288213741776,,,,,,,Friday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,-0.723,Negative,0.474,Management Commentary,18.0,31.0,9,0.04,25.04,46.57,0.25,covid_crash,,,-0.06699999999999995,-0.4974,,4,5,2,2020,0,0,1214.55,-0.656,1216.2,0.225,1262.0,-0.728,,-0.587,1303.55,0.04997986306886837,1368.7,0.10245670559806697,1437.1,0.15755134917438585,1330.1,0.07136528393072883,IRCTC.NSE
2020-05-11,1303.55,1303.55,1303.55,1303.55,252.1138,646280.0,1247.56,,,1255.0270371832335,1253.864166598455,1.162870584778375,-0.9123332672034086,2.0752038519817835,,,,,,,0.04997986306886837,0.016532148009513747,,,,,,Monday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,-0.829,Negative,0.553,Technical Factors,9.0,30.0,10,-4.71,-17.42,42.94,-2.51,covid_crash,,,-0.10599999999999998,-0.5422,,0,5,2,2020,0,0,1241.5,-0.723,1214.55,-0.656,1216.2,0.225,1282.35,-0.605,1368.7,0.04997890376280156,1437.1,0.10245099919450729,1389.2,0.0657051896743508,1263.6,-0.030647079130067922,IRCTC.NSE
2020-05-12,1368.7,1368.7,1368.7,1368.7,264.7142,860400.0,1268.9,,,1280.3927611244458,1274.2871242757399,6.105636848705899,0.86372774672709,5.241909101978809,,,,,,,0.04997890376280156,0.08454833597464351,,,,,,Tuesday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,-0.803,Negative,0.743,Capacity Expansion,14.0,32.0,9,-4.64,44.74,40.72,-1.98,covid_crash,,,0.025999999999999912,-0.5572,,1,5,2,2020,0,0,1303.55,-0.829,1241.5,-0.723,1214.55,-0.656,1262.0,-0.728,1437.1,0.049974428289617734,1389.2,0.014977716080952774,1330.1,-0.028201943449989164,1269.9,-0.07218528530722579,IRCTC.NSE
2020-05-13,1437.1,1437.1,1376.0,1437.1,277.9431,11339175.0,1313.08,,,1313.0951465324679,1300.520312785391,12.57483374707681,3.6781267460082767,8.896707001068533,,,,,,,0.049974428289617734,0.1816313106396974,,,,,,Wednesday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,-0.531,Negative,0.487,FII/DII Activity,10.0,20.0,11,1.56,-22.29,61.0,-0.44,covid_crash,,,0.272,-0.7084,,2,5,2,2020,0,0,1368.7,-0.803,1303.55,-0.829,1241.5,-0.723,1216.2,0.225,1389.2,-0.03333101384733139,1330.1,-0.07445550066105355,1263.6,-0.12072924639899796,1333.35,-0.0721940018091991,IRCTC.NSE
2020-05-14,1469.95,1475.0,1382.65,1389.2,268.679,19010370.0,1348.01,,,1328.151395346424,1313.6645892101858,14.486806136238101,6.17498530728633,8.31182082895177,,,,,,,-0.03333101384733139,0.1437981145280145,,,,,,Thursday,May,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation,Transportation,Large Cap,-0.211,Negative,0.185,Technical Factors,11.0,22.0,11,0.27,26.15,36.77,0.11,covid_crash,,,0.32000000000000006,-0.6194,0.322271383222967,3,5,2,2020,0,0,1437.1,-0.531,1368.7,-0.803,1303.55,-0.829,1214.55,-0.656,1330.1,-0.042542470486611084,1263.6,-0.09041174776849992,1269.9,-0.08587676360495244,1400.0,0.00777425856608116,IRCTC.NSE
