date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,0.301,Positive,0.298,Lockdown Measures,8.0,15.0,3,-2.37,52.9,63.28,2.15,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,85.45,,86.1,,89.3,,89.05,,JINDALSTEL.NSE
2020-05-04,88.9,88.9,83.35,85.45,84.426,20169754.0,,,,85.45,85.45,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,-0.1,Negative,0.269,COVID-19 Impact,13.0,16.0,6,0.97,53.05,42.95,0.41,covid_crash,,,-0.401,,,0,5,2,2020,0,0,,0.301,,,,,,,86.1,0.0076067875950847075,89.3,0.045055588063194874,91.3,0.06846108835576348,90.0,0.05324751316559384,JINDALSTEL.NSE
2020-05-05,88.65,90.3,85.4,86.1,85.0682,22260539.0,,,,85.80208333333331,85.78749999999998,0.01458333333333428,0.008101851851852379,0.006481481481481902,,,,,,,0.0076067875950847075,,,,,,,Tuesday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,-0.34,Negative,0.398,Global Markets,13.0,23.0,4,-1.56,89.02,44.74,0.07,covid_crash,,,-0.24000000000000002,,,1,5,2,2020,0,0,85.45,-0.1,,0.301,,,,,89.3,0.03716608594657389,91.3,0.060394889663182294,89.05,0.03426248548199773,89.95,0.04471544715447173,JINDALSTEL.NSE
2020-05-06,87.0,90.25,85.25,89.3,88.2298,22020978.0,,,,87.16732101616627,87.04950714637752,0.11781386978874764,0.053065793629268464,0.06474807615947917,,,,,,,0.03716608594657389,,,,,,,Wednesday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,-0.414,Negative,0.504,Corporate Governance,14.0,34.0,3,-2.71,56.69,45.7,-1.01,covid_crash,,,-0.07399999999999995,,,2,5,2,2020,0,0,86.1,-0.34,85.45,-0.1,,0.301,,,91.3,0.022396416573348343,89.05,-0.0027995520716684874,90.0,0.007838745800671898,97.65,0.0935050391937291,JINDALSTEL.NSE
2020-05-07,88.5,92.6,87.7,91.3,90.2059,18495594.0,,,,88.4718462643678,88.2377592034996,0.2340870608681911,0.11438736112212843,0.11969969974606266,,,,,,,0.022396416573348343,,,,,,,Thursday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,-0.283,Negative,0.13,Corporate Governance,8.0,20.0,2,-1.39,53.4,45.67,-0.57,covid_crash,,,0.131,-0.1672,,3,5,2,2020,0,0,89.3,-0.414,86.1,-0.34,85.45,-0.1,,,89.05,-0.024644030668127037,90.0,-0.014238773274917849,89.95,-0.014786418400876133,93.7,0.026286966046002336,JINDALSTEL.NSE
2020-05-08,93.5,94.0,88.25,89.05,87.9828,16445831.0,88.24,,,88.6289285680311,88.42612119437558,0.20280737365551715,0.14069031582625405,0.062117057829263106,,,,,,,-0.024644030668127037,,,,,,,Friday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,-0.495,Negative,0.44,Regulatory Changes,12.0,31.0,4,-3.56,-2.5,34.49,0.22,covid_crash,,,-0.21200000000000002,-0.3264,,4,5,2,2020,0,0,91.3,-0.283,89.3,-0.414,86.1,-0.34,,0.301,90.0,0.01066816395283543,89.95,0.010106681639528325,97.65,0.09657495788882664,93.8,0.05334081976417737,JINDALSTEL.NSE
2020-05-11,90.3,92.3,88.3,90.0,88.9214,11132385.0,89.15,,,88.96217105779954,88.74135656633511,0.22081449146442367,0.16240842224218605,0.05840606922223762,,,,,,,0.01066816395283543,0.05324751316559384,,,,,,Monday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,-0.154,Negative,0.153,Vaccine Rollout,13.0,18.0,8,-5.97,-6.4,26.33,-1.55,covid_crash,,,0.34099999999999997,-0.3372,,0,5,2,2020,0,0,89.05,-0.495,91.3,-0.283,89.3,-0.414,85.45,-0.1,89.95,-0.0005555555555555314,97.65,0.08499999999999996,93.7,0.0411111111111111,87.55,-0.02722222222222226,JINDALSTEL.NSE
2020-05-12,89.0,90.6,84.25,89.95,88.872,16957849.0,89.91999999999999,,,89.18260163010183,88.95630753557094,0.22629409453088556,0.17857618158380553,0.04771791294708003,,,,,,,-0.0005555555555555314,0.04471544715447173,,,,,,Tuesday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,0.249,Positive,0.14,Inflation Concerns,10.0,21.0,3,3.91,-1.61,47.89,0.47,covid_crash,,,0.403,-0.21939999999999998,,1,5,2,2020,0,0,90.0,-0.154,89.05,-0.495,91.3,-0.283,86.1,-0.34,97.65,0.08560311284046684,93.7,0.041689827682045655,93.8,0.04280155642023331,92.0,0.022790439132851503,JINDALSTEL.NSE
2020-05-13,94.05,100.9,91.35,97.65,96.4798,38176069.0,91.59,,,90.94961716098975,90.35707680673443,0.5925403542553198,0.2780595568747629,0.3144807973805569,,,,,,,0.08560311284046684,0.0935050391937291,,,,,,Wednesday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,-0.447,Negative,0.404,Technical Factors,15.0,19.0,8,-1.79,-62.93,30.86,-0.34,covid_crash,,,-0.696,-0.22599999999999998,,2,5,2,2020,0,0,89.95,0.249,90.0,-0.154,89.05,-0.495,89.3,-0.414,93.7,-0.0404505888376856,93.8,-0.03942652329749108,87.55,-0.10343061955965194,95.2,-0.02508960573476704,JINDALSTEL.NSE
2020-05-14,95.0,97.6,92.7,93.7,92.5771,15152491.0,92.07000000000001,,,91.49374078085111,90.85257141095876,0.6411693698923528,0.3619397250788977,0.27922964481345514,,,,,,,-0.0404505888376856,0.026286966046002336,,,,,,Thursday,May,Q2,JINDALSTEL.NSE,Jindal Steel & Power Limited,Metals,Mid Cap,-0.261,Negative,0.182,Corporate Governance,12.0,16.0,6,-0.09,-12.25,59.34,-1.38,covid_crash,,,0.186,-0.22160000000000002,0.2765751655919638,3,5,2,2020,0,0,97.65,-0.447,89.95,0.249,90.0,-0.154,91.3,-0.283,93.8,0.0010672358591248265,87.55,-0.06563500533617939,92.0,-0.018143009605122717,97.45,0.04002134471718244,JINDALSTEL.NSE
