date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.636,Negative,0.38,Earnings Report,11.0,21.0,9,-1.77,-41.24,52.85,-1.11,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,163.55,,163.9,,165.8,,168.65,,JSWSTEEL.NSE
2020-05-04,170.95,170.95,162.35,163.55,153.64,10646028.0,,,,163.55,163.55,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.653,Negative,0.496,Global Markets,10.0,33.0,12,-0.62,-76.33,48.13,-0.8,covid_crash,,,-0.017000000000000015,,,0,5,2,2020,0,0,,-0.636,,,,,,,163.9,0.0021400183430142494,165.8,0.013757260776520841,172.2,0.05288902476306934,174.55,0.06725771935188019,JSWSTEEL.NSE
2020-05-05,167.5,171.65,162.8,163.9,153.9688,12995347.0,,,,163.73958333333334,163.73173076923078,0.00785256410256352,0.004362535612535289,0.0034900284900282307,,,,,,,0.0021400183430142494,,,,,,,Tuesday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.305,Negative,0.122,FII/DII Activity,11.0,25.0,5,-1.09,49.84,47.38,1.57,covid_crash,,,0.34800000000000003,,,1,5,2,2020,0,0,163.55,-0.653,,-0.636,,,,,165.8,0.011592434411226371,172.2,0.05064063453325196,168.65,0.028981086028065928,178.2,0.08724832214765099,JSWSTEEL.NSE
2020-05-06,165.5,169.3,163.15,165.8,155.7537,8720744.0,,,,164.54376443418013,164.4748398225727,0.06892461160742869,0.030822402823557166,0.03810220878387152,,,,,,,0.011592434411226371,,,,,,,Wednesday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.766,Negative,0.594,Management Commentary,14.0,30.0,5,-2.32,-1.25,27.64,-1.57,covid_crash,,,-0.461,,,2,5,2,2020,0,0,163.9,-0.305,163.55,-0.653,,-0.636,,,172.2,0.03860072376357038,168.65,0.01718938480096499,174.55,0.05277442702050661,182.35,0.09981905910735822,JSWSTEEL.NSE
2020-05-07,164.2,174.0,162.5,172.2,161.7659,11944061.0,,,,166.96053879310347,166.63445702192934,0.32608177117413106,0.13084251405342637,0.1952392571207047,,,,,,,0.03860072376357038,,,,,,,Thursday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.611,Negative,0.42,Merger & Acquisition,12.0,31.0,7,-1.53,-0.42,48.88,-2.01,covid_crash,,,0.15500000000000003,-0.5942000000000001,,3,5,2,2020,0,0,165.8,-0.766,163.9,-0.305,163.55,-0.653,,,168.65,-0.020615563298490014,174.55,0.013646922183507604,178.2,0.03484320557491283,175.2,0.017421602787456525,JSWSTEEL.NSE
2020-05-08,175.55,176.6,167.5,168.65,158.431,9045606.0,166.82,,,167.41955936492232,167.10186975185033,0.31768961307199106,0.1864253017195867,0.13126431135240435,,,,,,,-0.020615563298490014,,,,,,,Friday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.549,Negative,0.366,Regulatory Changes,12.0,28.0,9,0.07,21.25,40.82,-0.25,covid_crash,,,0.061999999999999944,-0.5768,,4,5,2,2020,0,0,172.2,-0.611,165.8,-0.766,163.9,-0.305,,-0.636,174.55,0.03498369404091317,178.2,0.05662614882893546,182.35,0.08123332345093393,174.3,0.03350133412392542,JSWSTEEL.NSE
2020-05-11,170.0,176.4,168.75,174.55,163.9735,9199262.0,169.01999999999998,,,169.15263157033402,168.5936708363989,0.5589607339351232,0.2874031164193483,0.27155761751577495,,,,,,,0.03498369404091317,0.06725771935188019,,,,,,Monday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.642,Negative,0.449,FII/DII Activity,12.0,34.0,12,-1.2,43.43,46.14,-1.81,covid_crash,,,-0.09299999999999997,-0.5746,,0,5,2,2020,0,0,168.65,-0.549,172.2,-0.611,165.8,-0.766,163.55,-0.653,178.2,0.0209109137782868,182.35,0.044686336293325635,175.2,0.003723861357777025,163.25,-0.06473789745058733,JSWSTEEL.NSE
2020-05-12,172.0,179.6,167.05,178.2,167.4023,11889850.0,171.88,,,171.17152018108723,170.30210668025506,0.8694135008321666,0.4346944180900418,0.43471908274212484,,,,,,,0.0209109137782868,0.08724832214765099,,,,,,Tuesday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.397,Negative,0.1,Global Markets,11.0,27.0,11,2.87,-19.16,41.5,-1.59,covid_crash,,,0.245,-0.5930000000000001,,1,5,2,2020,0,0,174.55,-0.642,168.65,-0.549,172.2,-0.611,163.9,-0.305,182.35,0.023288439955106766,175.2,-0.01683501683501687,174.3,-0.02188552188552173,169.3,-0.04994388327721644,JSWSTEEL.NSE
2020-05-13,189.0,189.0,180.6,182.35,171.3009,10377139.0,175.19,,,173.5042966241984,172.24332082069137,1.2609758035070229,0.6332653732306391,0.6277104302763837,,,,,,,0.023288439955106766,0.09981905910735822,,,,,,Wednesday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.399,Negative,0.356,Capacity Expansion,14.0,25.0,8,0.86,63.48,35.52,-1.71,covid_crash,,,-0.0020000000000000018,-0.5196,,2,5,2,2020,0,0,178.2,-0.397,174.55,-0.642,168.65,-0.549,165.8,-0.766,175.2,-0.039210309843707214,174.3,-0.04414587332053732,163.25,-0.1047436248971757,171.05,-0.06196874143131337,JSWSTEEL.NSE
2020-05-14,179.0,180.4,174.2,175.2,164.5841,5808584.0,175.79,,,173.83976710705826,172.68156558285673,1.1582015242015302,0.7545282283265888,0.4036732958749414,,,,,,,-0.039210309843707214,0.017421602787456525,,,,,,Thursday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.574,Negative,0.613,Interest Rate Policy,8.0,25.0,15,-4.66,-20.73,45.07,-0.2,covid_crash,,,-0.17499999999999993,-0.5122,0.14281129740558574,3,5,2,2020,0,0,182.35,-0.399,178.2,-0.397,174.55,-0.642,172.2,-0.611,174.3,-0.005136986301369717,163.25,-0.06820776255707761,169.3,-0.033675799086757885,169.9,-0.030251141552511296,JSWSTEEL.NSE
2020-05-15,176.9,179.4,173.25,174.3,163.7387,11548870.0,176.92000000000002,171.87,,173.9269810614038,172.90489378070544,1.022087280698372,0.8144769878395433,0.20761029285882882,,,,,,,-0.005136986301369717,0.03350133412392542,,10217549.1,1.130297480048322,,,Friday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.518,Negative,0.392,Global Markets,9.0,24.0,10,0.67,-71.74,52.57,0.03,covid_crash,,,0.05599999999999994,-0.506,0.14005808318932064,4,5,2,2020,0,0,175.2,-0.574,182.35,-0.399,178.2,-0.397,168.65,-0.549,163.25,-0.0633964429145153,169.3,-0.028686173264486525,171.05,-0.01864601262191623,166.15,-0.046758462421113034,JSWSTEEL.NSE
2020-05-18,175.8,176.2,162.1,163.25,153.3582,8130435.0,174.66,171.84,,171.9733509673637,171.65265099867318,0.3206999686905192,0.7064413974600599,-0.38574142876954065,,,,,,,-0.0633964429145153,-0.06473789745058733,-0.0018343014368695787,9965989.8,0.8158181137211278,0.033064595908799725,,Monday,May,Q2,JSWSTEEL.NSE,JSW Steel Limited,Metals,Large Cap,-0.044,Neutral,0.1,COVID-19 Impact,16.0,15.0,12,0.25,14.87,31.83,-1.73,covid_crash,,,0.47400000000000003,-0.38639999999999997,0.20396364055063013,0,5,2,2020,0,0,174.3,-0.518,175.2,-0.574,182.35,-0.399,174.55,-0.642,169.3,0.03705972434915772,171.05,0.04777947932618698,169.9,0.040735068912710615,,,JSWSTEEL.NSE
