date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.694,Negative,0.583,COVID-19 Impact,13.0,31.0,9,-0.35,-18.77,46.64,-0.66,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1277.0,,1242.0,,1248.6,,1223.15,,KOTAKBANK.NSE
2020-05-04,1295.0,1305.9,1263.7,1277.0,1273.1434,5096460.0,,,,1277.0,1277.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.384,Negative,0.197,COVID-19 Impact,10.0,24.0,6,-0.06,-30.07,28.66,-0.17,covid_crash,,,0.30999999999999994,,,0,5,2,2020,0,0,,-0.694,,,,,,,1242.0,-0.027407987470634332,1248.6,-0.022239624119029022,1200.0,-0.06029757243539546,1186.4,-0.07094753328112757,KOTAKBANK.NSE
2020-05-05,1297.0,1302.9,1225.0,1242.0,1238.2491,5004851.0,,,,1258.0416666666665,1258.826923076923,-0.7852564102565793,-0.43625356125365516,-0.34900284900292416,,,,,,,-0.027407987470634332,,,,,,,Tuesday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.487,Negative,0.419,Technical Factors,13.0,23.0,11,1.74,27.71,71.1,-0.52,covid_crash,,,-0.10299999999999998,,,1,5,2,2020,0,0,1277.0,-0.384,,-0.694,,,,,1248.6,0.005314009661835595,1200.0,-0.033816425120772986,1223.15,-0.015177133655394415,1157.95,-0.06767310789049918,KOTAKBANK.NSE
2020-05-06,1231.0,1277.4,1214.25,1248.6,1244.8292,4604274.0,,,,1254.356581986143,1255.1524889107934,-0.7959069246503532,-0.5836524806785314,-0.2122544439718218,,,,,,,0.005314009661835595,,,,,,,Wednesday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.442,Negative,0.378,Merger & Acquisition,10.0,18.0,12,-2.08,7.99,45.87,-0.34,covid_crash,,,0.044999999999999984,,,2,5,2,2020,0,0,1242.0,-0.487,1277.0,-0.384,,-0.694,,,1200.0,-0.03892359442575677,1223.15,-0.020382828768220285,1186.4,-0.04981579368893141,1191.0,-0.046131667467563586,KOTAKBANK.NSE
2020-05-07,1230.5,1240.0,1184.25,1200.0,1196.3759,6843277.0,,,,1237.1983333333333,1239.7342631519145,-2.5359298185812804,-1.2449930422987037,-1.2909367762825767,,,,,,,-0.03892359442575677,,,,,,,Thursday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.406,Negative,0.175,Corporate Governance,11.0,27.0,8,1.86,-61.03,43.53,-0.87,covid_crash,,,0.035999999999999976,-0.4826,,3,5,2,2020,0,0,1248.6,-0.442,1242.0,-0.487,1277.0,-0.384,,,1223.15,0.019291666666666707,1186.4,-0.011333333333333306,1157.95,-0.03504166666666664,1176.05,-0.01995833333333341,KOTAKBANK.NSE
2020-05-08,1222.0,1242.95,1211.05,1223.15,1219.456,3511244.0,1238.15,,,1233.381451375082,1235.888304123552,-2.50685274847001,-1.6203677764048752,-0.8864849720651347,,,,,,,0.019291666666666707,,,,,,,Friday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.108,Negative,0.1,Management Commentary,10.0,14.0,8,-5.04,35.07,57.69,-1.39,covid_crash,,,0.29800000000000004,-0.3654,,4,5,2,2020,0,0,1200.0,-0.406,1248.6,-0.442,1242.0,-0.487,,-0.694,1186.4,-0.030045374647426737,1157.95,-0.05330499121121701,1191.0,-0.026284593058905403,1176.15,-0.0384253771001104,KOTAKBANK.NSE
2020-05-11,1240.55,1252.3,1185.0,1186.4,1182.817,4674247.0,1220.03,,,1221.9624870059647,1225.9761915121587,-4.013704506194017,-2.269095097125759,-1.744609409068258,,,,,,,-0.030045374647426737,-0.07094753328112757,,,,,,Monday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.04,Neutral,0.163,Corporate Governance,13.0,14.0,5,-1.28,-28.88,57.0,1.1,covid_crash,,,0.068,-0.29660000000000003,,0,5,2,2020,0,0,1223.15,-0.108,1200.0,-0.406,1248.6,-0.442,1277.0,-0.384,1157.95,-0.023980107889413405,1191.0,0.0038772757923128953,1176.05,-0.00872387053270407,1121.0,-0.05512474713418758,KOTAKBANK.NSE
2020-05-12,1178.0,1178.0,1137.0,1157.95,1154.4529,10268551.0,1203.22,,,1207.678324493186,1213.87808599015,-6.199761496964129,-3.2638419022872323,-2.935919594676897,,,,,,,-0.023980107889413405,-0.06767310789049918,,,,,,Tuesday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.727,Negative,0.494,Technical Factors,13.0,27.0,5,0.62,9.9,24.83,0.87,covid_crash,,,-0.6869999999999999,-0.34459999999999996,,1,5,2,2020,0,0,1186.4,-0.04,1223.15,-0.108,1200.0,-0.406,1242.0,-0.487,1191.0,0.028541819594973816,1176.05,0.015631072153374337,1176.15,0.015717431668033965,1131.9,-0.022496653568806924,KOTAKBANK.NSE
2020-05-13,1215.05,1220.0,1172.7,1191.0,1187.4031,11914949.0,1191.7,,,1204.1978152362435,1210.1918594564695,-5.994044220225987,-3.919960860753884,-2.0740833594721035,,,,,,,0.028541819594973816,-0.046131667467563586,,,,,,Wednesday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.547,Negative,0.306,Corporate Governance,15.0,21.0,5,-4.76,-37.12,47.49,-0.94,covid_crash,,,0.17999999999999994,-0.36560000000000004,,2,5,2,2020,0,0,1157.95,-0.727,1186.4,-0.04,1223.15,-0.108,1248.6,-0.442,1176.05,-0.012552476910159593,1176.15,-0.01246851385390424,1121.0,-0.05877413937867337,1165.0,-0.02183039462636438,KOTAKBANK.NSE
2020-05-14,1178.9,1214.0,1167.15,1176.05,1172.4983,7100070.0,1186.9099999999999,,,1198.629175518056,1205.13128637093,-6.5021108528740115,-4.516450319045801,-1.9856605338282103,,,,,,,-0.012552476910159593,-0.01995833333333341,,,,,,Thursday,May,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Banking,Large Cap,-0.21,Negative,0.206,Merger & Acquisition,6.0,21.0,6,0.67,-46.13,64.42,-0.35,covid_crash,,,0.3370000000000001,-0.32639999999999997,0.2298213073962754,3,5,2,2020,0,0,1191.0,-0.547,1157.95,-0.727,1186.4,-0.04,1200.0,-0.406,1176.15,8.50303983674916e-05,1121.0,-0.046809234301262714,1131.9,-0.037540920879214235,1153.0,-0.019599506823689383,KOTAKBANK.NSE
