date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.404,Negative,0.415,Global Markets,14.0,25.0,6,-3.04,-17.27,52.79,0.76,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,259.0,,256.55,,262.6,,263.65,,LICHSGFIN.NSE
2020-05-04,265.0,271.7,255.0,259.0,234.3413,6598702.0,,,,259.0,259.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.241,Negative,0.276,Global Markets,10.0,22.0,2,-2.85,-58.51,41.4,-1.27,covid_crash,,,0.16300000000000003,,,0,5,2,2020,0,0,,-0.404,,,,,,,256.55,-0.009459459459459363,262.6,0.013899613899613916,259.75,0.0028957528957529455,268.25,0.03571428571428581,LICHSGFIN.NSE
2020-05-05,264.2,268.4,253.55,256.55,232.1246,6046745.0,,,,257.67291666666665,257.7278846153846,-0.05496794871794464,-0.03053774928774702,-0.024430199430197617,,,,,,,-0.009459459459459363,,,,,,,Tuesday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.385,Negative,0.347,Global Markets,13.0,22.0,4,0.28,0.21,54.26,-0.26,covid_crash,,,-0.14400000000000002,,,1,5,2,2020,0,0,259.0,-0.241,,-0.404,,,,,262.6,0.023582147729487524,259.75,0.01247320210485281,263.65,0.027674917170142033,264.0,0.029039173650360572,LICHSGFIN.NSE
2020-05-06,254.2,265.9,247.8,262.6,237.5986,6320498.0,,,,259.59595842956116,259.47838836865446,0.11757006090670075,0.03016217292309222,0.08740788798360852,,,,,,,0.023582147729487524,,,,,,,Wednesday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.465,Negative,0.24,Management Commentary,16.0,20.0,2,-3.44,14.31,51.91,-1.04,covid_crash,,,-0.08000000000000002,,,2,5,2,2020,0,0,256.55,-0.385,259.0,-0.241,,-0.404,,,259.75,-0.010853008377760931,263.65,0.003998476770753934,268.25,0.021515613099771347,274.5,0.04531607006854532,LICHSGFIN.NSE
2020-05-07,260.8,268.85,257.1,259.75,235.0199,3577958.0,,,,259.6445833333333,259.55431911146457,0.09026422186872196,0.05052194560115107,0.03974227626757089,,,,,,,-0.010853008377760931,,,,,,,Thursday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.001,Neutral,0.1,Corporate Governance,12.0,11.0,4,0.0,-26.18,60.35,2.23,covid_crash,,,0.464,-0.2992,,3,5,2,2020,0,0,262.6,-0.465,256.55,-0.385,259.0,-0.241,,,263.65,0.015014436958614041,268.25,0.03272377285851791,264.0,0.016361886429258954,261.15,0.005389797882579206,LICHSGFIN.NSE
2020-05-08,265.0,274.9,260.1,263.65,238.5486,6130183.0,260.31,,,260.732840726401,260.5041244025569,0.22871632384408258,0.10353074445970994,0.12518557938437264,,,,,,,0.015014436958614041,,,,,,,Friday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.301,Negative,0.153,Technical Factors,10.0,25.0,6,0.35,2.22,67.52,-0.24,covid_crash,,,-0.3,-0.27860000000000007,,4,5,2,2020,0,0,259.75,-0.001,262.6,-0.465,256.55,-0.385,,-0.404,268.25,0.0174473734117202,264.0,0.0013275175421962881,274.5,0.04115304380807894,253.9,-0.03698084581831962,LICHSGFIN.NSE
2020-05-11,266.95,272.95,266.0,268.25,242.7106,3440874.0,262.15999999999997,,,262.55990590616534,262.05556150583726,0.5043444003280797,0.21217353000820985,0.2921708703198699,,,,,,,0.0174473734117202,0.03571428571428581,,,,,,Monday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,0.044,Neutral,0.1,COVID-19 Impact,13.0,19.0,2,-0.26,36.28,43.32,-0.06,covid_crash,,,0.345,-0.22160000000000002,,0,5,2,2020,0,0,263.65,-0.301,259.75,-0.001,262.6,-0.465,259.0,-0.241,264.0,-0.01584342963653307,274.5,0.02329916123019582,261.15,-0.02646784715750239,220.15,-0.17931034482758623,LICHSGFIN.NSE
2020-05-12,265.95,270.85,259.0,264.0,238.8653,4606797.0,263.65,,,262.88125786469976,262.4013698123222,0.47988805237758925,0.2799249336463361,0.19996311873125316,,,,,,,-0.01584342963653307,0.029039173650360572,,,,,,Tuesday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.565,Negative,0.49,Earnings Report,11.0,26.0,3,1.7,-36.15,47.2,-1.0,covid_crash,,,-0.609,-0.25759999999999994,,1,5,2,2020,0,0,268.25,0.044,263.65,-0.301,259.75,-0.001,256.55,-0.385,274.5,0.03977272727272729,261.15,-0.010795454545454608,253.9,-0.03825757575757571,231.45,-0.12329545454545454,LICHSGFIN.NSE
2020-05-13,277.0,287.0,271.8,274.5,248.3656,5917571.0,266.03,,,265.30591026743116,264.35075891935713,0.9551513480740255,0.44219453866884756,0.512956809405178,,,,,,,0.03977272727272729,0.04531607006854532,,,,,,Wednesday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.845,Negative,0.811,Sector Rotation,11.0,34.0,5,0.24,26.59,54.32,-1.54,covid_crash,,,-0.28,-0.33359999999999995,,2,5,2,2020,0,0,264.0,-0.565,268.25,0.044,263.65,-0.301,262.6,-0.465,261.15,-0.04863387978142086,253.9,-0.07504553734061925,220.15,-0.19799635701275042,248.75,-0.09380692167577409,LICHSGFIN.NSE
2020-05-14,273.8,276.6,257.65,261.15,236.2866,5665551.0,266.31,,,264.4837232953268,263.8763361814494,0.6073871138773939,0.48035484306661336,0.1270322708107805,,,,,,,-0.04863387978142086,0.005389797882579206,,,,,,Thursday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.178,Negative,0.179,Lockdown Measures,17.0,20.0,4,1.81,20.36,48.9,0.1,covid_crash,,,0.667,-0.369,0.2639425232044953,3,5,2,2020,0,0,274.5,-0.845,264.0,-0.565,268.25,0.044,259.75,-0.001,253.9,-0.027761822707256245,220.15,-0.15699789393069108,231.45,-0.11372774267662256,247.15,-0.05360903695194319,LICHSGFIN.NSE
2020-05-15,263.0,263.0,250.25,253.9,229.7269,5383082.0,264.36,262.335,,262.4781118441672,262.49969888497577,-0.021587040808583424,0.36789072339219797,-0.3894777642007814,,,,,,,-0.027761822707256245,-0.03698084581831962,,5368796.1,1.0026609131235213,,,Friday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.343,Negative,0.264,Sector Rotation,9.0,21.0,5,0.99,37.18,56.25,1.22,covid_crash,,,-0.16500000000000004,-0.3774,0.26285018969409596,4,5,2,2020,0,0,261.15,-0.178,274.5,-0.845,264.0,-0.565,263.65,-0.301,220.15,-0.13292634895628197,231.45,-0.08842063804647504,248.75,-0.02028357621110677,241.05,-0.050610476565576934,LICHSGFIN.NSE
2020-05-18,253.9,255.0,219.2,220.15,199.1901,12187974.0,254.74,258.45,,254.73308797954797,257.00692952319054,-2.273841543642561,-0.2101052019457048,-2.063736341696856,,,,,,,-0.13292634895628197,-0.17931034482758623,-0.15000000000000002,5927723.3,2.056096984149041,0.049093621488840236,,Monday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.951,Negative,0.842,Management Commentary,7.0,39.0,7,0.79,-11.92,54.7,-1.37,covid_crash,,,-0.6079999999999999,-0.5763999999999999,0.32522846670541544,0,5,2,2020,0,0,253.9,-0.343,261.15,-0.178,274.5,-0.845,268.25,0.044,231.45,0.05132863956393363,248.75,0.12991142402907108,247.15,0.12264365205541683,,,LICHSGFIN.NSE
2020-05-19,226.0,235.7,223.0,231.45,209.4143,9721855.0,248.23000000000002,255.93999999999997,,250.59343137189262,253.86685804576717,-3.273426673874553,-0.8679781833739774,-2.405448490500576,,,,,,,0.05132863956393363,-0.12329545454545454,-0.09783667900993964,6295234.3,1.5443198039507442,0.05342368008832681,,Tuesday,May,Q2,LICHSGFIN.NSE,LIC Housing Finance Limited,Financial Services,Mid Cap,-0.594,Negative,0.469,Sector Rotation,13.0,31.0,9,2.06,-16.79,35.93,-2.87,covid_crash,,,0.357,-0.5821999999999999,0.3308948977142641,1,5,2,2020,0,0,220.15,-0.951,253.9,-0.343,261.15,-0.178,264.0,-0.565,248.75,0.0747461654785051,247.15,0.06783322531864333,241.05,0.041477640959170614,239.6,0.03521278893929569,LICHSGFIN.NSE
