date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.548,Negative,0.39,FII/DII Activity,13.0,21.0,5,2.62,-24.77,50.01,0.47,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,850.65,,836.9,,837.3,,815.95,,LT.NSE
2020-05-04,880.0,880.0,845.0,850.65,785.0326,4678576.0,,,,850.65,850.65,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.593,Negative,0.301,Earnings Report,9.0,29.0,6,-2.7,1.54,60.78,-0.6,covid_crash,,,-0.04499999999999993,,,0,5,2,2020,0,0,,-0.548,,,,,,,836.9,-0.016164109798389448,837.3,-0.015693881149709044,822.85,-0.0326808910832892,821.6,-0.03415035561041546,LT.NSE
2020-05-05,861.0,869.8,835.0,836.9,772.3433,4296433.0,,,,843.2020833333333,843.5105769230768,-0.30849358974342067,-0.1713853276352337,-0.13710826210818697,,,,,,,-0.016164109798389448,,,,,,,Tuesday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.472,Negative,0.415,Global Markets,9.0,16.0,7,0.24,-34.78,32.08,-0.9,covid_crash,,,0.121,,,1,5,2,2020,0,0,850.65,-0.593,,-0.548,,,,,837.3,0.00047795435535902264,822.85,-0.01678814673198703,815.95,-0.025032859361930893,814.8,-0.026406978133588277,LT.NSE
2020-05-06,838.0,848.0,817.6,837.3,772.7124,5081524.0,,,,840.8984988452654,841.2791769344504,-0.3806780891850394,-0.25716104958187536,-0.12351703960316407,,,,,,,0.00047795435535902264,,,,,,,Wednesday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.285,Negative,0.272,Global Markets,16.0,19.0,5,-4.08,13.03,60.39,0.19,covid_crash,,,0.187,,,2,5,2,2020,0,0,836.9,-0.472,850.65,-0.593,,-0.548,,,822.85,-0.017257852621521463,815.95,-0.025498626537680535,821.6,-0.01875074644691266,862.9,0.030574465544010554,LT.NSE
2020-05-07,833.0,836.05,820.1,822.85,759.3771,3529134.0,,,,835.2012931034483,836.1271844108624,-0.9258913074140764,-0.48369568976893534,-0.4421956176451411,,,,,,,-0.017257852621521463,,,,,,,Thursday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,0.185,Positive,0.197,Global Markets,13.0,19.0,6,0.36,20.77,49.49,-0.31,covid_crash,,,0.47,-0.3426,,3,5,2,2020,0,0,837.3,-0.285,836.9,-0.472,850.65,-0.593,,,815.95,-0.008385489457373718,821.6,-0.0015191104089444796,814.8,-0.009783071033602764,871.65,0.059306070365193975,LT.NSE
2020-05-08,833.0,834.85,810.0,815.95,753.0093,4394509.0,832.7299999999999,,,829.9707855709137,831.4480121231903,-1.4772265522766475,-0.7792486593392923,-0.6979778929373551,,,,,,,-0.008385489457373718,,,,,,,Friday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.695,Negative,0.506,COVID-19 Impact,10.0,26.0,8,-0.92,-2.99,38.13,-1.94,covid_crash,,,-0.8799999999999999,-0.372,,4,5,2,2020,0,0,822.85,0.185,837.3,-0.285,836.9,-0.472,,-0.548,821.6,0.006924443899748667,814.8,-0.0014094000857897138,862.9,0.05754029045897413,864.4,0.05937863839696056,LT.NSE
2020-05-11,821.2,827.5,816.35,821.6,758.2235,2882920.0,826.9200000000001,,,827.9362442917892,829.4755338398423,-1.5392895480531479,-0.9852619976366986,-0.5540275504164492,,,,,,,0.006924443899748667,-0.03415035561041546,,,,,,Monday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.63,Negative,0.564,Technical Factors,8.0,29.0,8,-6.91,-89.47,64.61,-0.43,covid_crash,,,0.06499999999999995,-0.37939999999999996,,0,5,2,2020,0,0,815.95,-0.695,822.85,0.185,837.3,-0.285,850.65,-0.593,814.8,-0.00827653359298941,862.9,0.05026777020447892,871.65,0.06091772151898733,813.35,-0.010041382667964949,LT.NSE
2020-05-12,817.0,819.25,804.0,814.8,751.948,3024381.0,822.5,,,825.0049373382881,826.8655662223771,-1.8606288840890102,-1.206794003934254,-0.6538348801547562,,,,,,,-0.00827653359298941,-0.026406978133588277,,,,,,Tuesday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.372,Negative,0.375,Economic Stimulus,14.0,15.0,7,4.64,-52.45,41.97,-0.24,covid_crash,,,0.258,-0.3594,,1,5,2,2020,0,0,821.6,-0.63,815.95,-0.695,822.85,0.185,836.9,-0.472,862.9,0.059032891507118324,871.65,0.06977172312223856,864.4,0.060873834069710364,796.35,-0.0226435935198821,LT.NSE
2020-05-13,863.7,871.95,850.5,862.9,796.3377,8625444.0,827.6200000000001,,,832.9130528351642,832.6716063768908,0.24144645827334443,-0.85875458669784,1.1002010449711843,,,,,,,0.059032891507118324,0.030574465544010554,,,,,,Wednesday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.464,Negative,0.517,Earnings Report,8.0,28.0,6,1.08,16.18,51.29,-1.81,covid_crash,,,-0.09200000000000003,-0.3952,,2,5,2,2020,0,0,814.8,-0.372,821.6,-0.63,815.95,-0.695,837.3,-0.285,871.65,0.01014022482327026,864.4,0.0017383242554178668,813.35,-0.05742264457063384,835.0,-0.03233283115077068,LT.NSE
2020-05-14,858.9,879.6,841.5,871.65,804.4127,6778584.0,837.3799999999999,,,840.5765997475257,838.4490600020564,2.1275397454693348,-0.168905780884645,2.29644552635398,,,,,,,0.01014022482327026,0.059306070365193975,,,,,,Thursday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.379,Negative,0.379,Corporate Governance,11.0,23.0,7,2.11,14.34,59.97,1.09,covid_crash,,,0.08500000000000002,-0.508,0.24913898396945694,3,5,2,2020,0,0,862.9,-0.464,814.8,-0.372,821.6,-0.63,822.85,0.185,864.4,-0.008317558653129109,813.35,-0.06688464406585204,796.35,-0.08638788504560313,820.5,-0.05868181035966269,LT.NSE
2020-05-15,881.95,885.0,854.0,864.4,797.722,5653901.0,847.0699999999999,839.9,,845.0911248365385,842.030037149373,3.061087687165468,0.5548002568220808,2.5062874303433875,,,,,,,-0.008317558653129109,0.05937863839696056,,4894540.6,1.1551443663578969,,,Friday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.396,Negative,0.321,Management Commentary,9.0,21.0,5,-1.6,18.28,38.43,1.67,covid_crash,,,-0.017000000000000015,-0.44820000000000004,0.24543043821009647,4,5,2,2020,0,0,871.65,-0.379,862.9,-0.464,814.8,-0.372,815.95,-0.695,813.35,-0.059058306339657474,796.35,-0.07872512725589997,835.0,-0.03401203146691345,815.7,-0.056339657565941614,LT.NSE
2020-05-18,869.9,870.0,810.0,813.35,750.6099,6211249.0,845.4200000000001,836.1700000000001,,839.2832643240286,838.3102272452505,0.9730370787780203,0.6463080836875752,0.32672899509044506,,,,,,,-0.059058306339657474,-0.010041382667964949,-0.04384882148944924,5047807.9,1.2304844247341504,0.029294907795880985,,Monday,May,Q2,LT.NSE,Larsen & Toubro Limited,Infrastructure,Large Cap,-0.241,Negative,0.261,Regulatory Changes,10.0,16.0,12,-2.09,-20.6,54.59,-0.95,covid_crash,,,0.15500000000000003,-0.3704,0.2414946284196722,0,5,2,2020,0,0,864.4,-0.396,871.65,-0.379,862.9,-0.464,821.6,-0.63,796.35,-0.020901211040757373,835.0,0.026618307001905706,820.5,0.008790803467142005,,,LT.NSE
