date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,0.245,Positive,0.226,Technical Factors,7.0,20.0,8,-0.89,16.97,51.32,2.41,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1545.35,,1535.4,,1536.1,,1584.65,,LTIM.NSE
2020-05-04,1570.0,1570.0,1503.25,1545.35,1443.7055,78506.0,,,,1545.35,1545.35,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,0.284,Positive,0.296,FII/DII Activity,10.0,24.0,12,-5.56,-57.97,48.13,0.08,covid_crash,,,0.03899999999999998,,,0,5,2,2020,0,0,,0.245,,,,,,,1535.4,-0.006438670851263373,1536.1,-0.005985699032581615,1593.25,0.03099621444980105,1614.2,0.04455301388035071,LTIM.NSE
2020-05-05,1552.2,1588.5,1525.0,1535.4,1434.4099,137671.0,,,,1539.9604166666666,1540.1836538461537,-0.2232371794871142,-0.12402065527061899,-0.0992165242164952,,,,,,,-0.006438670851263373,,,,,,,Tuesday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,-0.187,Negative,0.167,Technical Factors,12.0,14.0,10,-4.59,57.52,50.52,2.14,covid_crash,,,-0.471,,,1,5,2,2020,0,0,1545.35,0.284,,0.245,,,,,1536.1,0.00045590725543820376,1593.25,0.03767747818158118,1584.65,0.03207633190048198,1648.35,0.07356389214536918,LTIM.NSE
2020-05-06,1535.4,1567.45,1510.05,1536.1,1435.0639,148484.0,,,,1538.4536951501154,1538.7164366683096,-0.26274151819416147,-0.18087346794420195,-0.08186805024995952,,,,,,,0.00045590725543820376,,,,,,,Wednesday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,-0.067,Neutral,0.183,Management Commentary,10.0,20.0,14,-1.54,-22.64,57.67,1.21,covid_crash,,,0.12,,,2,5,2,2020,0,0,1535.4,-0.187,1545.35,0.284,,0.245,,,1593.25,0.03720460907493006,1584.65,0.031606015233383467,1614.2,0.05084304407265172,1656.45,0.07834776381745989,LTIM.NSE
2020-05-07,1536.1,1601.0,1535.9,1593.25,1488.4549,73424.0,,,,1555.7507471264366,1553.9616378820588,1.789109244377869,0.4864648492380713,1.3026443951397977,,,,,,,0.03720460907493006,,,,,,,Thursday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,-0.095,Neutral,0.1,Regulatory Changes,15.0,12.0,9,-0.84,2.25,25.74,-0.96,covid_crash,,,-0.027999999999999997,0.03599999999999999,,3,5,2,2020,0,0,1536.1,-0.067,1535.4,-0.187,1545.35,0.284,,,1584.65,-0.005397771849992128,1614.2,0.013149223285736644,1648.35,0.03458339871332172,1648.25,0.03452063392436844,LTIM.NSE
2020-05-08,1605.25,1614.0,1570.1,1584.65,1480.4205,84477.0,1558.95,,,1563.6025708469288,1561.078395634395,2.5241752125336916,1.092637613188458,1.4315375993452335,,,,,,,-0.005397771849992128,,,,,,,Friday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,0.104,Positive,0.195,Interest Rate Policy,8.0,16.0,5,0.59,-0.81,49.74,-0.04,covid_crash,,,0.199,0.007799999999999993,,4,5,2,2020,0,0,1593.25,-0.095,1536.1,-0.067,1535.4,-0.187,,0.245,1614.2,0.01864765090082976,1648.35,0.040198151011264116,1656.45,0.04530968983687256,1645.8,0.03858896286246161,LTIM.NSE
2020-05-11,1600.0,1674.7,1595.75,1614.2,1508.0269,115867.0,1572.7199999999998,,,1575.9004080519812,1571.7182293061085,4.182178745872761,1.9300750353099299,2.2521037105628317,,,,,,,0.01864765090082976,0.04455301388035071,,,,,,Monday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,-0.265,Negative,0.336,Economic Stimulus,15.0,16.0,6,-0.95,9.37,27.23,0.95,covid_crash,,,-0.369,-0.10200000000000001,,0,5,2,2020,0,0,1584.65,0.104,1593.25,-0.095,1536.1,-0.067,1545.35,0.284,1648.35,0.02115599058357076,1656.45,0.026173956139263987,1648.25,0.02109404039152518,1645.65,0.019483335398339685,LTIM.NSE
2020-05-12,1614.0,1655.0,1590.8,1648.35,1539.9307,82129.0,1595.31,,,1592.0672810134017,1585.3467924754482,6.720488537953543,3.142400896225795,3.5780876417277474,,,,,,,0.02115599058357076,0.07356389214536918,,,,,,Tuesday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,-0.343,Negative,0.426,Capacity Expansion,13.0,18.0,6,-2.44,2.14,60.41,0.37,covid_crash,,,-0.07800000000000001,-0.1332,,1,5,2,2020,0,0,1614.2,-0.265,1584.65,0.104,1593.25,-0.095,1535.4,-0.187,1656.45,0.004914004914005066,1648.25,-6.0666727333291703e-05,1645.8,-0.001547001547001492,1670.15,0.013225346558680018,LTIM.NSE
2020-05-13,1689.0,1689.0,1645.1,1656.45,1547.4979,316636.0,1619.38,,,1605.502962128223,1596.8032810260925,8.699681102130626,4.477919834382161,4.221761267748465,,,,,,,0.004914004914005066,0.07834776381745989,,,,,,Wednesday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,-0.003,Neutral,0.1,Capacity Expansion,11.0,6.0,5,-2.31,-52.16,48.98,-1.07,covid_crash,,,0.34,-0.1204,,2,5,2,2020,0,0,1648.35,-0.343,1614.2,-0.265,1584.65,0.104,1536.1,-0.067,1648.25,-0.004950345618642271,1645.8,-0.00642941229738303,1645.65,-0.006519967400162918,1784.0,0.07700202239729537,LTIM.NSE
2020-05-14,1645.0,1667.15,1628.0,1648.25,1539.8373,173331.0,1630.3799999999999,,,1613.9598477134723,1604.4288141846077,9.531033528864555,5.6452141664339015,3.885819362430653,,,,,,,-0.004950345618642271,0.03452063392436844,,,,,,Thursday,May,Q2,LTIM.NSE,LTI Mindtree Limited,IT,Large Cap,-0.262,Negative,0.1,Regulatory Changes,11.0,17.0,7,0.52,59.02,32.51,-1.68,covid_crash,,,-0.259,-0.1538,0.21649092872964035,3,5,2,2020,0,0,1656.45,-0.003,1648.35,-0.343,1614.2,-0.265,1593.25,-0.095,1645.8,-0.0014864249962081022,1645.65,-0.0015774306082207978,1670.15,0.013286819353860224,1784.9,0.0829061125436068,LTIM.NSE
