date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,-0.527,Negative,0.583,Management Commentary,11.0,22.0,6,-3.96,-13.87,39.02,-0.09,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1185.75,,1176.2,,1189.25,,1167.4,,LTTS.NSE
2020-05-04,1200.0,1210.0,1168.05,1185.75,1112.8617,67529.0,,,,1185.75,1185.75,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,-0.345,Negative,0.399,Sector Rotation,12.0,19.0,4,-0.49,2.5,19.66,-2.21,covid_crash,,,0.18200000000000005,,,0,5,2,2020,0,0,,-0.527,,,,,,,1176.2,-0.008053974277883125,1189.25,0.002951718321737351,1185.5,-0.00021083702298119178,1179.5,-0.005270925574530905,LTTS.NSE
2020-05-05,1204.0,1215.65,1174.1,1176.2,1103.8988,46069.0,,,,1180.5770833333333,1180.7913461538462,-0.2142628205128858,-0.11903490028493656,-0.09522792022794925,,,,,,,-0.008053974277883125,,,,,,,Tuesday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,-0.3,Negative,0.203,Corporate Governance,12.0,22.0,3,1.58,65.37,40.13,-1.89,covid_crash,,,0.044999999999999984,,,1,5,2,2020,0,0,1185.75,-0.345,,-0.527,,,,,1189.25,0.011095051861928162,1185.5,0.00790681856827069,1167.4,-0.00748172079578302,1128.85,-0.0402567590545827,LTTS.NSE
2020-05-06,1192.0,1214.0,1176.5,1189.25,1116.1466,51164.0,,,,1183.9621247113164,1183.830458353869,0.13166635744732957,-0.016288483181548803,0.14795484062887837,,,,,,,0.011095051861928162,,,,,,,Wednesday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,-0.156,Negative,0.1,Economic Stimulus,11.0,21.0,3,-1.85,-17.68,43.09,-1.86,covid_crash,,,0.144,,,2,5,2,2020,0,0,1176.2,-0.3,1185.75,-0.345,,-0.527,,,1185.5,-0.0031532478452805934,1167.4,-0.01837292411183511,1179.5,-0.008198444397729654,1101.2,-0.07403825940718933,LTTS.NSE
2020-05-07,1190.0,1208.8,1162.2,1185.5,1112.6271,107123.0,,,,1184.4475718390804,1184.2971892398593,0.150382599221075,0.04017191058627768,0.11021068863479733,,,,,,,-0.0031532478452805934,,,,,,,Thursday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,0.006,Neutral,0.305,Inflation Concerns,16.0,20.0,10,-0.7,-23.94,42.93,0.95,covid_crash,,,0.162,-0.2644,,3,5,2,2020,0,0,1189.25,-0.156,1176.2,-0.3,1185.75,-0.345,,,1167.4,-0.015267819485449086,1179.5,-0.005061155630535663,1128.85,-0.04778574441164074,1113.95,-0.06035428089413741,LTTS.NSE
2020-05-08,1198.0,1206.95,1162.1,1167.4,1095.6397,80776.0,1180.8200000000002,,,1179.8158074980263,1180.3786613610075,-0.5628538629812283,-0.13921462367345158,-0.4236392393077767,,,,,,,-0.015267819485449086,,,,,,,Friday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,0.21,Positive,0.252,Global Markets,13.0,28.0,6,-1.39,26.37,45.3,2.54,covid_crash,,,0.204,-0.11699999999999999,,4,5,2,2020,0,0,1185.5,0.006,1189.25,-0.156,1176.2,-0.3,,-0.527,1179.5,0.010364913482953542,1128.85,-0.03302210039403819,1101.2,-0.05670721260921707,1068.4,-0.08480383758780197,LTTS.NSE
2020-05-11,1172.1,1201.0,1172.1,1179.5,1106.9959,91214.0,1179.5700000000002,,,1179.739049661435,1180.2026724983493,-0.46362283691428274,-0.22714728620945618,-0.23647555070482656,,,,,,,0.010364913482953542,-0.005270925574530905,,,,,,Monday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,0.068,Neutral,0.1,Sector Rotation,16.0,12.0,1,-1.14,46.07,53.17,0.05,covid_crash,,,-0.142,-0.0344,,0,5,2,2020,0,0,1167.4,0.21,1185.5,0.006,1189.25,-0.156,1185.75,-0.345,1128.85,-0.04294192454429846,1101.2,-0.06638406104281469,1113.95,-0.05557439593047897,1107.65,-0.0609156422212801,LTTS.NSE
2020-05-12,1179.0,1179.0,1125.0,1128.85,1059.4594,152859.0,1170.1,,,1168.3833362766843,1171.0698658997155,-2.6865296230312197,-0.8495513453085969,-1.836978277722623,,,,,,,-0.04294192454429846,-0.0402567590545827,,,,,,Tuesday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,-0.181,Negative,0.157,Merger & Acquisition,16.0,22.0,4,0.85,-74.64,69.17,0.51,covid_crash,,,-0.249,-0.010599999999999998,,1,5,2,2020,0,0,1179.5,0.068,1167.4,0.21,1185.5,0.006,1176.2,-0.3,1101.2,-0.02449395402400656,1113.95,-0.013199273597023442,1068.4,-0.053550073083226124,1125.0,-0.0034105505603047037,LTTS.NSE
2020-05-13,1159.7,1159.7,1098.0,1101.2,1033.509,216823.0,1152.4900000000002,,,1154.363209499633,1159.812099244973,-5.448889745340011,-1.9548588534139284,-3.4940308919260827,,,,,,,-0.02449395402400656,-0.07403825940718933,,,,,,Wednesday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,-0.541,Negative,0.352,Interest Rate Policy,9.0,30.0,1,-0.25,81.71,42.16,-0.41,covid_crash,,,-0.36000000000000004,-0.08760000000000001,,2,5,2,2020,0,0,1128.85,-0.181,1179.5,0.068,1167.4,0.21,1189.25,-0.156,1113.95,0.011578278241917817,1068.4,-0.029785688339992733,1107.65,0.005857246640029068,1160.0,0.05339629495096254,LTTS.NSE
2020-05-14,1101.2,1123.85,1090.3,1113.95,1045.4753,117960.0,1138.18,,,1146.3680382342868,1153.0143293290912,-6.646291094804383,-3.0386029754904897,-3.607688119313893,,,,,,,0.011578278241917817,-0.06035428089413741,,,,,,Thursday,May,Q2,LTTS.NSE,L&T Technology Services Limited,IT,Mid Cap,-0.081,Neutral,0.1,Capacity Expansion,14.0,17.0,3,-3.57,24.5,59.67,-1.11,covid_crash,,,0.46,-0.10500000000000001,0.24736659704441372,3,5,2,2020,0,0,1101.2,-0.541,1128.85,-0.181,1179.5,0.068,1185.5,0.006,1068.4,-0.04089052470936749,1107.65,-0.0056555500695721905,1125.0,0.009919655280757667,1125.35,0.010233852506844832,LTTS.NSE
