date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,-0.567,Negative,0.31,Corporate Governance,14.0,25.0,6,0.04,55.09,21.62,1.76,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,841.65,,826.8,,827.2,,835.0,,LUPIN.NSE
2020-05-04,826.0,865.8,815.0,841.65,819.2767,5482297.0,,,,841.65,841.65,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,0.32,Positive,0.254,Sector Rotation,5.0,17.0,7,3.1,-37.32,35.09,-0.96,covid_crash,,,0.887,,,0,5,2,2020,0,0,,-0.567,,,,,,,826.8,-0.017643913740866157,827.2,-0.01716865680508517,813.3,-0.033683835323471745,849.3,0.00908928889680971,LUPIN.NSE
2020-05-05,867.95,867.95,821.0,826.8,804.8214,3485068.0,,,,833.6062499999999,833.9394230769229,-0.33317307692300346,-0.18509615384611303,-0.14807692307689044,,,,,,,-0.017643913740866157,,,,,,,Tuesday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,0.007,Neutral,0.103,Sector Rotation,13.0,18.0,4,2.02,9.39,49.7,-0.85,covid_crash,,,-0.313,,,1,5,2,2020,0,0,841.65,0.32,,-0.567,,,,,827.2,0.00048379293662326184,813.3,-0.01632801161103048,835.0,0.009917755200774092,851.85,0.030297532656023307,LUPIN.NSE
2020-05-06,834.95,840.65,817.05,827.2,805.2108,2243112.0,,,,831.1058891454965,831.5180137999014,-0.41212465440491997,-0.27814062128824696,-0.133984033116673,,,,,,,0.00048379293662326184,,,,,,,Wednesday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,0.026,Neutral,0.117,Technical Factors,8.0,17.0,5,0.02,-60.7,25.4,-1.0,covid_crash,,,0.019,,,2,5,2,2020,0,0,826.8,0.007,841.65,0.32,,-0.567,,,813.3,-0.016803675048356004,835.0,0.009429400386847142,849.3,0.02671663442940031,839.25,0.014567214700193398,LUPIN.NSE
2020-05-07,820.0,836.6,808.75,813.3,791.6803,2230759.0,,,,825.4852658045976,826.425053260993,-0.9397874563953792,-0.5022757280318554,-0.4375117283635238,,,,,,,-0.016803675048356004,,,,,,,Thursday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,-0.042,Neutral,0.1,Merger & Acquisition,11.0,14.0,3,1.26,24.03,39.48,-0.48,covid_crash,,,-0.068,-0.05119999999999999,,3,5,2,2020,0,0,827.2,0.026,826.8,0.007,841.65,0.32,,,835.0,0.026681421369728398,849.3,0.044264109184802614,851.85,0.04739948358539303,863.05,0.061170539776220334,LUPIN.NSE
2020-05-08,820.0,839.65,817.3,835.0,812.8034,2635460.0,828.79,,,828.0703850800505,828.4136187779849,-0.34323369793435177,-0.4549643197448779,0.11173062181052612,,,,,,,0.026681421369728398,,,,,,,Friday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,-0.521,Negative,0.345,Technical Factors,9.0,33.0,3,-2.79,-48.69,51.57,-1.27,covid_crash,,,-0.47900000000000004,-0.042,,4,5,2,2020,0,0,813.3,-0.042,827.2,0.026,826.8,0.007,,-0.567,849.3,0.017125748502993865,851.85,0.02017964071856282,839.25,0.005089820359281516,841.8,0.008143712574850248,LUPIN.NSE
2020-05-11,843.95,857.7,832.05,849.3,826.7233,3945910.0,830.3199999999999,,,833.2302983914888,832.596994352954,0.6333040385347886,-0.15998308810085352,0.793287126635642,,,,,,,0.017125748502993865,0.00908928889680971,,,,,,Monday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,0.506,Positive,0.576,Economic Stimulus,12.0,28.0,3,2.29,51.61,43.21,1.31,covid_crash,,,1.0270000000000001,-0.004800000000000004,,0,5,2,2020,0,0,835.0,-0.521,813.3,-0.042,827.2,0.026,841.65,0.32,851.85,0.003002472624514363,839.25,-0.011833274461320986,863.05,0.016189803367478994,856.85,0.00888967384905226,LUPIN.NSE
2020-05-12,850.0,860.6,845.0,851.85,829.2055,2001722.0,835.3299999999999,,,837.3852196600631,836.0210416023456,1.3641780577174814,0.2257414369863896,1.1384366207310919,,,,,,,0.003002472624514363,0.030297532656023307,,,,,,Tuesday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,0.132,Positive,0.118,Regulatory Changes,10.0,14.0,5,-0.48,16.82,55.9,2.28,covid_crash,,,-0.374,0.020199999999999996,,1,5,2,2020,0,0,849.3,0.506,835.0,-0.521,813.3,-0.042,826.8,0.007,839.25,-0.014791336502905428,863.05,0.01314785466924917,841.8,-0.011797851734460352,840.35,-0.013500029347889853,LUPIN.NSE
2020-05-13,861.0,863.0,835.2,839.25,816.9405,2253401.0,837.74,,,837.7743705749505,836.5413068083908,1.2330637665596669,0.4678199354834543,0.7652438310762126,,,,,,,-0.014791336502905428,0.014567214700193398,,,,,,Wednesday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,-0.125,Negative,0.262,Interest Rate Policy,8.0,20.0,5,-2.18,25.31,68.3,-0.57,covid_crash,,,-0.257,-0.010000000000000004,,2,5,2,2020,0,0,851.85,0.132,849.3,0.506,835.0,-0.521,827.2,0.026,863.05,0.028358653559726,841.8,0.0030384271671133334,856.85,0.02097110515341072,873.2,0.040452785224903254,LUPIN.NSE
2020-05-14,840.0,866.4,828.7,863.05,840.1078,3474044.0,847.6899999999999,,,842.7747897100486,840.4704770830597,2.304312626988917,0.8920588581084401,1.412253768880477,,,,,,,0.028358653559726,0.061170539776220334,,,,,,Thursday,May,Q2,LUPIN.NSE,Lupin Limited,Pharmaceuticals,Mid Cap,-0.125,Negative,0.117,Merger & Acquisition,11.0,15.0,2,4.88,-40.54,24.14,-0.19,covid_crash,,,0.0,-0.026600000000000002,0.33122615637456326,3,5,2,2020,0,0,839.25,-0.125,851.85,0.132,849.3,0.506,813.3,-0.042,841.8,-0.02462198018654771,856.85,-0.007183824807369121,840.35,-0.02630206824633563,885.75,0.02630206824633574,LUPIN.NSE
