date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,0.144,Positive,0.147,Capacity Expansion,9.0,14.0,6,0.2,3.35,47.09,0.89,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,284.35,,296.7,,303.1,,300.25,,MARICO.NSE
2020-05-04,280.95,294.55,277.1,284.35,265.1402,7171673.0,,,,284.35,284.35,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,-0.063,Neutral,0.1,Vaccine Rollout,10.0,18.0,7,0.84,-76.85,44.47,0.59,covid_crash,,,-0.207,,,0,5,2,2020,0,0,,0.144,,,,,,,296.7,0.043432389660629456,303.1,0.06593986284508535,298.95,0.05134517320203957,303.1,0.06593986284508535,MARICO.NSE
2020-05-05,291.0,301.9,289.3,296.7,276.6559,17067119.0,,,,291.0395833333333,290.7625,0.2770833333333371,0.15393518518518728,0.12314814814814984,,,,,,,0.043432389660629456,,,,,,,Tuesday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,-0.167,Negative,0.104,Inflation Concerns,16.0,12.0,9,0.13,30.75,59.89,0.01,covid_crash,,,-0.10400000000000001,,,1,5,2,2020,0,0,284.35,-0.063,,0.144,,,,,303.1,0.02157061004381533,298.95,0.007583417593528763,300.25,0.011964947758678735,299.25,0.00859453993933279,MARICO.NSE
2020-05-06,298.9,305.95,294.0,303.1,282.6235,7025189.0,,,,295.74676674364895,295.19524396254315,0.5515227811058026,0.31688092121822625,0.2346418598875763,,,,,,,0.02157061004381533,,,,,,,Wednesday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,-0.176,Negative,0.1,Sector Rotation,11.0,20.0,4,-1.51,68.86,30.85,-1.46,covid_crash,,,-0.00899999999999998,,,2,5,2,2020,0,0,296.7,-0.167,284.35,-0.063,,0.144,,,298.95,-0.013691850874299027,300.25,-0.009402837347410209,303.1,0.0,307.0,0.012867040580666345,MARICO.NSE
2020-05-07,299.1,300.85,294.1,298.95,278.7539,4909366.0,,,,296.7579022988505,296.2449096693558,0.512992629494704,0.3833144267319382,0.12967820276276582,,,,,,,-0.013691850874299027,,,,,,,Thursday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,-0.241,Negative,0.148,Vaccine Rollout,10.0,15.0,9,-3.3,5.39,43.63,-1.15,covid_crash,,,-0.065,-0.1006,,3,5,2,2020,0,0,303.1,-0.176,296.7,-0.167,284.35,-0.063,,,300.25,0.004348553269777566,303.1,0.013881920053520735,299.25,0.0010035122930256435,318.25,0.06455929085131307,MARICO.NSE
2020-05-08,302.9,304.0,298.25,300.25,279.9661,4415728.0,296.66999999999996,,,297.70669276357717,297.1737066364235,0.5329861271536629,0.4278383737874251,0.10514775336623777,,,,,,,0.004348553269777566,,,,,,,Friday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,0.135,Positive,0.173,Management Commentary,10.0,17.0,3,-1.68,44.3,22.29,1.13,covid_crash,,,0.376,-0.1024,,4,5,2,2020,0,0,298.95,-0.241,303.1,-0.176,296.7,-0.167,,0.144,303.1,0.009492089925062563,299.25,-0.0033305578684429404,307.0,0.02248126561198993,316.5,0.054121565362198254,MARICO.NSE
2020-05-11,301.7,304.9,300.25,303.1,282.6235,2485970.0,300.42,,,299.0175501628672,298.3606959307276,0.656854232139608,0.4899144044362734,0.16693982770333465,,,,,,,0.009492089925062563,0.06593986284508535,,,,,,Monday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,-0.519,Negative,0.343,Merger & Acquisition,12.0,30.0,6,-4.1,-38.16,41.45,-0.26,covid_crash,,,-0.654,-0.1936,,0,5,2,2020,0,0,300.25,0.135,298.95,-0.241,303.1,-0.176,284.35,-0.063,299.25,-0.012702078521940052,307.0,0.012867040580666345,318.25,0.04998350379412719,306.2,0.010227647641042337,MARICO.NSE
2020-05-12,299.0,304.0,297.55,299.25,279.0336,1977948.0,300.93,,,299.06942053074346,298.51885404941766,0.5505664813258022,0.5052638270468383,0.04530265427896396,,,,,,,-0.012702078521940052,0.00859453993933279,,,,,,Tuesday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,-0.147,Negative,0.223,Sector Rotation,8.0,13.0,4,-1.33,23.3,48.93,2.13,covid_crash,,,0.372,-0.1896,,1,5,2,2020,0,0,303.1,-0.519,300.25,0.135,298.95,-0.241,296.7,-0.167,307.0,0.02589807852965742,318.25,0.06349206349206349,316.5,0.057644110275689275,312.8,0.04527986633249803,MARICO.NSE
2020-05-13,311.0,311.0,305.25,307.0,286.2601,2850231.0,301.71,,,300.7244102311141,299.88537681065367,0.8390334204604528,0.5854749368827251,0.2535584835777277,,,,,,,0.02589807852965742,0.012867040580666345,,,,,,Wednesday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,-0.299,Negative,0.349,Capacity Expansion,13.0,18.0,5,-4.43,16.07,49.11,-1.14,covid_crash,,,-0.152,-0.2142,,2,5,2,2020,0,0,299.25,-0.147,303.1,-0.519,300.25,0.135,303.1,-0.176,318.25,0.03664495114006505,316.5,0.030944625407166138,306.2,-0.002605863192182478,316.9,0.03224755700325721,MARICO.NSE
2020-05-14,305.9,321.0,304.85,318.25,296.75,5750676.0,305.57,,,304.1915956752624,302.6074171247313,1.584178550531135,0.8161804262296841,0.7679981243014509,,,,,,,0.03664495114006505,0.06455929085131307,,,,,,Thursday,May,Q2,MARICO.NSE,Marico Limited,FMCG,Mid Cap,0.234,Positive,0.361,Management Commentary,8.0,22.0,5,-0.23,-4.86,62.07,0.78,covid_crash,,,0.533,-0.1192,0.2295461464135988,3,5,2,2020,0,0,307.0,-0.299,299.25,-0.147,303.1,-0.519,298.95,-0.241,316.5,-0.0054988216810683,306.2,-0.03786331500392781,312.8,-0.017124901806755632,316.75,-0.004713275726630051,MARICO.NSE
