date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,-0.109,Negative,0.338,Capacity Expansion,9.0,18.0,3,-0.32,-66.7,54.87,-0.31,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,,,,,,,,,MAXHEALTH.NSE
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,0.001,Neutral,0.149,Lockdown Measures,14.0,20.0,2,4.95,-19.07,44.12,1.64,covid_crash,,,0.11,,,0,5,2,2020,0,0,,-0.109,,,,,,,,,,,,,,,MAXHEALTH.NSE
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,0.103,Positive,0.104,Inflation Concerns,12.0,20.0,5,-1.38,3.91,22.38,0.31,covid_crash,,,0.102,,,1,5,2,2020,0,0,,0.001,,-0.109,,,,,,,,,,,,,MAXHEALTH.NSE
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,-0.027,Neutral,0.139,Technical Factors,11.0,14.0,4,0.27,-24.59,51.32,0.51,covid_crash,,,-0.13,,,2,5,2,2020,0,0,,0.103,,0.001,,-0.109,,,,,,,,,,,MAXHEALTH.NSE
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,0.046,Neutral,0.1,FII/DII Activity,12.0,13.0,6,1.36,-60.79,50.39,-0.32,covid_crash,,,0.073,0.0027999999999999995,,3,5,2,2020,0,0,,-0.027,,0.103,,0.001,,,,,,,,,,,MAXHEALTH.NSE
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,0.191,Positive,0.1,Capacity Expansion,8.0,19.0,9,3.55,5.69,43.03,0.38,covid_crash,,,0.14500000000000002,0.0628,,4,5,2,2020,0,0,,0.046,,-0.027,,0.103,,-0.109,,,,,,,,,MAXHEALTH.NSE
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,0.282,Positive,0.114,Sector Rotation,12.0,17.0,6,-3.72,-7.33,50.9,-1.37,covid_crash,,,0.09099999999999997,0.119,,0,5,2,2020,0,0,,0.191,,0.046,,-0.027,,0.001,,,,,,,,,MAXHEALTH.NSE
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,0.291,Positive,0.306,Earnings Report,10.0,18.0,5,3.2,8.79,46.11,0.0,covid_crash,,,0.009000000000000008,0.1566,,1,5,2,2020,0,0,,0.282,,0.191,,0.046,,0.103,,,,,,,,,MAXHEALTH.NSE
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,0.209,Positive,0.171,Economic Stimulus,19.0,18.0,6,5.8,-0.04,56.5,0.22,covid_crash,,,-0.08199999999999999,0.20379999999999998,,2,5,2,2020,0,0,,0.291,,0.282,,0.191,,-0.027,,,,,,,,,MAXHEALTH.NSE
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,MAXHEALTH.NSE,Max Healthcare Institute Limited,Healthcare,Mid Cap,-0.091,Neutral,0.1,Lockdown Measures,13.0,20.0,8,0.08,-45.13,30.55,-0.75,covid_crash,,,-0.3,0.17639999999999997,0.14821246011497594,3,5,2,2020,0,0,,0.209,,0.291,,0.282,,0.046,,,,,,,,,MAXHEALTH.NSE
