date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,-0.557,Negative,0.546,FII/DII Activity,14.0,24.0,5,-3.45,57.17,40.8,-1.93,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,543.0,,493.7,,497.0,,501.35,,MCDOWELL-N.NSE
2020-05-04,550.0,558.0,527.85,543.0,538.8037,12143401.0,,,,543.0,543.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,0.072,Neutral,0.1,Merger & Acquisition,8.0,15.0,2,3.76,4.18,64.94,-0.26,covid_crash,,,0.629,,,0,5,2,2020,0,0,,-0.557,,,,,,,493.7,-0.09079189686924494,497.0,-0.0847145488029466,504.0,-0.07182320441988954,493.6,-0.09097605893186,MCDOWELL-N.NSE
2020-05-05,543.0,544.0,488.0,493.7,489.8846,12418432.0,,,,516.2958333333332,517.401923076923,-1.1060897435897914,-0.6144943019943285,-0.49159544159546287,,,,,,,-0.09079189686924494,,,,,,,Tuesday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,-0.551,Negative,0.28,Inflation Concerns,10.0,30.0,10,-1.84,29.68,39.8,1.27,covid_crash,,,-0.623,,,1,5,2,2020,0,0,543.0,0.072,,-0.557,,,,,497.0,0.006684221186955774,504.0,0.020862872189588932,501.35,0.015495240024306245,505.25,0.023394774154344766,MCDOWELL-N.NSE
2020-05-06,495.0,498.35,478.5,497.0,493.1591,8307364.0,,,,508.76466512702075,510.07171020207,-1.3070450750492455,-0.8983265860332288,-0.4087184890160167,,,,,,,0.006684221186955774,,,,,,,Wednesday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,-0.367,Negative,0.247,Inflation Concerns,10.0,26.0,5,-4.2,-39.94,35.27,0.75,covid_crash,,,0.18400000000000005,,,2,5,2,2020,0,0,493.7,-0.551,543.0,0.072,,-0.557,,,504.0,0.014084507042253502,501.35,0.0087525150905432,493.6,-0.0068410462776659076,512.15,0.030482897384305874,MCDOWELL-N.NSE
2020-05-07,503.9,516.65,494.2,504.0,500.105,7738493.0,,,,507.26064655172416,508.3743253607545,-1.1136788090303185,-0.9712778810864435,-0.14240092794387493,,,,,,,0.014084507042253502,,,,,,,Thursday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,-0.158,Negative,0.174,Lockdown Measures,12.0,16.0,9,-1.83,-61.88,42.17,-0.08,covid_crash,,,0.209,-0.31220000000000003,,3,5,2,2020,0,0,497.0,-0.367,493.7,-0.551,543.0,0.072,,,501.35,-0.005257936507936489,493.6,-0.02063492063492056,505.25,0.0024801587301588324,541.5,0.07440476190476186,MCDOWELL-N.NSE
2020-05-08,514.7,514.7,499.2,501.35,497.4755,4537666.0,507.81000000000006,,,505.65474500813355,506.74535533707075,-1.0906103289372027,-1.006776586420439,-0.08383374251676368,,,,,,,-0.005257936507936489,,,,,,,Friday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,0.132,Positive,0.1,Interest Rate Policy,13.0,22.0,8,-2.07,18.08,51.91,0.04,covid_crash,,,0.29000000000000004,-0.1744,,4,5,2,2020,0,0,504.0,-0.158,497.0,-0.367,493.7,-0.551,,-0.557,493.6,-0.015458262690735025,505.25,0.007778996708885932,512.15,0.021541837039992018,537.45,0.07200558492071418,MCDOWELL-N.NSE
2020-05-11,505.5,509.65,491.65,493.6,489.7854,3776776.0,497.93,,,502.72480777337876,504.1124455066485,-1.3876377332697416,-1.1100111326867301,-0.2776266005830115,,,,,,,-0.015458262690735025,-0.09097605893186,,,,,,Monday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,0.315,Positive,0.181,Technical Factors,7.0,23.0,1,1.34,-37.03,45.3,2.21,covid_crash,,,0.183,-0.1258,,0,5,2,2020,0,0,501.35,0.132,504.0,-0.158,497.0,-0.367,543.0,0.072,505.25,0.02360210696920584,512.15,0.037581037277147455,541.5,0.09704213938411654,542.3,0.09866288492706632,MCDOWELL-N.NSE
2020-05-12,490.0,508.4,487.7,505.25,501.3454,3129346.0,500.23999999999995,,,503.2882955837758,504.3147536763649,-1.0264580925891096,-1.088866087230302,0.0624079946411924,,,,,,,0.02360210696920584,0.023394774154344766,,,,,,Tuesday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,0.126,Positive,0.255,Interest Rate Policy,12.0,23.0,6,2.07,-21.02,50.48,-0.62,covid_crash,,,-0.189,0.009600000000000008,,1,5,2,2020,0,0,493.6,0.315,501.35,0.132,504.0,-0.158,493.7,-0.551,512.15,0.013656605640771868,541.5,0.07174666006927266,537.45,0.06373082632360227,557.8,0.10400791687283517,MCDOWELL-N.NSE
2020-05-13,510.0,532.2,505.05,512.15,508.1921,5925905.0,503.27,,,505.1375967090509,505.57720600338837,-0.4396092943374583,-0.9328374706214552,0.49322817628399684,,,,,,,0.013656605640771868,0.030482897384305874,,,,,,Wednesday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,0.166,Positive,0.373,Corporate Governance,12.0,20.0,4,-0.65,-27.8,35.35,0.21,covid_crash,,,0.04000000000000001,0.11620000000000001,,2,5,2,2020,0,0,505.25,0.126,493.6,0.315,501.35,0.132,497.0,-0.367,541.5,0.05730742946402434,537.45,0.04939958996387794,542.3,0.05886947183442337,574.25,0.12125353900224556,MCDOWELL-N.NSE
2020-05-14,505.0,561.0,500.0,541.5,537.3152,15134744.0,510.77,,,512.3313743260791,510.90175268452083,1.4296216415582421,-0.38709769548785283,1.816719337046095,,,,,,,0.05730742946402434,0.07440476190476186,,,,,,Thursday,May,Q2,MCDOWELL-N.NSE,United Spirits Limited,FMCG,Mid Cap,-0.236,Negative,0.263,Lockdown Measures,12.0,21.0,6,0.46,25.84,35.92,0.18,covid_crash,,,-0.402,0.10060000000000002,0.31314313376189845,3,5,2,2020,0,0,512.15,0.166,505.25,0.126,493.6,0.315,504.0,-0.158,537.45,-0.007479224376731208,542.3,0.0014773776546628259,557.8,0.030101569713758103,606.95,0.12086795937211448,MCDOWELL-N.NSE
