date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.069,Neutral,0.246,Earnings Report,13.0,15.0,4,-0.04,24.67,40.9,0.07,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,903.4,,875.3,,907.85,,891.1,,MINDTREE.NSE
2020-05-04,885.0,909.65,875.9,903.4,872.83,741561.0,,,,903.4,903.4,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.077,Neutral,0.182,Corporate Governance,9.0,18.0,2,2.28,-13.58,39.48,-0.69,covid_crash,,,-0.007999999999999993,,,0,5,2,2020,0,0,,-0.069,,,,,,,875.3,-0.03110471551914995,907.85,0.0049258357316803725,877.7,-0.028448085012176105,890.6,-0.01416869603719273,MINDTREE.NSE
2020-05-05,925.0,927.65,866.0,875.3,845.68,908735.0,,,,888.1791666666667,888.8096153846153,-0.6304487179486387,-0.3502492877492437,-0.28019943019939497,,,,,,,-0.03110471551914995,,,,,,,Tuesday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.691,Negative,0.735,Vaccine Rollout,10.0,27.0,3,-0.53,-15.33,44.49,-0.26,covid_crash,,,-0.614,,,1,5,2,2020,0,0,903.4,-0.077,,-0.069,,,,,907.85,0.03718725008568491,877.7,0.0027419170570091023,891.1,0.018050953958642868,887.4,0.013823831829087307,MINDTREE.NSE
2020-05-06,877.0,913.65,863.0,907.85,877.13,1015427.0,,,,895.8566974595843,895.6506407097093,0.20605674987507427,-0.12225501003435928,0.32831175990943356,,,,,,,0.03718725008568491,,,,,,,Wednesday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.073,Neutral,0.1,Merger & Acquisition,8.0,15.0,4,-0.56,-44.08,36.34,0.67,covid_crash,,,0.618,,,2,5,2,2020,0,0,875.3,-0.691,903.4,-0.077,,-0.069,,,877.7,-0.03321033210332103,891.1,-0.01845018450184499,890.6,-0.019000936278019465,885.65,-0.024453378862146935,MINDTREE.NSE
2020-05-07,906.0,907.0,868.0,877.7,848.0,604269.0,,,,890.1253376436782,890.6324260027271,-0.5070883590489075,-0.2526186106490436,-0.25446974839986386,,,,,,,-0.03321033210332103,,,,,,,Thursday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.487,Negative,0.278,Regulatory Changes,11.0,17.0,3,1.0,-50.97,49.6,-0.1,covid_crash,,,-0.414,-0.2794,,3,5,2,2020,0,0,907.85,-0.073,875.3,-0.691,903.4,-0.077,,,891.1,0.01526717557251911,890.6,0.014697504842201115,887.4,0.011051612168166747,835.85,-0.04768144012760622,MINDTREE.NSE
2020-05-08,889.4,904.0,880.0,891.1,860.95,412180.0,891.07,,,890.3901499224703,890.74085834125,-0.3507084187797318,-0.28179811092590235,-0.06891030785382946,,,,,,,0.01526717557251911,,,,,,,Friday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.047,Neutral,0.1,COVID-19 Impact,10.0,13.0,5,2.21,34.14,44.39,-0.9,covid_crash,,,0.44,-0.275,,4,5,2,2020,0,0,877.7,-0.487,907.85,-0.073,875.3,-0.691,,-0.069,890.6,-0.0005611042531702415,887.4,-0.004152171473459809,885.65,-0.00611603635955571,852.15,-0.04371002132196167,MINDTREE.NSE
2020-05-11,890.0,920.0,885.0,890.6,860.46,687687.0,888.51,,,890.4411545314814,890.7126455389435,-0.2714910074621457,-0.27900431282335747,0.007513305361211753,,,,,,,-0.0005611042531702415,-0.01416869603719273,,,,,,Monday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.412,Negative,0.329,Economic Stimulus,14.0,17.0,4,-4.24,-12.03,51.27,-0.2,covid_crash,,,-0.365,-0.34199999999999997,,0,5,2,2020,0,0,891.1,-0.047,877.7,-0.487,907.85,-0.073,903.4,-0.077,887.4,-0.003593083314619383,885.65,-0.0055580507523018685,835.85,-0.061475409836065587,879.55,-0.012407365820795047,MINDTREE.NSE
2020-05-12,890.85,903.0,867.75,887.4,857.37,611235.0,890.9300000000001,,,889.7625315379692,890.1235087021416,-0.36097716417248193,-0.2997494546631409,-0.06122770950934103,,,,,,,-0.003593083314619383,0.013823831829087307,,,,,,Tuesday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.079,Neutral,0.1,Interest Rate Policy,11.0,13.0,3,1.05,-28.78,36.92,-0.26,covid_crash,,,0.33299999999999996,-0.21959999999999996,,1,5,2,2020,0,0,890.6,-0.412,891.1,-0.047,877.7,-0.487,875.3,-0.691,885.65,-0.0019720531890917714,835.85,-0.05809105251295921,852.15,-0.03972278566599052,918.9,0.03549695740365122,MINDTREE.NSE
2020-05-13,900.0,900.0,874.2,885.65,855.68,485533.0,886.49,,,888.9043095928799,889.4027156041707,-0.49840601129074,-0.3474903609581284,-0.15091565033261162,,,,,,,-0.0019720531890917714,-0.024453378862146935,,,,,,Wednesday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.107,Negative,0.205,Management Commentary,11.0,17.0,3,3.55,-15.68,50.59,-0.95,covid_crash,,,-0.027999999999999997,-0.22640000000000002,,2,5,2,2020,0,0,887.4,-0.079,890.6,-0.412,891.1,-0.047,907.85,-0.073,835.85,-0.05622988765313608,852.15,-0.03782532603172806,879.55,-0.006887596680404284,904.4,0.02117089143566875,MINDTREE.NSE
2020-05-14,874.0,878.85,831.35,835.85,807.57,1296888.0,878.1200000000001,,,878.4082787947414,881.465027512239,-3.0567487174976122,-0.9733424820187645,-2.0834062354788476,,,,,,,-0.05622988765313608,-0.04768144012760622,,,,,,Thursday,May,Q2,MINDTREE.NSE,Mindtree Limited,IT,Mid Cap,-0.34,Negative,0.326,Merger & Acquisition,13.0,24.0,5,3.15,10.88,52.48,-0.61,covid_crash,,,-0.23300000000000004,-0.19699999999999998,0.22816163861029162,3,5,2,2020,0,0,885.65,-0.107,887.4,-0.079,890.6,-0.412,877.7,-0.487,852.15,0.019501106657893175,879.55,0.05228210803373812,918.9,0.09935993300233292,882.0,0.05521325596697979,MINDTREE.NSE
