date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.604,Negative,0.437,Earnings Report,10.0,28.0,3,-2.19,8.29,41.22,-0.49,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,63.69,,61.935,,64.02,,63.765,,MOTHERSON.NSE
2020-05-04,68.745,68.835,63.345,63.69,41.1677,39760741.0,,,,63.69,63.69,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.605,Negative,0.349,Earnings Report,9.0,37.0,7,-2.72,28.06,51.11,-0.95,covid_crash,,,-0.0010000000000000009,,,0,5,2,2020,0,0,,-0.604,,,,,,,61.935,-0.027555346208195886,64.02,0.005181347150259086,62.61,-0.016957136128120553,66.915,0.05063589260480472,MOTHERSON.NSE
2020-05-05,65.97,66.3,61.365,61.935,40.0333,37940881.0,,,,62.739374999999995,62.77875,-0.03937500000000682,-0.02187500000000379,-0.01750000000000303,,,,,,,-0.027555346208195886,,,,,,,Tuesday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.607,Negative,0.506,COVID-19 Impact,8.0,23.0,5,-0.56,24.4,69.99,-0.68,covid_crash,,,-0.0020000000000000018,,,1,5,2,2020,0,0,63.69,-0.605,,-0.604,,,,,64.02,0.033664325502542836,62.61,0.01089852264470803,63.765,0.02954710583676423,68.325,0.10317268103657051,MOTHERSON.NSE
2020-05-06,61.935,64.59,59.775,64.02,41.381,33389598.0,,,,63.23920323325635,63.22471907343519,0.014484159821158471,-0.006973704991330733,0.021457864812489204,,,,,,,0.033664325502542836,,,,,,,Wednesday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.521,Negative,0.376,Merger & Acquisition,10.0,30.0,5,4.72,2.6,43.63,-0.88,covid_crash,,,0.08599999999999997,,,2,5,2,2020,0,0,61.935,-0.607,63.69,-0.605,,-0.604,,,62.61,-0.02202436738519209,63.765,-0.003983130271789981,66.915,0.04522024367385202,69.945,0.09254920337394568,MOTHERSON.NSE
2020-05-07,63.345,64.425,62.025,62.61,40.4696,18029311.0,,,,63.040588362068966,63.05287048346778,-0.012282121398811796,-0.008771949031805346,-0.00351017236700645,,,,,,,-0.02202436738519209,,,,,,,Thursday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.728,Negative,0.593,Management Commentary,15.0,24.0,8,-3.52,44.0,34.81,-2.11,covid_crash,,,-0.20699999999999996,-0.613,,3,5,2,2020,0,0,64.02,-0.521,61.935,-0.607,63.69,-0.605,,,63.765,0.018447532343076167,66.915,0.06875898418782955,68.325,0.09127934834690943,66.675,0.06492573071394347,MOTHERSON.NSE
2020-05-08,64.395,65.385,63.6,63.765,41.2162,34293782.0,63.20399999999999,,,63.23740841506455,63.21801625560025,0.01939215946430295,-0.0003937634963138265,0.019785922960616775,,,,,,,0.018447532343076167,,,,,,,Friday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.41,Negative,0.389,Regulatory Changes,7.0,35.0,3,-2.25,-16.65,28.12,-0.48,covid_crash,,,0.318,-0.5742,,4,5,2,2020,0,0,62.61,-0.728,64.02,-0.521,61.935,-0.607,,-0.604,66.915,0.04940014114326052,68.325,0.07151258527405324,69.945,0.0969183721477298,68.205,0.06963067513526222,MOTHERSON.NSE
2020-05-11,65.175,70.575,64.845,66.915,43.2523,82052261.0,63.849000000000004,,,64.13125664757821,63.95849261351896,0.17276403405924867,0.04654162702854806,0.12622240703070062,,,,,,,0.04940014114326052,0.05063589260480472,,,,,,Monday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.59,Negative,0.446,Global Markets,12.0,30.0,5,-0.34,41.76,48.97,-0.18,covid_crash,,,-0.18,-0.5711999999999999,,0,5,2,2020,0,0,63.765,-0.41,62.61,-0.728,64.02,-0.521,63.69,-0.605,68.325,0.0210715086303519,69.945,0.045281327056713616,66.675,-0.0035866397668685712,65.43,-0.02219233355749828,MOTHERSON.NSE
2020-05-12,67.005,68.835,64.515,68.325,44.1637,40210462.0,65.127,,,65.06707580388277,64.73505331683036,0.3320224870524129,0.11878921676426481,0.2132332702881481,,,,,,,0.0210715086303519,0.10317268103657051,,,,,,Tuesday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.548,Negative,0.402,Economic Stimulus,14.0,23.0,7,-0.83,3.33,32.09,-0.01,covid_crash,,,0.041999999999999926,-0.5594,,1,5,2,2020,0,0,66.915,-0.59,63.765,-0.41,62.61,-0.728,61.935,-0.607,69.945,0.023710208562019552,66.675,-0.024149286498353573,68.205,-0.0017563117453348598,65.97,-0.034467618002195444,MOTHERSON.NSE
2020-05-13,72.735,72.9,69.495,69.945,45.2108,34782493.0,66.312,,,66.08502339964905,65.5745048212451,0.5105185784039463,0.21292914883855865,0.2975894295653877,,,,,,,0.023710208562019552,0.09254920337394568,,,,,,Wednesday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.637,Negative,0.469,Economic Stimulus,13.0,30.0,2,0.26,-28.06,38.94,-0.79,covid_crash,,,-0.08899999999999997,-0.5826,,2,5,2,2020,0,0,68.325,-0.548,66.915,-0.59,63.765,-0.41,64.02,-0.521,66.675,-0.04675101865751652,68.205,-0.02487668882693539,65.43,-0.06455071842161675,67.83,-0.030238044177568035,MOTHERSON.NSE
2020-05-14,67.665,69.87,65.76,66.675,43.0972,21199968.0,67.125,,,66.20174177022032,65.73762236583794,0.4641194043823873,0.27095534403046684,0.19316406035192046,,,,,,,-0.04675101865751652,0.06492573071394347,,,,,,Thursday,May,Q2,MOTHERSON.NSE,Motherson Sumi Systems Limited,Automobile,Mid Cap,-0.398,Negative,0.207,Technical Factors,9.0,20.0,5,-0.41,60.38,27.69,-1.22,covid_crash,,,0.239,-0.5166000000000001,0.10077565843661519,3,5,2,2020,0,0,69.945,-0.637,68.325,-0.548,66.915,-0.59,62.61,-0.728,68.205,0.022947131608549,65.43,-0.01867266591676031,65.97,-0.010573678290213717,67.83,0.017322834645669305,MOTHERSON.NSE
