date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,-0.183,Negative,0.315,Interest Rate Policy,17.0,22.0,8,2.95,51.8,50.09,-0.46,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,17456.5,,17485.0,,17296.0,,17756.8,,NESTLEIND.NSE
2020-05-04,17420.5,17728.2,17360.1,17456.5,1640.709,1189750.0,,,,17456.5,17456.5,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,-0.017,Neutral,0.187,Capacity Expansion,9.0,15.0,7,3.21,-7.69,49.23,-1.17,covid_crash,,,0.16599999999999998,,,0,5,2,2020,0,0,,-0.183,,,,,,,17485.0,0.0016326296794890727,17296.0,-0.009194282931859199,17122.5,-0.01913327413857302,17569.0,0.0064445908400883045,NESTLEIND.NSE
2020-05-05,17571.0,17637.0,17100.0,17485.0,1643.3876,1306820.0,,,,17471.9375,17471.298076923078,0.6394230769219575,0.35523504273442086,0.2841880341875367,,,,,,,0.0016326296794890727,,,,,,,Tuesday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,-0.311,Negative,0.244,Earnings Report,11.0,17.0,8,-7.12,-7.84,47.74,-1.62,covid_crash,,,-0.294,,,1,5,2,2020,0,0,17456.5,-0.017,,-0.183,,,,,17296.0,-0.010809265084357977,17122.5,-0.02073205604804118,17756.8,0.015544752645124449,17455.4,-0.0016928796110950994,NESTLEIND.NSE
2020-05-06,17421.5,17617.1,17270.0,17296.0,1625.6238,1355090.0,,,,17403.269053117783,17408.31517989157,-5.046126773788274,-1.8584378328896338,-3.1876889408986395,,,,,,,-0.010809265084357977,,,,,,,Wednesday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,-0.044,Neutral,0.1,Economic Stimulus,11.0,12.0,6,-0.95,-68.29,45.0,0.09,covid_crash,,,0.267,,,2,5,2,2020,0,0,17485.0,-0.311,17456.5,-0.017,,-0.183,,,17122.5,-0.010031221091581832,17756.8,0.026641998149861124,17569.0,0.01578399629972238,16550.0,-0.043131359851988904,NESTLEIND.NSE
2020-05-07,17200.0,17280.0,16825.3,17122.5,1609.3168,2090780.0,,,,17314.641235632185,17328.413745597092,-13.77250996490693,-5.894370126933434,-7.878139837973497,,,,,,,-0.010031221091581832,,,,,,,Thursday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,-0.122,Negative,0.1,Merger & Acquisition,16.0,25.0,6,-4.75,-32.12,28.38,0.62,covid_crash,,,-0.078,-0.13540000000000002,,3,5,2,2020,0,0,17296.0,-0.044,17485.0,-0.311,17456.5,-0.017,,,17756.8,0.03704482406190679,17569.0,0.026076799532778416,17455.4,0.01944225434369984,16333.9,-0.04605635859249524,NESTLEIND.NSE
2020-05-08,17350.0,17820.0,17201.5,17756.8,1668.9337,1792000.0,17423.36,,,17434.774191645818,17427.758284914613,7.0159067312051775,-2.053854640814143,9.06976137201932,,,,,,,0.03704482406190679,,,,,,,Friday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,-0.267,Negative,0.297,Vaccine Rollout,17.0,22.0,8,1.58,-41.43,51.98,1.48,covid_crash,,,-0.14500000000000002,-0.1522,,4,5,2,2020,0,0,17122.5,-0.122,17296.0,-0.044,17485.0,-0.311,,-0.183,17569.0,-0.010576229951342553,17455.4,-0.016973779059289873,16550.0,-0.06796269598125781,16397.0,-0.07657911335375744,NESTLEIND.NSE
2020-05-11,17770.0,17920.0,17490.0,17569.0,1651.2827,1840320.0,17445.86,,,17467.398124669417,17456.04787394271,11.3502507267076,1.5794031676259161,9.770847559081684,,,,,,,-0.010576229951342553,0.0064445908400883045,,,,,,Monday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,0.196,Positive,0.1,Technical Factors,11.0,12.0,7,-0.83,-63.34,49.03,-0.4,covid_crash,,,0.463,-0.1096,,0,5,2,2020,0,0,17756.8,-0.267,17122.5,-0.122,17296.0,-0.044,17456.5,-0.017,17455.4,-0.006465934316124855,16550.0,-0.057999886163128234,16333.9,-0.07029996015709494,16232.3,-0.07608287324264329,NESTLEIND.NSE
2020-05-12,17609.0,17777.0,17385.0,17455.4,1640.6056,2389370.0,17439.94,,,17464.720785127673,17455.932652920488,8.78813220718439,3.4037401761470143,5.384392031037375,,,,,,,-0.006465934316124855,-0.0016928796110950994,,,,,,Tuesday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,-0.203,Negative,0.285,FII/DII Activity,10.0,24.0,9,-0.86,-35.75,44.16,-0.13,covid_crash,,,-0.399,-0.088,,1,5,2,2020,0,0,17569.0,0.196,17756.8,-0.267,17122.5,-0.122,17485.0,-0.311,16550.0,-0.05186933556377982,16333.9,-0.0642494586202551,16397.0,-0.060634531434398564,16153.0,-0.07461301373786922,NESTLEIND.NSE
2020-05-13,17750.0,17750.0,16400.0,16550.0,1555.5084,5620340.0,17290.739999999998,,,17273.832655960075,17309.964455040605,-36.13179908052916,-6.097393373212778,-30.034405707316385,,,,,,,-0.05186933556377982,-0.043131359851988904,,,,,,Wednesday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,-0.174,Negative,0.147,Corporate Governance,9.0,15.0,6,0.42,18.54,39.04,-0.34,covid_crash,,,0.029000000000000026,-0.11400000000000002,,2,5,2,2020,0,0,17455.4,-0.203,17569.0,0.196,17756.8,-0.267,17296.0,-0.044,16333.9,-0.013057401812688885,16397.0,-0.009244712990936543,16232.3,-0.01919637462235657,16317.9,-0.014024169184290058,NESTLEIND.NSE
2020-05-14,16600.0,16850.0,16201.0,16333.9,1535.1975,4102720.0,17133.02,,,17087.880521612497,17165.290275322066,-77.40975370956949,-22.570902393355126,-54.83885131621436,,,,,,,-0.013057401812688885,-0.04605635859249524,,,,,,Thursday,May,Q2,NESTLEIND.NSE,Nestle India Limited,FMCG,Large Cap,-0.39,Negative,0.392,Management Commentary,13.0,23.0,7,-5.34,-21.34,45.56,-1.01,covid_crash,,,-0.21600000000000003,-0.16760000000000003,0.16702844069199713,3,5,2,2020,0,0,16550.0,-0.174,17455.4,-0.203,17569.0,0.196,17122.5,-0.122,16397.0,0.003863131279118859,16232.3,-0.006220192360673171,16153.0,-0.011075125965017474,16287.0,-0.002871328953893415,NESTLEIND.NSE
