date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,-0.31,Negative,0.414,FII/DII Activity,13.0,19.0,8,-0.79,-53.24,55.91,-1.96,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,57.42,,56.04,,56.22,,56.22,,NMDC.NSE
2020-05-04,58.26,59.85,56.73,57.42,13.7171,25004898.0,,,,57.42,57.42,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,-0.338,Negative,0.308,Management Commentary,10.0,27.0,5,1.07,15.5,43.84,-0.1,covid_crash,,,-0.028000000000000025,,,0,5,2,2020,0,0,,-0.31,,,,,,,56.04,-0.024033437826541326,56.22,-0.020898641588296796,56.1,-0.02298850574712641,55.65,-0.03082549634273779,NMDC.NSE
2020-05-05,58.41,58.8,55.77,56.04,13.3874,27997165.0,,,,56.67249999999999,56.70346153846154,-0.030961538461546922,-0.0172008547008594,-0.013760683760687523,,,,,,,-0.024033437826541326,,,,,,,Tuesday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,-0.603,Negative,0.571,Earnings Report,11.0,27.0,4,-5.19,3.64,59.22,-1.93,covid_crash,,,-0.26499999999999996,,,1,5,2,2020,0,0,57.42,-0.338,,-0.31,,,,,56.22,0.0032119914346895317,56.1,0.0010706638115631772,56.22,0.0032119914346895317,54.54,-0.02676659528907921,NMDC.NSE
2020-05-06,56.49,57.39,54.87,56.22,13.4304,19949772.0,,,,56.495889145496534,56.529758501724984,-0.03386935622845044,-0.024032207785937693,-0.009837148442512749,,,,,,,0.0032119914346895317,,,,,,,Wednesday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,-0.508,Negative,0.304,COVID-19 Impact,15.0,22.0,4,-2.55,26.29,48.62,-1.1,covid_crash,,,0.09499999999999997,,,2,5,2,2020,0,0,56.04,-0.603,57.42,-0.338,,-0.31,,,56.1,-0.002134471718249653,56.22,0.0,55.65,-0.010138740661686185,57.6,0.0245464247598719,NMDC.NSE
2020-05-07,56.04,56.61,55.41,56.1,13.4018,12773400.0,,,,56.3709224137931,56.40961680490853,-0.03869439111542761,-0.028999072057445115,-0.009695319057982491,,,,,,,-0.002134471718249653,,,,,,,Thursday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,-0.757,Negative,0.493,Technical Factors,11.0,29.0,8,-3.3,-23.7,38.53,0.05,covid_crash,,,-0.249,-0.5032,,3,5,2,2020,0,0,56.22,-0.508,56.04,-0.603,57.42,-0.338,,,56.22,0.002139037433155133,55.65,-0.008021390374331583,54.54,-0.027807486631016065,55.56,-0.009625668449197877,NMDC.NSE
2020-05-08,56.79,57.27,55.8,56.22,13.4304,11354958.0,56.4,,,56.3299173333587,56.36564388575698,-0.035726552398280376,-0.031000345362072454,-0.004726207036207922,,,,,,,0.002139037433155133,,,,,,,Friday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,-0.49,Negative,0.461,Management Commentary,10.0,29.0,5,-2.46,-20.09,39.25,-0.56,covid_crash,,,0.267,-0.5391999999999999,,4,5,2,2020,0,0,56.1,-0.757,56.22,-0.508,56.04,-0.603,,-0.31,55.65,-0.010138740661686185,54.54,-0.029882604055496254,57.6,0.0245464247598719,56.76,0.009605122732123883,NMDC.NSE
2020-05-11,56.73,57.6,55.41,55.65,13.2943,10098961.0,56.04599999999999,,,56.16466165103454,56.222306123210736,-0.05764447217619306,-0.03822238511349295,-0.019422087062700114,,,,,,,-0.010138740661686185,-0.03082549634273779,,,,,,Monday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,-0.276,Negative,0.238,Interest Rate Policy,16.0,16.0,6,-0.7,10.15,60.12,-0.92,covid_crash,,,0.21399999999999997,-0.5267999999999999,,0,5,2,2020,0,0,56.22,-0.49,56.1,-0.757,56.22,-0.508,57.42,-0.338,54.54,-0.0199460916442048,57.6,0.03504043126684642,55.56,-0.0016172506738544312,54.66,-0.017789757412398965,NMDC.NSE
2020-05-12,55.41,55.89,53.7,54.54,13.0291,14593498.0,55.746,,,55.80212408786356,55.92311670004147,-0.12099261217790769,-0.05916932147476795,-0.06182329070313974,,,,,,,-0.0199460916442048,-0.02676659528907921,,,,,,Tuesday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,0.214,Positive,0.222,Vaccine Rollout,10.0,22.0,9,3.44,52.91,53.92,-0.42,covid_crash,,,0.49,-0.36340000000000006,,1,5,2,2020,0,0,55.65,-0.276,56.22,-0.49,56.1,-0.757,56.04,-0.603,57.6,0.05610561056105623,55.56,0.018701870187018743,56.76,0.040704070407040716,54.87,0.006050605060506031,NMDC.NSE
2020-05-13,56.88,58.92,55.65,57.6,13.7601,18860577.0,56.022000000000006,,,56.17731307987417,56.19330415002546,-0.015991070151294196,-0.0487927757145411,0.03280170556324691,,,,,,,0.05610561056105623,0.0245464247598719,,,,,,Wednesday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,-0.568,Negative,0.487,Economic Stimulus,11.0,33.0,5,-0.91,-1.93,56.97,-1.33,covid_crash,,,-0.7819999999999999,-0.37540000000000007,,2,5,2,2020,0,0,54.54,0.214,55.65,-0.276,56.22,-0.49,56.22,-0.508,55.56,-0.03541666666666665,56.76,-0.014583333333333393,54.66,-0.05104166666666676,54.66,-0.05104166666666676,NMDC.NSE
2020-05-14,57.57,57.57,55.14,55.56,13.2728,15000459.0,55.914,,,56.0551865806666,56.09943457210556,-0.04424799143895797,-0.04774290800009034,0.0034949165611323704,,,,,,,-0.03541666666666665,-0.009625668449197877,,,,,,Thursday,May,Q2,NMDC.NSE,NMDC Limited,Mining,Mid Cap,-0.446,Negative,0.389,Global Markets,13.0,33.0,3,1.49,41.1,55.42,-1.32,covid_crash,,,0.12199999999999994,-0.31320000000000003,0.2629756220218478,3,5,2,2020,0,0,57.6,-0.568,54.54,0.214,55.65,-0.276,56.1,-0.757,56.76,0.021598272138228847,54.66,-0.016198704103671857,54.87,-0.012419006479481687,57.06,0.02699784017278617,NMDC.NSE
